# _root_ Tuto sumu obdržely dvakrát : jednorázově po volbách a pak , na základě roční zprávy o hospodaření , rozdělenou do čtyřletých částek .
#goldHeads=2,3,0,5,3,8,9,7,5,9,13,13,19,15,13,15,16,13,10,19,22,20,0,
#predictedHeads=2,3,9,5,0,9,9,7,5,9,13,13,9,15,13,15,16,19,15,19,22,20,0,
(19,21),-1.88508 # DEPENDENCYPART_ARC
(19,22),-0.297192 # DEPENDENCYPART_ARC
(19,23),0.584056 # DEPENDENCYPART_ARC
(20,18),-0.302341 # DEPENDENCYPART_ARC
(20,19),-1.06447 # DEPENDENCYPART_ARC
(20,21),0.108435 # DEPENDENCYPART_ARC
(20,22),3.68994 # DEPENDENCYPART_ARC
(20,23),-0.534268 # DEPENDENCYPART_ARC
(21,23),-0.586131 # DEPENDENCYPART_ARC
(22,14),-0.105925 # DEPENDENCYPART_ARC
(22,17),-5.47854 # DEPENDENCYPART_ARC
(22,19),-2.34778 # DEPENDENCYPART_ARC
(22,20),-0.643628 # DEPENDENCYPART_ARC
(22,21),4.76859 # DEPENDENCYPART_ARC
(22,23),0.214449 # DEPENDENCYPART_ARC
