# _root_ Na setkání vedoucích pracovníků firem , které se na jeho výstavbě podílejí , se členy městské rady to uvedl ředitel společnosti Inženýring dopravních staveb Bohumil Kvasnička .
#goldHeads=19,1,4,2,4,12,12,12,12,11,9,5,12,2,14,17,15,19,0,26,20,21,24,22,26,19,0,
#predictedHeads=19,1,4,2,4,12,12,12,12,11,9,5,19,19,14,17,15,19,0,26,20,21,24,22,26,19,0,
(12,2),-1.70951 # DEPENDENCYPART_ARC
(12,3),-3.62556 # DEPENDENCYPART_ARC
(12,4),-1.52575 # DEPENDENCYPART_ARC
(12,5),-2.37617 # DEPENDENCYPART_ARC
(12,6),2.00435 # DEPENDENCYPART_ARC
(12,7),2.808 # DEPENDENCYPART_ARC
(12,8),2.87638 # DEPENDENCYPART_ARC
(12,9),2.81894 # DEPENDENCYPART_ARC
(12,11),1.99531 # DEPENDENCYPART_ARC
(12,13),0.730296 # DEPENDENCYPART_ARC
(12,14),0.682089 # DEPENDENCYPART_ARC
(12,15),0.162518 # DEPENDENCYPART_ARC
(12,16),-4.13592 # DEPENDENCYPART_ARC
(12,17),-1.5314 # DEPENDENCYPART_ARC
(12,18),-1.14033 # DEPENDENCYPART_ARC
(12,19),-1.85765 # DEPENDENCYPART_ARC
(12,20),-1.65467 # DEPENDENCYPART_ARC
(12,21),-2.46167 # DEPENDENCYPART_ARC
(12,22),-0.759762 # DEPENDENCYPART_ARC
(12,24),-2.63928 # DEPENDENCYPART_ARC
(12,25),-1.76187 # DEPENDENCYPART_ARC
(12,26),-1.73941 # DEPENDENCYPART_ARC
(13,1),0.537123 # DEPENDENCYPART_ARC
(13,2),-0.839937 # DEPENDENCYPART_ARC
(13,4),-0.480595 # DEPENDENCYPART_ARC
(13,5),-0.677481 # DEPENDENCYPART_ARC
(13,6),0.512755 # DEPENDENCYPART_ARC
(13,7),-0.174728 # DEPENDENCYPART_ARC
(13,9),0.584865 # DEPENDENCYPART_ARC
(13,10),0.508962 # DEPENDENCYPART_ARC
(13,11),-0.0643593 # DEPENDENCYPART_ARC
(13,12),0.323187 # DEPENDENCYPART_ARC
(13,14),0.770829 # DEPENDENCYPART_ARC
(13,15),-0.0469881 # DEPENDENCYPART_ARC
(13,16),0.0387306 # DEPENDENCYPART_ARC
(13,17),-0.568094 # DEPENDENCYPART_ARC
(13,19),-0.012058 # DEPENDENCYPART_ARC
(13,23),-1.01332 # DEPENDENCYPART_ARC
(14,13),0.723834 # DEPENDENCYPART_ARC
(14,15),3.28005 # DEPENDENCYPART_ARC
(14,16),-1.16459 # DEPENDENCYPART_ARC
(14,17),-1.65961 # DEPENDENCYPART_ARC
(15,1),-1.57049 # DEPENDENCYPART_ARC
(15,9),-1.49282 # DEPENDENCYPART_ARC
(15,10),0.782627 # DEPENDENCYPART_ARC
(15,12),-1.70636 # DEPENDENCYPART_ARC
(15,13),-0.469118 # DEPENDENCYPART_ARC
(15,14),0.0217501 # DEPENDENCYPART_ARC
(15,16),-1.29168 # DEPENDENCYPART_ARC
(15,17),3.31901 # DEPENDENCYPART_ARC
(15,18),-1.65532 # DEPENDENCYPART_ARC
(15,19),-0.366221 # DEPENDENCYPART_ARC
(15,20),-3.36203 # DEPENDENCYPART_ARC
(15,21),0.315196 # DEPENDENCYPART_ARC
(15,22),-2.81124 # DEPENDENCYPART_ARC
(15,23),-1.88863 # DEPENDENCYPART_ARC
(15,24),-0.796828 # DEPENDENCYPART_ARC
(15,25),-4.01092 # DEPENDENCYPART_ARC
(15,26),-3.64238 # DEPENDENCYPART_ARC
(16,9),-1.30302 # DEPENDENCYPART_ARC
(16,12),-5.10093 # DEPENDENCYPART_ARC
(16,13),-0.424101 # DEPENDENCYPART_ARC
(16,14),0.898448 # DEPENDENCYPART_ARC
(16,15),0.842905 # DEPENDENCYPART_ARC
(16,17),0.660353 # DEPENDENCYPART_ARC
(16,18),-2.45738 # DEPENDENCYPART_ARC
(17,1),-0.917892 # DEPENDENCYPART_ARC
(17,10),0.518642 # DEPENDENCYPART_ARC
(17,14),0.3105 # DEPENDENCYPART_ARC
(17,15),-2.06071 # DEPENDENCYPART_ARC
(17,16),4.76128 # DEPENDENCYPART_ARC
(17,18),-1.126 # DEPENDENCYPART_ARC
(17,19),-1.30831 # DEPENDENCYPART_ARC
(17,20),-2.28585 # DEPENDENCYPART_ARC
(17,21),0.55002 # DEPENDENCYPART_ARC
(17,22),-1.42892 # DEPENDENCYPART_ARC
(17,23),-1.1626 # DEPENDENCYPART_ARC
(17,24),-0.485195 # DEPENDENCYPART_ARC
(17,25),-3.71133 # DEPENDENCYPART_ARC
(17,26),-3.01738 # DEPENDENCYPART_ARC
(18,11),-1.29219 # DEPENDENCYPART_ARC
(18,12),-1.11413 # DEPENDENCYPART_ARC
(18,15),-1.16077 # DEPENDENCYPART_ARC
(18,16),-1.56922 # DEPENDENCYPART_ARC
(18,17),0.389361 # DEPENDENCYPART_ARC
(18,20),-0.931231 # DEPENDENCYPART_ARC
(19,1),1.03885 # DEPENDENCYPART_ARC
(19,2),-3.44409 # DEPENDENCYPART_ARC
(19,4),-4.41754 # DEPENDENCYPART_ARC
(19,5),-5.88909 # DEPENDENCYPART_ARC
(19,6),1.61698 # DEPENDENCYPART_ARC
(19,7),-1.14791 # DEPENDENCYPART_ARC
(19,8),-0.149099 # DEPENDENCYPART_ARC
(19,9),0.726295 # DEPENDENCYPART_ARC
(19,11),-2.00865 # DEPENDENCYPART_ARC
(19,12),-2.05757 # DEPENDENCYPART_ARC
(19,13),0.812886 # DEPENDENCYPART_ARC
(19,14),1.44621 # DEPENDENCYPART_ARC
(19,15),-0.746867 # DEPENDENCYPART_ARC
(19,16),-3.70362 # DEPENDENCYPART_ARC
(19,17),-1.56347 # DEPENDENCYPART_ARC
(19,18),2.15255 # DEPENDENCYPART_ARC
(19,20),2.22321 # DEPENDENCYPART_ARC
(19,21),-0.13951 # DEPENDENCYPART_ARC
(19,22),1.4516 # DEPENDENCYPART_ARC
(19,23),-4.31803 # DEPENDENCYPART_ARC
(19,24),-1.66647 # DEPENDENCYPART_ARC
(19,25),0.0100158 # DEPENDENCYPART_ARC
(19,26),1.15219 # DEPENDENCYPART_ARC
(19,27),-0.677297 # DEPENDENCYPART_ARC
(20,16),-4.33731 # DEPENDENCYPART_ARC
(20,18),-3.84918 # DEPENDENCYPART_ARC
(20,21),3.9234 # DEPENDENCYPART_ARC
(20,22),0.998254 # DEPENDENCYPART_ARC
(20,23),-2.10138 # DEPENDENCYPART_ARC
(20,24),0.430116 # DEPENDENCYPART_ARC
(20,25),-1.27942 # DEPENDENCYPART_ARC
(20,26),-1.82485 # DEPENDENCYPART_ARC
(21,15),-3.87561 # DEPENDENCYPART_ARC
(21,16),0.605648 # DEPENDENCYPART_ARC
(21,17),-2.02635 # DEPENDENCYPART_ARC
(21,18),-2.58159 # DEPENDENCYPART_ARC
(21,20),-0.309941 # DEPENDENCYPART_ARC
(21,22),1.77116 # DEPENDENCYPART_ARC
(21,23),0.480226 # DEPENDENCYPART_ARC
(21,24),0.863211 # DEPENDENCYPART_ARC
(21,25),-1.57461 # DEPENDENCYPART_ARC
(21,26),-1.30484 # DEPENDENCYPART_ARC
(22,1),-5.75148e-05 # DEPENDENCYPART_ARC
(22,15),-3.79113 # DEPENDENCYPART_ARC
(22,17),-3.61771 # DEPENDENCYPART_ARC
(22,18),-4.31985 # DEPENDENCYPART_ARC
(22,20),2.37916 # DEPENDENCYPART_ARC
(22,21),-1.40454 # DEPENDENCYPART_ARC
(22,23),-1.66554 # DEPENDENCYPART_ARC
(22,24),2.79319 # DEPENDENCYPART_ARC
(22,25),0.367135 # DEPENDENCYPART_ARC
(22,26),0.432784 # DEPENDENCYPART_ARC
(22,27),-1.8996 # DEPENDENCYPART_ARC
(23,14),0.29255 # DEPENDENCYPART_ARC
(23,18),-1.763 # DEPENDENCYPART_ARC
(23,21),-1.04704 # DEPENDENCYPART_ARC
(23,22),-0.884178 # DEPENDENCYPART_ARC
(23,24),0.285012 # DEPENDENCYPART_ARC
(23,25),-1.81849 # DEPENDENCYPART_ARC
(23,26),-1.58066 # DEPENDENCYPART_ARC
(24,18),-4.55837 # DEPENDENCYPART_ARC
(24,20),-2.59531 # DEPENDENCYPART_ARC
(24,21),-2.04338 # DEPENDENCYPART_ARC
(24,22),-3.09088 # DEPENDENCYPART_ARC
(24,23),3.98747 # DEPENDENCYPART_ARC
(24,25),0.0373802 # DEPENDENCYPART_ARC
(24,26),0.269161 # DEPENDENCYPART_ARC
(24,27),-0.591441 # DEPENDENCYPART_ARC
(25,20),2.3188 # DEPENDENCYPART_ARC
(25,21),-4.13654 # DEPENDENCYPART_ARC
(25,22),-2.03136 # DEPENDENCYPART_ARC
(25,23),-4.75258 # DEPENDENCYPART_ARC
(25,24),-5.0682 # DEPENDENCYPART_ARC
(25,26),0.591736 # DEPENDENCYPART_ARC
(25,27),-0.527198 # DEPENDENCYPART_ARC
(26,4),-4.05626 # DEPENDENCYPART_ARC
(26,15),-2.45277 # DEPENDENCYPART_ARC
(26,17),-2.78026 # DEPENDENCYPART_ARC
(26,20),5.33052 # DEPENDENCYPART_ARC
(26,21),-1.07246 # DEPENDENCYPART_ARC
(26,22),-0.0404308 # DEPENDENCYPART_ARC
(26,23),-4.15006 # DEPENDENCYPART_ARC
(26,24),-2.8328 # DEPENDENCYPART_ARC
(26,25),6.75106 # DEPENDENCYPART_ARC
(26,27),0.137787 # DEPENDENCYPART_ARC
