# _root_ A míra exportního výkonu , vztahující objem vývozu na jednoho obyvatele , je žalostná :
#goldHeads=0,13,4,2,6,2,6,7,6,11,9,6,1,13,0,
#predictedHeads=13,1,4,2,6,2,6,7,7,11,9,1,0,13,0,
(5,1),-0.183221 # DEPENDENCYPART_ARC
(5,2),0.657129 # DEPENDENCYPART_ARC
(5,3),0.552742 # DEPENDENCYPART_ARC
(5,4),1.35519 # DEPENDENCYPART_ARC
(5,6),0.145562 # DEPENDENCYPART_ARC
(5,7),1.01398 # DEPENDENCYPART_ARC
(5,8),0.402452 # DEPENDENCYPART_ARC
(5,9),0.207668 # DEPENDENCYPART_ARC
(5,11),-0.102061 # DEPENDENCYPART_ARC
(5,12),0.451253 # DEPENDENCYPART_ARC
(5,13),-0.385081 # DEPENDENCYPART_ARC
(5,14),-1.45589 # DEPENDENCYPART_ARC
(5,15),-0.64268 # DEPENDENCYPART_ARC
(6,2),-0.945706 # DEPENDENCYPART_ARC
(6,4),-1.71385 # DEPENDENCYPART_ARC
(6,5),0.809665 # DEPENDENCYPART_ARC
(6,7),2.48424 # DEPENDENCYPART_ARC
(6,8),0.987321 # DEPENDENCYPART_ARC
(6,9),0.602411 # DEPENDENCYPART_ARC
(6,11),-0.626675 # DEPENDENCYPART_ARC
(6,12),0.534356 # DEPENDENCYPART_ARC
(6,13),-1.87218 # DEPENDENCYPART_ARC
(6,15),-1.02417 # DEPENDENCYPART_ARC
(7,1),-0.476867 # DEPENDENCYPART_ARC
(7,3),1.34457 # DEPENDENCYPART_ARC
(7,5),0.237584 # DEPENDENCYPART_ARC
(7,6),-1.15238 # DEPENDENCYPART_ARC
(7,8),4.28501 # DEPENDENCYPART_ARC
(7,9),1.74095 # DEPENDENCYPART_ARC
(7,10),-0.891365 # DEPENDENCYPART_ARC
(7,11),-1.05025 # DEPENDENCYPART_ARC
(7,12),-0.23436 # DEPENDENCYPART_ARC
(7,13),-1.19374 # DEPENDENCYPART_ARC
(7,14),-3.49933 # DEPENDENCYPART_ARC
(7,15),-1.0012 # DEPENDENCYPART_ARC
(8,1),-0.754184 # DEPENDENCYPART_ARC
(8,2),-3.7065 # DEPENDENCYPART_ARC
(8,3),1.63799 # DEPENDENCYPART_ARC
(8,4),-2.54591 # DEPENDENCYPART_ARC
(8,6),-1.73839 # DEPENDENCYPART_ARC
(8,7),-0.95759 # DEPENDENCYPART_ARC
(8,9),1.33058 # DEPENDENCYPART_ARC
(8,10),-2.30647 # DEPENDENCYPART_ARC
(8,11),-4.11942 # DEPENDENCYPART_ARC
(8,13),-1.6447 # DEPENDENCYPART_ARC
(8,14),-3.73082 # DEPENDENCYPART_ARC
(9,5),-0.977139 # DEPENDENCYPART_ARC
(9,8),-0.109894 # DEPENDENCYPART_ARC
(9,10),2.44511 # DEPENDENCYPART_ARC
(9,11),3.91482 # DEPENDENCYPART_ARC
(9,12),-0.222298 # DEPENDENCYPART_ARC
(9,14),-2.0901 # DEPENDENCYPART_ARC
(9,15),-0.233982 # DEPENDENCYPART_ARC
(10,11),2.44418 # DEPENDENCYPART_ARC
(10,15),-1.79107 # DEPENDENCYPART_ARC
(11,1),-1.04915 # DEPENDENCYPART_ARC
(11,2),-6.03307 # DEPENDENCYPART_ARC
(11,3),-2.72656 # DEPENDENCYPART_ARC
(11,4),-3.91632 # DEPENDENCYPART_ARC
(11,5),-0.0806048 # DEPENDENCYPART_ARC
(11,6),-4.20637 # DEPENDENCYPART_ARC
(11,7),-0.684714 # DEPENDENCYPART_ARC
(11,8),-2.30258 # DEPENDENCYPART_ARC
(11,9),-0.164358 # DEPENDENCYPART_ARC
(11,10),5.2916 # DEPENDENCYPART_ARC
(11,13),-1.99908 # DEPENDENCYPART_ARC
(11,14),-4.05992 # DEPENDENCYPART_ARC
(12,1),-0.660925 # DEPENDENCYPART_ARC
(12,2),-0.325546 # DEPENDENCYPART_ARC
(12,3),-0.936515 # DEPENDENCYPART_ARC
(12,4),-0.459468 # DEPENDENCYPART_ARC
(12,5),-0.114137 # DEPENDENCYPART_ARC
(12,7),0.41455 # DEPENDENCYPART_ARC
(12,8),-0.121879 # DEPENDENCYPART_ARC
(12,9),-0.207195 # DEPENDENCYPART_ARC
(12,10),-0.465283 # DEPENDENCYPART_ARC
(12,11),-0.177872 # DEPENDENCYPART_ARC
(12,13),-0.152095 # DEPENDENCYPART_ARC
(12,14),-1.11092 # DEPENDENCYPART_ARC
(12,15),0.222907 # DEPENDENCYPART_ARC
(13,1),0.391166 # DEPENDENCYPART_ARC
(13,2),1.03894 # DEPENDENCYPART_ARC
(13,3),-5.32779 # DEPENDENCYPART_ARC
(13,4),-2.2247 # DEPENDENCYPART_ARC
(13,5),-0.130477 # DEPENDENCYPART_ARC
(13,6),-0.834174 # DEPENDENCYPART_ARC
(13,7),0.291268 # DEPENDENCYPART_ARC
(13,8),-1.36415 # DEPENDENCYPART_ARC
(13,9),-0.747859 # DEPENDENCYPART_ARC
(13,10),-1.24654 # DEPENDENCYPART_ARC
(13,11),0.0821591 # DEPENDENCYPART_ARC
(13,12),-0.0128403 # DEPENDENCYPART_ARC
(13,14),3.3575 # DEPENDENCYPART_ARC
(13,15),0.747614 # DEPENDENCYPART_ARC
(14,9),-0.330972 # DEPENDENCYPART_ARC
(14,11),-1.54246 # DEPENDENCYPART_ARC
(14,12),-0.83589 # DEPENDENCYPART_ARC
(14,15),-0.852176 # DEPENDENCYPART_ARC
(15,10),-1.47785 # DEPENDENCYPART_ARC
(15,12),-1.05267 # DEPENDENCYPART_ARC
(15,13),-1.19893 # DEPENDENCYPART_ARC
(15,14),-0.312676 # DEPENDENCYPART_ARC
