# _root_ S obsahem dopisu , ale zejména s obsahem odpovědi M . Kováče na něj , vyjádřila koalice ostrý nesouhlas na lednovém zasedání parlamentu .
#goldHeads=5,1,2,5,19,8,5,7,8,12,10,9,9,13,5,0,16,19,16,16,22,20,22,0,
#predictedHeads=5,1,2,5,0,8,5,7,8,12,10,9,9,13,16,5,16,19,16,19,22,20,22,0,
(17,21),-1.69366 # DEPENDENCYPART_ARC
(17,22),0.308587 # DEPENDENCYPART_ARC
(17,23),0.492223 # DEPENDENCYPART_ARC
(17,24),-2.63342 # DEPENDENCYPART_ARC
(18,13),-0.609159 # DEPENDENCYPART_ARC
(18,15),-0.997019 # DEPENDENCYPART_ARC
(18,17),-1.97544 # DEPENDENCYPART_ARC
(18,19),0.829239 # DEPENDENCYPART_ARC
(18,20),0.020401 # DEPENDENCYPART_ARC
(18,22),-0.951157 # DEPENDENCYPART_ARC
(18,23),-2.833 # DEPENDENCYPART_ARC
(18,24),-1.28349 # DEPENDENCYPART_ARC
(19,17),-1.84789 # DEPENDENCYPART_ARC
(19,18),5.3004 # DEPENDENCYPART_ARC
(19,20),2.04303 # DEPENDENCYPART_ARC
(19,21),-0.752299 # DEPENDENCYPART_ARC
(19,22),0.303947 # DEPENDENCYPART_ARC
(19,23),0.471646 # DEPENDENCYPART_ARC
(19,24),-1.31873 # DEPENDENCYPART_ARC
(20,17),-2.58448 # DEPENDENCYPART_ARC
(20,19),-1.56574 # DEPENDENCYPART_ARC
(20,21),0.725972 # DEPENDENCYPART_ARC
(20,22),3.79399 # DEPENDENCYPART_ARC
(20,23),-1.79521 # DEPENDENCYPART_ARC
(20,24),-0.856925 # DEPENDENCYPART_ARC
(21,19),-2.72112 # DEPENDENCYPART_ARC
(21,22),-0.507232 # DEPENDENCYPART_ARC
(21,23),-1.3579 # DEPENDENCYPART_ARC
(21,24),-0.841252 # DEPENDENCYPART_ARC
(22,17),-2.90461 # DEPENDENCYPART_ARC
(22,18),-1.4472 # DEPENDENCYPART_ARC
(22,19),-2.50489 # DEPENDENCYPART_ARC
(22,20),-0.320249 # DEPENDENCYPART_ARC
(22,21),4.94981 # DEPENDENCYPART_ARC
(22,23),3.75293 # DEPENDENCYPART_ARC
(22,24),0.330062 # DEPENDENCYPART_ARC
(23,17),-3.18674 # DEPENDENCYPART_ARC
(23,18),-1.39564 # DEPENDENCYPART_ARC
(23,19),-3.98588 # DEPENDENCYPART_ARC
(23,21),-0.598418 # DEPENDENCYPART_ARC
(23,22),-1.90453 # DEPENDENCYPART_ARC
(23,24),-0.894853 # DEPENDENCYPART_ARC
