# _root_ Pokud nebude jeho smlouva zrušena , je rozhodnut zanechat vůbec fotbalu , uvedl manažer brazilského hráče Ricardo Fuica .
#goldHeads=7,5,4,5,1,1,13,7,8,11,9,7,0,18,16,14,18,13,0,
#predictedHeads=7,5,4,5,1,1,13,7,8,11,9,1,0,18,16,17,18,13,0,
(5,2),5.35566 # DEPENDENCYPART_ARC
(5,4),4.06349 # DEPENDENCYPART_ARC
(5,6),1.02499 # DEPENDENCYPART_ARC
(5,7),-1.82923 # DEPENDENCYPART_ARC
(5,9),-0.54852 # DEPENDENCYPART_ARC
(5,10),-1.45781 # DEPENDENCYPART_ARC
(5,12),-0.55627 # DEPENDENCYPART_ARC
(6,1),0.764777 # DEPENDENCYPART_ARC
(6,2),0.668413 # DEPENDENCYPART_ARC
(6,3),0.529426 # DEPENDENCYPART_ARC
(6,4),0.511866 # DEPENDENCYPART_ARC
(6,5),0.285808 # DEPENDENCYPART_ARC
(6,7),-0.321895 # DEPENDENCYPART_ARC
(6,8),-1.10011 # DEPENDENCYPART_ARC
(6,9),-1.62929 # DEPENDENCYPART_ARC
(6,12),-0.240411 # DEPENDENCYPART_ARC
(7,1),3.13276 # DEPENDENCYPART_ARC
(7,2),-0.382373 # DEPENDENCYPART_ARC
(7,4),1.47739 # DEPENDENCYPART_ARC
(7,5),-1.25562 # DEPENDENCYPART_ARC
(7,6),-0.0410109 # DEPENDENCYPART_ARC
(7,8),3.29156 # DEPENDENCYPART_ARC
(7,9),2.20582 # DEPENDENCYPART_ARC
(7,10),0.560399 # DEPENDENCYPART_ARC
(7,11),-1.12692 # DEPENDENCYPART_ARC
(7,12),0.564748 # DEPENDENCYPART_ARC
(7,13),-3.61366 # DEPENDENCYPART_ARC
(7,14),-1.58962 # DEPENDENCYPART_ARC
(7,15),-4.37775 # DEPENDENCYPART_ARC
(7,16),-3.95794 # DEPENDENCYPART_ARC
(7,17),-2.91808 # DEPENDENCYPART_ARC
(7,18),-1.51445 # DEPENDENCYPART_ARC
(8,1),1.53975 # DEPENDENCYPART_ARC
(8,2),1.49092 # DEPENDENCYPART_ARC
(8,4),0.287673 # DEPENDENCYPART_ARC
(8,6),-0.519961 # DEPENDENCYPART_ARC
(8,7),2.52408 # DEPENDENCYPART_ARC
(8,9),3.07388 # DEPENDENCYPART_ARC
(8,10),0.292683 # DEPENDENCYPART_ARC
(8,11),-0.358645 # DEPENDENCYPART_ARC
(8,12),0.890763 # DEPENDENCYPART_ARC
(8,13),-2.3964 # DEPENDENCYPART_ARC
(8,14),-1.77881 # DEPENDENCYPART_ARC
(8,16),-2.85505 # DEPENDENCYPART_ARC
(8,17),-0.99327 # DEPENDENCYPART_ARC
(8,18),-1.46122 # DEPENDENCYPART_ARC
(9,1),1.54586 # DEPENDENCYPART_ARC
(9,2),0.915838 # DEPENDENCYPART_ARC
(9,4),0.177438 # DEPENDENCYPART_ARC
(9,5),-2.95579 # DEPENDENCYPART_ARC
(9,6),-1.22781 # DEPENDENCYPART_ARC
(9,7),-0.381723 # DEPENDENCYPART_ARC
(9,8),0.665787 # DEPENDENCYPART_ARC
(9,10),1.3018 # DEPENDENCYPART_ARC
(9,11),0.985488 # DEPENDENCYPART_ARC
(9,12),0.837697 # DEPENDENCYPART_ARC
(9,13),-0.966676 # DEPENDENCYPART_ARC
(9,14),-1.30512 # DEPENDENCYPART_ARC
(9,15),-2.87966 # DEPENDENCYPART_ARC
(9,16),-1.35048 # DEPENDENCYPART_ARC
(9,17),-0.923926 # DEPENDENCYPART_ARC
(9,18),-2.177 # DEPENDENCYPART_ARC
(10,6),-1.65806 # DEPENDENCYPART_ARC
(10,7),-0.956872 # DEPENDENCYPART_ARC
(10,8),-1.07474 # DEPENDENCYPART_ARC
(10,9),-0.903055 # DEPENDENCYPART_ARC
(10,11),0.380288 # DEPENDENCYPART_ARC
(10,13),-0.926753 # DEPENDENCYPART_ARC
(11,3),-0.114227 # DEPENDENCYPART_ARC
(11,5),-2.40282 # DEPENDENCYPART_ARC
(11,6),-1.79627 # DEPENDENCYPART_ARC
(11,8),-1.78169 # DEPENDENCYPART_ARC
(11,9),-0.221301 # DEPENDENCYPART_ARC
(11,10),1.33863 # DEPENDENCYPART_ARC
(11,12),-0.705734 # DEPENDENCYPART_ARC
(11,13),-1.14735 # DEPENDENCYPART_ARC
(11,14),-3.15439 # DEPENDENCYPART_ARC
(11,15),-0.414631 # DEPENDENCYPART_ARC
(11,16),-1.05132 # DEPENDENCYPART_ARC
(11,17),-2.03964 # DEPENDENCYPART_ARC
(11,18),-3.31775 # DEPENDENCYPART_ARC
(12,1),0.427901 # DEPENDENCYPART_ARC
(12,2),-0.637421 # DEPENDENCYPART_ARC
(12,4),-1.66321 # DEPENDENCYPART_ARC
(12,5),-0.692059 # DEPENDENCYPART_ARC
(12,6),-0.108833 # DEPENDENCYPART_ARC
(12,7),0.129835 # DEPENDENCYPART_ARC
(12,8),0.0943091 # DEPENDENCYPART_ARC
(12,9),0.275186 # DEPENDENCYPART_ARC
(12,10),-0.336434 # DEPENDENCYPART_ARC
(12,11),-0.338232 # DEPENDENCYPART_ARC
(12,13),-0.0288808 # DEPENDENCYPART_ARC
(12,14),-0.867279 # DEPENDENCYPART_ARC
(12,15),-1.22293 # DEPENDENCYPART_ARC
(12,16),-1.44352 # DEPENDENCYPART_ARC
(12,17),-1.56752 # DEPENDENCYPART_ARC
(12,18),-1.6651 # DEPENDENCYPART_ARC
(13,1),2.85744 # DEPENDENCYPART_ARC
(13,2),-1.06783 # DEPENDENCYPART_ARC
(13,4),-0.821169 # DEPENDENCYPART_ARC
(13,5),-3.25705 # DEPENDENCYPART_ARC
(13,7),0.985542 # DEPENDENCYPART_ARC
(13,8),-0.26483 # DEPENDENCYPART_ARC
(13,9),1.12768 # DEPENDENCYPART_ARC
(13,10),0.264795 # DEPENDENCYPART_ARC
(13,11),-1.69089 # DEPENDENCYPART_ARC
(13,12),-0.508172 # DEPENDENCYPART_ARC
(13,14),2.51011 # DEPENDENCYPART_ARC
(13,15),-1.24638 # DEPENDENCYPART_ARC
(13,16),-0.6247 # DEPENDENCYPART_ARC
(13,17),1.47258 # DEPENDENCYPART_ARC
(13,18),2.46205 # DEPENDENCYPART_ARC
(13,19),0.103089 # DEPENDENCYPART_ARC
(14,10),-1.27901 # DEPENDENCYPART_ARC
(14,11),-5.25915 # DEPENDENCYPART_ARC
(14,13),-2.89064 # DEPENDENCYPART_ARC
(14,15),1.34583 # DEPENDENCYPART_ARC
(14,16),2.56463 # DEPENDENCYPART_ARC
(14,17),-0.279155 # DEPENDENCYPART_ARC
(14,18),-0.834954 # DEPENDENCYPART_ARC
(15,10),-1.82023 # DEPENDENCYPART_ARC
(15,11),-2.70812 # DEPENDENCYPART_ARC
(15,13),-3.37429 # DEPENDENCYPART_ARC
(15,14),-0.382507 # DEPENDENCYPART_ARC
(15,16),0.174399 # DEPENDENCYPART_ARC
(15,17),-0.321221 # DEPENDENCYPART_ARC
(15,18),-2.63681 # DEPENDENCYPART_ARC
(16,11),-3.39206 # DEPENDENCYPART_ARC
(16,14),0.57951 # DEPENDENCYPART_ARC
(16,15),4.79676 # DEPENDENCYPART_ARC
(16,17),0.993761 # DEPENDENCYPART_ARC
(16,18),-1.26293 # DEPENDENCYPART_ARC
(16,19),-0.966425 # DEPENDENCYPART_ARC
(17,14),3.47514 # DEPENDENCYPART_ARC
(17,15),2.56745 # DEPENDENCYPART_ARC
(17,16),3.35382 # DEPENDENCYPART_ARC
(17,18),0.20365 # DEPENDENCYPART_ARC
(17,19),0.194896 # DEPENDENCYPART_ARC
(18,11),-3.64199 # DEPENDENCYPART_ARC
(18,14),4.83869 # DEPENDENCYPART_ARC
(18,15),0.564339 # DEPENDENCYPART_ARC
(18,16),3.21625 # DEPENDENCYPART_ARC
(18,17),5.12736 # DEPENDENCYPART_ARC
(18,19),0.163713 # DEPENDENCYPART_ARC
