# _root_ Milionový poplatek za vydání osvědčení , které umožňuje vést lékárnu , zakázalo vybírat Ministerstvo pro hospodářskou soutěž .
#goldHeads=2,13,2,3,4,8,8,5,8,9,8,0,12,12,14,17,15,0,
#predictedHeads=2,13,2,3,4,8,8,5,8,9,8,0,12,12,14,17,15,0,
(4,13),-1.66885 # DEPENDENCYPART_ARC
(4,15),-1.55684 # DEPENDENCYPART_ARC
(5,1),-2.97567 # DEPENDENCYPART_ARC
(5,2),-3.65076 # DEPENDENCYPART_ARC
(5,4),0.0609016 # DEPENDENCYPART_ARC
(5,6),-0.22899 # DEPENDENCYPART_ARC
(5,7),-1.588 # DEPENDENCYPART_ARC
(5,8),1.48484 # DEPENDENCYPART_ARC
(5,9),1.12547 # DEPENDENCYPART_ARC
(5,10),-4.67028 # DEPENDENCYPART_ARC
(5,11),0.145194 # DEPENDENCYPART_ARC
(5,12),-2.29972 # DEPENDENCYPART_ARC
(5,13),-1.53104 # DEPENDENCYPART_ARC
(6,1),-2.00698 # DEPENDENCYPART_ARC
(6,2),-1.25435 # DEPENDENCYPART_ARC
(6,3),-1.71646 # DEPENDENCYPART_ARC
(6,4),-0.751207 # DEPENDENCYPART_ARC
(6,5),-1.29271 # DEPENDENCYPART_ARC
(6,8),-0.130036 # DEPENDENCYPART_ARC
(6,9),-0.94585 # DEPENDENCYPART_ARC
(6,10),-2.39606 # DEPENDENCYPART_ARC
(6,11),-1.23569 # DEPENDENCYPART_ARC
(6,12),-2.24368 # DEPENDENCYPART_ARC
(6,13),-2.57478 # DEPENDENCYPART_ARC
(7,6),-0.243253 # DEPENDENCYPART_ARC
(7,8),0.0369681 # DEPENDENCYPART_ARC
(7,10),-1.42387 # DEPENDENCYPART_ARC
(7,14),-1.11595 # DEPENDENCYPART_ARC
(8,1),-3.34819 # DEPENDENCYPART_ARC
(8,2),-0.30745 # DEPENDENCYPART_ARC
(8,3),-0.966538 # DEPENDENCYPART_ARC
(8,4),-0.547076 # DEPENDENCYPART_ARC
(8,5),-3.38114 # DEPENDENCYPART_ARC
(8,6),2.24139 # DEPENDENCYPART_ARC
(8,7),3.02214 # DEPENDENCYPART_ARC
(8,9),3.35812 # DEPENDENCYPART_ARC
(8,10),1.71616 # DEPENDENCYPART_ARC
(8,11),1.32749 # DEPENDENCYPART_ARC
(8,12),-2.38892 # DEPENDENCYPART_ARC
(8,13),0.267387 # DEPENDENCYPART_ARC
(8,14),-0.901221 # DEPENDENCYPART_ARC
(8,15),-1.13081 # DEPENDENCYPART_ARC
(8,17),-1.73568 # DEPENDENCYPART_ARC
(8,18),-0.432631 # DEPENDENCYPART_ARC
(9,1),-1.69065 # DEPENDENCYPART_ARC
(9,2),0.374754 # DEPENDENCYPART_ARC
(9,3),-0.999491 # DEPENDENCYPART_ARC
(9,4),0.149592 # DEPENDENCYPART_ARC
(9,5),-2.79399 # DEPENDENCYPART_ARC
(9,6),0.523559 # DEPENDENCYPART_ARC
(9,7),0.84831 # DEPENDENCYPART_ARC
(9,8),-0.713076 # DEPENDENCYPART_ARC
(9,10),3.88551 # DEPENDENCYPART_ARC
(9,11),0.828443 # DEPENDENCYPART_ARC
(9,12),-0.342256 # DEPENDENCYPART_ARC
(9,13),-0.144082 # DEPENDENCYPART_ARC
(9,14),-1.57942 # DEPENDENCYPART_ARC
(9,15),-0.257914 # DEPENDENCYPART_ARC
(9,17),-0.774429 # DEPENDENCYPART_ARC
(10,7),-3.35924 # DEPENDENCYPART_ARC
(10,9),0.506073 # DEPENDENCYPART_ARC
(10,11),-0.893689 # DEPENDENCYPART_ARC
(10,12),-1.00784 # DEPENDENCYPART_ARC
(10,13),0.949227 # DEPENDENCYPART_ARC
(10,14),-3.42109 # DEPENDENCYPART_ARC
(10,15),-0.957969 # DEPENDENCYPART_ARC
(11,1),-1.56699 # DEPENDENCYPART_ARC
(11,2),-0.624855 # DEPENDENCYPART_ARC
(11,3),-1.36482 # DEPENDENCYPART_ARC
(11,4),0.0766744 # DEPENDENCYPART_ARC
(11,5),-0.700403 # DEPENDENCYPART_ARC
(11,6),-0.0231975 # DEPENDENCYPART_ARC
(11,7),0.326436 # DEPENDENCYPART_ARC
(11,8),0.676558 # DEPENDENCYPART_ARC
(11,9),0.570968 # DEPENDENCYPART_ARC
(11,10),0.100409 # DEPENDENCYPART_ARC
(11,12),-0.118216 # DEPENDENCYPART_ARC
(11,13),-0.547119 # DEPENDENCYPART_ARC
(11,14),-1.87335 # DEPENDENCYPART_ARC
(11,15),-0.9958 # DEPENDENCYPART_ARC
(11,18),-0.310789 # DEPENDENCYPART_ARC
(12,1),-3.65644 # DEPENDENCYPART_ARC
(12,2),-0.9008 # DEPENDENCYPART_ARC
(12,3),-1.2645 # DEPENDENCYPART_ARC
(12,4),-0.214501 # DEPENDENCYPART_ARC
(12,5),-2.16742 # DEPENDENCYPART_ARC
(12,6),0.156423 # DEPENDENCYPART_ARC
(12,7),1.39554 # DEPENDENCYPART_ARC
(12,8),-0.901943 # DEPENDENCYPART_ARC
(12,9),0.893847 # DEPENDENCYPART_ARC
(12,10),-0.734534 # DEPENDENCYPART_ARC
(12,11),0.17649 # DEPENDENCYPART_ARC
(12,13),3.89813 # DEPENDENCYPART_ARC
(12,14),2.41122 # DEPENDENCYPART_ARC
(12,15),1.05598 # DEPENDENCYPART_ARC
(12,16),-3.14626 # DEPENDENCYPART_ARC
(12,17),0.563388 # DEPENDENCYPART_ARC
(12,18),0.0608749 # DEPENDENCYPART_ARC
(13,2),0.434712 # DEPENDENCYPART_ARC
(13,3),-1.77879 # DEPENDENCYPART_ARC
(13,4),-0.162517 # DEPENDENCYPART_ARC
(13,5),-3.10309 # DEPENDENCYPART_ARC
(13,6),-0.475393 # DEPENDENCYPART_ARC
(13,7),-0.509733 # DEPENDENCYPART_ARC
(13,8),-2.62001 # DEPENDENCYPART_ARC
(13,9),-1.46962 # DEPENDENCYPART_ARC
(13,10),0.266322 # DEPENDENCYPART_ARC
(13,11),-0.635397 # DEPENDENCYPART_ARC
(13,12),0.612501 # DEPENDENCYPART_ARC
(13,14),1.79782 # DEPENDENCYPART_ARC
(13,15),1.71291 # DEPENDENCYPART_ARC
(13,16),-1.50034 # DEPENDENCYPART_ARC
(13,17),1.70806 # DEPENDENCYPART_ARC
(13,18),-0.420624 # DEPENDENCYPART_ARC
(14,10),-4.76237 # DEPENDENCYPART_ARC
(14,15),2.43347 # DEPENDENCYPART_ARC
(14,16),-1.85575 # DEPENDENCYPART_ARC
(14,17),-2.71449 # DEPENDENCYPART_ARC
(14,18),-0.51431 # DEPENDENCYPART_ARC
(15,11),-2.06756 # DEPENDENCYPART_ARC
(15,14),-1.9718 # DEPENDENCYPART_ARC
(15,16),1.12634 # DEPENDENCYPART_ARC
(15,17),3.52829 # DEPENDENCYPART_ARC
(15,18),-0.438452 # DEPENDENCYPART_ARC
(16,14),-3.86334 # DEPENDENCYPART_ARC
(16,15),-0.442625 # DEPENDENCYPART_ARC
(17,14),-3.28248 # DEPENDENCYPART_ARC
(17,15),-0.574185 # DEPENDENCYPART_ARC
(17,16),5.4922 # DEPENDENCYPART_ARC
(17,18),0.0939445 # DEPENDENCYPART_ARC
