# _root_ Na posezení a debatu s Leonhardem býval čas večer , když se vrátil z mnichovského rozhlasu , děti se odebraly k spánku a v domě byl klid .
#goldHeads=8,3,1,3,3,5,0,7,7,11,7,13,23,13,16,14,23,20,20,23,20,21,11,26,24,23,26,0,
#predictedHeads=7,3,1,3,4,5,0,7,7,11,7,13,11,13,16,14,11,20,20,23,23,21,13,23,24,23,26,0,
(7,3),0.540877 # DEPENDENCYPART_ARC
(7,4),2.02659 # DEPENDENCYPART_ARC
(7,5),1.16746 # DEPENDENCYPART_ARC
(7,6),0.949498 # DEPENDENCYPART_ARC
(7,8),3.7046 # DEPENDENCYPART_ARC
(7,9),1.88476 # DEPENDENCYPART_ARC
(7,10),0.502963 # DEPENDENCYPART_ARC
(7,11),1.73198 # DEPENDENCYPART_ARC
(7,13),-3.31699 # DEPENDENCYPART_ARC
(7,14),-1.04569 # DEPENDENCYPART_ARC
(7,16),-3.99471 # DEPENDENCYPART_ARC
(7,17),0.189258 # DEPENDENCYPART_ARC
(7,23),-1.06333 # DEPENDENCYPART_ARC
(8,5),0.416148 # DEPENDENCYPART_ARC
(8,6),-0.953893 # DEPENDENCYPART_ARC
(8,9),0.770594 # DEPENDENCYPART_ARC
(8,10),-0.214974 # DEPENDENCYPART_ARC
(8,11),0.16148 # DEPENDENCYPART_ARC
(8,13),-0.39801 # DEPENDENCYPART_ARC
(8,16),0.0649797 # DEPENDENCYPART_ARC
(8,20),-2.17629 # DEPENDENCYPART_ARC
(9,1),-2.11524 # DEPENDENCYPART_ARC
(9,2),-1.38636 # DEPENDENCYPART_ARC
(9,3),-0.553303 # DEPENDENCYPART_ARC
(9,4),-1.30802 # DEPENDENCYPART_ARC
(9,5),-1.10983 # DEPENDENCYPART_ARC
(9,6),-0.665288 # DEPENDENCYPART_ARC
(9,8),-0.00663046 # DEPENDENCYPART_ARC
(9,10),0.0282885 # DEPENDENCYPART_ARC
(9,11),-0.283834 # DEPENDENCYPART_ARC
(10,7),-0.802556 # DEPENDENCYPART_ARC
(10,9),-1.33146 # DEPENDENCYPART_ARC
(10,13),0.32626 # DEPENDENCYPART_ARC
(11,6),-0.588526 # DEPENDENCYPART_ARC
(11,7),-0.600779 # DEPENDENCYPART_ARC
(11,8),-0.14918 # DEPENDENCYPART_ARC
(11,9),-0.493739 # DEPENDENCYPART_ARC
(11,10),2.71354 # DEPENDENCYPART_ARC
(11,13),2.81417 # DEPENDENCYPART_ARC
(11,14),-0.461743 # DEPENDENCYPART_ARC
(11,15),-0.335887 # DEPENDENCYPART_ARC
(11,16),-0.555095 # DEPENDENCYPART_ARC
(11,17),1.62585 # DEPENDENCYPART_ARC
(11,18),-2.02697 # DEPENDENCYPART_ARC
(11,20),0.431534 # DEPENDENCYPART_ARC
(11,23),-0.144429 # DEPENDENCYPART_ARC
(11,24),-2.11709 # DEPENDENCYPART_ARC
(11,26),-0.279975 # DEPENDENCYPART_ARC
(13,1),-1.03951 # DEPENDENCYPART_ARC
(13,2),-2.11106 # DEPENDENCYPART_ARC
(13,3),-1.25976 # DEPENDENCYPART_ARC
(13,4),-0.320583 # DEPENDENCYPART_ARC
(13,5),-2.18093 # DEPENDENCYPART_ARC
(13,6),-1.68909 # DEPENDENCYPART_ARC
(13,7),-3.28522 # DEPENDENCYPART_ARC
(13,8),0.0612562 # DEPENDENCYPART_ARC
(13,9),-0.540022 # DEPENDENCYPART_ARC
(13,10),0.23486 # DEPENDENCYPART_ARC
(13,11),0.575107 # DEPENDENCYPART_ARC
(13,12),4.03861 # DEPENDENCYPART_ARC
(13,14),2.38855 # DEPENDENCYPART_ARC
(13,15),-2.46903 # DEPENDENCYPART_ARC
(13,16),-0.0554156 # DEPENDENCYPART_ARC
(13,17),0.639588 # DEPENDENCYPART_ARC
(13,18),0.292563 # DEPENDENCYPART_ARC
(13,20),-1.96674 # DEPENDENCYPART_ARC
(13,21),0.568218 # DEPENDENCYPART_ARC
(13,22),-1.36588 # DEPENDENCYPART_ARC
(13,23),0.00779811 # DEPENDENCYPART_ARC
(13,24),-0.858738 # DEPENDENCYPART_ARC
(13,26),-3.37838 # DEPENDENCYPART_ARC
(13,27),-1.27259 # DEPENDENCYPART_ARC
(14,15),0.988899 # DEPENDENCYPART_ARC
(14,16),3.67536 # DEPENDENCYPART_ARC
(14,17),0.506559 # DEPENDENCYPART_ARC
(14,18),-2.10044 # DEPENDENCYPART_ARC
(15,12),-1.92396 # DEPENDENCYPART_ARC
(15,14),-0.774004 # DEPENDENCYPART_ARC
(15,18),-2.48858 # DEPENDENCYPART_ARC
(16,12),-2.8711 # DEPENDENCYPART_ARC
(16,14),-0.308582 # DEPENDENCYPART_ARC
(16,15),5.04496 # DEPENDENCYPART_ARC
(16,18),-0.894595 # DEPENDENCYPART_ARC
(16,20),-0.380883 # DEPENDENCYPART_ARC
(16,21),-2.34717 # DEPENDENCYPART_ARC
(16,23),-0.74189 # DEPENDENCYPART_ARC
(16,26),-2.20382 # DEPENDENCYPART_ARC
(17,1),-1.68937 # DEPENDENCYPART_ARC
(17,3),-0.671114 # DEPENDENCYPART_ARC
(17,7),-0.543595 # DEPENDENCYPART_ARC
(17,8),-0.477495 # DEPENDENCYPART_ARC
(17,9),-1.37854 # DEPENDENCYPART_ARC
(17,10),-0.559482 # DEPENDENCYPART_ARC
(17,11),-0.10459 # DEPENDENCYPART_ARC
(17,13),-0.262905 # DEPENDENCYPART_ARC
(17,14),-0.295766 # DEPENDENCYPART_ARC
(17,15),0.336087 # DEPENDENCYPART_ARC
(17,16),1.5416 # DEPENDENCYPART_ARC
(17,18),0.480868 # DEPENDENCYPART_ARC
(17,20),0.558319 # DEPENDENCYPART_ARC
(17,21),-0.630312 # DEPENDENCYPART_ARC
(17,22),-1.01821 # DEPENDENCYPART_ARC
(17,23),-0.254264 # DEPENDENCYPART_ARC
(17,24),-1.20183 # DEPENDENCYPART_ARC
(17,26),-0.689046 # DEPENDENCYPART_ARC
(17,27),-2.69231 # DEPENDENCYPART_ARC
(18,14),-0.343418 # DEPENDENCYPART_ARC
(18,15),-2.33386 # DEPENDENCYPART_ARC
(18,16),-2.79757 # DEPENDENCYPART_ARC
(18,17),-0.04003 # DEPENDENCYPART_ARC
(18,19),-0.673499 # DEPENDENCYPART_ARC
(18,20),-1.55875 # DEPENDENCYPART_ARC
(18,21),-1.28705 # DEPENDENCYPART_ARC
(18,22),-2.72989 # DEPENDENCYPART_ARC
(18,23),-0.694783 # DEPENDENCYPART_ARC
(18,24),-2.08242 # DEPENDENCYPART_ARC
(18,26),-4.44819 # DEPENDENCYPART_ARC
(20,1),-0.979646 # DEPENDENCYPART_ARC
(20,3),-0.645572 # DEPENDENCYPART_ARC
(20,4),-0.379066 # DEPENDENCYPART_ARC
(20,7),-4.00694 # DEPENDENCYPART_ARC
(20,8),-1.43718 # DEPENDENCYPART_ARC
(20,9),-1.02356 # DEPENDENCYPART_ARC
(20,10),-0.20426 # DEPENDENCYPART_ARC
(20,11),1.25786 # DEPENDENCYPART_ARC
(20,12),1.6524 # DEPENDENCYPART_ARC
(20,13),-2.08663 # DEPENDENCYPART_ARC
(20,14),0.240104 # DEPENDENCYPART_ARC
(20,15),-5.32413 # DEPENDENCYPART_ARC
(20,16),-3.0141 # DEPENDENCYPART_ARC
(20,17),1.20054 # DEPENDENCYPART_ARC
(20,18),2.73426 # DEPENDENCYPART_ARC
(20,19),3.72892 # DEPENDENCYPART_ARC
(20,21),1.94928 # DEPENDENCYPART_ARC
(20,22),0.827016 # DEPENDENCYPART_ARC
(20,23),0.876337 # DEPENDENCYPART_ARC
(20,24),0.115952 # DEPENDENCYPART_ARC
(20,25),-2.04202 # DEPENDENCYPART_ARC
(20,26),-2.99528 # DEPENDENCYPART_ARC
(20,27),-0.166885 # DEPENDENCYPART_ARC
(20,28),-0.453002 # DEPENDENCYPART_ARC
(21,18),-3.11282 # DEPENDENCYPART_ARC
(21,22),4.45621 # DEPENDENCYPART_ARC
(21,23),0.510735 # DEPENDENCYPART_ARC
(21,25),0.835465 # DEPENDENCYPART_ARC
(21,27),-4.60402 # DEPENDENCYPART_ARC
(22,19),-3.05603 # DEPENDENCYPART_ARC
(22,21),-0.0261061 # DEPENDENCYPART_ARC
(22,24),-0.963546 # DEPENDENCYPART_ARC
(22,27),-4.31554 # DEPENDENCYPART_ARC
(23,1),-1.19384 # DEPENDENCYPART_ARC
(23,3),-0.97024 # DEPENDENCYPART_ARC
(23,5),0.0575972 # DEPENDENCYPART_ARC
(23,7),-0.333264 # DEPENDENCYPART_ARC
(23,9),-0.747962 # DEPENDENCYPART_ARC
(23,10),-0.076718 # DEPENDENCYPART_ARC
(23,11),0.322184 # DEPENDENCYPART_ARC
(23,12),-0.879436 # DEPENDENCYPART_ARC
(23,13),1.11963 # DEPENDENCYPART_ARC
(23,14),1.17811 # DEPENDENCYPART_ARC
(23,15),-1.01472 # DEPENDENCYPART_ARC
(23,16),0.187625 # DEPENDENCYPART_ARC
(23,17),0.645559 # DEPENDENCYPART_ARC
(23,18),0.49837 # DEPENDENCYPART_ARC
(23,19),0.209445 # DEPENDENCYPART_ARC
(23,20),2.00667 # DEPENDENCYPART_ARC
(23,21),1.9606 # DEPENDENCYPART_ARC
(23,22),1.54252 # DEPENDENCYPART_ARC
(23,24),2.08483 # DEPENDENCYPART_ARC
(23,25),1.75836 # DEPENDENCYPART_ARC
(23,26),1.08483 # DEPENDENCYPART_ARC
(23,27),0.0976686 # DEPENDENCYPART_ARC
(23,28),-0.198452 # DEPENDENCYPART_ARC
(24,25),5.10094 # DEPENDENCYPART_ARC
(24,26),-1.76019 # DEPENDENCYPART_ARC
(24,27),-3.8626 # DEPENDENCYPART_ARC
(25,21),-0.791514 # DEPENDENCYPART_ARC
(25,22),-2.68954 # DEPENDENCYPART_ARC
(25,24),1.06329 # DEPENDENCYPART_ARC
(25,26),-0.157743 # DEPENDENCYPART_ARC
(25,27),-1.53082 # DEPENDENCYPART_ARC
(26,4),0.00565625 # DEPENDENCYPART_ARC
(26,8),-0.192976 # DEPENDENCYPART_ARC
(26,11),0.22576 # DEPENDENCYPART_ARC
(26,12),0.250388 # DEPENDENCYPART_ARC
(26,13),-1.83602 # DEPENDENCYPART_ARC
(26,14),-0.943223 # DEPENDENCYPART_ARC
(26,16),-3.24669 # DEPENDENCYPART_ARC
(26,17),-0.901828 # DEPENDENCYPART_ARC
(26,18),-0.0527588 # DEPENDENCYPART_ARC
(26,19),1.82432 # DEPENDENCYPART_ARC
(26,20),-1.63576 # DEPENDENCYPART_ARC
(26,21),0.763779 # DEPENDENCYPART_ARC
(26,22),0.277364 # DEPENDENCYPART_ARC
(26,23),0.161247 # DEPENDENCYPART_ARC
(26,24),1.92728 # DEPENDENCYPART_ARC
(26,25),-0.260364 # DEPENDENCYPART_ARC
(26,27),3.37498 # DEPENDENCYPART_ARC
(26,28),-0.341374 # DEPENDENCYPART_ARC
(27,21),-0.180023 # DEPENDENCYPART_ARC
(27,22),-4.32104 # DEPENDENCYPART_ARC
(27,24),0.222058 # DEPENDENCYPART_ARC
(27,25),-2.81693 # DEPENDENCYPART_ARC
(27,28),0.0485781 # DEPENDENCYPART_ARC
(28,27),-3.04665 # DEPENDENCYPART_ARC
