# _root_ " I když se Taliban dostal těsně ke Kábulu , nevěříme , že na něj zaútočí .
#goldHeads=3,3,11,6,6,3,6,7,8,3,0,13,11,16,14,13,0,
#predictedHeads=6,3,11,6,6,3,6,6,8,3,0,13,11,16,14,13,0,
(6,4),3.46946 # DEPENDENCYPART_ARC
(6,5),2.52072 # DEPENDENCYPART_ARC
(6,7),1.79651 # DEPENDENCYPART_ARC
(6,8),2.30982 # DEPENDENCYPART_ARC
(6,9),0.752971 # DEPENDENCYPART_ARC
(6,10),1.07473 # DEPENDENCYPART_ARC
(6,11),-0.327199 # DEPENDENCYPART_ARC
(6,12),0.31004 # DEPENDENCYPART_ARC
(6,13),0.410228 # DEPENDENCYPART_ARC
(6,14),-1.20776 # DEPENDENCYPART_ARC
(6,16),-2.09249 # DEPENDENCYPART_ARC
(7,1),-1.52203 # DEPENDENCYPART_ARC
(7,2),-0.879168 # DEPENDENCYPART_ARC
(7,3),-0.810493 # DEPENDENCYPART_ARC
(7,5),-1.98799 # DEPENDENCYPART_ARC
(7,6),-1.56169 # DEPENDENCYPART_ARC
(7,8),1.22655 # DEPENDENCYPART_ARC
(7,9),-0.172569 # DEPENDENCYPART_ARC
(7,10),-0.12101 # DEPENDENCYPART_ARC
(7,11),-1.8709 # DEPENDENCYPART_ARC
(7,13),-0.677481 # DEPENDENCYPART_ARC
(7,14),-1.27134 # DEPENDENCYPART_ARC
(7,16),-1.60794 # DEPENDENCYPART_ARC
(8,7),-0.171471 # DEPENDENCYPART_ARC
(8,9),4.80023 # DEPENDENCYPART_ARC
(8,10),0.336244 # DEPENDENCYPART_ARC
(8,12),-0.470724 # DEPENDENCYPART_ARC
(9,2),-1.31342 # DEPENDENCYPART_ARC
(9,4),-3.52835 # DEPENDENCYPART_ARC
(9,5),-3.73435 # DEPENDENCYPART_ARC
(9,7),0.19661 # DEPENDENCYPART_ARC
(9,8),-0.884567 # DEPENDENCYPART_ARC
(9,11),-2.49103 # DEPENDENCYPART_ARC
(9,13),-0.555418 # DEPENDENCYPART_ARC
(9,16),-3.11656 # DEPENDENCYPART_ARC
(10,1),0.127907 # DEPENDENCYPART_ARC
(10,2),-0.284339 # DEPENDENCYPART_ARC
(10,3),0.144034 # DEPENDENCYPART_ARC
(10,5),-0.285962 # DEPENDENCYPART_ARC
(10,6),0.68573 # DEPENDENCYPART_ARC
(10,7),0.21451 # DEPENDENCYPART_ARC
(10,8),-0.0823128 # DEPENDENCYPART_ARC
(10,9),0.75625 # DEPENDENCYPART_ARC
(10,11),0.200926 # DEPENDENCYPART_ARC
(10,12),-0.0227975 # DEPENDENCYPART_ARC
(10,13),-0.23106 # DEPENDENCYPART_ARC
(10,14),-1.47699 # DEPENDENCYPART_ARC
(10,16),-1.36362 # DEPENDENCYPART_ARC
(11,1),0.461016 # DEPENDENCYPART_ARC
(11,2),-0.401088 # DEPENDENCYPART_ARC
(11,3),2.09677 # DEPENDENCYPART_ARC
(11,4),0.717381 # DEPENDENCYPART_ARC
(11,5),-1.71423 # DEPENDENCYPART_ARC
(11,6),-1.72788 # DEPENDENCYPART_ARC
(11,7),0.754117 # DEPENDENCYPART_ARC
(11,8),0.437024 # DEPENDENCYPART_ARC
(11,9),-0.47745 # DEPENDENCYPART_ARC
(11,10),0.674402 # DEPENDENCYPART_ARC
(11,12),0.979322 # DEPENDENCYPART_ARC
(11,13),1.75781 # DEPENDENCYPART_ARC
(11,14),-1.19717 # DEPENDENCYPART_ARC
(11,16),-0.983478 # DEPENDENCYPART_ARC
(11,17),-0.710697 # DEPENDENCYPART_ARC
(12,1),-0.490338 # DEPENDENCYPART_ARC
(12,3),0.0529656 # DEPENDENCYPART_ARC
(12,5),-1.30505 # DEPENDENCYPART_ARC
(12,6),-0.378967 # DEPENDENCYPART_ARC
(12,8),-0.541808 # DEPENDENCYPART_ARC
(12,9),0.0142189 # DEPENDENCYPART_ARC
(12,10),-0.348141 # DEPENDENCYPART_ARC
(12,11),-0.270369 # DEPENDENCYPART_ARC
(12,14),-1.27542 # DEPENDENCYPART_ARC
(12,16),-0.667987 # DEPENDENCYPART_ARC
(13,6),-1.92914 # DEPENDENCYPART_ARC
(13,9),-1.36808 # DEPENDENCYPART_ARC
(13,10),0.193464 # DEPENDENCYPART_ARC
(13,11),-0.794992 # DEPENDENCYPART_ARC
(13,12),2.72954 # DEPENDENCYPART_ARC
(13,14),-0.688022 # DEPENDENCYPART_ARC
(13,16),1.9501 # DEPENDENCYPART_ARC
(13,17),-0.06729 # DEPENDENCYPART_ARC
(14,12),-0.626426 # DEPENDENCYPART_ARC
(14,15),2.95164 # DEPENDENCYPART_ARC
(14,17),-0.921021 # DEPENDENCYPART_ARC
(16,1),-0.572976 # DEPENDENCYPART_ARC
(16,2),-2.21153 # DEPENDENCYPART_ARC
(16,3),0.408344 # DEPENDENCYPART_ARC
(16,4),-0.309606 # DEPENDENCYPART_ARC
(16,5),-0.262193 # DEPENDENCYPART_ARC
(16,6),-3.02754 # DEPENDENCYPART_ARC
(16,7),-0.632119 # DEPENDENCYPART_ARC
(16,8),-1.22195 # DEPENDENCYPART_ARC
(16,9),-2.31154 # DEPENDENCYPART_ARC
(16,10),-0.82345 # DEPENDENCYPART_ARC
(16,11),-1.36908 # DEPENDENCYPART_ARC
(16,12),0.032753 # DEPENDENCYPART_ARC
(16,13),-0.213049 # DEPENDENCYPART_ARC
(16,14),2.55772 # DEPENDENCYPART_ARC
(16,17),-0.0947439 # DEPENDENCYPART_ARC
