# _root_ Federální ministerstvo kontroly však svůj postoj nemění - ani v naléhavé otázce , kdo nahradí škody , pokud se stavba pankráckého hotelu neuskuteční .
#goldHeads=2,7,2,0,6,7,4,10,12,6,12,10,15,15,12,15,18,15,23,23,22,20,18,0,
#predictedHeads=2,7,2,0,6,7,4,9,12,7,12,10,15,15,12,15,18,15,23,23,22,20,18,0,
(13,9),-0.826735 # DEPENDENCYPART_ARC
(13,10),-0.746221 # DEPENDENCYPART_ARC
(13,11),-0.453754 # DEPENDENCYPART_ARC
(13,12),-0.533345 # DEPENDENCYPART_ARC
(13,15),0.652035 # DEPENDENCYPART_ARC
(13,16),-0.726675 # DEPENDENCYPART_ARC
(13,17),-0.29265 # DEPENDENCYPART_ARC
(13,18),-1.10201 # DEPENDENCYPART_ARC
(13,20),-2.37618 # DEPENDENCYPART_ARC
(13,23),-1.33076 # DEPENDENCYPART_ARC
(14,16),-0.762208 # DEPENDENCYPART_ARC
(14,20),-0.464064 # DEPENDENCYPART_ARC
(14,22),-0.256502 # DEPENDENCYPART_ARC
(15,1),-1.69062 # DEPENDENCYPART_ARC
(15,2),-1.24464 # DEPENDENCYPART_ARC
(15,3),-4.32947 # DEPENDENCYPART_ARC
(15,4),0.449499 # DEPENDENCYPART_ARC
(15,6),-0.548025 # DEPENDENCYPART_ARC
(15,7),-2.64154 # DEPENDENCYPART_ARC
(15,8),-0.647988 # DEPENDENCYPART_ARC
(15,9),-0.272576 # DEPENDENCYPART_ARC
(15,10),1.05279 # DEPENDENCYPART_ARC
(15,11),-2.93011 # DEPENDENCYPART_ARC
(15,12),-1.8093 # DEPENDENCYPART_ARC
(15,13),2.13721 # DEPENDENCYPART_ARC
(15,14),2.89407 # DEPENDENCYPART_ARC
(15,16),3.16154 # DEPENDENCYPART_ARC
(15,17),0.982253 # DEPENDENCYPART_ARC
(15,18),1.45097 # DEPENDENCYPART_ARC
(15,20),-1.01638 # DEPENDENCYPART_ARC
(15,21),-5.23199 # DEPENDENCYPART_ARC
(15,22),-3.61699 # DEPENDENCYPART_ARC
(15,23),-2.33157 # DEPENDENCYPART_ARC
(16,11),-2.2899 # DEPENDENCYPART_ARC
(16,17),-0.307294 # DEPENDENCYPART_ARC
(16,18),0.648301 # DEPENDENCYPART_ARC
(16,20),-1.61524 # DEPENDENCYPART_ARC
(16,21),-3.93834 # DEPENDENCYPART_ARC
(16,22),0.456326 # DEPENDENCYPART_ARC
(16,23),-1.11262 # DEPENDENCYPART_ARC
(17,8),-0.413014 # DEPENDENCYPART_ARC
(17,13),0.130719 # DEPENDENCYPART_ARC
(17,15),-0.32742 # DEPENDENCYPART_ARC
(17,16),-0.12916 # DEPENDENCYPART_ARC
(17,18),-0.019963 # DEPENDENCYPART_ARC
(17,20),-0.443041 # DEPENDENCYPART_ARC
(17,21),-0.619977 # DEPENDENCYPART_ARC
(17,22),-1.01624 # DEPENDENCYPART_ARC
(17,23),-0.104991 # DEPENDENCYPART_ARC
(18,7),-2.52874 # DEPENDENCYPART_ARC
(18,12),-1.7097 # DEPENDENCYPART_ARC
(18,13),0.277928 # DEPENDENCYPART_ARC
(18,15),-0.646776 # DEPENDENCYPART_ARC
(18,16),-0.0332847 # DEPENDENCYPART_ARC
(18,17),1.7362 # DEPENDENCYPART_ARC
(18,20),0.286328 # DEPENDENCYPART_ARC
(18,21),0.474133 # DEPENDENCYPART_ARC
(18,22),-0.86086 # DEPENDENCYPART_ARC
(18,23),2.55708 # DEPENDENCYPART_ARC
(18,24),0.709355 # DEPENDENCYPART_ARC
(20,16),-6.04335 # DEPENDENCYPART_ARC
(20,18),-0.218706 # DEPENDENCYPART_ARC
(20,19),-1.29986 # DEPENDENCYPART_ARC
(20,21),-0.502419 # DEPENDENCYPART_ARC
(20,22),3.52011 # DEPENDENCYPART_ARC
(20,23),-1.00375 # DEPENDENCYPART_ARC
(20,24),-0.48178 # DEPENDENCYPART_ARC
(21,19),-0.677775 # DEPENDENCYPART_ARC
(21,20),-1.63676 # DEPENDENCYPART_ARC
(21,22),0.868838 # DEPENDENCYPART_ARC
(22,19),-2.09462 # DEPENDENCYPART_ARC
(22,20),-2.12904 # DEPENDENCYPART_ARC
(22,21),5.17551 # DEPENDENCYPART_ARC
(22,24),-0.360186 # DEPENDENCYPART_ARC
(23,2),-0.187045 # DEPENDENCYPART_ARC
(23,3),-3.32958 # DEPENDENCYPART_ARC
(23,4),0.325463 # DEPENDENCYPART_ARC
(23,6),0.620367 # DEPENDENCYPART_ARC
(23,9),-0.845048 # DEPENDENCYPART_ARC
(23,10),-0.42219 # DEPENDENCYPART_ARC
(23,12),-2.3301 # DEPENDENCYPART_ARC
(23,13),0.761736 # DEPENDENCYPART_ARC
(23,15),-1.82598 # DEPENDENCYPART_ARC
(23,16),-1.01895 # DEPENDENCYPART_ARC
(23,17),0.2283 # DEPENDENCYPART_ARC
(23,18),1.55913 # DEPENDENCYPART_ARC
(23,19),3.10464 # DEPENDENCYPART_ARC
(23,20),3.60139 # DEPENDENCYPART_ARC
(23,21),-2.61227 # DEPENDENCYPART_ARC
(23,22),0.867022 # DEPENDENCYPART_ARC
(23,24),-0.290598 # DEPENDENCYPART_ARC
