# _root_ V Brémách budou přestupovat na vlak do Ostende , kde se nalodí na parník Bretaň , který je po osmi dnech vyloží v sídle OSN .
#goldHeads=4,1,4,0,4,5,6,7,12,12,12,8,12,13,14,22,22,22,22,21,19,14,22,23,24,0,
#predictedHeads=4,1,4,0,4,5,4,7,12,12,12,4,12,13,14,22,22,22,22,21,19,15,22,23,24,0,
(4,10),-0.308818 # DEPENDENCYPART_ARC
(4,12),-0.726392 # DEPENDENCYPART_ARC
(4,13),0.167719 # DEPENDENCYPART_ARC
(4,14),-1.56954 # DEPENDENCYPART_ARC
(4,15),-2.53054 # DEPENDENCYPART_ARC
(4,16),-0.273143 # DEPENDENCYPART_ARC
(4,19),-1.04698 # DEPENDENCYPART_ARC
(4,22),-1.37667 # DEPENDENCYPART_ARC
(4,23),-1.5128 # DEPENDENCYPART_ARC
(4,25),-3.52529 # DEPENDENCYPART_ARC
(5,6),4.13977 # DEPENDENCYPART_ARC
(5,8),-1.24713 # DEPENDENCYPART_ARC
(6,1),-1.3061 # DEPENDENCYPART_ARC
(6,3),-2.90272 # DEPENDENCYPART_ARC
(6,4),-0.874379 # DEPENDENCYPART_ARC
(6,5),0.347912 # DEPENDENCYPART_ARC
(6,7),1.46379 # DEPENDENCYPART_ARC
(6,8),-0.16283 # DEPENDENCYPART_ARC
(6,9),-0.647415 # DEPENDENCYPART_ARC
(6,10),-0.558376 # DEPENDENCYPART_ARC
(6,12),-0.902531 # DEPENDENCYPART_ARC
(6,22),-1.31986 # DEPENDENCYPART_ARC
(7,2),-1.55329 # DEPENDENCYPART_ARC
(7,5),0.4882 # DEPENDENCYPART_ARC
(7,6),2.22426 # DEPENDENCYPART_ARC
(7,8),3.77856 # DEPENDENCYPART_ARC
(7,9),-0.191973 # DEPENDENCYPART_ARC
(7,10),-0.176862 # DEPENDENCYPART_ARC
(7,12),-1.62832 # DEPENDENCYPART_ARC
(7,14),-3.86928 # DEPENDENCYPART_ARC
(8,1),-3.02455 # DEPENDENCYPART_ARC
(8,4),-1.26852 # DEPENDENCYPART_ARC
(8,5),-1.18483 # DEPENDENCYPART_ARC
(8,6),-2.17137 # DEPENDENCYPART_ARC
(8,7),-0.645008 # DEPENDENCYPART_ARC
(8,9),-0.58475 # DEPENDENCYPART_ARC
(8,10),-0.343253 # DEPENDENCYPART_ARC
(8,12),-0.814483 # DEPENDENCYPART_ARC
(8,13),-3.32852 # DEPENDENCYPART_ARC
(8,22),-1.26183 # DEPENDENCYPART_ARC
(9,1),-1.31823 # DEPENDENCYPART_ARC
(9,3),-0.734807 # DEPENDENCYPART_ARC
(9,4),-0.741027 # DEPENDENCYPART_ARC
(9,5),-0.42221 # DEPENDENCYPART_ARC
(9,6),0.252421 # DEPENDENCYPART_ARC
(9,7),-1.00178 # DEPENDENCYPART_ARC
(9,8),0.283477 # DEPENDENCYPART_ARC
(9,10),-0.801212 # DEPENDENCYPART_ARC
(9,12),-0.15067 # DEPENDENCYPART_ARC
(9,13),-1.13866 # DEPENDENCYPART_ARC
(9,14),-1.62432 # DEPENDENCYPART_ARC
(9,15),-1.34316 # DEPENDENCYPART_ARC
(9,16),-0.666895 # DEPENDENCYPART_ARC
(9,22),-1.35503 # DEPENDENCYPART_ARC
(10,1),-2.1293 # DEPENDENCYPART_ARC
(10,3),-1.34439 # DEPENDENCYPART_ARC
(10,4),-1.09568 # DEPENDENCYPART_ARC
(10,5),-1.23371 # DEPENDENCYPART_ARC
(10,6),-0.690475 # DEPENDENCYPART_ARC
(10,7),-0.583327 # DEPENDENCYPART_ARC
(10,8),0.0577381 # DEPENDENCYPART_ARC
(10,9),-0.487893 # DEPENDENCYPART_ARC
(10,12),-0.299701 # DEPENDENCYPART_ARC
(10,13),-0.895259 # DEPENDENCYPART_ARC
(10,14),-1.48118 # DEPENDENCYPART_ARC
(10,15),-1.48448 # DEPENDENCYPART_ARC
(10,16),-0.673395 # DEPENDENCYPART_ARC
(12,1),0.19142 # DEPENDENCYPART_ARC
(12,2),-1.67775 # DEPENDENCYPART_ARC
(12,3),-1.99823 # DEPENDENCYPART_ARC
(12,4),-0.840117 # DEPENDENCYPART_ARC
(12,5),-0.343812 # DEPENDENCYPART_ARC
(12,6),-0.340166 # DEPENDENCYPART_ARC
(12,7),-0.319058 # DEPENDENCYPART_ARC
(12,8),-2.48055 # DEPENDENCYPART_ARC
(12,9),1.36845 # DEPENDENCYPART_ARC
(12,10),2.52693 # DEPENDENCYPART_ARC
(12,11),3.09256 # DEPENDENCYPART_ARC
(12,13),2.17731 # DEPENDENCYPART_ARC
(12,14),1.09281 # DEPENDENCYPART_ARC
(12,15),1.11698 # DEPENDENCYPART_ARC
(12,16),1.01935 # DEPENDENCYPART_ARC
(12,18),-0.23484 # DEPENDENCYPART_ARC
(12,19),0.376194 # DEPENDENCYPART_ARC
(12,20),-2.04526 # DEPENDENCYPART_ARC
(12,21),-0.903699 # DEPENDENCYPART_ARC
(12,22),-1.20935 # DEPENDENCYPART_ARC
(12,23),-0.308722 # DEPENDENCYPART_ARC
(12,24),-2.96019 # DEPENDENCYPART_ARC
(12,25),-2.229 # DEPENDENCYPART_ARC
(13,14),3.84853 # DEPENDENCYPART_ARC
(13,15),-2.26341 # DEPENDENCYPART_ARC
(13,16),-0.0933163 # DEPENDENCYPART_ARC
(14,5),-0.494601 # DEPENDENCYPART_ARC
(14,10),-1.08528 # DEPENDENCYPART_ARC
(14,11),-3.60673 # DEPENDENCYPART_ARC
(14,13),1.43153 # DEPENDENCYPART_ARC
(14,15),2.12844 # DEPENDENCYPART_ARC
(14,17),-2.84082 # DEPENDENCYPART_ARC
(14,18),-1.94593 # DEPENDENCYPART_ARC
(14,19),-0.667869 # DEPENDENCYPART_ARC
(14,21),-1.0471 # DEPENDENCYPART_ARC
(14,22),0.410886 # DEPENDENCYPART_ARC
(14,23),-1.64791 # DEPENDENCYPART_ARC
(14,25),-1.70633 # DEPENDENCYPART_ARC
(15,10),-1.23446 # DEPENDENCYPART_ARC
(15,11),-4.38256 # DEPENDENCYPART_ARC
(15,13),0.309512 # DEPENDENCYPART_ARC
(15,14),-1.32461 # DEPENDENCYPART_ARC
(15,16),-0.694683 # DEPENDENCYPART_ARC
(15,17),-1.27506 # DEPENDENCYPART_ARC
(15,18),-2.90971 # DEPENDENCYPART_ARC
(15,19),-1.51818 # DEPENDENCYPART_ARC
(15,21),-1.96592 # DEPENDENCYPART_ARC
(15,22),0.854381 # DEPENDENCYPART_ARC
(15,23),-2.23869 # DEPENDENCYPART_ARC
(16,3),-1.71473 # DEPENDENCYPART_ARC
(16,4),-1.56888 # DEPENDENCYPART_ARC
(16,9),-1.18376 # DEPENDENCYPART_ARC
(16,12),-0.867726 # DEPENDENCYPART_ARC
(16,13),-1.39306 # DEPENDENCYPART_ARC
(16,14),-0.790374 # DEPENDENCYPART_ARC
(16,15),-1.33188 # DEPENDENCYPART_ARC
(16,18),-1.32454 # DEPENDENCYPART_ARC
(16,19),-1.63081 # DEPENDENCYPART_ARC
(16,20),-1.41307 # DEPENDENCYPART_ARC
(16,21),-1.59107 # DEPENDENCYPART_ARC
(16,22),-0.369812 # DEPENDENCYPART_ARC
(16,23),-1.95392 # DEPENDENCYPART_ARC
(17,16),-0.467155 # DEPENDENCYPART_ARC
(17,21),-1.51588 # DEPENDENCYPART_ARC
(17,24),-0.97278 # DEPENDENCYPART_ARC
(17,25),-1.96671 # DEPENDENCYPART_ARC
(18,15),-1.74959 # DEPENDENCYPART_ARC
(18,19),-0.171234 # DEPENDENCYPART_ARC
(18,21),-0.657211 # DEPENDENCYPART_ARC
(18,24),-0.261493 # DEPENDENCYPART_ARC
(18,25),-1.60367 # DEPENDENCYPART_ARC
(19,16),0.021026 # DEPENDENCYPART_ARC
(19,20),0.940478 # DEPENDENCYPART_ARC
(19,21),4.99639 # DEPENDENCYPART_ARC
(19,24),1.04071 # DEPENDENCYPART_ARC
(19,25),-1.0952 # DEPENDENCYPART_ARC
(20,18),0.973187 # DEPENDENCYPART_ARC
(20,19),-0.493903 # DEPENDENCYPART_ARC
(20,21),3.14766 # DEPENDENCYPART_ARC
(20,22),-1.2878 # DEPENDENCYPART_ARC
(20,24),-1.41848 # DEPENDENCYPART_ARC
(21,14),-1.21556 # DEPENDENCYPART_ARC
(21,17),-0.960197 # DEPENDENCYPART_ARC
(21,18),-0.943138 # DEPENDENCYPART_ARC
(21,19),0.108073 # DEPENDENCYPART_ARC
(21,20),4.19029 # DEPENDENCYPART_ARC
(21,23),-1.46698 # DEPENDENCYPART_ARC
(21,24),-2.04649 # DEPENDENCYPART_ARC
(21,25),-1.54328 # DEPENDENCYPART_ARC
(22,1),-0.036399 # DEPENDENCYPART_ARC
(22,2),-2.68395 # DEPENDENCYPART_ARC
(22,3),-2.27036 # DEPENDENCYPART_ARC
(22,4),-0.674205 # DEPENDENCYPART_ARC
(22,5),0.0144739 # DEPENDENCYPART_ARC
(22,6),-0.481855 # DEPENDENCYPART_ARC
(22,7),-1.51449 # DEPENDENCYPART_ARC
(22,8),-2.6254 # DEPENDENCYPART_ARC
(22,9),0.910327 # DEPENDENCYPART_ARC
(22,10),1.19304 # DEPENDENCYPART_ARC
(22,11),1.37662 # DEPENDENCYPART_ARC
(22,12),-1.38888 # DEPENDENCYPART_ARC
(22,13),0.772292 # DEPENDENCYPART_ARC
(22,14),-0.00367408 # DEPENDENCYPART_ARC
(22,15),-0.781578 # DEPENDENCYPART_ARC
(22,16),1.9451 # DEPENDENCYPART_ARC
(22,17),2.90827 # DEPENDENCYPART_ARC
(22,18),1.94207 # DEPENDENCYPART_ARC
(22,19),2.55657 # DEPENDENCYPART_ARC
(22,20),-0.185788 # DEPENDENCYPART_ARC
(22,21),0.859724 # DEPENDENCYPART_ARC
(22,23),2.6094 # DEPENDENCYPART_ARC
(22,24),0.297662 # DEPENDENCYPART_ARC
(22,25),0.872193 # DEPENDENCYPART_ARC
(22,26),-0.16512 # DEPENDENCYPART_ARC
(23,24),3.89992 # DEPENDENCYPART_ARC
(23,25),0.445925 # DEPENDENCYPART_ARC
(24,18),-5.50892 # DEPENDENCYPART_ARC
(24,19),-1.06568 # DEPENDENCYPART_ARC
(24,20),-1.26674 # DEPENDENCYPART_ARC
(24,23),1.20964 # DEPENDENCYPART_ARC
(24,25),2.63756 # DEPENDENCYPART_ARC
(24,26),0.0935741 # DEPENDENCYPART_ARC
(25,17),-3.7388 # DEPENDENCYPART_ARC
(25,18),-5.93198 # DEPENDENCYPART_ARC
(25,21),-6.33356 # DEPENDENCYPART_ARC
(25,23),-0.954554 # DEPENDENCYPART_ARC
(25,24),-1.88797 # DEPENDENCYPART_ARC
(25,26),-0.508638 # DEPENDENCYPART_ARC
