# _root_ Šest členů prezídia proto tlačí na odvolání Tomáše Ježka a prosazuje , aby se na jeho místo dostal úředník , který na FNM udělá pořádek .
#goldHeads=10,1,2,10,10,5,6,9,7,0,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
#predictedHeads=5,1,2,0,10,5,6,9,7,0,10,13,11,18,18,17,15,13,18,24,24,24,22,19,24,0,
(10,1),-0.908988 # DEPENDENCYPART_ARC
(10,2),0.460879 # DEPENDENCYPART_ARC
(10,3),0.129281 # DEPENDENCYPART_ARC
(10,4),0.505229 # DEPENDENCYPART_ARC
(10,5),2.93113 # DEPENDENCYPART_ARC
(10,6),0.366902 # DEPENDENCYPART_ARC
(10,7),2.03025 # DEPENDENCYPART_ARC
(10,8),1.55711 # DEPENDENCYPART_ARC
(10,9),1.04359 # DEPENDENCYPART_ARC
(10,11),2.11158 # DEPENDENCYPART_ARC
(10,12),-0.181878 # DEPENDENCYPART_ARC
(10,13),0.149306 # DEPENDENCYPART_ARC
(10,15),-1.39494 # DEPENDENCYPART_ARC
(10,18),-0.33614 # DEPENDENCYPART_ARC
(10,19),-2.94622 # DEPENDENCYPART_ARC
(10,20),-0.208176 # DEPENDENCYPART_ARC
(10,24),-1.23411 # DEPENDENCYPART_ARC
(11,1),-1.38169 # DEPENDENCYPART_ARC
(11,2),-3.78713 # DEPENDENCYPART_ARC
(11,3),-2.96401 # DEPENDENCYPART_ARC
(11,4),-0.652732 # DEPENDENCYPART_ARC
(11,5),-1.55644 # DEPENDENCYPART_ARC
(11,6),-0.443473 # DEPENDENCYPART_ARC
(11,7),-0.516856 # DEPENDENCYPART_ARC
(11,8),-2.33515 # DEPENDENCYPART_ARC
(11,9),-2.20944 # DEPENDENCYPART_ARC
(11,10),0.232418 # DEPENDENCYPART_ARC
(11,12),0.417204 # DEPENDENCYPART_ARC
(11,13),1.77565 # DEPENDENCYPART_ARC
(11,14),-0.452294 # DEPENDENCYPART_ARC
(11,15),-0.365293 # DEPENDENCYPART_ARC
(11,17),-2.35373 # DEPENDENCYPART_ARC
(11,18),-1.90613 # DEPENDENCYPART_ARC
(11,19),-2.50398 # DEPENDENCYPART_ARC
(11,22),-1.6441 # DEPENDENCYPART_ARC
(11,24),-2.56267 # DEPENDENCYPART_ARC
(12,1),-1.77291 # DEPENDENCYPART_ARC
(12,11),-0.778022 # DEPENDENCYPART_ARC
(12,13),-0.0628588 # DEPENDENCYPART_ARC
(12,18),-0.641212 # DEPENDENCYPART_ARC
(12,24),-1.50163 # DEPENDENCYPART_ARC
(13,5),-1.53239 # DEPENDENCYPART_ARC
(13,7),-0.822717 # DEPENDENCYPART_ARC
(13,9),-1.08335 # DEPENDENCYPART_ARC
(13,10),-0.612229 # DEPENDENCYPART_ARC
(13,11),-0.835556 # DEPENDENCYPART_ARC
(13,12),2.39661 # DEPENDENCYPART_ARC
(13,15),-1.08138 # DEPENDENCYPART_ARC
(13,17),-2.14433 # DEPENDENCYPART_ARC
(13,18),2.28174 # DEPENDENCYPART_ARC
(13,19),-2.29528 # DEPENDENCYPART_ARC
(13,20),0.140125 # DEPENDENCYPART_ARC
(13,22),-2.72292 # DEPENDENCYPART_ARC
(13,24),0.62381 # DEPENDENCYPART_ARC
(15,12),0.738997 # DEPENDENCYPART_ARC
(15,16),0.635718 # DEPENDENCYPART_ARC
(15,17),5.39667 # DEPENDENCYPART_ARC
(15,19),-3.15037 # DEPENDENCYPART_ARC
(17,14),-2.3117 # DEPENDENCYPART_ARC
(17,15),0.00931202 # DEPENDENCYPART_ARC
(17,16),5.89881 # DEPENDENCYPART_ARC
(17,19),-2.72512 # DEPENDENCYPART_ARC
(17,22),-0.988764 # DEPENDENCYPART_ARC
(17,24),-2.53414 # DEPENDENCYPART_ARC
(18,1),-0.400836 # DEPENDENCYPART_ARC
(18,2),-3.91417 # DEPENDENCYPART_ARC
(18,3),-4.28516 # DEPENDENCYPART_ARC
(18,4),-0.894055 # DEPENDENCYPART_ARC
(18,5),-1.22962 # DEPENDENCYPART_ARC
(18,6),0.107036 # DEPENDENCYPART_ARC
(18,8),-3.59974 # DEPENDENCYPART_ARC
(18,9),-3.55924 # DEPENDENCYPART_ARC
(18,10),-0.935147 # DEPENDENCYPART_ARC
(18,11),-1.31147 # DEPENDENCYPART_ARC
(18,12),0.263746 # DEPENDENCYPART_ARC
(18,13),-0.608594 # DEPENDENCYPART_ARC
(18,14),2.90902 # DEPENDENCYPART_ARC
(18,15),2.70314 # DEPENDENCYPART_ARC
(18,16),-1.66637 # DEPENDENCYPART_ARC
(18,17),2.55297 # DEPENDENCYPART_ARC
(18,19),3.05926 # DEPENDENCYPART_ARC
(18,20),0.219148 # DEPENDENCYPART_ARC
(18,22),0.572325 # DEPENDENCYPART_ARC
(18,23),-2.58978 # DEPENDENCYPART_ARC
(18,24),-1.09897 # DEPENDENCYPART_ARC
(18,25),0.284557 # DEPENDENCYPART_ARC
(19,14),-3.64206 # DEPENDENCYPART_ARC
(19,15),0.641695 # DEPENDENCYPART_ARC
(19,16),2.03986 # DEPENDENCYPART_ARC
(19,17),-3.39516 # DEPENDENCYPART_ARC
(19,20),-0.273221 # DEPENDENCYPART_ARC
(19,21),0.00636245 # DEPENDENCYPART_ARC
(19,22),-0.309343 # DEPENDENCYPART_ARC
(19,23),0.202459 # DEPENDENCYPART_ARC
(19,24),1.36652 # DEPENDENCYPART_ARC
(19,25),-4.62556 # DEPENDENCYPART_ARC
(20,1),-3.38355 # DEPENDENCYPART_ARC
(20,12),-1.15871 # DEPENDENCYPART_ARC
(20,17),-1.51288 # DEPENDENCYPART_ARC
(20,18),-0.656718 # DEPENDENCYPART_ARC
(20,19),-0.762742 # DEPENDENCYPART_ARC
(20,22),-1.25841 # DEPENDENCYPART_ARC
(20,24),-0.157876 # DEPENDENCYPART_ARC
(20,25),-1.84834 # DEPENDENCYPART_ARC
(21,20),-0.473162 # DEPENDENCYPART_ARC
(21,22),-0.0713567 # DEPENDENCYPART_ARC
(21,23),-1.60584 # DEPENDENCYPART_ARC
(21,25),-1.14227 # DEPENDENCYPART_ARC
(22,20),-0.430844 # DEPENDENCYPART_ARC
(22,23),4.69064 # DEPENDENCYPART_ARC
(22,25),-3.0612 # DEPENDENCYPART_ARC
(23,15),-1.83271 # DEPENDENCYPART_ARC
(23,19),-4.06501 # DEPENDENCYPART_ARC
(23,21),-1.07818 # DEPENDENCYPART_ARC
(23,22),-0.649057 # DEPENDENCYPART_ARC
(23,24),-2.62204 # DEPENDENCYPART_ARC
(23,25),-4.33008 # DEPENDENCYPART_ARC
(24,2),-4.43429 # DEPENDENCYPART_ARC
(24,4),-0.604775 # DEPENDENCYPART_ARC
(24,5),-2.11744 # DEPENDENCYPART_ARC
(24,11),-2.49489 # DEPENDENCYPART_ARC
(24,12),-0.324629 # DEPENDENCYPART_ARC
(24,13),-0.63651 # DEPENDENCYPART_ARC
(24,14),1.10455 # DEPENDENCYPART_ARC
(24,15),0.88908 # DEPENDENCYPART_ARC
(24,17),1.06971 # DEPENDENCYPART_ARC
(24,18),-0.975872 # DEPENDENCYPART_ARC
(24,19),-0.209556 # DEPENDENCYPART_ARC
(24,20),1.87286 # DEPENDENCYPART_ARC
(24,21),3.08911 # DEPENDENCYPART_ARC
(24,22),2.43544 # DEPENDENCYPART_ARC
(24,23),1.17738 # DEPENDENCYPART_ARC
(24,25),3.69473 # DEPENDENCYPART_ARC
(24,26),-0.0235052 # DEPENDENCYPART_ARC
(25,15),0.685885 # DEPENDENCYPART_ARC
(25,21),-2.27064 # DEPENDENCYPART_ARC
(25,22),0.291239 # DEPENDENCYPART_ARC
(25,23),-1.80777 # DEPENDENCYPART_ARC
(25,26),0.131311 # DEPENDENCYPART_ARC
