# _root_ Pravděpodobnost , že pracovník úřadu bude kontrolovat právě " svého " taxikáře , je však malá .
#goldHeads=14,3,1,7,4,7,3,12,10,12,10,7,3,15,0,14,0,
#predictedHeads=14,3,1,7,4,7,3,7,10,12,12,7,15,15,0,14,0,
(6,15),-0.750669 # DEPENDENCYPART_ARC
(6,16),-2.53441 # DEPENDENCYPART_ARC
(7,1),-0.364999 # DEPENDENCYPART_ARC
(7,2),0.155721 # DEPENDENCYPART_ARC
(7,3),-0.382613 # DEPENDENCYPART_ARC
(7,4),1.29355 # DEPENDENCYPART_ARC
(7,5),0.485805 # DEPENDENCYPART_ARC
(7,6),4.77117 # DEPENDENCYPART_ARC
(7,8),1.31155 # DEPENDENCYPART_ARC
(7,9),0.0180865 # DEPENDENCYPART_ARC
(7,11),-0.133923 # DEPENDENCYPART_ARC
(7,12),0.683801 # DEPENDENCYPART_ARC
(7,13),0.322146 # DEPENDENCYPART_ARC
(7,14),-1.03946 # DEPENDENCYPART_ARC
(7,15),0.10662 # DEPENDENCYPART_ARC
(7,16),-2.72677 # DEPENDENCYPART_ARC
(8,1),-1.62815 # DEPENDENCYPART_ARC
(8,2),-1.07785 # DEPENDENCYPART_ARC
(8,4),-1.32762 # DEPENDENCYPART_ARC
(8,5),-1.02607 # DEPENDENCYPART_ARC
(8,7),-0.355034 # DEPENDENCYPART_ARC
(8,9),0.516993 # DEPENDENCYPART_ARC
(8,11),-0.745079 # DEPENDENCYPART_ARC
(8,12),-0.97641 # DEPENDENCYPART_ARC
(8,14),-0.965422 # DEPENDENCYPART_ARC
(8,15),-0.744222 # DEPENDENCYPART_ARC
(9,2),-1.94345 # DEPENDENCYPART_ARC
(9,3),-1.81849 # DEPENDENCYPART_ARC
(9,5),-2.39157 # DEPENDENCYPART_ARC
(9,6),-0.329519 # DEPENDENCYPART_ARC
(9,7),-1.16191 # DEPENDENCYPART_ARC
(9,8),-0.731785 # DEPENDENCYPART_ARC
(9,11),-1.5233 # DEPENDENCYPART_ARC
(9,12),-2.01919 # DEPENDENCYPART_ARC
(9,13),-1.05407 # DEPENDENCYPART_ARC
(9,14),-1.7894 # DEPENDENCYPART_ARC
(9,15),-1.72015 # DEPENDENCYPART_ARC
(9,16),-2.76355 # DEPENDENCYPART_ARC
(10,9),1.48849 # DEPENDENCYPART_ARC
(10,11),0.972538 # DEPENDENCYPART_ARC
(11,1),-2.84287 # DEPENDENCYPART_ARC
(11,4),-2.09709 # DEPENDENCYPART_ARC
(11,5),-2.28319 # DEPENDENCYPART_ARC
(11,6),-1.94242 # DEPENDENCYPART_ARC
(11,7),-1.96934 # DEPENDENCYPART_ARC
(11,8),-1.70906 # DEPENDENCYPART_ARC
(11,9),-1.43722 # DEPENDENCYPART_ARC
(11,12),-0.847272 # DEPENDENCYPART_ARC
(11,13),-0.976512 # DEPENDENCYPART_ARC
(11,14),-1.98592 # DEPENDENCYPART_ARC
(11,16),-2.51728 # DEPENDENCYPART_ARC
(12,7),-0.310894 # DEPENDENCYPART_ARC
(12,8),1.09579 # DEPENDENCYPART_ARC
(12,9),0.56884 # DEPENDENCYPART_ARC
(12,10),3.1291 # DEPENDENCYPART_ARC
(12,11),1.86232 # DEPENDENCYPART_ARC
(12,13),0.639949 # DEPENDENCYPART_ARC
(12,14),-1.11328 # DEPENDENCYPART_ARC
(12,15),-0.112269 # DEPENDENCYPART_ARC
(12,16),-3.30934 # DEPENDENCYPART_ARC
(12,17),-0.399924 # DEPENDENCYPART_ARC
(13,2),-0.197212 # DEPENDENCYPART_ARC
(13,3),-0.805517 # DEPENDENCYPART_ARC
(13,6),0.826787 # DEPENDENCYPART_ARC
(13,7),0.38997 # DEPENDENCYPART_ARC
(13,8),-0.834674 # DEPENDENCYPART_ARC
(13,9),-0.266155 # DEPENDENCYPART_ARC
(13,11),0.358251 # DEPENDENCYPART_ARC
(13,12),-0.0220379 # DEPENDENCYPART_ARC
(13,14),0.00764078 # DEPENDENCYPART_ARC
(13,15),-0.609007 # DEPENDENCYPART_ARC
(13,16),-1.0405 # DEPENDENCYPART_ARC
(13,17),-0.114005 # DEPENDENCYPART_ARC
(14,1),0.625948 # DEPENDENCYPART_ARC
(14,3),-2.11734 # DEPENDENCYPART_ARC
(14,4),-0.0552705 # DEPENDENCYPART_ARC
(14,5),-2.573 # DEPENDENCYPART_ARC
(14,6),-1.37663 # DEPENDENCYPART_ARC
(14,7),-0.463998 # DEPENDENCYPART_ARC
(14,8),-2.07528 # DEPENDENCYPART_ARC
(14,9),0.419749 # DEPENDENCYPART_ARC
(14,11),0.661485 # DEPENDENCYPART_ARC
(14,12),-0.235335 # DEPENDENCYPART_ARC
(14,13),-0.181082 # DEPENDENCYPART_ARC
(14,15),0.799326 # DEPENDENCYPART_ARC
(14,16),2.70231 # DEPENDENCYPART_ARC
(14,17),-0.05841 # DEPENDENCYPART_ARC
(15,1),0.516964 # DEPENDENCYPART_ARC
(15,2),-1.93878 # DEPENDENCYPART_ARC
(15,3),-0.902919 # DEPENDENCYPART_ARC
(15,4),0.331181 # DEPENDENCYPART_ARC
(15,5),-0.0965423 # DEPENDENCYPART_ARC
(15,6),1.04303 # DEPENDENCYPART_ARC
(15,7),0.22944 # DEPENDENCYPART_ARC
(15,8),0.0874947 # DEPENDENCYPART_ARC
(15,9),0.0699573 # DEPENDENCYPART_ARC
(15,11),0.783722 # DEPENDENCYPART_ARC
(15,12),0.437968 # DEPENDENCYPART_ARC
(15,13),1.01105 # DEPENDENCYPART_ARC
(15,14),1.86272 # DEPENDENCYPART_ARC
(15,16),-0.0177641 # DEPENDENCYPART_ARC
(15,17),0.378565 # DEPENDENCYPART_ARC
(16,12),-1.04487 # DEPENDENCYPART_ARC
(16,13),-0.495129 # DEPENDENCYPART_ARC
(16,15),0.701704 # DEPENDENCYPART_ARC
(16,17),0.26405 # DEPENDENCYPART_ARC
(17,16),-2.89769 # DEPENDENCYPART_ARC
