# _root_ Inkasovaly se také " zkušební taxy " , které šly přímo do kapes zkoušejících učitelů , a rovněž poplatky za promoce .
#goldHeads=0,1,1,6,6,17,6,10,10,6,10,10,12,15,13,10,1,19,17,19,20,0,
#predictedHeads=0,1,1,6,6,1,6,10,10,6,13,10,12,15,13,17,10,19,17,19,20,0,
(8,10),-0.0201047 # DEPENDENCYPART_ARC
(8,11),-1.46252 # DEPENDENCYPART_ARC
(8,12),-1.89182 # DEPENDENCYPART_ARC
(8,14),-1.6234 # DEPENDENCYPART_ARC
(8,16),-1.36589 # DEPENDENCYPART_ARC
(9,8),-0.442981 # DEPENDENCYPART_ARC
(9,13),-1.89716 # DEPENDENCYPART_ARC
(10,1),-1.97161 # DEPENDENCYPART_ARC
(10,2),-1.14674 # DEPENDENCYPART_ARC
(10,3),-1.57972 # DEPENDENCYPART_ARC
(10,4),-0.734939 # DEPENDENCYPART_ARC
(10,5),-2.22562 # DEPENDENCYPART_ARC
(10,6),-0.773332 # DEPENDENCYPART_ARC
(10,7),0.0908238 # DEPENDENCYPART_ARC
(10,8),1.62132 # DEPENDENCYPART_ARC
(10,9),2.56094 # DEPENDENCYPART_ARC
(10,11),0.98298 # DEPENDENCYPART_ARC
(10,12),2.18605 # DEPENDENCYPART_ARC
(10,13),-0.960644 # DEPENDENCYPART_ARC
(10,15),-0.654128 # DEPENDENCYPART_ARC
(10,16),0.67914 # DEPENDENCYPART_ARC
(10,17),0.462815 # DEPENDENCYPART_ARC
(10,18),0.295727 # DEPENDENCYPART_ARC
(10,19),0.623512 # DEPENDENCYPART_ARC
(10,20),0.0995802 # DEPENDENCYPART_ARC
(10,21),-0.534012 # DEPENDENCYPART_ARC
(10,22),-0.109638 # DEPENDENCYPART_ARC
(11,3),-1.62395 # DEPENDENCYPART_ARC
(11,6),-2.0606 # DEPENDENCYPART_ARC
(11,9),-1.97876 # DEPENDENCYPART_ARC
(11,12),-0.129727 # DEPENDENCYPART_ARC
(11,13),-0.689332 # DEPENDENCYPART_ARC
(11,15),-1.27757 # DEPENDENCYPART_ARC
(11,22),-2.00711 # DEPENDENCYPART_ARC
(12,7),-0.316149 # DEPENDENCYPART_ARC
(12,8),-0.521081 # DEPENDENCYPART_ARC
(12,11),-0.246712 # DEPENDENCYPART_ARC
(12,13),3.44274 # DEPENDENCYPART_ARC
(12,14),-0.684196 # DEPENDENCYPART_ARC
(12,15),-0.175594 # DEPENDENCYPART_ARC
(12,16),-0.164196 # DEPENDENCYPART_ARC
(12,17),-1.08188 # DEPENDENCYPART_ARC
(13,9),-2.55504 # DEPENDENCYPART_ARC
(13,11),1.14005 # DEPENDENCYPART_ARC
(13,12),0.548061 # DEPENDENCYPART_ARC
(13,14),1.54783 # DEPENDENCYPART_ARC
(13,15),2.3265 # DEPENDENCYPART_ARC
(13,16),-0.446014 # DEPENDENCYPART_ARC
(13,17),0.0363588 # DEPENDENCYPART_ARC
(13,18),-0.663095 # DEPENDENCYPART_ARC
(13,19),-2.99618 # DEPENDENCYPART_ARC
(13,20),-0.113911 # DEPENDENCYPART_ARC
(13,21),-5.7654 # DEPENDENCYPART_ARC
(14,11),0.26785 # DEPENDENCYPART_ARC
(14,12),0.871613 # DEPENDENCYPART_ARC
(14,13),-0.452795 # DEPENDENCYPART_ARC
(14,15),1.28976 # DEPENDENCYPART_ARC
(14,16),-0.547026 # DEPENDENCYPART_ARC
(14,17),-0.101215 # DEPENDENCYPART_ARC
(14,18),-0.834813 # DEPENDENCYPART_ARC
(14,19),-1.62639 # DEPENDENCYPART_ARC
(14,20),-0.560868 # DEPENDENCYPART_ARC
(14,21),-1.45159 # DEPENDENCYPART_ARC
(14,22),-1.42286 # DEPENDENCYPART_ARC
(15,9),-3.6916 # DEPENDENCYPART_ARC
(15,11),0.792925 # DEPENDENCYPART_ARC
(15,12),-0.650725 # DEPENDENCYPART_ARC
(15,13),-2.17799 # DEPENDENCYPART_ARC
(15,14),5.33998 # DEPENDENCYPART_ARC
(15,16),-0.458954 # DEPENDENCYPART_ARC
(15,17),0.103395 # DEPENDENCYPART_ARC
(15,18),-1.0815 # DEPENDENCYPART_ARC
(15,19),-3.91055 # DEPENDENCYPART_ARC
(15,20),-1.55266 # DEPENDENCYPART_ARC
(16,1),-0.934975 # DEPENDENCYPART_ARC
(16,4),-1.02863 # DEPENDENCYPART_ARC
(16,7),-0.472015 # DEPENDENCYPART_ARC
(16,8),-0.356222 # DEPENDENCYPART_ARC
(16,9),-0.564502 # DEPENDENCYPART_ARC
(16,10),-0.281702 # DEPENDENCYPART_ARC
(16,11),-0.48601 # DEPENDENCYPART_ARC
(16,12),-0.512001 # DEPENDENCYPART_ARC
(16,13),0.241901 # DEPENDENCYPART_ARC
(16,14),-0.536757 # DEPENDENCYPART_ARC
(16,15),-0.435951 # DEPENDENCYPART_ARC
(16,18),-1.20825 # DEPENDENCYPART_ARC
(16,19),-1.30278 # DEPENDENCYPART_ARC
(16,20),-1.48822 # DEPENDENCYPART_ARC
(17,1),-0.203498 # DEPENDENCYPART_ARC
(17,2),-0.748654 # DEPENDENCYPART_ARC
(17,3),0.3222 # DEPENDENCYPART_ARC
(17,4),-0.339672 # DEPENDENCYPART_ARC
(17,5),-0.181001 # DEPENDENCYPART_ARC
(17,6),0.100981 # DEPENDENCYPART_ARC
(17,7),0.0129086 # DEPENDENCYPART_ARC
(17,8),1.3266 # DEPENDENCYPART_ARC
(17,9),1.13931 # DEPENDENCYPART_ARC
(17,10),1.66679 # DEPENDENCYPART_ARC
(17,11),0.557221 # DEPENDENCYPART_ARC
(17,12),0.49887 # DEPENDENCYPART_ARC
(17,13),1.74566 # DEPENDENCYPART_ARC
(17,14),1.25364 # DEPENDENCYPART_ARC
(17,15),1.61906 # DEPENDENCYPART_ARC
(17,16),2.23194 # DEPENDENCYPART_ARC
(17,18),0.903543 # DEPENDENCYPART_ARC
(17,19),1.74017 # DEPENDENCYPART_ARC
(17,20),0.814427 # DEPENDENCYPART_ARC
(17,21),0.880553 # DEPENDENCYPART_ARC
(17,22),0.142487 # DEPENDENCYPART_ARC
(18,9),-2.2726 # DEPENDENCYPART_ARC
(18,15),-0.880942 # DEPENDENCYPART_ARC
(18,19),-0.0551649 # DEPENDENCYPART_ARC
(18,20),-0.878546 # DEPENDENCYPART_ARC
(18,21),-1.70107 # DEPENDENCYPART_ARC
(18,22),-0.985184 # DEPENDENCYPART_ARC
(19,13),-4.07518 # DEPENDENCYPART_ARC
(19,14),-3.54467 # DEPENDENCYPART_ARC
(19,15),-4.62635 # DEPENDENCYPART_ARC
(19,17),-0.213177 # DEPENDENCYPART_ARC
(19,18),0.920606 # DEPENDENCYPART_ARC
(19,20),2.73455 # DEPENDENCYPART_ARC
(19,21),-2.67572 # DEPENDENCYPART_ARC
(19,22),0.140132 # DEPENDENCYPART_ARC
(20,16),0.0439026 # DEPENDENCYPART_ARC
(20,18),-0.704086 # DEPENDENCYPART_ARC
(20,19),-1.89218 # DEPENDENCYPART_ARC
(20,21),3.70578 # DEPENDENCYPART_ARC
(20,22),-0.33082 # DEPENDENCYPART_ARC
(21,18),0.0877581 # DEPENDENCYPART_ARC
(21,19),-3.39222 # DEPENDENCYPART_ARC
(21,20),-0.302522 # DEPENDENCYPART_ARC
(21,22),0.361978 # DEPENDENCYPART_ARC
