# _root_ Německá spolková republika dosud v četných případech politických uprchlíků , kteří se stali německými státními příslušníky , dvojí občanství tolerovala a ještě toleruje .
#goldHeads=3,3,21,21,21,7,5,9,7,13,13,13,9,16,16,13,13,19,21,21,0,23,21,0,
#predictedHeads=3,3,20,7,20,7,5,9,7,13,13,13,9,16,16,13,21,19,20,21,0,23,21,0,
(17,16),1.15262 # DEPENDENCYPART_ARC
(17,19),0.390649 # DEPENDENCYPART_ARC
(17,20),0.0720129 # DEPENDENCYPART_ARC
(17,21),-0.282542 # DEPENDENCYPART_ARC
(17,22),-0.628703 # DEPENDENCYPART_ARC
(17,23),-1.22225 # DEPENDENCYPART_ARC
(17,24),-0.354001 # DEPENDENCYPART_ARC
(19,11),-4.12941 # DEPENDENCYPART_ARC
(19,12),-3.09775 # DEPENDENCYPART_ARC
(19,14),-2.58334 # DEPENDENCYPART_ARC
(19,15),-2.48955 # DEPENDENCYPART_ARC
(19,16),-2.55028 # DEPENDENCYPART_ARC
(19,17),0.214633 # DEPENDENCYPART_ARC
(19,18),2.97935 # DEPENDENCYPART_ARC
(19,20),-1.63397 # DEPENDENCYPART_ARC
(19,22),-0.925295 # DEPENDENCYPART_ARC
(20,1),-2.4492 # DEPENDENCYPART_ARC
(20,3),1.13504 # DEPENDENCYPART_ARC
(20,4),0.230339 # DEPENDENCYPART_ARC
(20,5),0.661919 # DEPENDENCYPART_ARC
(20,7),-1.35431 # DEPENDENCYPART_ARC
(20,9),-4.45752 # DEPENDENCYPART_ARC
(20,10),0.605396 # DEPENDENCYPART_ARC
(20,11),0.27747 # DEPENDENCYPART_ARC
(20,12),1.80102 # DEPENDENCYPART_ARC
(20,13),-2.74942 # DEPENDENCYPART_ARC
(20,14),-3.46378 # DEPENDENCYPART_ARC
(20,15),-3.30722 # DEPENDENCYPART_ARC
(20,16),-1.08927 # DEPENDENCYPART_ARC
(20,17),0.727085 # DEPENDENCYPART_ARC
(20,18),-0.160834 # DEPENDENCYPART_ARC
(20,19),1.96553 # DEPENDENCYPART_ARC
(20,21),-0.429661 # DEPENDENCYPART_ARC
(20,22),-0.0664336 # DEPENDENCYPART_ARC
(20,23),-1.22055 # DEPENDENCYPART_ARC
(21,2),-1.20396 # DEPENDENCYPART_ARC
(21,3),0.268383 # DEPENDENCYPART_ARC
(21,4),-0.54186 # DEPENDENCYPART_ARC
(21,5),0.545584 # DEPENDENCYPART_ARC
(21,6),-0.616817 # DEPENDENCYPART_ARC
(21,7),0.142625 # DEPENDENCYPART_ARC
(21,8),-0.631844 # DEPENDENCYPART_ARC
(21,9),-0.0765992 # DEPENDENCYPART_ARC
(21,10),1.55649 # DEPENDENCYPART_ARC
(21,11),1.19365 # DEPENDENCYPART_ARC
(21,12),0.139983 # DEPENDENCYPART_ARC
(21,13),1.13918 # DEPENDENCYPART_ARC
(21,14),0.336947 # DEPENDENCYPART_ARC
(21,15),0.186607 # DEPENDENCYPART_ARC
(21,16),0.752513 # DEPENDENCYPART_ARC
(21,17),1.65342 # DEPENDENCYPART_ARC
(21,19),1.37233 # DEPENDENCYPART_ARC
(21,20),3.04272 # DEPENDENCYPART_ARC
(21,22),0.294863 # DEPENDENCYPART_ARC
(21,23),2.04967 # DEPENDENCYPART_ARC
(21,24),0.397003 # DEPENDENCYPART_ARC
(23,3),1.04756 # DEPENDENCYPART_ARC
(23,4),-0.207535 # DEPENDENCYPART_ARC
(23,5),-0.13677 # DEPENDENCYPART_ARC
(23,7),-1.46044 # DEPENDENCYPART_ARC
(23,8),-4.13264 # DEPENDENCYPART_ARC
(23,9),-3.58222 # DEPENDENCYPART_ARC
(23,10),0.50885 # DEPENDENCYPART_ARC
(23,11),0.359084 # DEPENDENCYPART_ARC
(23,12),1.67763 # DEPENDENCYPART_ARC
(23,13),-2.3173 # DEPENDENCYPART_ARC
(23,14),-1.89239 # DEPENDENCYPART_ARC
(23,15),-1.89579 # DEPENDENCYPART_ARC
(23,16),-0.559823 # DEPENDENCYPART_ARC
(23,17),0.184 # DEPENDENCYPART_ARC
(23,19),1.06547 # DEPENDENCYPART_ARC
(23,20),-0.82131 # DEPENDENCYPART_ARC
(23,21),0.508815 # DEPENDENCYPART_ARC
(23,22),2.32826 # DEPENDENCYPART_ARC
(23,24),0.0547579 # DEPENDENCYPART_ARC
(24,23),-3.82556 # DEPENDENCYPART_ARC
