# _root_ Ale taky čarodějem - uvážíme - li , že za pouhých 20 let dokázal vybudovat čtvrté největší hospodářské impérium v Itálii , že dokázal za kratičké tři měsíce " vydupat ze země " vlastní stranu Forza Italia .
#goldHeads=0,3,1,7,7,7,1,22,22,15,12,10,12,9,14,19,19,19,15,15,20,5,22,23,30,28,28,25,30,24,30,31,30,35,30,35,36,0,
#predictedHeads=0,5,1,1,7,7,1,9,5,14,13,10,12,9,14,19,19,19,15,19,20,23,15,23,24,28,28,25,14,24,30,31,35,35,30,37,35,0,
(30,37),-0.0900774 # DEPENDENCYPART_ARC
(30,38),-0.243307 # DEPENDENCYPART_ARC
(31,32),3.77219 # DEPENDENCYPART_ARC
(31,33),0.363176 # DEPENDENCYPART_ARC
(31,34),-1.85155 # DEPENDENCYPART_ARC
(31,35),-2.104 # DEPENDENCYPART_ARC
(31,37),-1.0795 # DEPENDENCYPART_ARC
(32,26),-5.76893 # DEPENDENCYPART_ARC
(32,27),-3.89429 # DEPENDENCYPART_ARC
(32,28),-5.31124 # DEPENDENCYPART_ARC
(32,31),1.14102 # DEPENDENCYPART_ARC
(32,33),0.141044 # DEPENDENCYPART_ARC
(32,34),-0.888714 # DEPENDENCYPART_ARC
(32,35),-3.45172 # DEPENDENCYPART_ARC
(32,36),-0.242759 # DEPENDENCYPART_ARC
(32,37),1.023 # DEPENDENCYPART_ARC
(33,24),-1.89433 # DEPENDENCYPART_ARC
(33,25),-2.00529 # DEPENDENCYPART_ARC
(33,26),-1.43761 # DEPENDENCYPART_ARC
(33,27),-1.85941 # DEPENDENCYPART_ARC
(33,28),-1.55426 # DEPENDENCYPART_ARC
(33,30),-0.841248 # DEPENDENCYPART_ARC
(33,31),-1.42457 # DEPENDENCYPART_ARC
(33,32),0.380371 # DEPENDENCYPART_ARC
(33,34),-1.68734 # DEPENDENCYPART_ARC
(33,35),-1.17792 # DEPENDENCYPART_ARC
(33,36),-2.07653 # DEPENDENCYPART_ARC
(33,37),-1.36949 # DEPENDENCYPART_ARC
(34,31),-0.757342 # DEPENDENCYPART_ARC
(34,32),-2.6357 # DEPENDENCYPART_ARC
(34,33),0.271984 # DEPENDENCYPART_ARC
(34,35),-0.658616 # DEPENDENCYPART_ARC
(34,36),-2.20566 # DEPENDENCYPART_ARC
(34,37),-1.07063 # DEPENDENCYPART_ARC
(34,38),-0.60435 # DEPENDENCYPART_ARC
(35,26),-3.1829 # DEPENDENCYPART_ARC
(35,27),-2.50631 # DEPENDENCYPART_ARC
(35,31),0.231723 # DEPENDENCYPART_ARC
(35,32),-2.25759 # DEPENDENCYPART_ARC
(35,33),1.03016 # DEPENDENCYPART_ARC
(35,34),4.45986 # DEPENDENCYPART_ARC
(35,36),1.93871 # DEPENDENCYPART_ARC
(35,37),2.74601 # DEPENDENCYPART_ARC
(35,38),-0.22016 # DEPENDENCYPART_ARC
(36,31),-1.47923 # DEPENDENCYPART_ARC
(36,34),0.611961 # DEPENDENCYPART_ARC
(36,35),0.18752 # DEPENDENCYPART_ARC
(36,37),3.36145 # DEPENDENCYPART_ARC
(36,38),-0.572088 # DEPENDENCYPART_ARC
(37,27),-3.23703 # DEPENDENCYPART_ARC
(37,32),-2.42316 # DEPENDENCYPART_ARC
(37,33),0.231287 # DEPENDENCYPART_ARC
(37,34),1.46329 # DEPENDENCYPART_ARC
(37,35),0.0510853 # DEPENDENCYPART_ARC
(37,36),5.1867 # DEPENDENCYPART_ARC
(37,38),0.195377 # DEPENDENCYPART_ARC
