# _root_ Jestliže rada jednou jmenovala komisi a schválila její závěr , nemůže se zříci odpovědnosti , trvá na svém ředitel Sadil .
#goldHeads=11,6,4,6,4,1,6,9,7,1,15,13,11,13,0,15,16,17,20,16,0,
#predictedHeads=11,4,4,6,4,1,6,9,7,1,0,13,11,13,1,15,16,17,20,16,0,
(10,5),-0.154145 # DEPENDENCYPART_ARC
(10,6),0.158395 # DEPENDENCYPART_ARC
(10,7),0.695182 # DEPENDENCYPART_ARC
(10,8),0.0789562 # DEPENDENCYPART_ARC
(10,9),-0.166065 # DEPENDENCYPART_ARC
(10,11),0.368486 # DEPENDENCYPART_ARC
(10,13),-0.49526 # DEPENDENCYPART_ARC
(10,14),-1.4242 # DEPENDENCYPART_ARC
(10,15),0.170682 # DEPENDENCYPART_ARC
(10,16),-1.93666 # DEPENDENCYPART_ARC
(10,17),-2.28858 # DEPENDENCYPART_ARC
(10,20),-3.08122 # DEPENDENCYPART_ARC
(11,1),1.99677 # DEPENDENCYPART_ARC
(11,2),0.294497 # DEPENDENCYPART_ARC
(11,3),-0.688973 # DEPENDENCYPART_ARC
(11,4),-1.6018 # DEPENDENCYPART_ARC
(11,5),-1.36571 # DEPENDENCYPART_ARC
(11,6),0.0159533 # DEPENDENCYPART_ARC
(11,7),-0.551028 # DEPENDENCYPART_ARC
(11,9),0.170898 # DEPENDENCYPART_ARC
(11,10),0.257255 # DEPENDENCYPART_ARC
(11,12),2.48743 # DEPENDENCYPART_ARC
(11,13),2.82256 # DEPENDENCYPART_ARC
(11,14),0.237015 # DEPENDENCYPART_ARC
(11,15),0.719492 # DEPENDENCYPART_ARC
(11,16),-1.61883 # DEPENDENCYPART_ARC
(11,17),-0.302755 # DEPENDENCYPART_ARC
(11,19),-1.59466 # DEPENDENCYPART_ARC
(11,20),-1.01638 # DEPENDENCYPART_ARC
(13,1),0.951933 # DEPENDENCYPART_ARC
(13,2),-0.99094 # DEPENDENCYPART_ARC
(13,3),-0.849855 # DEPENDENCYPART_ARC
(13,4),-5.02855 # DEPENDENCYPART_ARC
(13,5),-0.26289 # DEPENDENCYPART_ARC
(13,6),-0.362564 # DEPENDENCYPART_ARC
(13,7),-3.41179 # DEPENDENCYPART_ARC
(13,9),1.25162 # DEPENDENCYPART_ARC
(13,10),-0.241898 # DEPENDENCYPART_ARC
(13,11),-1.80741 # DEPENDENCYPART_ARC
(13,12),2.64843 # DEPENDENCYPART_ARC
(13,14),1.69289 # DEPENDENCYPART_ARC
(13,15),1.09948 # DEPENDENCYPART_ARC
(13,16),-1.05154 # DEPENDENCYPART_ARC
(13,17),-0.395608 # DEPENDENCYPART_ARC
(13,19),-3.83099 # DEPENDENCYPART_ARC
(13,20),-3.30363 # DEPENDENCYPART_ARC
(14,8),-1.74134 # DEPENDENCYPART_ARC
(14,12),-1.95178 # DEPENDENCYPART_ARC
(14,13),0.389191 # DEPENDENCYPART_ARC
(14,15),-0.852771 # DEPENDENCYPART_ARC
(14,16),-0.94223 # DEPENDENCYPART_ARC
(14,17),-1.39148 # DEPENDENCYPART_ARC
(14,19),-2.77779 # DEPENDENCYPART_ARC
(14,20),-3.0545 # DEPENDENCYPART_ARC
(15,1),1.00266 # DEPENDENCYPART_ARC
(15,4),-0.0978125 # DEPENDENCYPART_ARC
(15,6),-0.0164447 # DEPENDENCYPART_ARC
(15,7),0.0921594 # DEPENDENCYPART_ARC
(15,9),-0.821784 # DEPENDENCYPART_ARC
(15,10),0.264996 # DEPENDENCYPART_ARC
(15,11),1.01594 # DEPENDENCYPART_ARC
(15,12),0.151461 # DEPENDENCYPART_ARC
(15,13),0.378765 # DEPENDENCYPART_ARC
(15,14),0.138652 # DEPENDENCYPART_ARC
(15,16),-0.1034 # DEPENDENCYPART_ARC
(15,17),-0.774623 # DEPENDENCYPART_ARC
(15,19),-0.970639 # DEPENDENCYPART_ARC
(15,20),-0.991437 # DEPENDENCYPART_ARC
(16,1),2.17196 # DEPENDENCYPART_ARC
(16,2),0.0159599 # DEPENDENCYPART_ARC
(16,3),-1.47267 # DEPENDENCYPART_ARC
(16,4),-3.26956 # DEPENDENCYPART_ARC
(16,5),-1.44308 # DEPENDENCYPART_ARC
(16,6),-0.46612 # DEPENDENCYPART_ARC
(16,7),-2.53467 # DEPENDENCYPART_ARC
(16,9),0.137555 # DEPENDENCYPART_ARC
(16,10),-1.52479 # DEPENDENCYPART_ARC
(16,11),-0.0191778 # DEPENDENCYPART_ARC
(16,12),1.18035 # DEPENDENCYPART_ARC
(16,13),1.69296 # DEPENDENCYPART_ARC
(16,14),-1.6812 # DEPENDENCYPART_ARC
(16,15),-0.0104917 # DEPENDENCYPART_ARC
(16,17),2.63273 # DEPENDENCYPART_ARC
(16,18),-0.76733 # DEPENDENCYPART_ARC
(16,19),1.69802 # DEPENDENCYPART_ARC
(16,20),2.4602 # DEPENDENCYPART_ARC
(16,21),0.0750019 # DEPENDENCYPART_ARC
(17,14),-1.93905 # DEPENDENCYPART_ARC
(17,18),2.62014 # DEPENDENCYPART_ARC
(17,19),0.342253 # DEPENDENCYPART_ARC
(17,20),-1.40054 # DEPENDENCYPART_ARC
(19,14),-6.23136 # DEPENDENCYPART_ARC
(19,17),-0.21065 # DEPENDENCYPART_ARC
(19,18),1.2106 # DEPENDENCYPART_ARC
(19,20),0.783306 # DEPENDENCYPART_ARC
(19,21),-0.0451683 # DEPENDENCYPART_ARC
(20,14),-2.81864 # DEPENDENCYPART_ARC
(20,17),0.69314 # DEPENDENCYPART_ARC
(20,18),0.142407 # DEPENDENCYPART_ARC
(20,19),5.7162 # DEPENDENCYPART_ARC
(20,21),0.361572 # DEPENDENCYPART_ARC
