# _root_ Proto chystáme pro vojáky v záloze na říjen výběrové řízení , které proběhne ve spolupráci s okresními vojenskými správami v Českém Krumlově , " říká plukovník Kubeš .
#goldHeads=25,1,2,3,4,5,2,7,10,2,13,13,10,13,14,15,19,19,16,13,22,20,1,1,0,27,25,0,
#predictedHeads=0,1,2,3,2,5,6,7,10,8,13,13,10,16,14,13,19,19,16,19,22,20,13,1,0,27,25,0,
(4,16),-1.67648 # DEPENDENCYPART_ARC
(5,1),-1.24743 # DEPENDENCYPART_ARC
(5,3),-0.624328 # DEPENDENCYPART_ARC
(5,4),-0.289492 # DEPENDENCYPART_ARC
(5,6),4.0583 # DEPENDENCYPART_ARC
(5,8),-2.60017 # DEPENDENCYPART_ARC
(6,1),-2.56276 # DEPENDENCYPART_ARC
(6,3),-1.29561 # DEPENDENCYPART_ARC
(6,4),-2.76404 # DEPENDENCYPART_ARC
(6,5),0.222852 # DEPENDENCYPART_ARC
(6,7),1.70567 # DEPENDENCYPART_ARC
(6,8),-2.81865 # DEPENDENCYPART_ARC
(6,9),-1.5456 # DEPENDENCYPART_ARC
(6,10),-3.74292 # DEPENDENCYPART_ARC
(6,13),-0.459672 # DEPENDENCYPART_ARC
(6,16),-0.877513 # DEPENDENCYPART_ARC
(7,4),-0.976253 # DEPENDENCYPART_ARC
(7,5),0.357218 # DEPENDENCYPART_ARC
(7,6),1.58588 # DEPENDENCYPART_ARC
(7,8),3.73342 # DEPENDENCYPART_ARC
(7,9),0.659613 # DEPENDENCYPART_ARC
(7,10),0.612677 # DEPENDENCYPART_ARC
(7,11),-0.145528 # DEPENDENCYPART_ARC
(8,3),-0.312449 # DEPENDENCYPART_ARC
(8,5),-0.0142803 # DEPENDENCYPART_ARC
(8,6),-3.4053 # DEPENDENCYPART_ARC
(8,7),1.82445 # DEPENDENCYPART_ARC
(8,9),1.04311 # DEPENDENCYPART_ARC
(8,10),1.45443 # DEPENDENCYPART_ARC
(8,11),-0.356827 # DEPENDENCYPART_ARC
(8,13),-0.230657 # DEPENDENCYPART_ARC
(8,14),-1.59028 # DEPENDENCYPART_ARC
(8,15),-1.86894 # DEPENDENCYPART_ARC
(8,16),-0.00809287 # DEPENDENCYPART_ARC
(8,19),-2.58415 # DEPENDENCYPART_ARC
(8,20),-1.04188 # DEPENDENCYPART_ARC
(8,25),-2.25712 # DEPENDENCYPART_ARC
(9,3),-0.975561 # DEPENDENCYPART_ARC
(9,5),-0.558471 # DEPENDENCYPART_ARC
(9,7),0.206758 # DEPENDENCYPART_ARC
(9,8),0.047378 # DEPENDENCYPART_ARC
(9,10),0.429305 # DEPENDENCYPART_ARC
(10,5),-1.3576 # DEPENDENCYPART_ARC
(10,6),-4.14869 # DEPENDENCYPART_ARC
(10,7),-0.125055 # DEPENDENCYPART_ARC
(10,8),0.565798 # DEPENDENCYPART_ARC
(10,9),5.2097 # DEPENDENCYPART_ARC
(10,11),0.247314 # DEPENDENCYPART_ARC
(10,12),-1.84876 # DEPENDENCYPART_ARC
(10,13),1.5793 # DEPENDENCYPART_ARC
(10,14),-0.272445 # DEPENDENCYPART_ARC
(10,15),-0.78836 # DEPENDENCYPART_ARC
(10,16),0.430387 # DEPENDENCYPART_ARC
(10,17),-2.72556 # DEPENDENCYPART_ARC
(10,18),-2.50638 # DEPENDENCYPART_ARC
(10,25),-0.953939 # DEPENDENCYPART_ARC
(11,1),-1.83403 # DEPENDENCYPART_ARC
(11,2),-0.585793 # DEPENDENCYPART_ARC
(11,4),-0.813699 # DEPENDENCYPART_ARC
(11,6),-0.659315 # DEPENDENCYPART_ARC
(11,8),-0.341001 # DEPENDENCYPART_ARC
(11,9),-1.35186 # DEPENDENCYPART_ARC
(11,10),-1.06725 # DEPENDENCYPART_ARC
(11,13),-0.115555 # DEPENDENCYPART_ARC
(11,14),-1.84908 # DEPENDENCYPART_ARC
(11,23),-1.49782 # DEPENDENCYPART_ARC
(11,24),-1.13273 # DEPENDENCYPART_ARC
(12,11),-0.185493 # DEPENDENCYPART_ARC
(12,15),-0.345702 # DEPENDENCYPART_ARC
(13,1),-0.496285 # DEPENDENCYPART_ARC
(13,2),-1.1264 # DEPENDENCYPART_ARC
(13,3),-1.31808 # DEPENDENCYPART_ARC
(13,4),-1.45654 # DEPENDENCYPART_ARC
(13,5),-1.8028 # DEPENDENCYPART_ARC
(13,6),-1.43418 # DEPENDENCYPART_ARC
(13,7),-1.50692 # DEPENDENCYPART_ARC
(13,8),-0.486744 # DEPENDENCYPART_ARC
(13,9),-3.04074 # DEPENDENCYPART_ARC
(13,10),-1.21301 # DEPENDENCYPART_ARC
(13,11),1.53629 # DEPENDENCYPART_ARC
(13,12),3.02353 # DEPENDENCYPART_ARC
(13,14),2.84536 # DEPENDENCYPART_ARC
(13,15),0.739638 # DEPENDENCYPART_ARC
(13,16),2.18708 # DEPENDENCYPART_ARC
(13,17),-2.62092 # DEPENDENCYPART_ARC
(13,18),-3.06835 # DEPENDENCYPART_ARC
(13,19),0.777286 # DEPENDENCYPART_ARC
(13,20),1.5788 # DEPENDENCYPART_ARC
(13,21),-4.44023 # DEPENDENCYPART_ARC
(13,22),-1.01278 # DEPENDENCYPART_ARC
(13,23),0.803987 # DEPENDENCYPART_ARC
(13,24),0.67935 # DEPENDENCYPART_ARC
(13,25),-2.33702 # DEPENDENCYPART_ARC
(13,26),-0.63418 # DEPENDENCYPART_ARC
(13,27),-0.415551 # DEPENDENCYPART_ARC
(14,15),3.54153 # DEPENDENCYPART_ARC
(14,17),-2.47774 # DEPENDENCYPART_ARC
(14,19),-1.75485 # DEPENDENCYPART_ARC
(15,12),-2.94179 # DEPENDENCYPART_ARC
(15,14),0.25938 # DEPENDENCYPART_ARC
(15,16),2.26109 # DEPENDENCYPART_ARC
(15,17),-0.926011 # DEPENDENCYPART_ARC
(15,18),-1.0547 # DEPENDENCYPART_ARC
(15,19),-2.11064 # DEPENDENCYPART_ARC
(15,20),0.48742 # DEPENDENCYPART_ARC
(15,22),-0.678253 # DEPENDENCYPART_ARC
(15,25),-1.5197 # DEPENDENCYPART_ARC
(15,27),-3.37952 # DEPENDENCYPART_ARC
(16,10),-1.35035 # DEPENDENCYPART_ARC
(16,11),-0.290642 # DEPENDENCYPART_ARC
(16,14),2.93792 # DEPENDENCYPART_ARC
(16,15),3.50839 # DEPENDENCYPART_ARC
(16,17),0.70936 # DEPENDENCYPART_ARC
(16,18),0.378512 # DEPENDENCYPART_ARC
(16,19),3.22681 # DEPENDENCYPART_ARC
(16,21),-1.07874 # DEPENDENCYPART_ARC
(16,22),0.502655 # DEPENDENCYPART_ARC
(16,23),-0.0409559 # DEPENDENCYPART_ARC
(16,26),-4.55661 # DEPENDENCYPART_ARC
(16,27),-2.84706 # DEPENDENCYPART_ARC
(17,16),-0.569251 # DEPENDENCYPART_ARC
(17,18),-1.05432 # DEPENDENCYPART_ARC
(17,19),0.252271 # DEPENDENCYPART_ARC
(17,20),-0.159109 # DEPENDENCYPART_ARC
(17,22),-1.38767 # DEPENDENCYPART_ARC
(18,17),-1.60141 # DEPENDENCYPART_ARC
(18,20),0.0861861 # DEPENDENCYPART_ARC
(19,9),-5.17074 # DEPENDENCYPART_ARC
(19,12),-4.23199 # DEPENDENCYPART_ARC
(19,14),-1.30945 # DEPENDENCYPART_ARC
(19,15),-2.55612 # DEPENDENCYPART_ARC
(19,17),4.56908 # DEPENDENCYPART_ARC
(19,18),4.6806 # DEPENDENCYPART_ARC
(19,20),1.85806 # DEPENDENCYPART_ARC
(19,21),-1.93411 # DEPENDENCYPART_ARC
(19,22),0.0345973 # DEPENDENCYPART_ARC
(19,23),-0.157432 # DEPENDENCYPART_ARC
(19,24),-0.0301352 # DEPENDENCYPART_ARC
(19,25),-1.296 # DEPENDENCYPART_ARC
(19,26),-3.58231 # DEPENDENCYPART_ARC
(19,27),-2.93642 # DEPENDENCYPART_ARC
(20,19),-2.43665 # DEPENDENCYPART_ARC
(20,21),0.538283 # DEPENDENCYPART_ARC
(20,22),4.01644 # DEPENDENCYPART_ARC
(20,23),-0.311342 # DEPENDENCYPART_ARC
(20,26),-4.79866 # DEPENDENCYPART_ARC
(22,17),-2.249 # DEPENDENCYPART_ARC
(22,18),-2.84187 # DEPENDENCYPART_ARC
(22,20),-0.635372 # DEPENDENCYPART_ARC
(22,21),4.55234 # DEPENDENCYPART_ARC
(22,24),-1.39604 # DEPENDENCYPART_ARC
(22,25),-2.60429 # DEPENDENCYPART_ARC
(22,26),-5.43482 # DEPENDENCYPART_ARC
(22,27),-4.56663 # DEPENDENCYPART_ARC
(23,1),-2.14293 # DEPENDENCYPART_ARC
(23,2),-1.15711 # DEPENDENCYPART_ARC
(23,3),-0.242623 # DEPENDENCYPART_ARC
(23,4),-1.65838 # DEPENDENCYPART_ARC
(23,7),-1.11232 # DEPENDENCYPART_ARC
(23,13),-0.200069 # DEPENDENCYPART_ARC
(23,14),-0.776369 # DEPENDENCYPART_ARC
(23,15),-0.0808524 # DEPENDENCYPART_ARC
(23,16),-0.539281 # DEPENDENCYPART_ARC
(23,17),-0.340038 # DEPENDENCYPART_ARC
(23,18),-0.499538 # DEPENDENCYPART_ARC
(23,19),-0.475332 # DEPENDENCYPART_ARC
(23,20),-0.370384 # DEPENDENCYPART_ARC
(23,21),-0.0436556 # DEPENDENCYPART_ARC
(23,22),-0.172972 # DEPENDENCYPART_ARC
(23,24),-0.586267 # DEPENDENCYPART_ARC
(23,25),-0.803714 # DEPENDENCYPART_ARC
(23,26),-0.929744 # DEPENDENCYPART_ARC
(23,27),-0.702734 # DEPENDENCYPART_ARC
(24,2),-3.38022 # DEPENDENCYPART_ARC
(24,23),-2.29518 # DEPENDENCYPART_ARC
(24,25),-2.0198 # DEPENDENCYPART_ARC
(24,26),-2.98389 # DEPENDENCYPART_ARC
(24,27),-3.12522 # DEPENDENCYPART_ARC
(25,1),0.980704 # DEPENDENCYPART_ARC
(25,2),0.967345 # DEPENDENCYPART_ARC
(25,3),-2.78106 # DEPENDENCYPART_ARC
(25,4),-2.59362 # DEPENDENCYPART_ARC
(25,5),-1.46136 # DEPENDENCYPART_ARC
(25,6),-2.66943 # DEPENDENCYPART_ARC
(25,7),-2.64393 # DEPENDENCYPART_ARC
(25,8),-1.84007 # DEPENDENCYPART_ARC
(25,10),-2.19556 # DEPENDENCYPART_ARC
(25,11),0.316074 # DEPENDENCYPART_ARC
(25,12),0.479781 # DEPENDENCYPART_ARC
(25,13),-0.288701 # DEPENDENCYPART_ARC
(25,14),-0.658634 # DEPENDENCYPART_ARC
(25,15),-1.78634 # DEPENDENCYPART_ARC
(25,16),-1.24711 # DEPENDENCYPART_ARC
(25,17),-2.69406 # DEPENDENCYPART_ARC
(25,18),-2.70202 # DEPENDENCYPART_ARC
(25,19),-0.677957 # DEPENDENCYPART_ARC
(25,20),-0.0919985 # DEPENDENCYPART_ARC
(25,21),-3.25162 # DEPENDENCYPART_ARC
(25,22),-1.80234 # DEPENDENCYPART_ARC
(25,23),0.0903672 # DEPENDENCYPART_ARC
(25,24),-0.24925 # DEPENDENCYPART_ARC
(25,26),2.57952 # DEPENDENCYPART_ARC
(25,27),2.45596 # DEPENDENCYPART_ARC
(25,28),0.0684027 # DEPENDENCYPART_ARC
(26,21),-3.73851 # DEPENDENCYPART_ARC
(26,24),-0.551764 # DEPENDENCYPART_ARC
(26,27),1.34962 # DEPENDENCYPART_ARC
(26,28),0.14556 # DEPENDENCYPART_ARC
(27,22),-5.53619 # DEPENDENCYPART_ARC
(27,24),-0.465074 # DEPENDENCYPART_ARC
(27,26),5.76246 # DEPENDENCYPART_ARC
(27,28),0.199318 # DEPENDENCYPART_ARC
