# _root_ Stát má v podnicích obvykle 30 procentní majetkovou účast , která by mohla být převedena českým věřitelům , uvedl E . Obminskij .
#goldHeads=2,19,2,3,2,7,9,9,2,13,13,13,9,15,13,17,15,2,0,22,20,19,0,
#predictedHeads=2,0,2,3,7,7,9,9,2,13,13,13,9,15,13,17,15,13,0,22,20,19,0,
(7,3),0.191451 # DEPENDENCYPART_ARC
(7,5),1.658 # DEPENDENCYPART_ARC
(7,6),1.81797 # DEPENDENCYPART_ARC
(7,8),-0.423458 # DEPENDENCYPART_ARC
(7,9),-0.59168 # DEPENDENCYPART_ARC
(7,14),-0.68009 # DEPENDENCYPART_ARC
(8,5),0.0567802 # DEPENDENCYPART_ARC
(8,6),0.283048 # DEPENDENCYPART_ARC
(8,7),-0.217892 # DEPENDENCYPART_ARC
(9,3),-0.359208 # DEPENDENCYPART_ARC
(9,4),-3.76661 # DEPENDENCYPART_ARC
(9,5),0.113373 # DEPENDENCYPART_ARC
(9,6),0.757572 # DEPENDENCYPART_ARC
(9,7),4.75342 # DEPENDENCYPART_ARC
(9,8),5.30657 # DEPENDENCYPART_ARC
(9,10),0.207734 # DEPENDENCYPART_ARC
(9,11),-1.61693 # DEPENDENCYPART_ARC
(9,12),1.46765 # DEPENDENCYPART_ARC
(9,13),0.992355 # DEPENDENCYPART_ARC
(9,14),0.735317 # DEPENDENCYPART_ARC
(9,15),-0.895747 # DEPENDENCYPART_ARC
(9,16),-3.28277 # DEPENDENCYPART_ARC
(10,1),-1.98868 # DEPENDENCYPART_ARC
(10,2),-0.568834 # DEPENDENCYPART_ARC
(10,6),-1.91204 # DEPENDENCYPART_ARC
(10,7),-1.22934 # DEPENDENCYPART_ARC
(10,8),-1.38324 # DEPENDENCYPART_ARC
(10,9),-1.15445 # DEPENDENCYPART_ARC
(10,13),-1.14101 # DEPENDENCYPART_ARC
(10,14),-1.40002 # DEPENDENCYPART_ARC
(10,15),-2.08921 # DEPENDENCYPART_ARC
(10,18),-1.29069 # DEPENDENCYPART_ARC
(10,21),-1.474 # DEPENDENCYPART_ARC
(11,10),-0.371542 # DEPENDENCYPART_ARC
(11,15),-1.61003 # DEPENDENCYPART_ARC
(11,17),-0.744084 # DEPENDENCYPART_ARC
(11,20),-1.54095 # DEPENDENCYPART_ARC
(11,22),-0.827304 # DEPENDENCYPART_ARC
(13,1),1.5751 # DEPENDENCYPART_ARC
(13,2),-3.16425 # DEPENDENCYPART_ARC
(13,3),-0.0301889 # DEPENDENCYPART_ARC
(13,4),-1.45061 # DEPENDENCYPART_ARC
(13,5),-0.309436 # DEPENDENCYPART_ARC
(13,6),-0.169953 # DEPENDENCYPART_ARC
(13,7),-2.33787 # DEPENDENCYPART_ARC
(13,8),-2.1438 # DEPENDENCYPART_ARC
(13,9),-0.187491 # DEPENDENCYPART_ARC
(13,10),1.74458 # DEPENDENCYPART_ARC
(13,11),2.1618 # DEPENDENCYPART_ARC
(13,12),3.75095 # DEPENDENCYPART_ARC
(13,14),2.83864 # DEPENDENCYPART_ARC
(13,15),1.27425 # DEPENDENCYPART_ARC
(13,16),-2.19424 # DEPENDENCYPART_ARC
(13,17),-0.196209 # DEPENDENCYPART_ARC
(13,18),0.942145 # DEPENDENCYPART_ARC
(13,19),-3.54441 # DEPENDENCYPART_ARC
(13,20),-3.04553 # DEPENDENCYPART_ARC
(13,21),-0.320799 # DEPENDENCYPART_ARC
(13,22),-1.64126 # DEPENDENCYPART_ARC
(13,23),-0.372545 # DEPENDENCYPART_ARC
(14,1),0.434779 # DEPENDENCYPART_ARC
(14,2),-5.46123 # DEPENDENCYPART_ARC
(14,4),-0.892383 # DEPENDENCYPART_ARC
(14,10),-0.246088 # DEPENDENCYPART_ARC
(14,11),-0.0726984 # DEPENDENCYPART_ARC
(14,12),1.7657 # DEPENDENCYPART_ARC
(14,13),-1.35265 # DEPENDENCYPART_ARC
(14,15),1.28911 # DEPENDENCYPART_ARC
(14,16),-0.630946 # DEPENDENCYPART_ARC
(14,17),0.611795 # DEPENDENCYPART_ARC
(14,18),0.336187 # DEPENDENCYPART_ARC
(14,19),-2.26366 # DEPENDENCYPART_ARC
(14,20),-2.68027 # DEPENDENCYPART_ARC
(14,22),-3.8193 # DEPENDENCYPART_ARC
(15,1),0.887766 # DEPENDENCYPART_ARC
(15,2),-3.85043 # DEPENDENCYPART_ARC
(15,3),-1.10573 # DEPENDENCYPART_ARC
(15,4),-2.12563 # DEPENDENCYPART_ARC
(15,5),-0.64737 # DEPENDENCYPART_ARC
(15,6),-0.68551 # DEPENDENCYPART_ARC
(15,7),-4.26665 # DEPENDENCYPART_ARC
(15,8),-4.38629 # DEPENDENCYPART_ARC
(15,9),-2.38779 # DEPENDENCYPART_ARC
(15,10),-0.0254613 # DEPENDENCYPART_ARC
(15,11),0.709803 # DEPENDENCYPART_ARC
(15,12),1.48802 # DEPENDENCYPART_ARC
(15,13),0.743457 # DEPENDENCYPART_ARC
(15,14),4.04782 # DEPENDENCYPART_ARC
(15,16),-0.129657 # DEPENDENCYPART_ARC
(15,17),1.0854 # DEPENDENCYPART_ARC
(15,18),0.741755 # DEPENDENCYPART_ARC
(15,19),-2.40335 # DEPENDENCYPART_ARC
(15,20),-2.59047 # DEPENDENCYPART_ARC
(15,21),-0.58931 # DEPENDENCYPART_ARC
(15,22),-2.18161 # DEPENDENCYPART_ARC
(16,17),0.346363 # DEPENDENCYPART_ARC
(16,19),-2.49706 # DEPENDENCYPART_ARC
(16,20),-2.82655 # DEPENDENCYPART_ARC
(17,11),-4.54251 # DEPENDENCYPART_ARC
(17,14),-0.696304 # DEPENDENCYPART_ARC
(17,15),-1.82371 # DEPENDENCYPART_ARC
(17,16),4.75643 # DEPENDENCYPART_ARC
(17,18),-0.603958 # DEPENDENCYPART_ARC
(17,19),-1.69452 # DEPENDENCYPART_ARC
(17,20),-1.85265 # DEPENDENCYPART_ARC
(17,21),-0.953019 # DEPENDENCYPART_ARC
(17,22),-4.65352 # DEPENDENCYPART_ARC
(18,2),-1.33692 # DEPENDENCYPART_ARC
(18,10),-0.773439 # DEPENDENCYPART_ARC
(18,11),-0.10585 # DEPENDENCYPART_ARC
(18,13),-0.0411453 # DEPENDENCYPART_ARC
(18,14),0.188697 # DEPENDENCYPART_ARC
(18,15),0.318599 # DEPENDENCYPART_ARC
(18,16),-0.42318 # DEPENDENCYPART_ARC
(18,17),-0.67217 # DEPENDENCYPART_ARC
(18,19),-0.0521922 # DEPENDENCYPART_ARC
(18,20),-0.596847 # DEPENDENCYPART_ARC
(18,21),-0.407642 # DEPENDENCYPART_ARC
(18,22),-1.05324 # DEPENDENCYPART_ARC
(19,1),0.952069 # DEPENDENCYPART_ARC
(19,2),-1.28012 # DEPENDENCYPART_ARC
(19,3),-1.53331 # DEPENDENCYPART_ARC
(19,4),-2.37714 # DEPENDENCYPART_ARC
(19,5),-1.08219 # DEPENDENCYPART_ARC
(19,6),-0.732801 # DEPENDENCYPART_ARC
(19,7),-2.40289 # DEPENDENCYPART_ARC
(19,9),-1.68368 # DEPENDENCYPART_ARC
(19,10),-0.913511 # DEPENDENCYPART_ARC
(19,11),-0.808856 # DEPENDENCYPART_ARC
(19,12),1.8789 # DEPENDENCYPART_ARC
(19,13),-2.06457 # DEPENDENCYPART_ARC
(19,14),1.97623 # DEPENDENCYPART_ARC
(19,15),-1.25665 # DEPENDENCYPART_ARC
(19,16),-1.033 # DEPENDENCYPART_ARC
(19,17),-0.266953 # DEPENDENCYPART_ARC
(19,18),-0.402992 # DEPENDENCYPART_ARC
(19,20),0.942783 # DEPENDENCYPART_ARC
(19,21),0.111516 # DEPENDENCYPART_ARC
(19,22),1.74107 # DEPENDENCYPART_ARC
(19,23),-0.0679954 # DEPENDENCYPART_ARC
(20,16),-4.62985 # DEPENDENCYPART_ARC
(20,19),-4.59509 # DEPENDENCYPART_ARC
(20,21),2.28744 # DEPENDENCYPART_ARC
(20,22),-3.28633 # DEPENDENCYPART_ARC
(20,23),0.0359342 # DEPENDENCYPART_ARC
(21,17),-0.0577692 # DEPENDENCYPART_ARC
(21,18),-1.33395 # DEPENDENCYPART_ARC
(21,19),-1.56828 # DEPENDENCYPART_ARC
(21,20),0.535117 # DEPENDENCYPART_ARC
(21,22),-0.453213 # DEPENDENCYPART_ARC
(22,16),-2.92267 # DEPENDENCYPART_ARC
(22,17),-2.29521 # DEPENDENCYPART_ARC
(22,18),-0.429936 # DEPENDENCYPART_ARC
(22,19),-3.12933 # DEPENDENCYPART_ARC
(22,20),7.76782 # DEPENDENCYPART_ARC
(22,21),0.320446 # DEPENDENCYPART_ARC
(22,23),1.31514 # DEPENDENCYPART_ARC
