# _root_ Zjistil , že se guma dobře váže s kukuřičným sirupem , který je schopen absorbovat prakticky jakoukoliv chuťovou esenci .
#goldHeads=0,3,1,7,7,7,3,7,10,8,13,13,10,13,14,17,19,19,15,0,
#predictedHeads=0,3,1,7,7,7,3,7,10,8,13,13,10,13,14,15,19,19,15,0,
(6,13),-2.56229 # DEPENDENCYPART_ARC
(7,1),-2.10054 # DEPENDENCYPART_ARC
(7,2),0.106992 # DEPENDENCYPART_ARC
(7,3),-0.387289 # DEPENDENCYPART_ARC
(7,4),3.31124 # DEPENDENCYPART_ARC
(7,5),3.07968 # DEPENDENCYPART_ARC
(7,6),2.48562 # DEPENDENCYPART_ARC
(7,8),2.12027 # DEPENDENCYPART_ARC
(7,9),-2.08044 # DEPENDENCYPART_ARC
(7,10),1.55975 # DEPENDENCYPART_ARC
(7,11),0.517605 # DEPENDENCYPART_ARC
(7,13),-1.41136 # DEPENDENCYPART_ARC
(7,14),-0.0238167 # DEPENDENCYPART_ARC
(7,15),-0.0678638 # DEPENDENCYPART_ARC
(7,16),-1.23574 # DEPENDENCYPART_ARC
(7,19),-0.874243 # DEPENDENCYPART_ARC
(8,2),-1.13849 # DEPENDENCYPART_ARC
(8,5),-2.77939 # DEPENDENCYPART_ARC
(8,9),0.794389 # DEPENDENCYPART_ARC
(8,10),3.67126 # DEPENDENCYPART_ARC
(8,11),0.122801 # DEPENDENCYPART_ARC
(8,13),-0.781347 # DEPENDENCYPART_ARC
(8,19),-3.16951 # DEPENDENCYPART_ARC
(9,4),-2.08423 # DEPENDENCYPART_ARC
(9,6),-0.660628 # DEPENDENCYPART_ARC
(10,1),-3.73226 # DEPENDENCYPART_ARC
(10,4),-2.90822 # DEPENDENCYPART_ARC
(10,5),-3.5264 # DEPENDENCYPART_ARC
(10,6),-0.805432 # DEPENDENCYPART_ARC
(10,8),0.022223 # DEPENDENCYPART_ARC
(10,9),5.38893 # DEPENDENCYPART_ARC
(10,11),-0.0733867 # DEPENDENCYPART_ARC
(10,12),-2.40147 # DEPENDENCYPART_ARC
(10,13),1.31524 # DEPENDENCYPART_ARC
(10,14),0.148562 # DEPENDENCYPART_ARC
(10,15),0.872802 # DEPENDENCYPART_ARC
(10,16),-0.518871 # DEPENDENCYPART_ARC
(10,18),-3.4676 # DEPENDENCYPART_ARC
(10,19),-3.97721 # DEPENDENCYPART_ARC
(11,1),-1.72244 # DEPENDENCYPART_ARC
(11,2),-1.31522 # DEPENDENCYPART_ARC
(11,3),-2.03246 # DEPENDENCYPART_ARC
(11,5),-2.09538 # DEPENDENCYPART_ARC
(11,6),-1.64081 # DEPENDENCYPART_ARC
(11,7),-0.649259 # DEPENDENCYPART_ARC
(11,8),-1.23201 # DEPENDENCYPART_ARC
(11,10),-1.17661 # DEPENDENCYPART_ARC
(11,13),0.13076 # DEPENDENCYPART_ARC
(11,15),-0.939479 # DEPENDENCYPART_ARC
(11,16),-2.12771 # DEPENDENCYPART_ARC
(11,19),-2.75722 # DEPENDENCYPART_ARC
(12,11),-0.604479 # DEPENDENCYPART_ARC
(12,13),-1.08183 # DEPENDENCYPART_ARC
(12,14),0.859838 # DEPENDENCYPART_ARC
(12,19),-2.1477 # DEPENDENCYPART_ARC
(13,1),-3.10995 # DEPENDENCYPART_ARC
(13,2),-1.2667 # DEPENDENCYPART_ARC
(13,4),-0.308562 # DEPENDENCYPART_ARC
(13,5),0.811839 # DEPENDENCYPART_ARC
(13,6),-0.279146 # DEPENDENCYPART_ARC
(13,7),-1.68887 # DEPENDENCYPART_ARC
(13,8),-0.494 # DEPENDENCYPART_ARC
(13,9),-1.9398 # DEPENDENCYPART_ARC
(13,10),-0.509026 # DEPENDENCYPART_ARC
(13,11),1.9396 # DEPENDENCYPART_ARC
(13,12),2.80461 # DEPENDENCYPART_ARC
(13,14),3.98749 # DEPENDENCYPART_ARC
(13,15),1.94398 # DEPENDENCYPART_ARC
(13,16),-0.456898 # DEPENDENCYPART_ARC
(13,17),-1.97132 # DEPENDENCYPART_ARC
(13,18),-2.7851 # DEPENDENCYPART_ARC
(13,19),0.162471 # DEPENDENCYPART_ARC
(13,20),-0.589609 # DEPENDENCYPART_ARC
(14,4),0.315116 # DEPENDENCYPART_ARC
(14,8),-0.264995 # DEPENDENCYPART_ARC
(14,11),-0.633804 # DEPENDENCYPART_ARC
(14,12),0.431507 # DEPENDENCYPART_ARC
(14,15),3.7489 # DEPENDENCYPART_ARC
(14,16),1.09 # DEPENDENCYPART_ARC
(14,19),0.00347256 # DEPENDENCYPART_ARC
(14,20),0.0820943 # DEPENDENCYPART_ARC
(15,1),-5.09603 # DEPENDENCYPART_ARC
(15,2),-1.66004 # DEPENDENCYPART_ARC
(15,4),0.368015 # DEPENDENCYPART_ARC
(15,5),-0.63467 # DEPENDENCYPART_ARC
(15,6),-0.79642 # DEPENDENCYPART_ARC
(15,7),-3.18762 # DEPENDENCYPART_ARC
(15,8),0.230674 # DEPENDENCYPART_ARC
(15,10),-0.353495 # DEPENDENCYPART_ARC
(15,11),0.434772 # DEPENDENCYPART_ARC
(15,12),0.730788 # DEPENDENCYPART_ARC
(15,13),-1.53456 # DEPENDENCYPART_ARC
(15,14),-0.598585 # DEPENDENCYPART_ARC
(15,16),1.607 # DEPENDENCYPART_ARC
(15,17),1.14092 # DEPENDENCYPART_ARC
(15,18),-1.23685 # DEPENDENCYPART_ARC
(15,19),2.53259 # DEPENDENCYPART_ARC
(15,20),0.00228406 # DEPENDENCYPART_ARC
(16,7),-1.79217 # DEPENDENCYPART_ARC
(16,12),-1.45456 # DEPENDENCYPART_ARC
(16,15),0.10421 # DEPENDENCYPART_ARC
(16,18),-1.94795 # DEPENDENCYPART_ARC
(16,19),-1.9309 # DEPENDENCYPART_ARC
(16,20),-0.594424 # DEPENDENCYPART_ARC
(17,16),0.984697 # DEPENDENCYPART_ARC
(17,18),0.722278 # DEPENDENCYPART_ARC
(17,19),0.0917199 # DEPENDENCYPART_ARC
(17,20),-0.27464 # DEPENDENCYPART_ARC
(18,16),0.957153 # DEPENDENCYPART_ARC
(18,17),0.32147 # DEPENDENCYPART_ARC
(19,8),0.634815 # DEPENDENCYPART_ARC
(19,9),-1.25023 # DEPENDENCYPART_ARC
(19,12),-2.9964 # DEPENDENCYPART_ARC
(19,15),0.270558 # DEPENDENCYPART_ARC
(19,16),0.490578 # DEPENDENCYPART_ARC
(19,17),3.88477 # DEPENDENCYPART_ARC
(19,18),4.90271 # DEPENDENCYPART_ARC
(19,20),0.228807 # DEPENDENCYPART_ARC
