# _root_ Záplava objevů v infračerveném světle je prostě neuvěřitelná : poznali jsme , jak velká složka hmoty ve vesmíru je chladná , vlastně přímo mrazivá .
#goldHeads=6,1,2,5,3,9,6,6,0,9,10,21,14,15,19,15,16,17,21,19,10,21,24,21,0,
#predictedHeads=6,1,2,5,3,0,6,6,6,9,10,19,14,15,19,15,16,17,21,19,9,19,24,21,0,
(21,25),0.339777 # DEPENDENCYPART_ARC
(22,13),0.149682 # DEPENDENCYPART_ARC
(22,20),0.208346 # DEPENDENCYPART_ARC
(22,21),0.291298 # DEPENDENCYPART_ARC
(22,23),0.288055 # DEPENDENCYPART_ARC
(22,24),-0.19977 # DEPENDENCYPART_ARC
(22,25),0.123275 # DEPENDENCYPART_ARC
(23,13),-0.500298 # DEPENDENCYPART_ARC
(23,21),-0.508574 # DEPENDENCYPART_ARC
(23,22),0.183514 # DEPENDENCYPART_ARC
(23,24),-1.84067 # DEPENDENCYPART_ARC
(23,25),-0.188593 # DEPENDENCYPART_ARC
(24,17),-0.0215949 # DEPENDENCYPART_ARC
(24,20),-0.583978 # DEPENDENCYPART_ARC
(24,21),1.03086 # DEPENDENCYPART_ARC
(24,22),1.07438 # DEPENDENCYPART_ARC
(24,23),2.83926 # DEPENDENCYPART_ARC
(24,25),0.522444 # DEPENDENCYPART_ARC
