# _root_ Dají také jistotu , že člověk zaplatí jen tolik , kolik skutečně spotřeboval .
#goldHeads=0,1,1,5,3,7,5,9,7,13,13,13,7,0,
#predictedHeads=0,1,1,5,3,7,5,9,7,13,13,13,5,0,
(9,6),-0.679014 # DEPENDENCYPART_ARC
(9,8),2.24402 # DEPENDENCYPART_ARC
(9,10),0.909213 # DEPENDENCYPART_ARC
(9,13),-0.205361 # DEPENDENCYPART_ARC
(10,1),-0.750554 # DEPENDENCYPART_ARC
(10,2),-0.438985 # DEPENDENCYPART_ARC
(10,3),-0.520762 # DEPENDENCYPART_ARC
(10,4),-0.0689075 # DEPENDENCYPART_ARC
(10,5),-0.495208 # DEPENDENCYPART_ARC
(10,6),-0.630798 # DEPENDENCYPART_ARC
(10,7),0.230652 # DEPENDENCYPART_ARC
(10,8),0.0542653 # DEPENDENCYPART_ARC
(10,9),0.932448 # DEPENDENCYPART_ARC
(10,11),1.18126 # DEPENDENCYPART_ARC
(10,12),0.356349 # DEPENDENCYPART_ARC
(10,13),-0.119008 # DEPENDENCYPART_ARC
(10,14),-0.36205 # DEPENDENCYPART_ARC
(12,1),-2.35935 # DEPENDENCYPART_ARC
(12,2),-1.49275 # DEPENDENCYPART_ARC
(12,5),-1.23004 # DEPENDENCYPART_ARC
(12,6),-2.67525 # DEPENDENCYPART_ARC
(12,7),-1.58576 # DEPENDENCYPART_ARC
(12,8),-0.298769 # DEPENDENCYPART_ARC
(12,10),-0.525596 # DEPENDENCYPART_ARC
(12,13),-1.41853 # DEPENDENCYPART_ARC
(12,14),-0.366444 # DEPENDENCYPART_ARC
(13,1),-2.04359 # DEPENDENCYPART_ARC
(13,2),0.0257732 # DEPENDENCYPART_ARC
(13,3),-0.228878 # DEPENDENCYPART_ARC
(13,4),-0.114014 # DEPENDENCYPART_ARC
(13,5),-0.321938 # DEPENDENCYPART_ARC
(13,6),2.71984 # DEPENDENCYPART_ARC
(13,7),-0.387976 # DEPENDENCYPART_ARC
(13,8),0.846658 # DEPENDENCYPART_ARC
(13,9),0.682938 # DEPENDENCYPART_ARC
(13,10),1.08567 # DEPENDENCYPART_ARC
(13,11),1.59802 # DEPENDENCYPART_ARC
(13,12),3.2161 # DEPENDENCYPART_ARC
(13,14),0.323831 # DEPENDENCYPART_ARC
