# _root_ Situace na jazzové scéně , byť se v létě konal první ročník nového Agharta Jazz Festivalu , je téměř horší než za socialismu .
#goldHeads=18,1,4,2,6,18,10,10,8,6,12,10,16,16,16,12,6,0,20,18,20,21,22,0,
#predictedHeads=18,1,4,2,6,18,10,10,8,6,12,10,16,15,12,15,6,0,20,18,20,21,22,0,
(14,16),-1.44857 # DEPENDENCYPART_ARC
(14,21),0.215584 # DEPENDENCYPART_ARC
(15,11),2.28018 # DEPENDENCYPART_ARC
(15,12),0.163817 # DEPENDENCYPART_ARC
(15,13),2.0767 # DEPENDENCYPART_ARC
(15,14),4.06985 # DEPENDENCYPART_ARC
(15,16),3.06632 # DEPENDENCYPART_ARC
(15,17),-0.647212 # DEPENDENCYPART_ARC
(15,18),-2.42316 # DEPENDENCYPART_ARC
(15,19),-0.237572 # DEPENDENCYPART_ARC
(15,20),-1.46197 # DEPENDENCYPART_ARC
(15,21),-1.43043 # DEPENDENCYPART_ARC
(15,22),-2.01928 # DEPENDENCYPART_ARC
(15,23),-0.931673 # DEPENDENCYPART_ARC
(16,11),-0.31754 # DEPENDENCYPART_ARC
(16,12),-2.34646 # DEPENDENCYPART_ARC
(16,13),2.64895 # DEPENDENCYPART_ARC
(16,14),3.09657 # DEPENDENCYPART_ARC
(16,15),-0.433189 # DEPENDENCYPART_ARC
(16,17),-0.679034 # DEPENDENCYPART_ARC
(16,18),-1.49783 # DEPENDENCYPART_ARC
(16,19),-0.706238 # DEPENDENCYPART_ARC
(16,20),-3.4211 # DEPENDENCYPART_ARC
(16,21),-1.06924 # DEPENDENCYPART_ARC
(17,1),-1.46094 # DEPENDENCYPART_ARC
(17,2),-1.70255 # DEPENDENCYPART_ARC
(17,5),-0.920886 # DEPENDENCYPART_ARC
(17,6),-0.498924 # DEPENDENCYPART_ARC
(17,8),-1.13429 # DEPENDENCYPART_ARC
(17,9),-0.0530598 # DEPENDENCYPART_ARC
(17,10),0.314451 # DEPENDENCYPART_ARC
(17,12),-0.248859 # DEPENDENCYPART_ARC
(17,13),-0.644301 # DEPENDENCYPART_ARC
(17,14),-0.422349 # DEPENDENCYPART_ARC
(17,15),0.0410973 # DEPENDENCYPART_ARC
(17,16),-0.279774 # DEPENDENCYPART_ARC
(17,18),-0.132364 # DEPENDENCYPART_ARC
(17,19),-0.671396 # DEPENDENCYPART_ARC
(17,20),-1.13476 # DEPENDENCYPART_ARC
(17,21),-0.649509 # DEPENDENCYPART_ARC
(17,22),-1.50151 # DEPENDENCYPART_ARC
(18,1),2.62449 # DEPENDENCYPART_ARC
(18,2),-1.99344 # DEPENDENCYPART_ARC
(18,4),-1.9021 # DEPENDENCYPART_ARC
(18,5),-0.726397 # DEPENDENCYPART_ARC
(18,6),1.29309 # DEPENDENCYPART_ARC
(18,7),0.530968 # DEPENDENCYPART_ARC
(18,8),0.210548 # DEPENDENCYPART_ARC
(18,9),-1.17545 # DEPENDENCYPART_ARC
(18,10),-0.95361 # DEPENDENCYPART_ARC
(18,12),1.77187 # DEPENDENCYPART_ARC
(18,13),-3.79476 # DEPENDENCYPART_ARC
(18,14),-1.90571 # DEPENDENCYPART_ARC
(18,15),1.2907 # DEPENDENCYPART_ARC
(18,16),-1.32404 # DEPENDENCYPART_ARC
(18,17),0.119136 # DEPENDENCYPART_ARC
(18,19),1.20559 # DEPENDENCYPART_ARC
(18,20),3.26435 # DEPENDENCYPART_ARC
(18,21),0.371241 # DEPENDENCYPART_ARC
(18,22),-0.326852 # DEPENDENCYPART_ARC
(18,23),-2.51227 # DEPENDENCYPART_ARC
(18,24),0.130576 # DEPENDENCYPART_ARC
(19,16),-0.91498 # DEPENDENCYPART_ARC
(19,20),-0.514964 # DEPENDENCYPART_ARC
(19,21),1.01353 # DEPENDENCYPART_ARC
(19,22),-1.48063 # DEPENDENCYPART_ARC
(19,23),-1.22462 # DEPENDENCYPART_ARC
(20,1),-3.34076 # DEPENDENCYPART_ARC
(20,8),-1.03002 # DEPENDENCYPART_ARC
(20,13),-3.33944 # DEPENDENCYPART_ARC
(20,14),-1.8624 # DEPENDENCYPART_ARC
(20,15),-2.17782 # DEPENDENCYPART_ARC
(20,16),-2.76618 # DEPENDENCYPART_ARC
(20,17),-0.162962 # DEPENDENCYPART_ARC
(20,19),2.24319 # DEPENDENCYPART_ARC
(20,21),2.59509 # DEPENDENCYPART_ARC
(20,22),-0.27356 # DEPENDENCYPART_ARC
(20,23),-0.284402 # DEPENDENCYPART_ARC
(20,24),0.228353 # DEPENDENCYPART_ARC
(21,10),-2.37581 # DEPENDENCYPART_ARC
(21,15),-3.11139 # DEPENDENCYPART_ARC
(21,16),-2.98324 # DEPENDENCYPART_ARC
(21,17),-0.411862 # DEPENDENCYPART_ARC
(21,18),-0.947002 # DEPENDENCYPART_ARC
(21,19),-0.900499 # DEPENDENCYPART_ARC
(21,20),-1.41919 # DEPENDENCYPART_ARC
(21,22),1.36749 # DEPENDENCYPART_ARC
(21,23),0.998291 # DEPENDENCYPART_ARC
(21,24),0.260909 # DEPENDENCYPART_ARC
(22,23),3.65745 # DEPENDENCYPART_ARC
(22,24),-0.401538 # DEPENDENCYPART_ARC
(23,11),-2.54546 # DEPENDENCYPART_ARC
(23,19),0.615812 # DEPENDENCYPART_ARC
(23,20),-4.21497 # DEPENDENCYPART_ARC
(23,21),0.382444 # DEPENDENCYPART_ARC
(23,22),-0.147511 # DEPENDENCYPART_ARC
(23,24),0.250429 # DEPENDENCYPART_ARC
