# _root_ Hlavním bodem je turnaj ve streetballu , což je jakási uliční varianta basketbalu na jeden koš pro zpravidla tříčlenná družstva , která si našla do Evropy cestu z USA .
#goldHeads=2,3,7,3,4,5,0,9,7,12,12,9,12,13,16,14,13,19,20,17,24,24,24,12,24,25,24,24,28,0,
#predictedHeads=2,3,7,3,4,5,0,9,7,12,12,9,12,13,16,14,16,19,20,17,24,24,24,20,24,25,24,27,28,0,
(12,10),3.66283 # DEPENDENCYPART_ARC
(12,11),4.79983 # DEPENDENCYPART_ARC
(12,13),3.59248 # DEPENDENCYPART_ARC
(12,14),1.10403 # DEPENDENCYPART_ARC
(12,15),-2.48969 # DEPENDENCYPART_ARC
(12,16),-3.52056 # DEPENDENCYPART_ARC
(12,17),0.595779 # DEPENDENCYPART_ARC
(12,19),-3.67799 # DEPENDENCYPART_ARC
(12,20),-4.66519 # DEPENDENCYPART_ARC
(12,24),0.431503 # DEPENDENCYPART_ARC
(12,25),-1.83281 # DEPENDENCYPART_ARC
(12,28),-1.3614 # DEPENDENCYPART_ARC
(13,6),-4.66971 # DEPENDENCYPART_ARC
(13,10),-1.52509 # DEPENDENCYPART_ARC
(13,11),-1.05988 # DEPENDENCYPART_ARC
(13,12),-1.26797 # DEPENDENCYPART_ARC
(13,14),1.12137 # DEPENDENCYPART_ARC
(13,15),-1.96213 # DEPENDENCYPART_ARC
(13,16),-3.42037 # DEPENDENCYPART_ARC
(13,17),0.720928 # DEPENDENCYPART_ARC
(13,19),-4.37017 # DEPENDENCYPART_ARC
(13,24),-0.37164 # DEPENDENCYPART_ARC
(13,28),-1.53871 # DEPENDENCYPART_ARC
(14,13),0.050691 # DEPENDENCYPART_ARC
(14,15),2.37675 # DEPENDENCYPART_ARC
(14,16),4.13778 # DEPENDENCYPART_ARC
(14,18),-0.457015 # DEPENDENCYPART_ARC
(14,19),-0.0734113 # DEPENDENCYPART_ARC
(14,20),0.835126 # DEPENDENCYPART_ARC
(15,13),-0.92332 # DEPENDENCYPART_ARC
(15,16),1.27336 # DEPENDENCYPART_ARC
(15,17),0.0625321 # DEPENDENCYPART_ARC
(16,6),-3.80007 # DEPENDENCYPART_ARC
(16,10),-2.67403 # DEPENDENCYPART_ARC
(16,11),-2.95204 # DEPENDENCYPART_ARC
(16,12),-2.39699 # DEPENDENCYPART_ARC
(16,13),-1.66843 # DEPENDENCYPART_ARC
(16,14),0.181757 # DEPENDENCYPART_ARC
(16,15),4.85802 # DEPENDENCYPART_ARC
(16,17),1.82139 # DEPENDENCYPART_ARC
(16,18),-0.14375 # DEPENDENCYPART_ARC
(16,19),-1.49303 # DEPENDENCYPART_ARC
(16,20),-1.4538 # DEPENDENCYPART_ARC
(16,21),-0.87878 # DEPENDENCYPART_ARC
(16,24),-0.190271 # DEPENDENCYPART_ARC
(16,25),-1.48296 # DEPENDENCYPART_ARC
(16,28),-1.11881 # DEPENDENCYPART_ARC
(17,16),-0.776172 # DEPENDENCYPART_ARC
(17,18),1.00522 # DEPENDENCYPART_ARC
(17,19),1.28882 # DEPENDENCYPART_ARC
(17,20),3.37065 # DEPENDENCYPART_ARC
(17,21),0.241908 # DEPENDENCYPART_ARC
(17,26),-4.87172 # DEPENDENCYPART_ARC
(17,27),-2.38781 # DEPENDENCYPART_ARC
(18,3),-2.34293 # DEPENDENCYPART_ARC
(18,20),-0.331842 # DEPENDENCYPART_ARC
(18,21),-0.711376 # DEPENDENCYPART_ARC
(19,17),-0.38003 # DEPENDENCYPART_ARC
(19,18),2.21954 # DEPENDENCYPART_ARC
(19,20),-0.712152 # DEPENDENCYPART_ARC
(19,25),-1.18626 # DEPENDENCYPART_ARC
(20,11),-4.48931 # DEPENDENCYPART_ARC
(20,15),0.369436 # DEPENDENCYPART_ARC
(20,16),-1.41782 # DEPENDENCYPART_ARC
(20,18),0.926865 # DEPENDENCYPART_ARC
(20,19),4.08907 # DEPENDENCYPART_ARC
(20,21),-0.0142023 # DEPENDENCYPART_ARC
(20,22),-2.79527 # DEPENDENCYPART_ARC
(20,24),1.23751 # DEPENDENCYPART_ARC
(20,25),-0.743297 # DEPENDENCYPART_ARC
(20,26),-0.947084 # DEPENDENCYPART_ARC
(20,27),-2.39452 # DEPENDENCYPART_ARC
(20,28),-0.34979 # DEPENDENCYPART_ARC
(21,2),-3.88336 # DEPENDENCYPART_ARC
(21,3),-1.77357 # DEPENDENCYPART_ARC
(21,7),-1.62618 # DEPENDENCYPART_ARC
(21,9),-1.26222 # DEPENDENCYPART_ARC
(21,10),-2.04742 # DEPENDENCYPART_ARC
(21,15),-1.78565 # DEPENDENCYPART_ARC
(21,18),-1.50667 # DEPENDENCYPART_ARC
(21,19),-1.81208 # DEPENDENCYPART_ARC
(21,20),-1.4386 # DEPENDENCYPART_ARC
(21,24),-0.220732 # DEPENDENCYPART_ARC
(21,25),-2.08103 # DEPENDENCYPART_ARC
(21,27),-2.44602 # DEPENDENCYPART_ARC
(21,28),-2.39552 # DEPENDENCYPART_ARC
(22,21),-0.334297 # DEPENDENCYPART_ARC
(22,26),-1.50901 # DEPENDENCYPART_ARC
(22,27),-1.74156 # DEPENDENCYPART_ARC
(22,29),-1.67642 # DEPENDENCYPART_ARC
(24,2),-0.914637 # DEPENDENCYPART_ARC
(24,3),-3.28476 # DEPENDENCYPART_ARC
(24,4),-0.0105775 # DEPENDENCYPART_ARC
(24,5),-1.25172 # DEPENDENCYPART_ARC
(24,6),-2.9834 # DEPENDENCYPART_ARC
(24,7),1.17797 # DEPENDENCYPART_ARC
(24,9),-1.73352 # DEPENDENCYPART_ARC
(24,12),0.646034 # DEPENDENCYPART_ARC
(24,13),-2.63763 # DEPENDENCYPART_ARC
(24,14),-0.559566 # DEPENDENCYPART_ARC
(24,15),-0.882688 # DEPENDENCYPART_ARC
(24,16),0.0402095 # DEPENDENCYPART_ARC
(24,17),-0.46504 # DEPENDENCYPART_ARC
(24,18),-0.632622 # DEPENDENCYPART_ARC
(24,19),-2.2401 # DEPENDENCYPART_ARC
(24,20),-1.48338 # DEPENDENCYPART_ARC
(24,21),2.2344 # DEPENDENCYPART_ARC
(24,22),2.98522 # DEPENDENCYPART_ARC
(24,23),3.44452 # DEPENDENCYPART_ARC
(24,25),2.59567 # DEPENDENCYPART_ARC
(24,26),-1.45696 # DEPENDENCYPART_ARC
(24,27),2.76688 # DEPENDENCYPART_ARC
(24,28),1.04969 # DEPENDENCYPART_ARC
(24,29),-1.7085 # DEPENDENCYPART_ARC
(24,30),-0.199231 # DEPENDENCYPART_ARC
(25,26),4.08683 # DEPENDENCYPART_ARC
(25,27),-1.30563 # DEPENDENCYPART_ARC
(25,29),-1.29786 # DEPENDENCYPART_ARC
(26,22),-2.77372 # DEPENDENCYPART_ARC
(26,23),-4.43374 # DEPENDENCYPART_ARC
(26,25),0.644031 # DEPENDENCYPART_ARC
(26,27),-2.40684 # DEPENDENCYPART_ARC
(26,28),-0.591548 # DEPENDENCYPART_ARC
(26,29),-1.13309 # DEPENDENCYPART_ARC
(27,22),-2.79642 # DEPENDENCYPART_ARC
(27,23),-4.05803 # DEPENDENCYPART_ARC
(27,25),0.0545983 # DEPENDENCYPART_ARC
(27,26),1.19755 # DEPENDENCYPART_ARC
(27,28),2.7165 # DEPENDENCYPART_ARC
(27,29),1.04313 # DEPENDENCYPART_ARC
(27,30),0.309345 # DEPENDENCYPART_ARC
(28,26),-1.63666 # DEPENDENCYPART_ARC
(28,27),-1.12747 # DEPENDENCYPART_ARC
(28,29),3.70712 # DEPENDENCYPART_ARC
(28,30),-0.104816 # DEPENDENCYPART_ARC
(29,22),-6.04479 # DEPENDENCYPART_ARC
(29,23),-5.68189 # DEPENDENCYPART_ARC
(29,25),-1.92427 # DEPENDENCYPART_ARC
(29,26),-1.5573 # DEPENDENCYPART_ARC
(29,27),-3.74229 # DEPENDENCYPART_ARC
(29,28),-1.27823 # DEPENDENCYPART_ARC
(29,30),-0.477969 # DEPENDENCYPART_ARC
