# _root_ Že Perry svojí pozorností k severokorejským jaderným choutkám píchl do vosího hnízda , ukazuje způsob , jakým na jeho cestu zareagovala oficiální pchjongjangská agentura KCNA .
#goldHeads=14,9,4,9,4,8,8,5,1,9,12,10,1,0,14,21,21,21,20,18,15,24,24,21,24,0,
#predictedHeads=14,9,4,9,4,8,8,5,1,9,12,10,1,0,14,21,21,21,20,18,15,24,24,21,24,0,
(16,18),-0.872076 # DEPENDENCYPART_ARC
(16,20),-1.15009 # DEPENDENCYPART_ARC
(16,21),0.405547 # DEPENDENCYPART_ARC
(16,22),-1.62748 # DEPENDENCYPART_ARC
(16,24),-2.09891 # DEPENDENCYPART_ARC
(17,16),0.041159 # DEPENDENCYPART_ARC
(17,18),-0.400168 # DEPENDENCYPART_ARC
(17,20),-1.5076 # DEPENDENCYPART_ARC
(17,21),-0.178847 # DEPENDENCYPART_ARC
(17,24),-2.30571 # DEPENDENCYPART_ARC
(17,25),-3.31281 # DEPENDENCYPART_ARC
(18,16),0.290643 # DEPENDENCYPART_ARC
(18,19),0.853726 # DEPENDENCYPART_ARC
(18,20),5.41616 # DEPENDENCYPART_ARC
(18,22),-2.00236 # DEPENDENCYPART_ARC
(18,23),-1.96573 # DEPENDENCYPART_ARC
(18,24),-2.50513 # DEPENDENCYPART_ARC
(18,25),-2.5188 # DEPENDENCYPART_ARC
(20,15),-4.19929 # DEPENDENCYPART_ARC
(20,17),-2.27366 # DEPENDENCYPART_ARC
(20,18),0.039279 # DEPENDENCYPART_ARC
(20,19),5.7656 # DEPENDENCYPART_ARC
(20,22),-1.09287 # DEPENDENCYPART_ARC
(20,23),-1.66219 # DEPENDENCYPART_ARC
(20,24),-1.70596 # DEPENDENCYPART_ARC
(20,25),-1.46986 # DEPENDENCYPART_ARC
(21,1),1.44798 # DEPENDENCYPART_ARC
(21,2),-0.048042 # DEPENDENCYPART_ARC
(21,4),1.02216 # DEPENDENCYPART_ARC
(21,5),-0.954458 # DEPENDENCYPART_ARC
(21,6),-1.95634 # DEPENDENCYPART_ARC
(21,8),-0.264356 # DEPENDENCYPART_ARC
(21,9),-4.74243 # DEPENDENCYPART_ARC
(21,10),-0.0558419 # DEPENDENCYPART_ARC
(21,12),-4.07826 # DEPENDENCYPART_ARC
(21,13),-0.366375 # DEPENDENCYPART_ARC
(21,14),-0.654804 # DEPENDENCYPART_ARC
(21,15),0.0260846 # DEPENDENCYPART_ARC
(21,16),1.96299 # DEPENDENCYPART_ARC
(21,17),1.86009 # DEPENDENCYPART_ARC
(21,18),2.5128 # DEPENDENCYPART_ARC
(21,19),-1.41135 # DEPENDENCYPART_ARC
(21,20),3.19945 # DEPENDENCYPART_ARC
(21,22),1.95977 # DEPENDENCYPART_ARC
(21,23),0.0532163 # DEPENDENCYPART_ARC
(21,24),2.59057 # DEPENDENCYPART_ARC
(21,25),0.427701 # DEPENDENCYPART_ARC
(21,26),-0.454588 # DEPENDENCYPART_ARC
(22,18),-0.239221 # DEPENDENCYPART_ARC
(22,20),-1.91991 # DEPENDENCYPART_ARC
(22,23),-0.475368 # DEPENDENCYPART_ARC
(22,24),-0.452212 # DEPENDENCYPART_ARC
(22,25),-0.974532 # DEPENDENCYPART_ARC
(22,26),-0.846709 # DEPENDENCYPART_ARC
(23,18),-0.379993 # DEPENDENCYPART_ARC
(23,22),-0.466305 # DEPENDENCYPART_ARC
(23,25),-0.864595 # DEPENDENCYPART_ARC
(24,17),-4.3226 # DEPENDENCYPART_ARC
(24,18),0.130914 # DEPENDENCYPART_ARC
(24,19),2.00367 # DEPENDENCYPART_ARC
(24,20),-3.05913 # DEPENDENCYPART_ARC
(24,22),4.3785 # DEPENDENCYPART_ARC
(24,23),4.64708 # DEPENDENCYPART_ARC
(24,25),3.03939 # DEPENDENCYPART_ARC
(24,26),0.135661 # DEPENDENCYPART_ARC
(25,17),-3.80787 # DEPENDENCYPART_ARC
(25,19),0.109585 # DEPENDENCYPART_ARC
(25,20),-3.3492 # DEPENDENCYPART_ARC
(25,22),1.08062 # DEPENDENCYPART_ARC
(25,23),1.72769 # DEPENDENCYPART_ARC
(25,24),-1.13754 # DEPENDENCYPART_ARC
(25,26),-0.191995 # DEPENDENCYPART_ARC
