# _root_ Rozdíl je v tom , že je ve vyhlášce přesně limitováno , co může být soutěžícím poskytnuto .
#goldHeads=2,0,2,3,6,4,6,7,8,11,7,14,14,7,17,17,14,0,
#predictedHeads=2,0,2,3,6,4,6,7,8,11,7,14,17,6,17,15,14,0,
(3,9),0.809969 # DEPENDENCYPART_ARC
(4,1),-0.987608 # DEPENDENCYPART_ARC
(4,2),-0.471712 # DEPENDENCYPART_ARC
(4,5),-0.0098721 # DEPENDENCYPART_ARC
(4,6),2.39231 # DEPENDENCYPART_ARC
(4,7),-0.801585 # DEPENDENCYPART_ARC
(4,9),-0.376994 # DEPENDENCYPART_ARC
(4,11),-0.0876298 # DEPENDENCYPART_ARC
(4,12),0.411777 # DEPENDENCYPART_ARC
(4,14),-1.97194 # DEPENDENCYPART_ARC
(5,1),-1.40218 # DEPENDENCYPART_ARC
(5,2),-0.409623 # DEPENDENCYPART_ARC
(5,3),-0.741504 # DEPENDENCYPART_ARC
(5,4),-0.0414855 # DEPENDENCYPART_ARC
(5,7),-0.543527 # DEPENDENCYPART_ARC
(5,11),-1.13432 # DEPENDENCYPART_ARC
(6,1),-0.0826895 # DEPENDENCYPART_ARC
(6,2),-0.717875 # DEPENDENCYPART_ARC
(6,3),-1.04957 # DEPENDENCYPART_ARC
(6,5),2.36735 # DEPENDENCYPART_ARC
(6,7),2.38365 # DEPENDENCYPART_ARC
(6,8),-1.22586 # DEPENDENCYPART_ARC
(6,10),-1.16912 # DEPENDENCYPART_ARC
(6,11),0.886034 # DEPENDENCYPART_ARC
(6,12),0.354595 # DEPENDENCYPART_ARC
(6,14),-0.476001 # DEPENDENCYPART_ARC
(6,15),-1.31885 # DEPENDENCYPART_ARC
(6,17),-1.88188 # DEPENDENCYPART_ARC
(7,1),1.00485 # DEPENDENCYPART_ARC
(7,2),-2.8888 # DEPENDENCYPART_ARC
(7,3),-1.20571 # DEPENDENCYPART_ARC
(7,4),-3.52131 # DEPENDENCYPART_ARC
(7,5),-0.419139 # DEPENDENCYPART_ARC
(7,6),-0.887044 # DEPENDENCYPART_ARC
(7,8),2.17747 # DEPENDENCYPART_ARC
(7,9),0.466359 # DEPENDENCYPART_ARC
(7,10),0.813917 # DEPENDENCYPART_ARC
(7,11),2.27637 # DEPENDENCYPART_ARC
(7,12),-0.206524 # DEPENDENCYPART_ARC
(7,14),-2.16692 # DEPENDENCYPART_ARC
(7,15),-1.12698 # DEPENDENCYPART_ARC
(7,17),-1.29959 # DEPENDENCYPART_ARC
(8,5),-1.10376 # DEPENDENCYPART_ARC
(8,9),4.12287 # DEPENDENCYPART_ARC
(9,4),-0.832855 # DEPENDENCYPART_ARC
(9,8),0.955631 # DEPENDENCYPART_ARC
(9,10),-0.360192 # DEPENDENCYPART_ARC
(9,11),-0.668827 # DEPENDENCYPART_ARC
(9,14),-2.44331 # DEPENDENCYPART_ARC
(9,15),-2.16016 # DEPENDENCYPART_ARC
(9,16),-3.89781 # DEPENDENCYPART_ARC
(9,17),-4.53364 # DEPENDENCYPART_ARC
(10,4),-1.0994 # DEPENDENCYPART_ARC
(10,8),-0.768971 # DEPENDENCYPART_ARC
(10,9),-1.45392 # DEPENDENCYPART_ARC
(10,14),-2.10855 # DEPENDENCYPART_ARC
(10,15),-1.74302 # DEPENDENCYPART_ARC
(11,1),1.27119 # DEPENDENCYPART_ARC
(11,2),-1.70927 # DEPENDENCYPART_ARC
(11,3),0.408031 # DEPENDENCYPART_ARC
(11,4),-2.9008 # DEPENDENCYPART_ARC
(11,5),0.328477 # DEPENDENCYPART_ARC
(11,6),-0.28867 # DEPENDENCYPART_ARC
(11,7),1.19024 # DEPENDENCYPART_ARC
(11,8),2.04284 # DEPENDENCYPART_ARC
(11,9),0.210712 # DEPENDENCYPART_ARC
(11,10),3.40084 # DEPENDENCYPART_ARC
(11,12),0.453422 # DEPENDENCYPART_ARC
(11,14),-1.60997 # DEPENDENCYPART_ARC
(11,15),0.0573048 # DEPENDENCYPART_ARC
(12,2),0.058984 # DEPENDENCYPART_ARC
(12,3),-0.760935 # DEPENDENCYPART_ARC
(12,4),-0.40388 # DEPENDENCYPART_ARC
(12,5),0.0750236 # DEPENDENCYPART_ARC
(12,6),-0.328135 # DEPENDENCYPART_ARC
(12,7),0.574279 # DEPENDENCYPART_ARC
(12,8),-0.130611 # DEPENDENCYPART_ARC
(12,9),0.356991 # DEPENDENCYPART_ARC
(12,10),-0.0263274 # DEPENDENCYPART_ARC
(12,11),0.743263 # DEPENDENCYPART_ARC
(12,13),-0.0535395 # DEPENDENCYPART_ARC
(12,14),0.588023 # DEPENDENCYPART_ARC
(12,15),0.083649 # DEPENDENCYPART_ARC
(12,16),-1.3843 # DEPENDENCYPART_ARC
(12,17),-0.950516 # DEPENDENCYPART_ARC
(12,18),-0.0822975 # DEPENDENCYPART_ARC
(13,12),0.06205 # DEPENDENCYPART_ARC
(14,1),0.909076 # DEPENDENCYPART_ARC
(14,2),-3.92883 # DEPENDENCYPART_ARC
(14,3),-1.3803 # DEPENDENCYPART_ARC
(14,5),-1.2146 # DEPENDENCYPART_ARC
(14,6),-1.07489 # DEPENDENCYPART_ARC
(14,7),-1.55972 # DEPENDENCYPART_ARC
(14,8),-0.28019 # DEPENDENCYPART_ARC
(14,9),-1.27507 # DEPENDENCYPART_ARC
(14,10),0.406517 # DEPENDENCYPART_ARC
(14,11),-0.637147 # DEPENDENCYPART_ARC
(14,12),1.5736 # DEPENDENCYPART_ARC
(14,13),2.36378 # DEPENDENCYPART_ARC
(14,15),3.25097 # DEPENDENCYPART_ARC
(14,16),-1.66044 # DEPENDENCYPART_ARC
(14,17),2.06764 # DEPENDENCYPART_ARC
(14,18),0.0832901 # DEPENDENCYPART_ARC
(15,1),0.00126095 # DEPENDENCYPART_ARC
(15,7),-3.48599 # DEPENDENCYPART_ARC
(15,8),-1.60898 # DEPENDENCYPART_ARC
(15,9),-1.32883 # DEPENDENCYPART_ARC
(15,10),-0.490751 # DEPENDENCYPART_ARC
(15,11),-2.20446 # DEPENDENCYPART_ARC
(15,12),0.182257 # DEPENDENCYPART_ARC
(15,13),0.899115 # DEPENDENCYPART_ARC
(15,14),-0.920179 # DEPENDENCYPART_ARC
(15,16),2.72915 # DEPENDENCYPART_ARC
(15,17),1.69513 # DEPENDENCYPART_ARC
(15,18),-0.596288 # DEPENDENCYPART_ARC
(16,17),1.44526 # DEPENDENCYPART_ARC
(16,18),-0.218273 # DEPENDENCYPART_ARC
(17,1),1.08106 # DEPENDENCYPART_ARC
(17,2),-3.21164 # DEPENDENCYPART_ARC
(17,3),-0.0495854 # DEPENDENCYPART_ARC
(17,6),-0.981257 # DEPENDENCYPART_ARC
(17,7),-0.979688 # DEPENDENCYPART_ARC
(17,8),0.823419 # DEPENDENCYPART_ARC
(17,9),-1.03354 # DEPENDENCYPART_ARC
(17,10),0.930575 # DEPENDENCYPART_ARC
(17,12),1.12286 # DEPENDENCYPART_ARC
(17,13),2.61899 # DEPENDENCYPART_ARC
(17,14),0.23491 # DEPENDENCYPART_ARC
(17,15),3.91214 # DEPENDENCYPART_ARC
(17,18),-0.0688633 # DEPENDENCYPART_ARC
(18,16),-3.0603 # DEPENDENCYPART_ARC
(18,17),-3.78086 # DEPENDENCYPART_ARC
