# _root_ " Chtěl jsem víc , ale v posledních třech závodech ME se mi motor Porsche rozsypával , " říká Bartoš .
#goldHeads=6,6,2,2,6,19,16,10,10,7,10,16,16,16,14,6,6,6,0,19,0,
#predictedHeads=2,19,2,2,6,19,16,10,10,7,10,16,16,16,14,6,2,2,0,19,0,
(16,19),-0.815477 # DEPENDENCYPART_ARC
(16,20),0.61191 # DEPENDENCYPART_ARC
(16,21),-1.07235 # DEPENDENCYPART_ARC
(17,1),-0.0914584 # DEPENDENCYPART_ARC
(17,2),-1.51851 # DEPENDENCYPART_ARC
(17,3),-1.04881 # DEPENDENCYPART_ARC
(17,5),-0.754143 # DEPENDENCYPART_ARC
(17,6),-0.62279 # DEPENDENCYPART_ARC
(17,9),-0.769497 # DEPENDENCYPART_ARC
(17,11),-0.845166 # DEPENDENCYPART_ARC
(17,14),-0.271458 # DEPENDENCYPART_ARC
(17,15),-0.512113 # DEPENDENCYPART_ARC
(17,16),-0.844058 # DEPENDENCYPART_ARC
(17,18),-0.392298 # DEPENDENCYPART_ARC
(17,19),-1.10548 # DEPENDENCYPART_ARC
(17,20),-1.10729 # DEPENDENCYPART_ARC
(18,2),-3.07809 # DEPENDENCYPART_ARC
(18,14),-3.02752 # DEPENDENCYPART_ARC
(18,15),-2.34467 # DEPENDENCYPART_ARC
(18,16),-2.3055 # DEPENDENCYPART_ARC
(18,17),-1.93263 # DEPENDENCYPART_ARC
(18,19),-2.08136 # DEPENDENCYPART_ARC
(18,20),-2.84313 # DEPENDENCYPART_ARC
(18,21),-2.43063 # DEPENDENCYPART_ARC
(19,1),-0.473929 # DEPENDENCYPART_ARC
(19,2),1.38659 # DEPENDENCYPART_ARC
(19,3),0.335808 # DEPENDENCYPART_ARC
(19,4),-1.02242 # DEPENDENCYPART_ARC
(19,5),0.742089 # DEPENDENCYPART_ARC
(19,6),1.06134 # DEPENDENCYPART_ARC
(19,7),0.0663412 # DEPENDENCYPART_ARC
(19,8),-4.49609 # DEPENDENCYPART_ARC
(19,9),-2.88065 # DEPENDENCYPART_ARC
(19,10),-2.22442 # DEPENDENCYPART_ARC
(19,11),-1.84424 # DEPENDENCYPART_ARC
(19,12),0.800306 # DEPENDENCYPART_ARC
(19,13),-0.381885 # DEPENDENCYPART_ARC
(19,14),0.742925 # DEPENDENCYPART_ARC
(19,15),-1.29911 # DEPENDENCYPART_ARC
(19,16),-0.0659824 # DEPENDENCYPART_ARC
(19,17),0.112274 # DEPENDENCYPART_ARC
(19,18),-0.254845 # DEPENDENCYPART_ARC
(19,20),3.00909 # DEPENDENCYPART_ARC
(19,21),-0.104768 # DEPENDENCYPART_ARC
(20,18),-0.348896 # DEPENDENCYPART_ARC
(20,21),0.27043 # DEPENDENCYPART_ARC
