# _root_ Místo toho jsou jen profesionálně velmi slušně odvedeným , poutavým , leč značně konfekčním řemeslem .
#goldHeads=3,1,0,8,8,7,8,12,12,12,12,15,14,12,3,0,
#predictedHeads=3,1,0,5,3,7,8,9,15,9,12,3,14,15,12,0,
(8,10),-1.36386 # DEPENDENCYPART_ARC
(8,11),-0.542272 # DEPENDENCYPART_ARC
(8,12),0.160835 # DEPENDENCYPART_ARC
(8,13),-1.16981 # DEPENDENCYPART_ARC
(8,15),-2.36215 # DEPENDENCYPART_ARC
(9,1),-0.507213 # DEPENDENCYPART_ARC
(9,2),-0.108923 # DEPENDENCYPART_ARC
(9,3),0.819611 # DEPENDENCYPART_ARC
(9,4),-0.287809 # DEPENDENCYPART_ARC
(9,5),0.179378 # DEPENDENCYPART_ARC
(9,6),0.456487 # DEPENDENCYPART_ARC
(9,7),0.582007 # DEPENDENCYPART_ARC
(9,8),1.71402 # DEPENDENCYPART_ARC
(9,10),1.96782 # DEPENDENCYPART_ARC
(9,11),0.704603 # DEPENDENCYPART_ARC
(9,12),0.318082 # DEPENDENCYPART_ARC
(9,13),-0.154023 # DEPENDENCYPART_ARC
(9,14),1.76299 # DEPENDENCYPART_ARC
(9,15),-0.427773 # DEPENDENCYPART_ARC
(9,16),-0.0944903 # DEPENDENCYPART_ARC
(10,1),-1.24864 # DEPENDENCYPART_ARC
(10,5),-0.308058 # DEPENDENCYPART_ARC
(10,6),-0.283272 # DEPENDENCYPART_ARC
(10,7),0.237027 # DEPENDENCYPART_ARC
(10,8),-0.777231 # DEPENDENCYPART_ARC
(10,9),1.01467 # DEPENDENCYPART_ARC
(10,11),0.710265 # DEPENDENCYPART_ARC
(10,12),0.110953 # DEPENDENCYPART_ARC
(10,13),-0.861911 # DEPENDENCYPART_ARC
(10,15),-1.73575 # DEPENDENCYPART_ARC
(10,16),-1.08606 # DEPENDENCYPART_ARC
(11,1),-1.10934 # DEPENDENCYPART_ARC
(11,3),0.122245 # DEPENDENCYPART_ARC
(11,4),-0.986432 # DEPENDENCYPART_ARC
(11,6),-0.424345 # DEPENDENCYPART_ARC
(11,7),-0.255159 # DEPENDENCYPART_ARC
(11,8),-0.381766 # DEPENDENCYPART_ARC
(11,9),0.624585 # DEPENDENCYPART_ARC
(11,10),-0.084521 # DEPENDENCYPART_ARC
(11,13),-0.311837 # DEPENDENCYPART_ARC
(11,14),1.20123 # DEPENDENCYPART_ARC
(11,15),-1.24378 # DEPENDENCYPART_ARC
(12,3),-0.144858 # DEPENDENCYPART_ARC
(12,9),0.969542 # DEPENDENCYPART_ARC
(12,10),1.03918 # DEPENDENCYPART_ARC
(12,11),2.24447 # DEPENDENCYPART_ARC
(12,13),0.487004 # DEPENDENCYPART_ARC
(12,14),1.68219 # DEPENDENCYPART_ARC
(12,15),0.361438 # DEPENDENCYPART_ARC
(12,16),0.0622923 # DEPENDENCYPART_ARC
(13,11),-0.343304 # DEPENDENCYPART_ARC
(13,12),0.0769158 # DEPENDENCYPART_ARC
(13,14),-1.09345 # DEPENDENCYPART_ARC
(13,15),-0.710253 # DEPENDENCYPART_ARC
(13,16),-0.396053 # DEPENDENCYPART_ARC
(14,7),-0.699873 # DEPENDENCYPART_ARC
(14,8),-2.44952 # DEPENDENCYPART_ARC
(14,10),-2.08552 # DEPENDENCYPART_ARC
(14,11),-0.131791 # DEPENDENCYPART_ARC
(14,13),2.18251 # DEPENDENCYPART_ARC
(14,15),0.337174 # DEPENDENCYPART_ARC
(14,16),-0.111321 # DEPENDENCYPART_ARC
(15,2),0.509839 # DEPENDENCYPART_ARC
(15,4),-0.56386 # DEPENDENCYPART_ARC
(15,5),-1.53671 # DEPENDENCYPART_ARC
(15,6),-1.18401 # DEPENDENCYPART_ARC
(15,8),-0.23317 # DEPENDENCYPART_ARC
(15,9),1.03989 # DEPENDENCYPART_ARC
(15,10),0.484109 # DEPENDENCYPART_ARC
(15,11),0.976995 # DEPENDENCYPART_ARC
(15,12),1.00052 # DEPENDENCYPART_ARC
(15,13),0.763853 # DEPENDENCYPART_ARC
(15,14),3.89595 # DEPENDENCYPART_ARC
(15,16),0.380601 # DEPENDENCYPART_ARC
(16,13),-2.96188 # DEPENDENCYPART_ARC
(16,14),-3.23407 # DEPENDENCYPART_ARC
