# _root_ Ženy , které byly donuceny poskytovat sexuální služby japonským vojákům za války , budou odškodněny formou zřízení center pro vzdělávání žen v jednotlivých zemích .
#goldHeads=15,5,5,5,1,5,8,6,10,6,6,11,5,15,0,15,16,17,18,19,20,18,24,22,0,
#predictedHeads=0,5,5,5,1,5,8,6,10,6,10,11,5,15,8,15,16,17,18,19,20,20,24,22,0,
(5,14),-2.20722 # DEPENDENCYPART_ARC
(5,16),-1.73538 # DEPENDENCYPART_ARC
(5,17),-3.90016 # DEPENDENCYPART_ARC
(5,18),-3.60135 # DEPENDENCYPART_ARC
(5,22),-1.27389 # DEPENDENCYPART_ARC
(6,1),-0.879206 # DEPENDENCYPART_ARC
(6,2),0.479941 # DEPENDENCYPART_ARC
(6,3),0.593896 # DEPENDENCYPART_ARC
(6,4),-1.06052 # DEPENDENCYPART_ARC
(6,5),0.360601 # DEPENDENCYPART_ARC
(6,7),-0.120399 # DEPENDENCYPART_ARC
(6,8),3.21384 # DEPENDENCYPART_ARC
(6,9),-0.363565 # DEPENDENCYPART_ARC
(6,10),2.07073 # DEPENDENCYPART_ARC
(6,11),1.44518 # DEPENDENCYPART_ARC
(6,12),-1.46488 # DEPENDENCYPART_ARC
(6,13),0.507289 # DEPENDENCYPART_ARC
(6,14),-0.220226 # DEPENDENCYPART_ARC
(6,16),-1.15028 # DEPENDENCYPART_ARC
(6,17),-2.63787 # DEPENDENCYPART_ARC
(6,18),-2.56965 # DEPENDENCYPART_ARC
(6,19),-1.32446 # DEPENDENCYPART_ARC
(6,20),-2.18693 # DEPENDENCYPART_ARC
(6,21),-3.04245 # DEPENDENCYPART_ARC
(6,22),-1.05323 # DEPENDENCYPART_ARC
(6,24),-2.47563 # DEPENDENCYPART_ARC
(7,1),-5.35898 # DEPENDENCYPART_ARC
(7,6),0.371126 # DEPENDENCYPART_ARC
(7,8),-0.592859 # DEPENDENCYPART_ARC
(7,9),0.0586177 # DEPENDENCYPART_ARC
(8,2),-1.73145 # DEPENDENCYPART_ARC
(8,3),-3.04005 # DEPENDENCYPART_ARC
(8,4),-1.45719 # DEPENDENCYPART_ARC
(8,5),0.960364 # DEPENDENCYPART_ARC
(8,6),0.0263093 # DEPENDENCYPART_ARC
(8,7),4.79481 # DEPENDENCYPART_ARC
(8,9),0.599673 # DEPENDENCYPART_ARC
(8,10),0.38683 # DEPENDENCYPART_ARC
(8,11),0.670414 # DEPENDENCYPART_ARC
(8,12),0.0993507 # DEPENDENCYPART_ARC
(8,13),-0.585281 # DEPENDENCYPART_ARC
(8,14),-1.60048 # DEPENDENCYPART_ARC
(8,15),0.0969908 # DEPENDENCYPART_ARC
(8,19),-1.38107 # DEPENDENCYPART_ARC
(8,22),-1.03812 # DEPENDENCYPART_ARC
(9,1),-5.67052 # DEPENDENCYPART_ARC
(9,7),-2.92777 # DEPENDENCYPART_ARC
(9,8),-2.88866 # DEPENDENCYPART_ARC
(9,10),1.52823 # DEPENDENCYPART_ARC
(9,11),0.542277 # DEPENDENCYPART_ARC
(9,12),-2.01756 # DEPENDENCYPART_ARC
(9,14),-2.74558 # DEPENDENCYPART_ARC
(10,3),-4.44079 # DEPENDENCYPART_ARC
(10,5),-2.00189 # DEPENDENCYPART_ARC
(10,7),-2.07907 # DEPENDENCYPART_ARC
(10,8),-4.31304 # DEPENDENCYPART_ARC
(10,9),4.79148 # DEPENDENCYPART_ARC
(10,11),1.72588 # DEPENDENCYPART_ARC
(10,12),0.87594 # DEPENDENCYPART_ARC
(10,13),-0.44042 # DEPENDENCYPART_ARC
(10,14),-1.33563 # DEPENDENCYPART_ARC
(10,15),-0.414156 # DEPENDENCYPART_ARC
(10,19),-1.58825 # DEPENDENCYPART_ARC
(11,10),-2.78798 # DEPENDENCYPART_ARC
(11,12),3.68476 # DEPENDENCYPART_ARC
(11,13),-0.454691 # DEPENDENCYPART_ARC
(11,14),-1.04081 # DEPENDENCYPART_ARC
(11,16),-3.31601 # DEPENDENCYPART_ARC
(12,8),-4.2597 # DEPENDENCYPART_ARC
(12,9),-4.34302 # DEPENDENCYPART_ARC
(12,10),-3.1174 # DEPENDENCYPART_ARC
(12,11),0.137314 # DEPENDENCYPART_ARC
(12,14),-1.95587 # DEPENDENCYPART_ARC
(12,15),-0.560608 # DEPENDENCYPART_ARC
(12,16),-4.63014 # DEPENDENCYPART_ARC
(12,17),-0.721007 # DEPENDENCYPART_ARC
(13,1),-1.60262 # DEPENDENCYPART_ARC
(13,2),-0.711627 # DEPENDENCYPART_ARC
(13,4),-0.109185 # DEPENDENCYPART_ARC
(13,5),0.242255 # DEPENDENCYPART_ARC
(13,6),0.272629 # DEPENDENCYPART_ARC
(13,7),-0.487489 # DEPENDENCYPART_ARC
(13,8),-0.3156 # DEPENDENCYPART_ARC
(13,9),-0.610793 # DEPENDENCYPART_ARC
(13,10),0.30599 # DEPENDENCYPART_ARC
(13,11),-0.498604 # DEPENDENCYPART_ARC
(13,12),0.404015 # DEPENDENCYPART_ARC
(13,14),-0.00371689 # DEPENDENCYPART_ARC
(13,15),-0.454994 # DEPENDENCYPART_ARC
(13,16),-1.67424 # DEPENDENCYPART_ARC
(13,17),-1.76841 # DEPENDENCYPART_ARC
(13,18),-2.11361 # DEPENDENCYPART_ARC
(14,1),-1.06883 # DEPENDENCYPART_ARC
(14,2),-2.3297 # DEPENDENCYPART_ARC
(14,3),-2.96817 # DEPENDENCYPART_ARC
(14,4),-3.73868 # DEPENDENCYPART_ARC
(14,5),-3.90583 # DEPENDENCYPART_ARC
(14,6),-2.732 # DEPENDENCYPART_ARC
(14,8),-1.87526 # DEPENDENCYPART_ARC
(14,9),-2.20511 # DEPENDENCYPART_ARC
(14,10),-1.49247 # DEPENDENCYPART_ARC
(14,11),-1.39188 # DEPENDENCYPART_ARC
(14,12),-4.53857 # DEPENDENCYPART_ARC
(14,13),-1.29633 # DEPENDENCYPART_ARC
(14,15),0.80263 # DEPENDENCYPART_ARC
(14,16),0.263863 # DEPENDENCYPART_ARC
(14,17),-2.53036 # DEPENDENCYPART_ARC
(14,18),-2.13471 # DEPENDENCYPART_ARC
(14,19),-0.947778 # DEPENDENCYPART_ARC
(14,20),-2.65126 # DEPENDENCYPART_ARC
(14,21),-2.66657 # DEPENDENCYPART_ARC
(14,22),-0.544882 # DEPENDENCYPART_ARC
(14,24),-1.86608 # DEPENDENCYPART_ARC
(15,1),0.766038 # DEPENDENCYPART_ARC
(15,2),0.245909 # DEPENDENCYPART_ARC
(15,3),0.521403 # DEPENDENCYPART_ARC
(15,4),2.29463 # DEPENDENCYPART_ARC
(15,6),1.11312 # DEPENDENCYPART_ARC
(15,7),-3.54896 # DEPENDENCYPART_ARC
(15,8),0.211025 # DEPENDENCYPART_ARC
(15,9),-0.832198 # DEPENDENCYPART_ARC
(15,10),1.43381 # DEPENDENCYPART_ARC
(15,11),1.16549 # DEPENDENCYPART_ARC
(15,12),-2.18971 # DEPENDENCYPART_ARC
(15,13),0.655996 # DEPENDENCYPART_ARC
(15,14),5.60374 # DEPENDENCYPART_ARC
(15,16),2.78847 # DEPENDENCYPART_ARC
(15,17),-0.478456 # DEPENDENCYPART_ARC
(15,18),-0.558339 # DEPENDENCYPART_ARC
(15,19),0.580806 # DEPENDENCYPART_ARC
(15,20),-1.92014 # DEPENDENCYPART_ARC
(15,21),-1.5808 # DEPENDENCYPART_ARC
(15,22),0.0756875 # DEPENDENCYPART_ARC
(15,24),-1.5394 # DEPENDENCYPART_ARC
(16,15),-1.15586 # DEPENDENCYPART_ARC
(16,17),3.60911 # DEPENDENCYPART_ARC
(16,18),2.33985 # DEPENDENCYPART_ARC
(16,19),0.934261 # DEPENDENCYPART_ARC
(16,20),-3.1881 # DEPENDENCYPART_ARC
(16,21),0.409271 # DEPENDENCYPART_ARC
(16,22),0.691409 # DEPENDENCYPART_ARC
(16,23),-1.46552 # DEPENDENCYPART_ARC
(17,16),-3.05387 # DEPENDENCYPART_ARC
(17,18),4.38726 # DEPENDENCYPART_ARC
(17,19),1.14637 # DEPENDENCYPART_ARC
(17,20),-3.78462 # DEPENDENCYPART_ARC
(17,21),1.23971 # DEPENDENCYPART_ARC
(17,22),0.386501 # DEPENDENCYPART_ARC
(17,23),-3.94274 # DEPENDENCYPART_ARC
(18,12),-3.21978 # DEPENDENCYPART_ARC
(18,16),-1.78095 # DEPENDENCYPART_ARC
(18,17),1.69035 # DEPENDENCYPART_ARC
(18,19),2.44284 # DEPENDENCYPART_ARC
(18,20),-3.06508 # DEPENDENCYPART_ARC
(18,21),1.03111 # DEPENDENCYPART_ARC
(18,22),0.92085 # DEPENDENCYPART_ARC
(18,23),-2.03452 # DEPENDENCYPART_ARC
(18,24),-2.1706 # DEPENDENCYPART_ARC
(19,18),-1.88056 # DEPENDENCYPART_ARC
(19,20),3.77328 # DEPENDENCYPART_ARC
(19,21),-1.89297 # DEPENDENCYPART_ARC
(19,24),-2.86919 # DEPENDENCYPART_ARC
(20,18),-2.79439 # DEPENDENCYPART_ARC
(20,19),1.13543 # DEPENDENCYPART_ARC
(20,21),4.29039 # DEPENDENCYPART_ARC
(20,22),1.79972 # DEPENDENCYPART_ARC
(20,23),-2.02713 # DEPENDENCYPART_ARC
(20,24),0.339293 # DEPENDENCYPART_ARC
(21,16),-2.05234 # DEPENDENCYPART_ARC
(21,17),-1.97989 # DEPENDENCYPART_ARC
(21,18),-2.78171 # DEPENDENCYPART_ARC
(21,20),-0.83573 # DEPENDENCYPART_ARC
(21,22),1.30089 # DEPENDENCYPART_ARC
(21,23),-0.291019 # DEPENDENCYPART_ARC
(21,24),-1.45287 # DEPENDENCYPART_ARC
(21,25),-0.947411 # DEPENDENCYPART_ARC
(22,20),-1.46893 # DEPENDENCYPART_ARC
(22,21),-2.2471 # DEPENDENCYPART_ARC
(22,23),0.161598 # DEPENDENCYPART_ARC
(22,24),4.05165 # DEPENDENCYPART_ARC
(24,17),-2.66557 # DEPENDENCYPART_ARC
(24,19),-1.5289 # DEPENDENCYPART_ARC
(24,20),-1.41468 # DEPENDENCYPART_ARC
(24,21),-1.71785 # DEPENDENCYPART_ARC
(24,23),4.62314 # DEPENDENCYPART_ARC
(24,25),-0.0703488 # DEPENDENCYPART_ARC
