# _root_ Mají - li totiž mít nějaký smysl , je ho do nich třeba vnést z vnějšku , to jest z historikovy současnosti .
#goldHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,19,15,19,19,14,19,22,20,0,
#predictedHeads=3,3,9,1,1,7,5,3,0,14,14,11,9,9,14,15,19,19,16,19,22,20,0,
(2,19),-1.89077 # DEPENDENCYPART_ARC
(3,1),3.05164 # DEPENDENCYPART_ARC
(3,2),2.54314 # DEPENDENCYPART_ARC
(3,4),0.618482 # DEPENDENCYPART_ARC
(3,5),1.30243 # DEPENDENCYPART_ARC
(3,8),1.97025 # DEPENDENCYPART_ARC
(3,9),0.0479711 # DEPENDENCYPART_ARC
(3,17),0.60862 # DEPENDENCYPART_ARC
(3,23),-1.06387 # DEPENDENCYPART_ARC
(4,1),-0.975812 # DEPENDENCYPART_ARC
(4,2),-0.566666 # DEPENDENCYPART_ARC
(4,3),0.581045 # DEPENDENCYPART_ARC
(4,5),-0.705779 # DEPENDENCYPART_ARC
(4,7),-1.91105 # DEPENDENCYPART_ARC
(5,1),-1.65863 # DEPENDENCYPART_ARC
(5,2),-0.583369 # DEPENDENCYPART_ARC
(5,3),1.23274 # DEPENDENCYPART_ARC
(5,4),1.69633 # DEPENDENCYPART_ARC
(5,6),1.59056 # DEPENDENCYPART_ARC
(5,7),3.85528 # DEPENDENCYPART_ARC
(5,8),0.643946 # DEPENDENCYPART_ARC
(5,9),-1.03871 # DEPENDENCYPART_ARC
(5,11),-0.150233 # DEPENDENCYPART_ARC
(5,14),-0.272776 # DEPENDENCYPART_ARC
(5,15),-1.18381 # DEPENDENCYPART_ARC
(5,16),-2.3971 # DEPENDENCYPART_ARC
(5,17),-0.707462 # DEPENDENCYPART_ARC
(5,19),-2.66008 # DEPENDENCYPART_ARC
(5,20),-1.81853 # DEPENDENCYPART_ARC
(5,22),-2.51119 # DEPENDENCYPART_ARC
(6,7),0.493782 # DEPENDENCYPART_ARC
(6,9),-2.56031 # DEPENDENCYPART_ARC
(6,11),-0.879244 # DEPENDENCYPART_ARC
(7,2),-0.475533 # DEPENDENCYPART_ARC
(7,3),-0.593559 # DEPENDENCYPART_ARC
(7,4),-0.45254 # DEPENDENCYPART_ARC
(7,6),3.69985 # DEPENDENCYPART_ARC
(7,9),-1.35211 # DEPENDENCYPART_ARC
(7,13),-2.68237 # DEPENDENCYPART_ARC
(7,14),0.941438 # DEPENDENCYPART_ARC
(7,19),-2.4705 # DEPENDENCYPART_ARC
(8,1),0.0306353 # DEPENDENCYPART_ARC
(8,2),-0.119066 # DEPENDENCYPART_ARC
(8,3),0.0482452 # DEPENDENCYPART_ARC
(8,4),-0.544137 # DEPENDENCYPART_ARC
(8,5),0.536685 # DEPENDENCYPART_ARC
(8,6),-0.0109979 # DEPENDENCYPART_ARC
(8,7),-0.219251 # DEPENDENCYPART_ARC
(8,9),0.180798 # DEPENDENCYPART_ARC
(8,11),-0.992473 # DEPENDENCYPART_ARC
(8,14),-0.871126 # DEPENDENCYPART_ARC
(8,19),-1.87586 # DEPENDENCYPART_ARC
(9,1),-1.75043 # DEPENDENCYPART_ARC
(9,2),-0.159534 # DEPENDENCYPART_ARC
(9,3),2.26132 # DEPENDENCYPART_ARC
(9,4),0.394377 # DEPENDENCYPART_ARC
(9,5),1.20534 # DEPENDENCYPART_ARC
(9,6),-0.746888 # DEPENDENCYPART_ARC
(9,7),0.171314 # DEPENDENCYPART_ARC
(9,8),0.391913 # DEPENDENCYPART_ARC
(9,10),2.30507 # DEPENDENCYPART_ARC
(9,11),1.67984 # DEPENDENCYPART_ARC
(9,13),2.87925 # DEPENDENCYPART_ARC
(9,14),2.18773 # DEPENDENCYPART_ARC
(9,15),0.00184103 # DEPENDENCYPART_ARC
(9,16),-2.18112 # DEPENDENCYPART_ARC
(9,17),-0.240386 # DEPENDENCYPART_ARC
(9,18),-0.63795 # DEPENDENCYPART_ARC
(9,19),-1.13893 # DEPENDENCYPART_ARC
(9,20),-0.310514 # DEPENDENCYPART_ARC
(9,22),-2.44356 # DEPENDENCYPART_ARC
(10,16),-1.23597 # DEPENDENCYPART_ARC
(11,12),0.781719 # DEPENDENCYPART_ARC
(11,16),0.372321 # DEPENDENCYPART_ARC
(12,15),-0.289157 # DEPENDENCYPART_ARC
(13,8),-0.915872 # DEPENDENCYPART_ARC
(13,11),0.78572 # DEPENDENCYPART_ARC
(13,14),0.121011 # DEPENDENCYPART_ARC
(13,15),-0.808555 # DEPENDENCYPART_ARC
(13,16),-1.79017 # DEPENDENCYPART_ARC
(14,1),-3.01708 # DEPENDENCYPART_ARC
(14,3),0.674144 # DEPENDENCYPART_ARC
(14,4),-0.672428 # DEPENDENCYPART_ARC
(14,5),-1.91475 # DEPENDENCYPART_ARC
(14,6),0.557862 # DEPENDENCYPART_ARC
(14,7),0.701206 # DEPENDENCYPART_ARC
(14,8),-0.800446 # DEPENDENCYPART_ARC
(14,9),-1.28496 # DEPENDENCYPART_ARC
(14,10),3.29619 # DEPENDENCYPART_ARC
(14,11),2.03501 # DEPENDENCYPART_ARC
(14,13),-0.131924 # DEPENDENCYPART_ARC
(14,15),2.43178 # DEPENDENCYPART_ARC
(14,16),-0.018564 # DEPENDENCYPART_ARC
(14,17),0.585083 # DEPENDENCYPART_ARC
(14,18),-0.231991 # DEPENDENCYPART_ARC
(14,19),-0.413106 # DEPENDENCYPART_ARC
(14,20),0.663629 # DEPENDENCYPART_ARC
(14,22),-1.719 # DEPENDENCYPART_ARC
(14,23),-0.613328 # DEPENDENCYPART_ARC
(15,16),3.54668 # DEPENDENCYPART_ARC
(15,17),-0.0319581 # DEPENDENCYPART_ARC
(16,11),-0.669213 # DEPENDENCYPART_ARC
(16,13),-2.7743 # DEPENDENCYPART_ARC
(16,15),0.360662 # DEPENDENCYPART_ARC
(16,17),-0.31983 # DEPENDENCYPART_ARC
(16,18),-2.30303 # DEPENDENCYPART_ARC
(16,19),-0.0368736 # DEPENDENCYPART_ARC
(16,20),-0.757714 # DEPENDENCYPART_ARC
(16,21),-1.4007 # DEPENDENCYPART_ARC
(16,22),-0.0604342 # DEPENDENCYPART_ARC
(17,1),-1.05584 # DEPENDENCYPART_ARC
(17,2),-1.20259 # DEPENDENCYPART_ARC
(17,5),-0.978653 # DEPENDENCYPART_ARC
(17,6),-1.07232 # DEPENDENCYPART_ARC
(17,8),-0.796161 # DEPENDENCYPART_ARC
(17,9),0.15829 # DEPENDENCYPART_ARC
(17,11),-1.31181 # DEPENDENCYPART_ARC
(17,13),-1.26249 # DEPENDENCYPART_ARC
(17,14),0.232256 # DEPENDENCYPART_ARC
(17,15),-0.99326 # DEPENDENCYPART_ARC
(17,16),0.198956 # DEPENDENCYPART_ARC
(17,18),0.966079 # DEPENDENCYPART_ARC
(17,19),0.534745 # DEPENDENCYPART_ARC
(17,20),-1.27036 # DEPENDENCYPART_ARC
(17,21),-1.23227 # DEPENDENCYPART_ARC
(17,22),-0.969914 # DEPENDENCYPART_ARC
(17,23),-0.373656 # DEPENDENCYPART_ARC
(18,14),0.355935 # DEPENDENCYPART_ARC
(18,16),-0.316506 # DEPENDENCYPART_ARC
(18,17),0.0994737 # DEPENDENCYPART_ARC
(18,19),0.152002 # DEPENDENCYPART_ARC
(18,20),-0.767111 # DEPENDENCYPART_ARC
(18,22),-1.01663 # DEPENDENCYPART_ARC
(19,1),-3.45662 # DEPENDENCYPART_ARC
(19,2),-1.50804 # DEPENDENCYPART_ARC
(19,3),1.16898 # DEPENDENCYPART_ARC
(19,4),-0.361656 # DEPENDENCYPART_ARC
(19,5),-1.14843 # DEPENDENCYPART_ARC
(19,6),-2.15686 # DEPENDENCYPART_ARC
(19,7),-0.804776 # DEPENDENCYPART_ARC
(19,8),-0.973985 # DEPENDENCYPART_ARC
(19,9),-1.7062 # DEPENDENCYPART_ARC
(19,10),0.516623 # DEPENDENCYPART_ARC
(19,11),0.402875 # DEPENDENCYPART_ARC
(19,13),0.452714 # DEPENDENCYPART_ARC
(19,14),0.211129 # DEPENDENCYPART_ARC
(19,15),0.0331336 # DEPENDENCYPART_ARC
(19,16),-2.47916 # DEPENDENCYPART_ARC
(19,17),2.28318 # DEPENDENCYPART_ARC
(19,18),3.89523 # DEPENDENCYPART_ARC
(19,20),2.40011 # DEPENDENCYPART_ARC
(19,22),-0.517606 # DEPENDENCYPART_ARC
(19,23),0.183983 # DEPENDENCYPART_ARC
(20,18),-1.98132 # DEPENDENCYPART_ARC
(20,21),0.948142 # DEPENDENCYPART_ARC
(20,22),3.7382 # DEPENDENCYPART_ARC
(20,23),-0.318348 # DEPENDENCYPART_ARC
(22,15),-0.73903 # DEPENDENCYPART_ARC
(22,18),-2.41635 # DEPENDENCYPART_ARC
(22,20),0.151506 # DEPENDENCYPART_ARC
(22,21),5.91255 # DEPENDENCYPART_ARC
(22,23),-0.488994 # DEPENDENCYPART_ARC
