# _root_ Nakonec zůstala 1 pracovnice , která pracuje více jak 8.5 hodiny denně , ale je také lépe placena .
#goldHeads=2,0,4,2,14,14,14,7,8,9,10,11,14,4,18,18,18,14,0,
#predictedHeads=2,14,4,2,7,7,4,7,7,7,10,7,14,0,14,15,18,15,0,
(7,4),-0.077696 # DEPENDENCYPART_ARC
(7,5),2.08999 # DEPENDENCYPART_ARC
(7,6),3.00358 # DEPENDENCYPART_ARC
(7,8),2.41864 # DEPENDENCYPART_ARC
(7,9),1.53484 # DEPENDENCYPART_ARC
(7,10),1.4314 # DEPENDENCYPART_ARC
(7,11),0.539089 # DEPENDENCYPART_ARC
(7,12),1.68134 # DEPENDENCYPART_ARC
(7,13),0.818154 # DEPENDENCYPART_ARC
(7,14),1.06877 # DEPENDENCYPART_ARC
(7,15),-0.911782 # DEPENDENCYPART_ARC
(7,16),-0.261904 # DEPENDENCYPART_ARC
(7,17),0.290499 # DEPENDENCYPART_ARC
(7,18),0.699255 # DEPENDENCYPART_ARC
(8,2),-2.53166 # DEPENDENCYPART_ARC
(8,4),-1.77222 # DEPENDENCYPART_ARC
(8,6),-0.883772 # DEPENDENCYPART_ARC
(8,9),0.916713 # DEPENDENCYPART_ARC
(8,11),0.876979 # DEPENDENCYPART_ARC
(8,12),-0.316338 # DEPENDENCYPART_ARC
(8,14),0.291582 # DEPENDENCYPART_ARC
(8,15),-2.18643 # DEPENDENCYPART_ARC
(8,16),-0.366792 # DEPENDENCYPART_ARC
(9,1),-2.28356 # DEPENDENCYPART_ARC
(9,2),-2.2284 # DEPENDENCYPART_ARC
(9,3),-1.2563 # DEPENDENCYPART_ARC
(9,6),-1.37915 # DEPENDENCYPART_ARC
(9,8),0.000562062 # DEPENDENCYPART_ARC
(9,10),-0.321257 # DEPENDENCYPART_ARC
(9,11),-0.438145 # DEPENDENCYPART_ARC
(10,6),-0.0809174 # DEPENDENCYPART_ARC
(10,7),-1.49326 # DEPENDENCYPART_ARC
(10,8),0.200065 # DEPENDENCYPART_ARC
(10,9),1.44237 # DEPENDENCYPART_ARC
(10,11),2.70777 # DEPENDENCYPART_ARC
(10,12),0.509732 # DEPENDENCYPART_ARC
(10,14),-0.453343 # DEPENDENCYPART_ARC
(10,15),-1.21015 # DEPENDENCYPART_ARC
(11,6),-0.702878 # DEPENDENCYPART_ARC
(11,8),-0.146425 # DEPENDENCYPART_ARC
(11,9),0.432217 # DEPENDENCYPART_ARC
(11,10),1.11717 # DEPENDENCYPART_ARC
(11,12),1.29404 # DEPENDENCYPART_ARC
(11,13),-0.0640954 # DEPENDENCYPART_ARC
(11,14),0.602141 # DEPENDENCYPART_ARC
(11,15),-1.09575 # DEPENDENCYPART_ARC
(11,16),-0.23018 # DEPENDENCYPART_ARC
(11,17),-0.399138 # DEPENDENCYPART_ARC
(11,18),-1.53934 # DEPENDENCYPART_ARC
(12,4),-1.64109 # DEPENDENCYPART_ARC
(12,5),-0.479163 # DEPENDENCYPART_ARC
(12,6),-1.46364 # DEPENDENCYPART_ARC
(12,9),1.06097 # DEPENDENCYPART_ARC
(12,10),0.196847 # DEPENDENCYPART_ARC
(12,11),-0.453963 # DEPENDENCYPART_ARC
(12,13),-0.0212995 # DEPENDENCYPART_ARC
(12,14),-0.25298 # DEPENDENCYPART_ARC
(12,15),-1.39883 # DEPENDENCYPART_ARC
(12,16),-1.01373 # DEPENDENCYPART_ARC
(13,2),-0.845741 # DEPENDENCYPART_ARC
(13,3),-1.68772 # DEPENDENCYPART_ARC
(13,7),-0.543549 # DEPENDENCYPART_ARC
(13,10),-1.25165 # DEPENDENCYPART_ARC
(13,12),-0.728761 # DEPENDENCYPART_ARC
(13,15),-0.271081 # DEPENDENCYPART_ARC
(13,16),-0.45915 # DEPENDENCYPART_ARC
(13,17),-0.627337 # DEPENDENCYPART_ARC
(13,18),-1.04118 # DEPENDENCYPART_ARC
(14,1),0.338524 # DEPENDENCYPART_ARC
(14,2),1.38771 # DEPENDENCYPART_ARC
(14,3),-2.054 # DEPENDENCYPART_ARC
(14,4),-0.408772 # DEPENDENCYPART_ARC
(14,5),1.59036 # DEPENDENCYPART_ARC
(14,6),1.66729 # DEPENDENCYPART_ARC
(14,7),1.88964 # DEPENDENCYPART_ARC
(14,8),0.185206 # DEPENDENCYPART_ARC
(14,9),-0.00702602 # DEPENDENCYPART_ARC
(14,10),-0.508523 # DEPENDENCYPART_ARC
(14,11),0.672325 # DEPENDENCYPART_ARC
(14,12),0.0840753 # DEPENDENCYPART_ARC
(14,13),2.57448 # DEPENDENCYPART_ARC
(14,15),2.01982 # DEPENDENCYPART_ARC
(14,16),-0.752373 # DEPENDENCYPART_ARC
(14,17),-0.162591 # DEPENDENCYPART_ARC
(14,18),0.737746 # DEPENDENCYPART_ARC
(14,19),0.492267 # DEPENDENCYPART_ARC
(15,1),0.281875 # DEPENDENCYPART_ARC
(15,2),-3.85572 # DEPENDENCYPART_ARC
(15,3),-0.93191 # DEPENDENCYPART_ARC
(15,4),-0.509883 # DEPENDENCYPART_ARC
(15,5),0.0607768 # DEPENDENCYPART_ARC
(15,6),0.131435 # DEPENDENCYPART_ARC
(15,8),-0.283814 # DEPENDENCYPART_ARC
(15,9),-1.05891 # DEPENDENCYPART_ARC
(15,10),-0.761487 # DEPENDENCYPART_ARC
(15,11),-1.87546 # DEPENDENCYPART_ARC
(15,12),-0.569831 # DEPENDENCYPART_ARC
(15,13),0.108509 # DEPENDENCYPART_ARC
(15,14),0.57556 # DEPENDENCYPART_ARC
(15,16),2.46695 # DEPENDENCYPART_ARC
(15,17),1.90925 # DEPENDENCYPART_ARC
(15,18),2.38883 # DEPENDENCYPART_ARC
(15,19),-0.0037888 # DEPENDENCYPART_ARC
(16,17),-0.020989 # DEPENDENCYPART_ARC
(16,18),-1.07059 # DEPENDENCYPART_ARC
(17,16),1.26259 # DEPENDENCYPART_ARC
(18,1),0.812932 # DEPENDENCYPART_ARC
(18,2),-0.60691 # DEPENDENCYPART_ARC
(18,4),-0.0865046 # DEPENDENCYPART_ARC
(18,5),0.593915 # DEPENDENCYPART_ARC
(18,6),1.18996 # DEPENDENCYPART_ARC
(18,7),-0.398771 # DEPENDENCYPART_ARC
(18,8),0.0722911 # DEPENDENCYPART_ARC
(18,9),-0.0375686 # DEPENDENCYPART_ARC
(18,10),0.11334 # DEPENDENCYPART_ARC
(18,11),-0.985767 # DEPENDENCYPART_ARC
(18,12),0.22521 # DEPENDENCYPART_ARC
(18,13),0.564443 # DEPENDENCYPART_ARC
(18,14),0.911729 # DEPENDENCYPART_ARC
(18,15),2.63337 # DEPENDENCYPART_ARC
(18,16),2.10485 # DEPENDENCYPART_ARC
(18,17),2.9547 # DEPENDENCYPART_ARC
(18,19),-0.208341 # DEPENDENCYPART_ARC
(19,18),-3.45018 # DEPENDENCYPART_ARC
