# _root_ Namísto prezidenta Borise Jelcina , jehož účast na slavnostním uvítání vojáků se původně očekávala , z tribuny k vojákům promluvil ruský premiér Viktor Černomyrdin .
#goldHeads=20,4,4,1,14,7,14,7,10,8,10,14,14,4,14,20,16,20,18,0,22,24,24,20,0,
#predictedHeads=14,4,4,1,14,7,14,7,10,8,10,14,14,15,20,20,16,17,18,0,22,24,24,20,0,
(10,18),-0.870162 # DEPENDENCYPART_ARC
(10,20),-2.12167 # DEPENDENCYPART_ARC
(11,2),0.0965913 # DEPENDENCYPART_ARC
(11,3),0.354392 # DEPENDENCYPART_ARC
(11,4),-2.04007 # DEPENDENCYPART_ARC
(11,6),-0.816512 # DEPENDENCYPART_ARC
(11,7),-6.41221 # DEPENDENCYPART_ARC
(11,9),-1.63916 # DEPENDENCYPART_ARC
(11,10),-2.6021 # DEPENDENCYPART_ARC
(11,12),-1.01292 # DEPENDENCYPART_ARC
(11,13),-0.656916 # DEPENDENCYPART_ARC
(11,14),-2.04557 # DEPENDENCYPART_ARC
(11,15),-0.584197 # DEPENDENCYPART_ARC
(11,16),-0.730478 # DEPENDENCYPART_ARC
(11,17),-0.781637 # DEPENDENCYPART_ARC
(13,8),-2.33586 # DEPENDENCYPART_ARC
(13,10),-2.18547 # DEPENDENCYPART_ARC
(13,11),-1.35147 # DEPENDENCYPART_ARC
(13,15),-1.37076 # DEPENDENCYPART_ARC
(13,17),-1.91385 # DEPENDENCYPART_ARC
(14,1),2.10067 # DEPENDENCYPART_ARC
(14,2),-2.80547 # DEPENDENCYPART_ARC
(14,3),-2.73809 # DEPENDENCYPART_ARC
(14,4),-3.72291 # DEPENDENCYPART_ARC
(14,5),1.68786 # DEPENDENCYPART_ARC
(14,6),-1.37584 # DEPENDENCYPART_ARC
(14,7),2.78349 # DEPENDENCYPART_ARC
(14,8),1.15318 # DEPENDENCYPART_ARC
(14,9),-3.28801 # DEPENDENCYPART_ARC
(14,10),0.162607 # DEPENDENCYPART_ARC
(14,11),-1.33142 # DEPENDENCYPART_ARC
(14,12),4.01025 # DEPENDENCYPART_ARC
(14,13),3.20787 # DEPENDENCYPART_ARC
(14,15),0.467547 # DEPENDENCYPART_ARC
(14,16),0.521784 # DEPENDENCYPART_ARC
(14,17),-1.64783 # DEPENDENCYPART_ARC
(14,18),0.885082 # DEPENDENCYPART_ARC
(14,19),-2.46481 # DEPENDENCYPART_ARC
(14,20),-2.07339 # DEPENDENCYPART_ARC
(14,21),-1.83198 # DEPENDENCYPART_ARC
(14,22),-1.65502 # DEPENDENCYPART_ARC
(14,23),-2.49728 # DEPENDENCYPART_ARC
(14,24),-1.4597 # DEPENDENCYPART_ARC
(15,1),0.097475 # DEPENDENCYPART_ARC
(15,2),-0.316507 # DEPENDENCYPART_ARC
(15,3),-0.575078 # DEPENDENCYPART_ARC
(15,4),-0.822818 # DEPENDENCYPART_ARC
(15,5),0.289416 # DEPENDENCYPART_ARC
(15,7),-0.36728 # DEPENDENCYPART_ARC
(15,8),0.692043 # DEPENDENCYPART_ARC
(15,9),-0.449113 # DEPENDENCYPART_ARC
(15,10),-0.154938 # DEPENDENCYPART_ARC
(15,11),-0.132329 # DEPENDENCYPART_ARC
(15,12),0.314245 # DEPENDENCYPART_ARC
(15,13),0.232425 # DEPENDENCYPART_ARC
(15,14),0.54195 # DEPENDENCYPART_ARC
(15,16),0.655763 # DEPENDENCYPART_ARC
(15,17),0.281425 # DEPENDENCYPART_ARC
(15,18),0.542333 # DEPENDENCYPART_ARC
(15,20),0.950114 # DEPENDENCYPART_ARC
(15,21),-0.654024 # DEPENDENCYPART_ARC
(15,22),-1.5271 # DEPENDENCYPART_ARC
(15,23),-1.63001 # DEPENDENCYPART_ARC
(15,24),-1.74249 # DEPENDENCYPART_ARC
(15,25),-0.506131 # DEPENDENCYPART_ARC
(16,15),0.557795 # DEPENDENCYPART_ARC
(16,17),3.55278 # DEPENDENCYPART_ARC
(16,19),-0.0540907 # DEPENDENCYPART_ARC
(16,21),-1.90662 # DEPENDENCYPART_ARC
(16,22),-5.98178 # DEPENDENCYPART_ARC
(17,13),-1.47869 # DEPENDENCYPART_ARC
(17,15),-0.785036 # DEPENDENCYPART_ARC
(17,16),-0.129387 # DEPENDENCYPART_ARC
(17,18),1.58203 # DEPENDENCYPART_ARC
(17,19),-1.74494 # DEPENDENCYPART_ARC
(17,20),-0.75771 # DEPENDENCYPART_ARC
(17,21),-1.94744 # DEPENDENCYPART_ARC
(17,22),-2.33723 # DEPENDENCYPART_ARC
(17,23),-3.44352 # DEPENDENCYPART_ARC
(17,24),-3.36784 # DEPENDENCYPART_ARC
(18,15),0.173788 # DEPENDENCYPART_ARC
(18,16),-0.107018 # DEPENDENCYPART_ARC
(18,17),1.32295 # DEPENDENCYPART_ARC
(18,19),5.20961 # DEPENDENCYPART_ARC
(18,21),-1.84916 # DEPENDENCYPART_ARC
(18,22),-3.56954 # DEPENDENCYPART_ARC
(18,23),-4.29961 # DEPENDENCYPART_ARC
(18,24),-4.98404 # DEPENDENCYPART_ARC
(19,16),-1.00197 # DEPENDENCYPART_ARC
(19,17),-4.3632 # DEPENDENCYPART_ARC
(19,20),-0.438718 # DEPENDENCYPART_ARC
(19,21),-3.19325 # DEPENDENCYPART_ARC
(19,22),-2.80513 # DEPENDENCYPART_ARC
(19,23),-3.77797 # DEPENDENCYPART_ARC
(19,24),-3.48758 # DEPENDENCYPART_ARC
(20,1),1.33506 # DEPENDENCYPART_ARC
(20,2),-2.65987 # DEPENDENCYPART_ARC
(20,3),-2.91808 # DEPENDENCYPART_ARC
(20,4),-3.49904 # DEPENDENCYPART_ARC
(20,5),1.05217 # DEPENDENCYPART_ARC
(20,6),-1.78415 # DEPENDENCYPART_ARC
(20,7),0.953739 # DEPENDENCYPART_ARC
(20,8),-0.211529 # DEPENDENCYPART_ARC
(20,10),-1.35561 # DEPENDENCYPART_ARC
(20,11),-2.26042 # DEPENDENCYPART_ARC
(20,12),2.08111 # DEPENDENCYPART_ARC
(20,13),0.980416 # DEPENDENCYPART_ARC
(20,14),-2.05932 # DEPENDENCYPART_ARC
(20,15),1.15449 # DEPENDENCYPART_ARC
(20,16),1.80069 # DEPENDENCYPART_ARC
(20,17),-0.901764 # DEPENDENCYPART_ARC
(20,18),1.3112 # DEPENDENCYPART_ARC
(20,19),1.28048 # DEPENDENCYPART_ARC
(20,21),1.31276 # DEPENDENCYPART_ARC
(20,22),2.29686 # DEPENDENCYPART_ARC
(20,23),1.21047 # DEPENDENCYPART_ARC
(20,24),2.27807 # DEPENDENCYPART_ARC
(20,25),-0.592105 # DEPENDENCYPART_ARC
(21,18),-0.502834 # DEPENDENCYPART_ARC
(21,22),-0.747857 # DEPENDENCYPART_ARC
(21,23),-2.22155 # DEPENDENCYPART_ARC
(21,24),-2.89085 # DEPENDENCYPART_ARC
(22,16),-0.728852 # DEPENDENCYPART_ARC
(22,17),-5.35678 # DEPENDENCYPART_ARC
(22,18),-0.221756 # DEPENDENCYPART_ARC
(22,21),5.25173 # DEPENDENCYPART_ARC
(22,23),0.60391 # DEPENDENCYPART_ARC
(22,24),-0.460581 # DEPENDENCYPART_ARC
(22,25),-1.24455 # DEPENDENCYPART_ARC
(23,18),-1.20966 # DEPENDENCYPART_ARC
(23,21),0.898278 # DEPENDENCYPART_ARC
(23,22),1.76873 # DEPENDENCYPART_ARC
(23,24),0.559934 # DEPENDENCYPART_ARC
(23,25),-0.585171 # DEPENDENCYPART_ARC
(24,17),-2.53215 # DEPENDENCYPART_ARC
(24,18),-0.387486 # DEPENDENCYPART_ARC
(24,19),-1.52295 # DEPENDENCYPART_ARC
(24,21),2.78324 # DEPENDENCYPART_ARC
(24,22),4.60128 # DEPENDENCYPART_ARC
(24,23),6.56843 # DEPENDENCYPART_ARC
(24,25),0.181818 # DEPENDENCYPART_ARC
(25,24),-3.36837 # DEPENDENCYPART_ARC
