# _root_ Ročně by tedy zaplatila na pojistném , včetně úrazového připojištění , 4104 korun .
#goldHeads=4,4,4,0,4,5,8,4,10,8,8,4,12,0,
#predictedHeads=4,4,4,0,4,5,8,4,10,8,8,11,12,0,
(6,12),-0.897425 # DEPENDENCYPART_ARC
(6,13),-1.02935 # DEPENDENCYPART_ARC
(7,1),-0.216878 # DEPENDENCYPART_ARC
(7,3),0.00144962 # DEPENDENCYPART_ARC
(7,4),0.96022 # DEPENDENCYPART_ARC
(7,5),1.23824 # DEPENDENCYPART_ARC
(7,6),0.452904 # DEPENDENCYPART_ARC
(7,8),0.294654 # DEPENDENCYPART_ARC
(7,9),-0.203455 # DEPENDENCYPART_ARC
(7,10),0.525649 # DEPENDENCYPART_ARC
(7,11),-0.177656 # DEPENDENCYPART_ARC
(7,12),-0.374297 # DEPENDENCYPART_ARC
(7,13),-0.0554274 # DEPENDENCYPART_ARC
(7,14),-0.714216 # DEPENDENCYPART_ARC
(8,6),0.226107 # DEPENDENCYPART_ARC
(8,7),1.96026 # DEPENDENCYPART_ARC
(8,9),1.73584 # DEPENDENCYPART_ARC
(8,10),3.11374 # DEPENDENCYPART_ARC
(8,11),0.908267 # DEPENDENCYPART_ARC
(8,13),0.0960808 # DEPENDENCYPART_ARC
(8,14),-0.202837 # DEPENDENCYPART_ARC
(9,1),-2.0295 # DEPENDENCYPART_ARC
(9,3),-2.86366 # DEPENDENCYPART_ARC
(9,5),-2.0588 # DEPENDENCYPART_ARC
(9,7),-0.787964 # DEPENDENCYPART_ARC
(9,8),-1.01584 # DEPENDENCYPART_ARC
(9,10),-0.494193 # DEPENDENCYPART_ARC
(9,12),-0.957762 # DEPENDENCYPART_ARC
(9,13),-2.53046 # DEPENDENCYPART_ARC
(10,1),-2.86867 # DEPENDENCYPART_ARC
(10,3),-2.25568 # DEPENDENCYPART_ARC
(10,4),-3.63009 # DEPENDENCYPART_ARC
(10,5),-1.2621 # DEPENDENCYPART_ARC
(10,6),-4.28996 # DEPENDENCYPART_ARC
(10,7),-0.941456 # DEPENDENCYPART_ARC
(10,8),-0.619056 # DEPENDENCYPART_ARC
(10,9),4.75527 # DEPENDENCYPART_ARC
(10,11),-0.519562 # DEPENDENCYPART_ARC
(10,12),-0.275098 # DEPENDENCYPART_ARC
(10,13),0.0714788 # DEPENDENCYPART_ARC
(10,14),-1.82676 # DEPENDENCYPART_ARC
(11,1),-0.195341 # DEPENDENCYPART_ARC
(11,3),-0.0913278 # DEPENDENCYPART_ARC
(11,4),0.64823 # DEPENDENCYPART_ARC
(11,5),0.396576 # DEPENDENCYPART_ARC
(11,6),1.21813 # DEPENDENCYPART_ARC
(11,7),0.533102 # DEPENDENCYPART_ARC
(11,8),0.311179 # DEPENDENCYPART_ARC
(11,9),0.447065 # DEPENDENCYPART_ARC
(11,10),1.0568 # DEPENDENCYPART_ARC
(11,12),0.270692 # DEPENDENCYPART_ARC
(11,13),1.08841 # DEPENDENCYPART_ARC
(11,14),-0.211307 # DEPENDENCYPART_ARC
(12,5),-1.37029 # DEPENDENCYPART_ARC
(12,6),-0.570604 # DEPENDENCYPART_ARC
(12,7),-1.04411 # DEPENDENCYPART_ARC
(12,8),-0.867121 # DEPENDENCYPART_ARC
(12,9),-0.163203 # DEPENDENCYPART_ARC
(12,10),-0.501926 # DEPENDENCYPART_ARC
(12,11),0.354401 # DEPENDENCYPART_ARC
(12,13),2.46857 # DEPENDENCYPART_ARC
(12,14),0.652264 # DEPENDENCYPART_ARC
(13,3),-3.16995 # DEPENDENCYPART_ARC
(13,4),-3.64608 # DEPENDENCYPART_ARC
(13,8),-1.44232 # DEPENDENCYPART_ARC
(13,9),-1.38754 # DEPENDENCYPART_ARC
(13,10),-2.95966 # DEPENDENCYPART_ARC
(13,11),-0.327218 # DEPENDENCYPART_ARC
(13,12),-0.0356331 # DEPENDENCYPART_ARC
(13,14),0.151685 # DEPENDENCYPART_ARC
(14,4),-3.91541 # DEPENDENCYPART_ARC
(14,12),-3.27425 # DEPENDENCYPART_ARC
