# _root_ Co by se stalo , kdyby v prosinci nebylo přepadeno Čečensko , ale pobaltské státy ?
#goldHeads=4,4,4,0,6,4,10,7,10,6,13,13,10,15,13,0,
#predictedHeads=4,4,4,0,6,4,10,7,10,6,13,13,10,15,13,0,
(6,12),1.0781 # DEPENDENCYPART_ARC
(6,13),0.021136 # DEPENDENCYPART_ARC
(6,15),-1.56444 # DEPENDENCYPART_ARC
(6,16),-0.0528237 # DEPENDENCYPART_ARC
(7,5),-0.640389 # DEPENDENCYPART_ARC
(7,8),5.09812 # DEPENDENCYPART_ARC
(7,11),-4.38811 # DEPENDENCYPART_ARC
(8,4),-4.09623 # DEPENDENCYPART_ARC
(8,5),-0.836008 # DEPENDENCYPART_ARC
(8,6),-0.241838 # DEPENDENCYPART_ARC
(8,7),0.99608 # DEPENDENCYPART_ARC
(8,9),-1.6818 # DEPENDENCYPART_ARC
(8,11),-2.27684 # DEPENDENCYPART_ARC
(8,13),-0.767277 # DEPENDENCYPART_ARC
(8,15),-3.76371 # DEPENDENCYPART_ARC
(9,1),-0.00120279 # DEPENDENCYPART_ARC
(9,2),1.15716 # DEPENDENCYPART_ARC
(9,3),0.773247 # DEPENDENCYPART_ARC
(9,4),-2.76913 # DEPENDENCYPART_ARC
(9,5),0.186037 # DEPENDENCYPART_ARC
(9,6),0.563536 # DEPENDENCYPART_ARC
(9,7),2.07713 # DEPENDENCYPART_ARC
(9,8),-0.438188 # DEPENDENCYPART_ARC
(9,10),0.775789 # DEPENDENCYPART_ARC
(9,11),0.876311 # DEPENDENCYPART_ARC
(9,12),-0.381855 # DEPENDENCYPART_ARC
(9,13),0.0160962 # DEPENDENCYPART_ARC
(9,14),-2.46336 # DEPENDENCYPART_ARC
(9,15),-1.56943 # DEPENDENCYPART_ARC
(9,16),-0.232601 # DEPENDENCYPART_ARC
(10,1),0.0892452 # DEPENDENCYPART_ARC
(10,2),0.601523 # DEPENDENCYPART_ARC
(10,4),-0.522971 # DEPENDENCYPART_ARC
(10,5),0.417352 # DEPENDENCYPART_ARC
(10,6),1.29029 # DEPENDENCYPART_ARC
(10,7),2.32114 # DEPENDENCYPART_ARC
(10,8),0.0920031 # DEPENDENCYPART_ARC
(10,9),3.78808 # DEPENDENCYPART_ARC
(10,11),1.12649 # DEPENDENCYPART_ARC
(10,12),0.325265 # DEPENDENCYPART_ARC
(10,13),0.685356 # DEPENDENCYPART_ARC
(10,15),-1.37326 # DEPENDENCYPART_ARC
(10,16),-0.0680799 # DEPENDENCYPART_ARC
(11,7),-0.907152 # DEPENDENCYPART_ARC
(11,9),-2.57736 # DEPENDENCYPART_ARC
(11,10),-0.402509 # DEPENDENCYPART_ARC
(11,12),-1.15045 # DEPENDENCYPART_ARC
(11,13),-0.0655725 # DEPENDENCYPART_ARC
(11,14),-3.69807 # DEPENDENCYPART_ARC
(11,15),-1.59995 # DEPENDENCYPART_ARC
(11,16),-1.77248 # DEPENDENCYPART_ARC
(12,4),-1.96269 # DEPENDENCYPART_ARC
(12,5),-0.453102 # DEPENDENCYPART_ARC
(12,6),-0.245489 # DEPENDENCYPART_ARC
(12,7),-1.63784 # DEPENDENCYPART_ARC
(12,9),-0.764371 # DEPENDENCYPART_ARC
(12,10),-0.98174 # DEPENDENCYPART_ARC
(12,11),-0.684516 # DEPENDENCYPART_ARC
(12,13),-0.0577055 # DEPENDENCYPART_ARC
(12,14),-0.569809 # DEPENDENCYPART_ARC
(12,15),-0.144368 # DEPENDENCYPART_ARC
(12,16),-0.590745 # DEPENDENCYPART_ARC
(13,1),-1.67922 # DEPENDENCYPART_ARC
(13,2),-1.15068 # DEPENDENCYPART_ARC
(13,3),-0.468696 # DEPENDENCYPART_ARC
(13,4),-0.663162 # DEPENDENCYPART_ARC
(13,5),0.0344855 # DEPENDENCYPART_ARC
(13,6),-0.0803934 # DEPENDENCYPART_ARC
(13,7),-0.521012 # DEPENDENCYPART_ARC
(13,8),0.924989 # DEPENDENCYPART_ARC
(13,9),0.953828 # DEPENDENCYPART_ARC
(13,10),0.68968 # DEPENDENCYPART_ARC
(13,11),2.09013 # DEPENDENCYPART_ARC
(13,12),2.41135 # DEPENDENCYPART_ARC
(13,14),2.30003 # DEPENDENCYPART_ARC
(13,15),1.47751 # DEPENDENCYPART_ARC
(13,16),0.573112 # DEPENDENCYPART_ARC
(14,12),-0.438328 # DEPENDENCYPART_ARC
(14,15),-0.932476 # DEPENDENCYPART_ARC
(14,16),-0.83737 # DEPENDENCYPART_ARC
(15,5),-1.08735 # DEPENDENCYPART_ARC
(15,6),-1.53302 # DEPENDENCYPART_ARC
(15,7),-1.55515 # DEPENDENCYPART_ARC
(15,10),-1.98563 # DEPENDENCYPART_ARC
(15,11),-1.25752 # DEPENDENCYPART_ARC
(15,12),0.0510928 # DEPENDENCYPART_ARC
(15,13),1.08724 # DEPENDENCYPART_ARC
(15,14),3.6935 # DEPENDENCYPART_ARC
(15,16),-0.737372 # DEPENDENCYPART_ARC
(16,4),-4.40966 # DEPENDENCYPART_ARC
(16,6),-3.10835 # DEPENDENCYPART_ARC
(16,9),-3.52211 # DEPENDENCYPART_ARC
(16,10),-3.32076 # DEPENDENCYPART_ARC
(16,11),-2.47092 # DEPENDENCYPART_ARC
(16,13),-2.84431 # DEPENDENCYPART_ARC
(16,14),-2.49623 # DEPENDENCYPART_ARC
(16,15),-3.05395 # DEPENDENCYPART_ARC
