# _root_ Pro pedagogický dozor může být potěšující , že jejich účast při soutěžích bude odměňována podle zákona o cestovních náhradách , a v tomto směru jsou postaveni na roveň ostatním pracovníkům vyslaným na služební cestu .
#goldHeads=4,3,1,21,4,5,8,4,10,14,10,11,14,8,14,15,16,19,17,8,0,25,24,22,21,25,26,27,30,28,30,31,34,32,0,
#predictedHeads=4,3,1,0,4,5,8,4,10,14,10,11,14,8,14,15,16,19,17,21,14,26,24,22,21,25,26,27,30,26,30,31,34,32,0,
(7,8),0.601553 # DEPENDENCYPART_ARC
(7,14),-0.746538 # DEPENDENCYPART_ARC
(8,3),-1.96859 # DEPENDENCYPART_ARC
(8,4),-1.02852 # DEPENDENCYPART_ARC
(8,7),2.74127 # DEPENDENCYPART_ARC
(8,10),-0.857239 # DEPENDENCYPART_ARC
(8,11),-0.939425 # DEPENDENCYPART_ARC
(8,13),2.23693 # DEPENDENCYPART_ARC
(8,14),1.57074 # DEPENDENCYPART_ARC
(8,20),0.892102 # DEPENDENCYPART_ARC
(8,21),0.308413 # DEPENDENCYPART_ARC
(8,25),-0.721685 # DEPENDENCYPART_ARC
(8,26),-0.202497 # DEPENDENCYPART_ARC
(10,6),-2.221 # DEPENDENCYPART_ARC
(10,7),0.227096 # DEPENDENCYPART_ARC
(10,8),-0.55103 # DEPENDENCYPART_ARC
(10,9),4.5442 # DEPENDENCYPART_ARC
(10,11),1.95279 # DEPENDENCYPART_ARC
(10,12),-0.031037 # DEPENDENCYPART_ARC
(10,13),-0.645384 # DEPENDENCYPART_ARC
(10,15),-1.18145 # DEPENDENCYPART_ARC
(10,17),-0.165935 # DEPENDENCYPART_ARC
(10,26),-4.20673 # DEPENDENCYPART_ARC
(11,7),-0.700073 # DEPENDENCYPART_ARC
(11,10),-2.14828 # DEPENDENCYPART_ARC
(11,12),5.51425 # DEPENDENCYPART_ARC
(11,16),-3.66306 # DEPENDENCYPART_ARC
(12,6),-5.81881 # DEPENDENCYPART_ARC
(12,9),1.60537 # DEPENDENCYPART_ARC
(12,10),-1.75274 # DEPENDENCYPART_ARC
(12,13),-1.12474 # DEPENDENCYPART_ARC
(12,17),-0.0677037 # DEPENDENCYPART_ARC
(13,1),-0.749469 # DEPENDENCYPART_ARC
(13,4),-4.10085 # DEPENDENCYPART_ARC
(13,5),-2.09145 # DEPENDENCYPART_ARC
(13,6),-1.38818 # DEPENDENCYPART_ARC
(13,7),-1.28556 # DEPENDENCYPART_ARC
(13,10),0.0249063 # DEPENDENCYPART_ARC
(13,11),-0.181959 # DEPENDENCYPART_ARC
(13,12),-2.38069 # DEPENDENCYPART_ARC
(13,14),0.160812 # DEPENDENCYPART_ARC
(13,15),0.207111 # DEPENDENCYPART_ARC
(13,16),-2.81363 # DEPENDENCYPART_ARC
(13,17),-0.80754 # DEPENDENCYPART_ARC
(13,19),-2.57332 # DEPENDENCYPART_ARC
(13,20),-1.12956 # DEPENDENCYPART_ARC
(13,21),-0.631764 # DEPENDENCYPART_ARC
(14,1),0.481073 # DEPENDENCYPART_ARC
(14,3),-0.920706 # DEPENDENCYPART_ARC
(14,4),-1.43865 # DEPENDENCYPART_ARC
(14,5),0.919401 # DEPENDENCYPART_ARC
(14,7),0.444027 # DEPENDENCYPART_ARC
(14,8),-0.108445 # DEPENDENCYPART_ARC
(14,10),2.94362 # DEPENDENCYPART_ARC
(14,11),1.51897 # DEPENDENCYPART_ARC
(14,12),0.762788 # DEPENDENCYPART_ARC
(14,13),5.92073 # DEPENDENCYPART_ARC
(14,15),2.94756 # DEPENDENCYPART_ARC
(14,16),-0.176625 # DEPENDENCYPART_ARC
(14,17),0.836321 # DEPENDENCYPART_ARC
(14,19),-0.160687 # DEPENDENCYPART_ARC
(14,20),0.472309 # DEPENDENCYPART_ARC
(14,21),0.781703 # DEPENDENCYPART_ARC
(14,22),-1.21931 # DEPENDENCYPART_ARC
(14,24),-1.53673 # DEPENDENCYPART_ARC
(14,25),-2.9888 # DEPENDENCYPART_ARC
(14,27),-0.663914 # DEPENDENCYPART_ARC
(14,30),-2.38087 # DEPENDENCYPART_ARC
(15,16),3.32099 # DEPENDENCYPART_ARC
(15,18),-1.57864 # DEPENDENCYPART_ARC
(15,19),-0.708344 # DEPENDENCYPART_ARC
(15,20),-0.0347471 # DEPENDENCYPART_ARC
(15,24),-1.35026 # DEPENDENCYPART_ARC
(16,15),-0.552559 # DEPENDENCYPART_ARC
(16,17),2.76442 # DEPENDENCYPART_ARC
(16,18),-2.79129 # DEPENDENCYPART_ARC
(16,19),-0.896684 # DEPENDENCYPART_ARC
(16,21),0.774881 # DEPENDENCYPART_ARC
(16,22),-0.78996 # DEPENDENCYPART_ARC
(16,24),-1.98027 # DEPENDENCYPART_ARC
(16,25),-1.03258 # DEPENDENCYPART_ARC
(16,26),-0.224393 # DEPENDENCYPART_ARC
(16,31),-3.75593 # DEPENDENCYPART_ARC
(17,15),-0.430084 # DEPENDENCYPART_ARC
(17,16),0.709044 # DEPENDENCYPART_ARC
(17,18),-0.239539 # DEPENDENCYPART_ARC
(17,19),3.72085 # DEPENDENCYPART_ARC
(17,20),-0.428223 # DEPENDENCYPART_ARC
(17,21),-0.368943 # DEPENDENCYPART_ARC
(17,24),1.07966 # DEPENDENCYPART_ARC
(19,9),-0.863322 # DEPENDENCYPART_ARC
(19,15),-0.651832 # DEPENDENCYPART_ARC
(19,16),-1.77276 # DEPENDENCYPART_ARC
(19,17),-0.76669 # DEPENDENCYPART_ARC
(19,18),4.45884 # DEPENDENCYPART_ARC
(19,21),0.0536507 # DEPENDENCYPART_ARC
(19,22),-1.81918 # DEPENDENCYPART_ARC
(19,24),-1.99107 # DEPENDENCYPART_ARC
(19,25),-0.276043 # DEPENDENCYPART_ARC
(19,26),-0.345043 # DEPENDENCYPART_ARC
(19,31),-3.18119 # DEPENDENCYPART_ARC
(20,4),-1.8196 # DEPENDENCYPART_ARC
(20,5),-1.03154 # DEPENDENCYPART_ARC
(20,13),-0.0935963 # DEPENDENCYPART_ARC
(20,14),-0.463123 # DEPENDENCYPART_ARC
(20,15),-0.241189 # DEPENDENCYPART_ARC
(20,16),-0.105084 # DEPENDENCYPART_ARC
(20,17),-0.135163 # DEPENDENCYPART_ARC
(20,18),-0.330979 # DEPENDENCYPART_ARC
(20,19),-0.504317 # DEPENDENCYPART_ARC
(20,25),-0.979167 # DEPENDENCYPART_ARC
(20,26),-1.46345 # DEPENDENCYPART_ARC
(21,1),0.231379 # DEPENDENCYPART_ARC
(21,4),-0.15894 # DEPENDENCYPART_ARC
(21,5),-1.03327 # DEPENDENCYPART_ARC
(21,7),-0.0523994 # DEPENDENCYPART_ARC
(21,8),0.174639 # DEPENDENCYPART_ARC
(21,10),-0.478776 # DEPENDENCYPART_ARC
(21,11),1.24028 # DEPENDENCYPART_ARC
(21,12),0.309531 # DEPENDENCYPART_ARC
(21,13),1.97556 # DEPENDENCYPART_ARC
(21,14),1.17018 # DEPENDENCYPART_ARC
(21,15),1.45533 # DEPENDENCYPART_ARC
(21,16),0.826699 # DEPENDENCYPART_ARC
(21,17),1.58806 # DEPENDENCYPART_ARC
(21,18),0.705672 # DEPENDENCYPART_ARC
(21,19),0.760719 # DEPENDENCYPART_ARC
(21,20),1.8138 # DEPENDENCYPART_ARC
(21,22),1.10248 # DEPENDENCYPART_ARC
(21,23),0.533717 # DEPENDENCYPART_ARC
(21,24),0.134801 # DEPENDENCYPART_ARC
(21,25),1.93864 # DEPENDENCYPART_ARC
(21,26),1.78935 # DEPENDENCYPART_ARC
(21,27),-0.277127 # DEPENDENCYPART_ARC
(21,28),-1.92585 # DEPENDENCYPART_ARC
(21,29),-0.833163 # DEPENDENCYPART_ARC
(21,30),-2.14665 # DEPENDENCYPART_ARC
(21,31),-1.71026 # DEPENDENCYPART_ARC
(21,32),-0.258474 # DEPENDENCYPART_ARC
(22,23),2.3279 # DEPENDENCYPART_ARC
(22,24),5.19143 # DEPENDENCYPART_ARC
(22,28),-3.77557 # DEPENDENCYPART_ARC
(23,14),-2.58162 # DEPENDENCYPART_ARC
(23,25),-1.61125 # DEPENDENCYPART_ARC
(23,26),-1.56919 # DEPENDENCYPART_ARC
(23,27),-1.8865 # DEPENDENCYPART_ARC
(23,28),-2.33213 # DEPENDENCYPART_ARC
(23,32),-2.01444 # DEPENDENCYPART_ARC
(24,18),-3.12727 # DEPENDENCYPART_ARC
(24,19),-3.81434 # DEPENDENCYPART_ARC
(24,22),0.798267 # DEPENDENCYPART_ARC
(24,23),5.66572 # DEPENDENCYPART_ARC
(24,25),-2.21729 # DEPENDENCYPART_ARC
(24,26),-2.50971 # DEPENDENCYPART_ARC
(24,27),-1.97796 # DEPENDENCYPART_ARC
(25,1),-1.56196 # DEPENDENCYPART_ARC
(25,5),-1.9675 # DEPENDENCYPART_ARC
(25,10),-0.0970258 # DEPENDENCYPART_ARC
(25,11),-1.04525 # DEPENDENCYPART_ARC
(25,13),-1.24863 # DEPENDENCYPART_ARC
(25,14),-1.7867 # DEPENDENCYPART_ARC
(25,15),0.610768 # DEPENDENCYPART_ARC
(25,16),-2.70185 # DEPENDENCYPART_ARC
(25,17),-1.58369 # DEPENDENCYPART_ARC
(25,19),-1.91006 # DEPENDENCYPART_ARC
(25,20),0.412124 # DEPENDENCYPART_ARC
(25,22),1.45843 # DEPENDENCYPART_ARC
(25,23),-1.63879 # DEPENDENCYPART_ARC
(25,24),0.788465 # DEPENDENCYPART_ARC
(25,26),2.81092 # DEPENDENCYPART_ARC
(25,27),0.582982 # DEPENDENCYPART_ARC
(25,28),0.40914 # DEPENDENCYPART_ARC
(25,29),-1.08329 # DEPENDENCYPART_ARC
(25,30),0.656931 # DEPENDENCYPART_ARC
(25,31),-1.06798 # DEPENDENCYPART_ARC
(25,32),-0.22169 # DEPENDENCYPART_ARC
(25,34),-0.288413 # DEPENDENCYPART_ARC
(26,1),-2.215 # DEPENDENCYPART_ARC
(26,3),-2.70937 # DEPENDENCYPART_ARC
(26,4),-4.34846 # DEPENDENCYPART_ARC
(26,10),-1.46829 # DEPENDENCYPART_ARC
(26,11),-1.09633 # DEPENDENCYPART_ARC
(26,12),-2.0257 # DEPENDENCYPART_ARC
(26,13),-0.978191 # DEPENDENCYPART_ARC
(26,15),0.338227 # DEPENDENCYPART_ARC
(26,16),-2.9809 # DEPENDENCYPART_ARC
(26,17),-1.07181 # DEPENDENCYPART_ARC
(26,18),-4.41605 # DEPENDENCYPART_ARC
(26,19),-2.53687 # DEPENDENCYPART_ARC
(26,20),-0.223402 # DEPENDENCYPART_ARC
(26,21),-0.484384 # DEPENDENCYPART_ARC
(26,22),1.67755 # DEPENDENCYPART_ARC
(26,23),-1.32281 # DEPENDENCYPART_ARC
(26,24),0.036215 # DEPENDENCYPART_ARC
(26,25),1.42419 # DEPENDENCYPART_ARC
(26,27),1.66104 # DEPENDENCYPART_ARC
(26,28),-1.05472 # DEPENDENCYPART_ARC
(26,29),-0.161943 # DEPENDENCYPART_ARC
(26,30),0.810159 # DEPENDENCYPART_ARC
(26,32),-0.273446 # DEPENDENCYPART_ARC
(26,34),-1.84404 # DEPENDENCYPART_ARC
(27,28),3.89541 # DEPENDENCYPART_ARC
(27,29),-0.335794 # DEPENDENCYPART_ARC
(27,30),-1.10416 # DEPENDENCYPART_ARC
(27,31),-0.866986 # DEPENDENCYPART_ARC
(28,22),-1.25374 # DEPENDENCYPART_ARC
(28,27),1.09865 # DEPENDENCYPART_ARC
(28,29),-0.129969 # DEPENDENCYPART_ARC
(28,30),0.671967 # DEPENDENCYPART_ARC
(28,31),-0.700941 # DEPENDENCYPART_ARC
(28,32),0.546379 # DEPENDENCYPART_ARC
(28,33),0.197711 # DEPENDENCYPART_ARC
(28,34),-0.893016 # DEPENDENCYPART_ARC
(29,22),-1.33388 # DEPENDENCYPART_ARC
(29,27),0.306538 # DEPENDENCYPART_ARC
(29,28),-1.58222 # DEPENDENCYPART_ARC
(29,30),1.43511 # DEPENDENCYPART_ARC
(29,31),0.104407 # DEPENDENCYPART_ARC
(29,32),-0.217426 # DEPENDENCYPART_ARC
(29,34),-2.66056 # DEPENDENCYPART_ARC
(30,27),-0.392211 # DEPENDENCYPART_ARC
(30,28),-3.41219 # DEPENDENCYPART_ARC
(30,29),5.04052 # DEPENDENCYPART_ARC
(30,31),2.68316 # DEPENDENCYPART_ARC
(30,32),0.159047 # DEPENDENCYPART_ARC
(30,33),-3.52679 # DEPENDENCYPART_ARC
(30,34),-1.67326 # DEPENDENCYPART_ARC
(31,22),-1.13569 # DEPENDENCYPART_ARC
(31,27),0.344296 # DEPENDENCYPART_ARC
(31,28),-2.19768 # DEPENDENCYPART_ARC
(31,29),0.691823 # DEPENDENCYPART_ARC
(31,30),0.381105 # DEPENDENCYPART_ARC
(31,32),2.35059 # DEPENDENCYPART_ARC
(31,33),-2.12266 # DEPENDENCYPART_ARC
(31,34),-1.19806 # DEPENDENCYPART_ARC
(31,35),0.138344 # DEPENDENCYPART_ARC
(32,30),-2.48467 # DEPENDENCYPART_ARC
(32,31),-1.28612 # DEPENDENCYPART_ARC
(32,33),1.38489 # DEPENDENCYPART_ARC
(32,34),3.95302 # DEPENDENCYPART_ARC
(32,35),0.0282971 # DEPENDENCYPART_ARC
(33,32),-0.183765 # DEPENDENCYPART_ARC
(34,29),-2.97235 # DEPENDENCYPART_ARC
(34,30),-3.51507 # DEPENDENCYPART_ARC
(34,31),-3.87608 # DEPENDENCYPART_ARC
(34,32),-0.398142 # DEPENDENCYPART_ARC
(34,33),5.22376 # DEPENDENCYPART_ARC
(34,35),0.553866 # DEPENDENCYPART_ARC
