# _root_ 2 . etapu ( 201 km , cíl v Galway ) vyhrál Vanderaerden za 5 : 18 : 37 , 2 .
#goldHeads=3,1,12,7,7,5,3,7,8,9,7,0,12,12,18,18,18,14,18,21,19,0,
#predictedHeads=3,1,7,3,3,5,0,7,8,9,7,0,12,12,16,14,16,14,18,16,20,0,
(20,10),0.165373 # DEPENDENCYPART_ARC
(20,12),0.0525765 # DEPENDENCYPART_ARC
(20,13),-0.0666315 # DEPENDENCYPART_ARC
(20,14),0.19695 # DEPENDENCYPART_ARC
(20,15),0.72818 # DEPENDENCYPART_ARC
(20,16),0.794582 # DEPENDENCYPART_ARC
(20,17),0.46396 # DEPENDENCYPART_ARC
(20,18),0.832738 # DEPENDENCYPART_ARC
(20,19),1.00433 # DEPENDENCYPART_ARC
(20,21),1.58332 # DEPENDENCYPART_ARC
(20,22),-0.300136 # DEPENDENCYPART_ARC
(21,18),-0.204675 # DEPENDENCYPART_ARC
(21,19),0.473027 # DEPENDENCYPART_ARC
(21,20),0.63738 # DEPENDENCYPART_ARC
(21,22),1.25503 # DEPENDENCYPART_ARC
(22,21),-2.88438 # DEPENDENCYPART_ARC
