# _root_ Kdo má nad žáky dozor , nese odpovědnost i za eventuální zranění žáka nebo za škodu , která by žákovi vznikla .
#goldHeads=2,7,5,3,2,2,0,7,12,14,12,10,12,8,14,15,21,21,21,21,16,0,
#predictedHeads=2,0,2,3,2,2,14,7,12,14,12,10,12,2,14,15,21,21,21,21,16,0,
(4,7),-1.64613 # DEPENDENCYPART_ARC
(4,8),-3.62941 # DEPENDENCYPART_ARC
(4,9),-0.845623 # DEPENDENCYPART_ARC
(4,10),-1.63133 # DEPENDENCYPART_ARC
(4,14),-0.997956 # DEPENDENCYPART_ARC
(5,2),-1.21841 # DEPENDENCYPART_ARC
(5,3),0.94274 # DEPENDENCYPART_ARC
(5,4),-0.495824 # DEPENDENCYPART_ARC
(5,6),-0.483169 # DEPENDENCYPART_ARC
(5,7),-1.03716 # DEPENDENCYPART_ARC
(5,8),-2.13355 # DEPENDENCYPART_ARC
(5,21),-3.87543 # DEPENDENCYPART_ARC
(6,2),-0.00532581 # DEPENDENCYPART_ARC
(6,3),-0.124715 # DEPENDENCYPART_ARC
(6,4),0.456889 # DEPENDENCYPART_ARC
(6,5),-0.323914 # DEPENDENCYPART_ARC
(6,7),-0.0433238 # DEPENDENCYPART_ARC
(6,8),-0.7207 # DEPENDENCYPART_ARC
(6,10),-1.2082 # DEPENDENCYPART_ARC
(7,1),0.483695 # DEPENDENCYPART_ARC
(7,2),-0.665045 # DEPENDENCYPART_ARC
(7,3),0.688725 # DEPENDENCYPART_ARC
(7,4),0.285514 # DEPENDENCYPART_ARC
(7,5),0.364745 # DEPENDENCYPART_ARC
(7,6),0.00500146 # DEPENDENCYPART_ARC
(7,8),2.82805 # DEPENDENCYPART_ARC
(7,9),-0.112793 # DEPENDENCYPART_ARC
(7,10),0.545018 # DEPENDENCYPART_ARC
(7,11),-2.69785 # DEPENDENCYPART_ARC
(7,12),0.338693 # DEPENDENCYPART_ARC
(7,13),-1.91879 # DEPENDENCYPART_ARC
(7,14),-0.0475568 # DEPENDENCYPART_ARC
(7,15),-0.489563 # DEPENDENCYPART_ARC
(7,16),-1.10755 # DEPENDENCYPART_ARC
(7,17),-0.320939 # DEPENDENCYPART_ARC
(7,20),-2.33231 # DEPENDENCYPART_ARC
(7,21),-4.81735 # DEPENDENCYPART_ARC
(8,3),0.823146 # DEPENDENCYPART_ARC
(8,4),-2.58824 # DEPENDENCYPART_ARC
(8,5),-0.877806 # DEPENDENCYPART_ARC
(8,7),0.0736806 # DEPENDENCYPART_ARC
(8,9),0.436098 # DEPENDENCYPART_ARC
(8,10),1.39649 # DEPENDENCYPART_ARC
(8,11),-0.435361 # DEPENDENCYPART_ARC
(8,12),-0.604786 # DEPENDENCYPART_ARC
(8,13),0.912876 # DEPENDENCYPART_ARC
(8,15),0.592788 # DEPENDENCYPART_ARC
(8,21),-2.99839 # DEPENDENCYPART_ARC
(9,1),-0.496133 # DEPENDENCYPART_ARC
(9,2),-1.89937 # DEPENDENCYPART_ARC
(9,3),0.496798 # DEPENDENCYPART_ARC
(9,4),-0.0333583 # DEPENDENCYPART_ARC
(9,5),-0.307548 # DEPENDENCYPART_ARC
(9,6),-0.414574 # DEPENDENCYPART_ARC
(9,7),-0.217126 # DEPENDENCYPART_ARC
(9,8),0.383391 # DEPENDENCYPART_ARC
(9,10),1.05399 # DEPENDENCYPART_ARC
(9,11),-0.329929 # DEPENDENCYPART_ARC
(9,12),1.02802 # DEPENDENCYPART_ARC
(9,13),0.906905 # DEPENDENCYPART_ARC
(9,14),-0.609505 # DEPENDENCYPART_ARC
(9,15),-0.152025 # DEPENDENCYPART_ARC
(9,16),-0.933082 # DEPENDENCYPART_ARC
(9,17),-0.655663 # DEPENDENCYPART_ARC
(9,20),-1.30937 # DEPENDENCYPART_ARC
(9,21),-2.86352 # DEPENDENCYPART_ARC
(10,6),-0.625376 # DEPENDENCYPART_ARC
(10,8),-1.96893 # DEPENDENCYPART_ARC
(10,9),-0.252841 # DEPENDENCYPART_ARC
(10,11),2.46952 # DEPENDENCYPART_ARC
(10,12),3.62638 # DEPENDENCYPART_ARC
(10,13),-2.42124 # DEPENDENCYPART_ARC
(10,14),-0.033547 # DEPENDENCYPART_ARC
(10,16),-1.0654 # DEPENDENCYPART_ARC
(10,17),-0.441994 # DEPENDENCYPART_ARC
(11,13),-1.68751 # DEPENDENCYPART_ARC
(12,9),1.24403 # DEPENDENCYPART_ARC
(12,10),-0.571555 # DEPENDENCYPART_ARC
(12,11),4.97161 # DEPENDENCYPART_ARC
(12,13),3.7366 # DEPENDENCYPART_ARC
(12,14),0.893627 # DEPENDENCYPART_ARC
(12,15),0.407119 # DEPENDENCYPART_ARC
(12,16),-1.06838 # DEPENDENCYPART_ARC
(12,20),-2.93614 # DEPENDENCYPART_ARC
(12,21),-2.10104 # DEPENDENCYPART_ARC
(13,8),-5.89852 # DEPENDENCYPART_ARC
(13,9),0.232887 # DEPENDENCYPART_ARC
(13,11),-0.390802 # DEPENDENCYPART_ARC
(13,12),-1.68728 # DEPENDENCYPART_ARC
(13,14),-0.503663 # DEPENDENCYPART_ARC
(13,15),-1.18924 # DEPENDENCYPART_ARC
(13,16),-4.66539 # DEPENDENCYPART_ARC
(14,1),-0.905059 # DEPENDENCYPART_ARC
(14,2),-1.09865 # DEPENDENCYPART_ARC
(14,3),0.458608 # DEPENDENCYPART_ARC
(14,4),0.495757 # DEPENDENCYPART_ARC
(14,5),0.265518 # DEPENDENCYPART_ARC
(14,6),0.399205 # DEPENDENCYPART_ARC
(14,7),1.13523 # DEPENDENCYPART_ARC
(14,8),0.512388 # DEPENDENCYPART_ARC
(14,9),0.388958 # DEPENDENCYPART_ARC
(14,10),1.62004 # DEPENDENCYPART_ARC
(14,11),-0.0296903 # DEPENDENCYPART_ARC
(14,12),0.748175 # DEPENDENCYPART_ARC
(14,13),0.676551 # DEPENDENCYPART_ARC
(14,15),2.15383 # DEPENDENCYPART_ARC
(14,16),1.58873 # DEPENDENCYPART_ARC
(14,17),0.236242 # DEPENDENCYPART_ARC
(14,18),-0.273502 # DEPENDENCYPART_ARC
(14,20),-0.30786 # DEPENDENCYPART_ARC
(14,21),-0.601811 # DEPENDENCYPART_ARC
(14,22),-0.75301 # DEPENDENCYPART_ARC
(15,16),3.65081 # DEPENDENCYPART_ARC
(15,17),0.109838 # DEPENDENCYPART_ARC
(15,20),-2.20265 # DEPENDENCYPART_ARC
(16,9),-0.104748 # DEPENDENCYPART_ARC
(16,11),-0.765948 # DEPENDENCYPART_ARC
(16,12),-1.83467 # DEPENDENCYPART_ARC
(16,13),-3.09752 # DEPENDENCYPART_ARC
(16,14),0.369699 # DEPENDENCYPART_ARC
(16,15),-0.108208 # DEPENDENCYPART_ARC
(16,17),-0.287755 # DEPENDENCYPART_ARC
(16,18),-1.77138 # DEPENDENCYPART_ARC
(16,19),1.16095 # DEPENDENCYPART_ARC
(16,20),-2.09263 # DEPENDENCYPART_ARC
(16,21),-0.095465 # DEPENDENCYPART_ARC
(16,22),-1.09819 # DEPENDENCYPART_ARC
(17,2),-1.72571 # DEPENDENCYPART_ARC
(17,6),-1.42049 # DEPENDENCYPART_ARC
(17,7),-0.542243 # DEPENDENCYPART_ARC
(17,12),-1.18999 # DEPENDENCYPART_ARC
(17,15),-1.6896 # DEPENDENCYPART_ARC
(17,16),-0.475156 # DEPENDENCYPART_ARC
(17,20),-2.22978 # DEPENDENCYPART_ARC
(17,21),-1.12961 # DEPENDENCYPART_ARC
(18,17),-0.325314 # DEPENDENCYPART_ARC
(18,20),0.0599435 # DEPENDENCYPART_ARC
(18,22),-0.0812268 # DEPENDENCYPART_ARC
(20,18),-1.75193 # DEPENDENCYPART_ARC
(20,21),-1.50175 # DEPENDENCYPART_ARC
(20,22),-0.535155 # DEPENDENCYPART_ARC
(21,2),-3.37743 # DEPENDENCYPART_ARC
(21,3),0.00698021 # DEPENDENCYPART_ARC
(21,4),-1.93135 # DEPENDENCYPART_ARC
(21,5),-1.54605 # DEPENDENCYPART_ARC
(21,7),-1.99587 # DEPENDENCYPART_ARC
(21,8),0.0974841 # DEPENDENCYPART_ARC
(21,9),-0.0435899 # DEPENDENCYPART_ARC
(21,10),0.862513 # DEPENDENCYPART_ARC
(21,11),-4.01007 # DEPENDENCYPART_ARC
(21,12),-0.311282 # DEPENDENCYPART_ARC
(21,13),-3.45556 # DEPENDENCYPART_ARC
(21,14),0.344868 # DEPENDENCYPART_ARC
(21,15),0.673374 # DEPENDENCYPART_ARC
(21,16),-0.364628 # DEPENDENCYPART_ARC
(21,17),1.38227 # DEPENDENCYPART_ARC
(21,18),2.48288 # DEPENDENCYPART_ARC
(21,19),3.40281 # DEPENDENCYPART_ARC
(21,20),2.62978 # DEPENDENCYPART_ARC
(21,22),-0.433165 # DEPENDENCYPART_ARC
