# _root_ Za současného stavu , kdy se léčebna potýká s obrovskými finančními potížemi , by ráda znovu obnovila svoji farmu .
#goldHeads=17,3,1,8,8,8,8,3,8,12,12,9,8,17,17,17,0,19,17,0,
#predictedHeads=8,3,1,8,8,8,8,0,8,12,12,9,8,17,8,17,13,19,17,0,
(13,5),-0.482299 # DEPENDENCYPART_ARC
(13,7),-0.236979 # DEPENDENCYPART_ARC
(13,8),0.24065 # DEPENDENCYPART_ARC
(13,9),-0.0393889 # DEPENDENCYPART_ARC
(13,10),0.104757 # DEPENDENCYPART_ARC
(13,11),-0.255575 # DEPENDENCYPART_ARC
(13,12),-0.284383 # DEPENDENCYPART_ARC
(13,16),-0.101888 # DEPENDENCYPART_ARC
(13,17),-0.509982 # DEPENDENCYPART_ARC
(13,19),-1.50041 # DEPENDENCYPART_ARC
(13,20),0.509627 # DEPENDENCYPART_ARC
(15,6),0.370101 # DEPENDENCYPART_ARC
(15,9),-0.356021 # DEPENDENCYPART_ARC
(15,12),-1.09415 # DEPENDENCYPART_ARC
(15,13),-0.327552 # DEPENDENCYPART_ARC
(15,16),0.360179 # DEPENDENCYPART_ARC
(15,19),0.582312 # DEPENDENCYPART_ARC
(15,20),-0.136418 # DEPENDENCYPART_ARC
(16,8),-1.46205 # DEPENDENCYPART_ARC
(16,12),-1.29183 # DEPENDENCYPART_ARC
(16,19),-2.21946 # DEPENDENCYPART_ARC
(17,1),0.704582 # DEPENDENCYPART_ARC
(17,3),-3.66889 # DEPENDENCYPART_ARC
(17,4),-0.193764 # DEPENDENCYPART_ARC
(17,5),1.23313 # DEPENDENCYPART_ARC
(17,6),0.781442 # DEPENDENCYPART_ARC
(17,7),1.37694 # DEPENDENCYPART_ARC
(17,8),-1.64619 # DEPENDENCYPART_ARC
(17,9),0.291496 # DEPENDENCYPART_ARC
(17,10),-2.68651 # DEPENDENCYPART_ARC
(17,11),-2.70779 # DEPENDENCYPART_ARC
(17,12),-0.39855 # DEPENDENCYPART_ARC
(17,13),-0.093529 # DEPENDENCYPART_ARC
(17,14),2.70806 # DEPENDENCYPART_ARC
(17,15),-1.15102 # DEPENDENCYPART_ARC
(17,16),2.24198 # DEPENDENCYPART_ARC
(17,18),0.289619 # DEPENDENCYPART_ARC
(17,19),3.4958 # DEPENDENCYPART_ARC
(17,20),0.0451376 # DEPENDENCYPART_ARC
(19,10),-2.62974 # DEPENDENCYPART_ARC
(19,16),0.0390817 # DEPENDENCYPART_ARC
(19,18),3.67808 # DEPENDENCYPART_ARC
(19,20),0.247845 # DEPENDENCYPART_ARC
(20,15),-3.76892 # DEPENDENCYPART_ARC
(20,19),-3.43371 # DEPENDENCYPART_ARC
