# _root_ Přesto se zdá , že největší nadějí na zmírnění vlny je bouřlivé počasí , které meteorologové čekají ode dneška .
#goldHeads=3,3,0,5,3,7,11,7,8,9,5,13,11,17,17,17,13,17,18,0,
#predictedHeads=3,3,0,5,3,7,11,7,8,9,5,13,11,17,17,17,13,17,18,0,
(7,8),1.68641 # DEPENDENCYPART_ARC
(7,9),-1.99504 # DEPENDENCYPART_ARC
(7,10),0.915073 # DEPENDENCYPART_ARC
(7,11),-1.10798 # DEPENDENCYPART_ARC
(7,12),-2.2683 # DEPENDENCYPART_ARC
(7,13),-2.82343 # DEPENDENCYPART_ARC
(7,16),-3.74149 # DEPENDENCYPART_ARC
(7,17),-2.78007 # DEPENDENCYPART_ARC
(7,18),-2.19436 # DEPENDENCYPART_ARC
(8,4),-0.699931 # DEPENDENCYPART_ARC
(8,7),-1.52418 # DEPENDENCYPART_ARC
(8,9),3.86593 # DEPENDENCYPART_ARC
(8,10),-0.577215 # DEPENDENCYPART_ARC
(8,13),-4.92239 # DEPENDENCYPART_ARC
(9,1),-2.93662 # DEPENDENCYPART_ARC
(9,5),-2.49142 # DEPENDENCYPART_ARC
(9,6),-2.91027 # DEPENDENCYPART_ARC
(9,8),0.768531 # DEPENDENCYPART_ARC
(9,10),4.38979 # DEPENDENCYPART_ARC
(9,11),-1.03525 # DEPENDENCYPART_ARC
(9,12),-1.93842 # DEPENDENCYPART_ARC
(9,13),-2.04644 # DEPENDENCYPART_ARC
(9,14),-0.867179 # DEPENDENCYPART_ARC
(9,16),-3.27693 # DEPENDENCYPART_ARC
(9,17),-2.48921 # DEPENDENCYPART_ARC
(9,18),-2.23501 # DEPENDENCYPART_ARC
(10,1),-2.2604 # DEPENDENCYPART_ARC
(10,5),-2.03669 # DEPENDENCYPART_ARC
(10,6),-0.721273 # DEPENDENCYPART_ARC
(10,7),-3.32326 # DEPENDENCYPART_ARC
(10,8),-0.420646 # DEPENDENCYPART_ARC
(10,9),-0.268838 # DEPENDENCYPART_ARC
(10,11),-1.02601 # DEPENDENCYPART_ARC
(10,12),-2.89669 # DEPENDENCYPART_ARC
(10,13),-1.48686 # DEPENDENCYPART_ARC
(10,16),-3.27872 # DEPENDENCYPART_ARC
(10,17),-3.43568 # DEPENDENCYPART_ARC
(11,1),-0.563085 # DEPENDENCYPART_ARC
(11,2),-0.104994 # DEPENDENCYPART_ARC
(11,3),-2.03396 # DEPENDENCYPART_ARC
(11,4),-0.571157 # DEPENDENCYPART_ARC
(11,5),-1.01654 # DEPENDENCYPART_ARC
(11,6),-1.38059 # DEPENDENCYPART_ARC
(11,7),1.77197 # DEPENDENCYPART_ARC
(11,8),-0.0235207 # DEPENDENCYPART_ARC
(11,9),1.04676 # DEPENDENCYPART_ARC
(11,10),-0.479892 # DEPENDENCYPART_ARC
(11,12),2.25967 # DEPENDENCYPART_ARC
(11,13),2.91298 # DEPENDENCYPART_ARC
(11,14),0.106537 # DEPENDENCYPART_ARC
(11,16),-0.721761 # DEPENDENCYPART_ARC
(11,17),-1.33866 # DEPENDENCYPART_ARC
(11,18),-0.208976 # DEPENDENCYPART_ARC
(11,19),-2.97882 # DEPENDENCYPART_ARC
(11,20),-1.04313 # DEPENDENCYPART_ARC
(12,8),-0.663709 # DEPENDENCYPART_ARC
(12,10),-3.14208 # DEPENDENCYPART_ARC
(12,13),-0.926668 # DEPENDENCYPART_ARC
(12,16),-3.17169 # DEPENDENCYPART_ARC
(12,17),-2.98607 # DEPENDENCYPART_ARC
(12,18),-1.65117 # DEPENDENCYPART_ARC
(13,3),-2.25141 # DEPENDENCYPART_ARC
(13,6),-3.76184 # DEPENDENCYPART_ARC
(13,8),-0.048123 # DEPENDENCYPART_ARC
(13,9),-2.23482 # DEPENDENCYPART_ARC
(13,10),-3.74243 # DEPENDENCYPART_ARC
(13,11),-1.33969 # DEPENDENCYPART_ARC
(13,12),5.16051 # DEPENDENCYPART_ARC
(13,14),-0.282845 # DEPENDENCYPART_ARC
(13,15),-1.87722 # DEPENDENCYPART_ARC
(13,16),-0.510441 # DEPENDENCYPART_ARC
(13,17),0.489922 # DEPENDENCYPART_ARC
(13,18),-0.867174 # DEPENDENCYPART_ARC
(13,19),-0.914102 # DEPENDENCYPART_ARC
(14,3),-1.86337 # DEPENDENCYPART_ARC
(14,4),-1.25592 # DEPENDENCYPART_ARC
(14,5),-2.04132 # DEPENDENCYPART_ARC
(14,7),-1.67774 # DEPENDENCYPART_ARC
(14,9),-0.975938 # DEPENDENCYPART_ARC
(14,10),-1.85035 # DEPENDENCYPART_ARC
(14,11),-0.362018 # DEPENDENCYPART_ARC
(14,12),-1.10361 # DEPENDENCYPART_ARC
(14,13),-1.14374 # DEPENDENCYPART_ARC
(14,16),-0.961625 # DEPENDENCYPART_ARC
(14,17),0.00615707 # DEPENDENCYPART_ARC
(14,18),-1.57646 # DEPENDENCYPART_ARC
(14,19),-1.8361 # DEPENDENCYPART_ARC
(14,20),-0.978393 # DEPENDENCYPART_ARC
(15,14),0.0070635 # DEPENDENCYPART_ARC
(15,16),-0.747008 # DEPENDENCYPART_ARC
(15,19),-0.416446 # DEPENDENCYPART_ARC
(16,9),-4.65013 # DEPENDENCYPART_ARC
(16,12),-0.175937 # DEPENDENCYPART_ARC
(16,13),-2.87819 # DEPENDENCYPART_ARC
(16,14),-0.28425 # DEPENDENCYPART_ARC
(16,15),-1.4038 # DEPENDENCYPART_ARC
(16,17),-0.575341 # DEPENDENCYPART_ARC
(16,18),-0.514013 # DEPENDENCYPART_ARC
(16,19),-0.527503 # DEPENDENCYPART_ARC
(17,1),-0.86771 # DEPENDENCYPART_ARC
(17,2),-0.326872 # DEPENDENCYPART_ARC
(17,3),-2.90157 # DEPENDENCYPART_ARC
(17,4),-0.615966 # DEPENDENCYPART_ARC
(17,6),-2.91796 # DEPENDENCYPART_ARC
(17,7),0.554745 # DEPENDENCYPART_ARC
(17,8),-0.35077 # DEPENDENCYPART_ARC
(17,9),-0.386917 # DEPENDENCYPART_ARC
(17,10),-2.07909 # DEPENDENCYPART_ARC
(17,11),-1.53396 # DEPENDENCYPART_ARC
(17,12),-2.29517 # DEPENDENCYPART_ARC
(17,13),-0.700889 # DEPENDENCYPART_ARC
(17,14),2.30845 # DEPENDENCYPART_ARC
(17,15),2.67897 # DEPENDENCYPART_ARC
(17,16),3.65456 # DEPENDENCYPART_ARC
(17,18),2.89181 # DEPENDENCYPART_ARC
(17,19),-0.651893 # DEPENDENCYPART_ARC
(17,20),0.0967459 # DEPENDENCYPART_ARC
(18,14),-0.91568 # DEPENDENCYPART_ARC
(18,19),3.38976 # DEPENDENCYPART_ARC
(18,20),-0.23259 # DEPENDENCYPART_ARC
(19,15),-2.89905 # DEPENDENCYPART_ARC
(19,16),-3.42173 # DEPENDENCYPART_ARC
(19,18),0.217008 # DEPENDENCYPART_ARC
(19,20),0.0703008 # DEPENDENCYPART_ARC
