# _root_ V něm si několik prostitutek najalo vysloužilé zabijáky , aby se pomstily dvěma zákazníkům , kteří v opilosti jednu z nich zohavili .
#goldHeads=6,1,6,6,4,0,8,6,10,6,12,10,14,12,22,22,22,17,22,19,20,14,0,
#predictedHeads=6,1,6,6,4,0,8,6,10,6,12,10,14,12,22,22,22,17,16,19,20,14,0,
(10,23),-0.582965 # DEPENDENCYPART_ARC
(12,1),0.448387 # DEPENDENCYPART_ARC
(12,3),-0.213504 # DEPENDENCYPART_ARC
(12,4),-1.16819 # DEPENDENCYPART_ARC
(12,5),-2.50313 # DEPENDENCYPART_ARC
(12,6),-2.71786 # DEPENDENCYPART_ARC
(12,7),-2.71527 # DEPENDENCYPART_ARC
(12,8),-1.36732 # DEPENDENCYPART_ARC
(12,9),0.430184 # DEPENDENCYPART_ARC
(12,10),-0.0597259 # DEPENDENCYPART_ARC
(12,11),3.88398 # DEPENDENCYPART_ARC
(12,13),1.07426 # DEPENDENCYPART_ARC
(12,14),1.59795 # DEPENDENCYPART_ARC
(12,15),0.780992 # DEPENDENCYPART_ARC
(12,17),0.269699 # DEPENDENCYPART_ARC
(12,18),-1.69733 # DEPENDENCYPART_ARC
(12,19),-1.87039 # DEPENDENCYPART_ARC
(12,20),-0.698192 # DEPENDENCYPART_ARC
(12,22),-2.27428 # DEPENDENCYPART_ARC
(13,14),1.25994 # DEPENDENCYPART_ARC
(13,17),-0.319245 # DEPENDENCYPART_ARC
(13,20),-0.432336 # DEPENDENCYPART_ARC
(14,1),-2.64076 # DEPENDENCYPART_ARC
(14,3),-3.69468 # DEPENDENCYPART_ARC
(14,6),-3.91235 # DEPENDENCYPART_ARC
(14,7),-1.42114 # DEPENDENCYPART_ARC
(14,9),-0.181357 # DEPENDENCYPART_ARC
(14,10),-0.329965 # DEPENDENCYPART_ARC
(14,11),-1.90892 # DEPENDENCYPART_ARC
(14,12),-2.13742 # DEPENDENCYPART_ARC
(14,13),4.18672 # DEPENDENCYPART_ARC
(14,15),-0.380426 # DEPENDENCYPART_ARC
(14,16),-2.0143 # DEPENDENCYPART_ARC
(14,17),-0.73698 # DEPENDENCYPART_ARC
(14,18),-1.40384 # DEPENDENCYPART_ARC
(14,19),-3.24973 # DEPENDENCYPART_ARC
(14,20),-0.709575 # DEPENDENCYPART_ARC
(14,22),2.15873 # DEPENDENCYPART_ARC
(15,6),-0.951762 # DEPENDENCYPART_ARC
(15,9),-1.05018 # DEPENDENCYPART_ARC
(15,10),-1.50124 # DEPENDENCYPART_ARC
(15,11),-1.63402 # DEPENDENCYPART_ARC
(15,12),-0.258797 # DEPENDENCYPART_ARC
(15,13),-1.54384 # DEPENDENCYPART_ARC
(15,14),-0.92472 # DEPENDENCYPART_ARC
(15,17),-1.33 # DEPENDENCYPART_ARC
(15,18),-1.12248 # DEPENDENCYPART_ARC
(15,19),-1.26356 # DEPENDENCYPART_ARC
(15,20),-1.56926 # DEPENDENCYPART_ARC
(15,22),-0.313668 # DEPENDENCYPART_ARC
(16,15),-0.20951 # DEPENDENCYPART_ARC
(16,17),-0.300392 # DEPENDENCYPART_ARC
(16,18),-0.669652 # DEPENDENCYPART_ARC
(16,19),0.846744 # DEPENDENCYPART_ARC
(17,15),-0.439959 # DEPENDENCYPART_ARC
(17,18),4.17683 # DEPENDENCYPART_ARC
(17,19),-1.66328 # DEPENDENCYPART_ARC
(18,13),-3.55613 # DEPENDENCYPART_ARC
(18,14),-3.81633 # DEPENDENCYPART_ARC
(18,16),-3.69636 # DEPENDENCYPART_ARC
(18,17),1.08004 # DEPENDENCYPART_ARC
(18,19),0.12715 # DEPENDENCYPART_ARC
(18,20),0.518472 # DEPENDENCYPART_ARC
(18,22),-0.426088 # DEPENDENCYPART_ARC
(18,23),-0.691676 # DEPENDENCYPART_ARC
(19,16),-1.97137 # DEPENDENCYPART_ARC
(19,17),-0.4529 # DEPENDENCYPART_ARC
(19,18),-1.01796 # DEPENDENCYPART_ARC
(19,20),2.69611 # DEPENDENCYPART_ARC
(19,22),-1.01955 # DEPENDENCYPART_ARC
(19,23),0.122533 # DEPENDENCYPART_ARC
(20,14),-3.51254 # DEPENDENCYPART_ARC
(20,15),-1.09542 # DEPENDENCYPART_ARC
(20,18),-1.02122 # DEPENDENCYPART_ARC
(20,21),2.08382 # DEPENDENCYPART_ARC
(22,1),0.705809 # DEPENDENCYPART_ARC
(22,3),-0.43938 # DEPENDENCYPART_ARC
(22,5),-3.01936 # DEPENDENCYPART_ARC
(22,6),-4.17871 # DEPENDENCYPART_ARC
(22,7),-1.05313 # DEPENDENCYPART_ARC
(22,8),-0.941423 # DEPENDENCYPART_ARC
(22,9),0.190016 # DEPENDENCYPART_ARC
(22,10),-0.519866 # DEPENDENCYPART_ARC
(22,11),1.69392 # DEPENDENCYPART_ARC
(22,12),-2.72436 # DEPENDENCYPART_ARC
(22,13),0.544049 # DEPENDENCYPART_ARC
(22,14),-0.15529 # DEPENDENCYPART_ARC
(22,15),2.1046 # DEPENDENCYPART_ARC
(22,16),1.81158 # DEPENDENCYPART_ARC
(22,17),2.11355 # DEPENDENCYPART_ARC
(22,18),-0.430764 # DEPENDENCYPART_ARC
(22,19),0.635525 # DEPENDENCYPART_ARC
(22,20),1.41612 # DEPENDENCYPART_ARC
(22,23),-0.212168 # DEPENDENCYPART_ARC
