# _root_ Přestože soupeř v závěru již nehrál v nejsilnější sestavě , považuji výhru za náš úspěch , " konstatoval olomoucký trenér Jiří Teplý .
#goldHeads=11,6,6,3,6,1,6,9,7,1,18,11,11,15,13,11,11,0,20,22,22,18,0,
#predictedHeads=18,6,6,3,6,1,6,9,7,1,0,11,12,15,13,11,11,0,20,21,22,18,0,
(4,9),-1.13702 # DEPENDENCYPART_ARC
(5,1),-1.13019 # DEPENDENCYPART_ARC
(5,2),-1.35508 # DEPENDENCYPART_ARC
(5,3),-0.883132 # DEPENDENCYPART_ARC
(5,4),-1.0917 # DEPENDENCYPART_ARC
(6,1),1.65806 # DEPENDENCYPART_ARC
(6,2),2.4968 # DEPENDENCYPART_ARC
(6,3),1.35765 # DEPENDENCYPART_ARC
(6,4),0.543227 # DEPENDENCYPART_ARC
(6,5),2.41026 # DEPENDENCYPART_ARC
(6,7),2.49078 # DEPENDENCYPART_ARC
(6,8),-2.97007 # DEPENDENCYPART_ARC
(6,9),0.41308 # DEPENDENCYPART_ARC
(6,10),0.946297 # DEPENDENCYPART_ARC
(6,11),-0.251717 # DEPENDENCYPART_ARC
(6,12),0.384335 # DEPENDENCYPART_ARC
(6,13),0.108893 # DEPENDENCYPART_ARC
(6,15),-0.174288 # DEPENDENCYPART_ARC
(6,16),0.400555 # DEPENDENCYPART_ARC
(6,17),0.336366 # DEPENDENCYPART_ARC
(6,18),-4.34437 # DEPENDENCYPART_ARC
(6,20),-2.77037 # DEPENDENCYPART_ARC
(6,21),-2.41938 # DEPENDENCYPART_ARC
(6,22),-1.63226 # DEPENDENCYPART_ARC
(7,8),1.08376 # DEPENDENCYPART_ARC
(7,9),4.18451 # DEPENDENCYPART_ARC
(7,10),-0.161162 # DEPENDENCYPART_ARC
(7,11),-1.04969 # DEPENDENCYPART_ARC
(7,12),-3.06611 # DEPENDENCYPART_ARC
(8,5),-1.05764 # DEPENDENCYPART_ARC
(9,1),-2.55761 # DEPENDENCYPART_ARC
(9,3),-1.0938 # DEPENDENCYPART_ARC
(9,4),-1.38079 # DEPENDENCYPART_ARC
(9,5),0.408239 # DEPENDENCYPART_ARC
(9,6),-2.6062 # DEPENDENCYPART_ARC
(9,7),0.595247 # DEPENDENCYPART_ARC
(9,8),4.51826 # DEPENDENCYPART_ARC
(9,10),-0.757783 # DEPENDENCYPART_ARC
(9,11),-2.20147 # DEPENDENCYPART_ARC
(9,13),-1.74326 # DEPENDENCYPART_ARC
(9,18),-2.18543 # DEPENDENCYPART_ARC
(10,1),-0.670478 # DEPENDENCYPART_ARC
(10,2),-0.770384 # DEPENDENCYPART_ARC
(10,3),-0.539456 # DEPENDENCYPART_ARC
(10,4),-0.285105 # DEPENDENCYPART_ARC
(10,5),-0.30419 # DEPENDENCYPART_ARC
(10,6),0.49019 # DEPENDENCYPART_ARC
(10,7),0.0942121 # DEPENDENCYPART_ARC
(10,8),-0.100586 # DEPENDENCYPART_ARC
(10,9),-0.321488 # DEPENDENCYPART_ARC
(10,11),0.0873999 # DEPENDENCYPART_ARC
(10,12),-0.983639 # DEPENDENCYPART_ARC
(10,13),-0.993825 # DEPENDENCYPART_ARC
(10,15),-1.58534 # DEPENDENCYPART_ARC
(10,16),-0.0528746 # DEPENDENCYPART_ARC
(10,17),-0.0887996 # DEPENDENCYPART_ARC
(11,1),2.66029 # DEPENDENCYPART_ARC
(11,2),0.429282 # DEPENDENCYPART_ARC
(11,3),-0.035095 # DEPENDENCYPART_ARC
(11,4),-1.76471 # DEPENDENCYPART_ARC
(11,5),0.18629 # DEPENDENCYPART_ARC
(11,6),-0.775074 # DEPENDENCYPART_ARC
(11,7),1.07923 # DEPENDENCYPART_ARC
(11,8),-2.93856 # DEPENDENCYPART_ARC
(11,9),-1.28286 # DEPENDENCYPART_ARC
(11,10),0.460237 # DEPENDENCYPART_ARC
(11,12),2.90363 # DEPENDENCYPART_ARC
(11,13),1.1937 # DEPENDENCYPART_ARC
(11,15),0.905724 # DEPENDENCYPART_ARC
(11,16),1.72355 # DEPENDENCYPART_ARC
(11,17),1.35995 # DEPENDENCYPART_ARC
(11,18),-2.30285 # DEPENDENCYPART_ARC
(11,19),-3.13065 # DEPENDENCYPART_ARC
(11,20),-1.19677 # DEPENDENCYPART_ARC
(11,21),-1.77796 # DEPENDENCYPART_ARC
(11,22),-1.83461 # DEPENDENCYPART_ARC
(11,23),-0.17011 # DEPENDENCYPART_ARC
(12,7),-1.09619 # DEPENDENCYPART_ARC
(12,8),-1.61719 # DEPENDENCYPART_ARC
(12,9),-3.60881 # DEPENDENCYPART_ARC
(12,10),-1.16072 # DEPENDENCYPART_ARC
(12,13),1.96438 # DEPENDENCYPART_ARC
(12,15),-1.18147 # DEPENDENCYPART_ARC
(12,16),-0.421101 # DEPENDENCYPART_ARC
(12,17),-0.179184 # DEPENDENCYPART_ARC
(12,18),-0.1636 # DEPENDENCYPART_ARC
(12,19),-2.20392 # DEPENDENCYPART_ARC
(12,21),-3.7514 # DEPENDENCYPART_ARC
(12,22),-1.89097 # DEPENDENCYPART_ARC
(13,10),-1.24637 # DEPENDENCYPART_ARC
(13,12),-1.61087 # DEPENDENCYPART_ARC
(13,14),1.38136 # DEPENDENCYPART_ARC
(13,15),3.82708 # DEPENDENCYPART_ARC
(13,16),-0.0814517 # DEPENDENCYPART_ARC
(13,17),-0.617623 # DEPENDENCYPART_ARC
(13,18),-1.38193 # DEPENDENCYPART_ARC
(13,19),-1.44098 # DEPENDENCYPART_ARC
(13,20),-4.23338 # DEPENDENCYPART_ARC
(13,21),-5.49191 # DEPENDENCYPART_ARC
(15,12),-1.34909 # DEPENDENCYPART_ARC
(15,13),-0.0429553 # DEPENDENCYPART_ARC
(15,14),4.68861 # DEPENDENCYPART_ARC
(15,18),-0.631475 # DEPENDENCYPART_ARC
(15,19),-2.67657 # DEPENDENCYPART_ARC
(15,20),-2.78306 # DEPENDENCYPART_ARC
(15,22),-2.81029 # DEPENDENCYPART_ARC
(16,1),-1.31229 # DEPENDENCYPART_ARC
(16,2),-1.93428 # DEPENDENCYPART_ARC
(16,6),-0.855874 # DEPENDENCYPART_ARC
(16,7),-0.906633 # DEPENDENCYPART_ARC
(16,9),-1.02509 # DEPENDENCYPART_ARC
(16,10),-0.356294 # DEPENDENCYPART_ARC
(16,11),-0.162421 # DEPENDENCYPART_ARC
(16,12),-0.306619 # DEPENDENCYPART_ARC
(16,13),-0.665106 # DEPENDENCYPART_ARC
(16,14),-0.2977 # DEPENDENCYPART_ARC
(16,15),-0.0832959 # DEPENDENCYPART_ARC
(16,17),-0.571 # DEPENDENCYPART_ARC
(16,18),-0.437028 # DEPENDENCYPART_ARC
(16,19),-1.09332 # DEPENDENCYPART_ARC
(16,20),-0.551036 # DEPENDENCYPART_ARC
(16,21),-1.05203 # DEPENDENCYPART_ARC
(16,22),-1.55981 # DEPENDENCYPART_ARC
(16,23),-1.13106 # DEPENDENCYPART_ARC
(17,6),-2.20316 # DEPENDENCYPART_ARC
(17,11),-1.39407 # DEPENDENCYPART_ARC
(17,12),-2.62118 # DEPENDENCYPART_ARC
(17,13),-2.34676 # DEPENDENCYPART_ARC
(17,14),-1.65449 # DEPENDENCYPART_ARC
(17,15),-2.24647 # DEPENDENCYPART_ARC
(17,16),-1.88335 # DEPENDENCYPART_ARC
(17,18),-1.72772 # DEPENDENCYPART_ARC
(17,19),-2.40345 # DEPENDENCYPART_ARC
(17,20),-3.10632 # DEPENDENCYPART_ARC
(17,21),-3.43934 # DEPENDENCYPART_ARC
(17,22),-3.32582 # DEPENDENCYPART_ARC
(18,1),2.79197 # DEPENDENCYPART_ARC
(18,2),0.115968 # DEPENDENCYPART_ARC
(18,3),-1.91149 # DEPENDENCYPART_ARC
(18,4),-1.63552 # DEPENDENCYPART_ARC
(18,5),-1.89644 # DEPENDENCYPART_ARC
(18,6),-1.05545 # DEPENDENCYPART_ARC
(18,7),-1.35659 # DEPENDENCYPART_ARC
(18,9),-3.1328 # DEPENDENCYPART_ARC
(18,10),-1.3709 # DEPENDENCYPART_ARC
(18,11),0.92433 # DEPENDENCYPART_ARC
(18,12),-0.90266 # DEPENDENCYPART_ARC
(18,13),-0.120148 # DEPENDENCYPART_ARC
(18,15),0.753225 # DEPENDENCYPART_ARC
(18,16),0.185442 # DEPENDENCYPART_ARC
(18,17),-0.0270596 # DEPENDENCYPART_ARC
(18,19),1.2422 # DEPENDENCYPART_ARC
(18,20),2.09672 # DEPENDENCYPART_ARC
(18,21),1.04452 # DEPENDENCYPART_ARC
(18,22),1.42646 # DEPENDENCYPART_ARC
(18,23),-0.278327 # DEPENDENCYPART_ARC
(19,20),-0.637417 # DEPENDENCYPART_ARC
(19,21),-2.031 # DEPENDENCYPART_ARC
(19,22),-0.927135 # DEPENDENCYPART_ARC
(19,23),-1.18937 # DEPENDENCYPART_ARC
(20,14),-2.95975 # DEPENDENCYPART_ARC
(20,17),-0.576571 # DEPENDENCYPART_ARC
(20,19),4.93882 # DEPENDENCYPART_ARC
(20,21),0.644412 # DEPENDENCYPART_ARC
(20,22),0.898766 # DEPENDENCYPART_ARC
(20,23),-0.811731 # DEPENDENCYPART_ARC
(21,15),-5.68181 # DEPENDENCYPART_ARC
(21,19),0.794898 # DEPENDENCYPART_ARC
(21,20),2.20958 # DEPENDENCYPART_ARC
(21,22),0.679623 # DEPENDENCYPART_ARC
(21,23),-0.477532 # DEPENDENCYPART_ARC
(22,9),-3.25655 # DEPENDENCYPART_ARC
(22,12),-2.26765 # DEPENDENCYPART_ARC
(22,13),0.0964726 # DEPENDENCYPART_ARC
(22,15),-1.53903 # DEPENDENCYPART_ARC
(22,16),-0.621489 # DEPENDENCYPART_ARC
(22,17),-0.418797 # DEPENDENCYPART_ARC
(22,19),1.13416 # DEPENDENCYPART_ARC
(22,20),1.42557 # DEPENDENCYPART_ARC
(22,21),3.86246 # DEPENDENCYPART_ARC
(22,23),0.774853 # DEPENDENCYPART_ARC
