# _root_ Podstatné je , že tyto peníze nejdou z podstaty , ale z lepších než očekávaných výsledků hospodaření .
#goldHeads=2,0,4,2,6,7,4,11,8,11,7,11,16,13,14,12,16,0,
#predictedHeads=2,0,4,2,6,7,4,7,8,11,7,11,12,13,14,12,16,0,
(7,5),2.02794 # DEPENDENCYPART_ARC
(7,6),4.06847 # DEPENDENCYPART_ARC
(7,8),2.10208 # DEPENDENCYPART_ARC
(7,9),-0.103958 # DEPENDENCYPART_ARC
(7,10),0.670454 # DEPENDENCYPART_ARC
(7,11),1.40573 # DEPENDENCYPART_ARC
(7,12),-0.194594 # DEPENDENCYPART_ARC
(7,13),-3.36329 # DEPENDENCYPART_ARC
(7,14),-0.252487 # DEPENDENCYPART_ARC
(7,16),-2.5115 # DEPENDENCYPART_ARC
(7,17),-3.01512 # DEPENDENCYPART_ARC
(7,18),-0.384029 # DEPENDENCYPART_ARC
(8,3),-0.646712 # DEPENDENCYPART_ARC
(8,6),-2.74097 # DEPENDENCYPART_ARC
(8,9),3.46661 # DEPENDENCYPART_ARC
(8,10),-0.173312 # DEPENDENCYPART_ARC
(8,11),-0.672819 # DEPENDENCYPART_ARC
(8,13),-0.888072 # DEPENDENCYPART_ARC
(8,14),-1.24063 # DEPENDENCYPART_ARC
(8,16),-0.852826 # DEPENDENCYPART_ARC
(9,4),-2.69595 # DEPENDENCYPART_ARC
(9,5),-3.91016 # DEPENDENCYPART_ARC
(9,6),-5.45551 # DEPENDENCYPART_ARC
(9,7),-1.99553 # DEPENDENCYPART_ARC
(9,8),0.381086 # DEPENDENCYPART_ARC
(9,10),-0.655872 # DEPENDENCYPART_ARC
(9,11),0.106655 # DEPENDENCYPART_ARC
(9,12),-1.23927 # DEPENDENCYPART_ARC
(9,13),-3.31672 # DEPENDENCYPART_ARC
(9,14),-1.05615 # DEPENDENCYPART_ARC
(9,16),-0.504028 # DEPENDENCYPART_ARC
(9,17),-0.161901 # DEPENDENCYPART_ARC
(10,1),-2.72025 # DEPENDENCYPART_ARC
(10,2),-1.61869 # DEPENDENCYPART_ARC
(10,3),-0.227549 # DEPENDENCYPART_ARC
(10,4),-0.415674 # DEPENDENCYPART_ARC
(10,5),-1.29091 # DEPENDENCYPART_ARC
(10,6),-1.53775 # DEPENDENCYPART_ARC
(10,7),-0.454248 # DEPENDENCYPART_ARC
(10,8),-1.07503 # DEPENDENCYPART_ARC
(10,9),-0.224896 # DEPENDENCYPART_ARC
(10,12),-0.573508 # DEPENDENCYPART_ARC
(10,13),-1.03024 # DEPENDENCYPART_ARC
(10,14),-0.679015 # DEPENDENCYPART_ARC
(10,16),-1.34556 # DEPENDENCYPART_ARC
(10,17),-1.14736 # DEPENDENCYPART_ARC
(11,1),-1.67131 # DEPENDENCYPART_ARC
(11,2),0.224638 # DEPENDENCYPART_ARC
(11,3),0.614373 # DEPENDENCYPART_ARC
(11,4),0.0960357 # DEPENDENCYPART_ARC
(11,5),-0.00145483 # DEPENDENCYPART_ARC
(11,6),0.434816 # DEPENDENCYPART_ARC
(11,7),1.59589 # DEPENDENCYPART_ARC
(11,8),1.83382 # DEPENDENCYPART_ARC
(11,9),1.03174 # DEPENDENCYPART_ARC
(11,10),2.4559 # DEPENDENCYPART_ARC
(11,12),1.06032 # DEPENDENCYPART_ARC
(11,13),0.878562 # DEPENDENCYPART_ARC
(11,14),0.686705 # DEPENDENCYPART_ARC
(11,15),0.181924 # DEPENDENCYPART_ARC
(11,16),-0.0576285 # DEPENDENCYPART_ARC
(11,17),-0.266536 # DEPENDENCYPART_ARC
(11,18),0.149773 # DEPENDENCYPART_ARC
(12,9),-1.88982 # DEPENDENCYPART_ARC
(12,10),0.380848 # DEPENDENCYPART_ARC
(12,13),1.4953 # DEPENDENCYPART_ARC
(12,14),0.257428 # DEPENDENCYPART_ARC
(12,15),-0.773758 # DEPENDENCYPART_ARC
(12,16),2.13523 # DEPENDENCYPART_ARC
(12,17),0.503223 # DEPENDENCYPART_ARC
(12,18),-0.81082 # DEPENDENCYPART_ARC
(13,8),-1.94277 # DEPENDENCYPART_ARC
(13,10),-0.891011 # DEPENDENCYPART_ARC
(13,12),-0.700669 # DEPENDENCYPART_ARC
(13,14),2.1775 # DEPENDENCYPART_ARC
(13,15),-2.28406 # DEPENDENCYPART_ARC
(13,16),-1.15552 # DEPENDENCYPART_ARC
(13,17),-1.58375 # DEPENDENCYPART_ARC
(14,2),-4.27678 # DEPENDENCYPART_ARC
(14,7),-2.74797 # DEPENDENCYPART_ARC
(14,9),-1.24129 # DEPENDENCYPART_ARC
(14,10),0.26451 # DEPENDENCYPART_ARC
(14,11),-1.72901 # DEPENDENCYPART_ARC
(14,12),-2.02014 # DEPENDENCYPART_ARC
(14,13),1.86983 # DEPENDENCYPART_ARC
(14,15),5.85524 # DEPENDENCYPART_ARC
(14,16),1.10505 # DEPENDENCYPART_ARC
(14,17),0.571744 # DEPENDENCYPART_ARC
(14,18),-0.243143 # DEPENDENCYPART_ARC
(15,16),-1.27307 # DEPENDENCYPART_ARC
(15,17),-2.07475 # DEPENDENCYPART_ARC
(16,8),-1.45992 # DEPENDENCYPART_ARC
(16,11),-0.335361 # DEPENDENCYPART_ARC
(16,12),-1.13588 # DEPENDENCYPART_ARC
(16,13),0.93579 # DEPENDENCYPART_ARC
(16,14),1.55393 # DEPENDENCYPART_ARC
(16,15),3.9942 # DEPENDENCYPART_ARC
(16,17),3.14312 # DEPENDENCYPART_ARC
(16,18),-0.141158 # DEPENDENCYPART_ARC
(17,13),-3.38987 # DEPENDENCYPART_ARC
(17,14),-0.583682 # DEPENDENCYPART_ARC
(17,15),-1.14296 # DEPENDENCYPART_ARC
(17,16),-0.232993 # DEPENDENCYPART_ARC
(17,18),0.225684 # DEPENDENCYPART_ARC
