# _root_ To má za následek , že k fixaci neutrálních mutací dochází vždy konstantní rychlostí , závislou na rychlosti vzniku nových mutací a nezávislou na velikosti populace .
#goldHeads=2,0,2,3,6,2,11,7,10,8,6,11,14,11,22,22,16,17,18,21,19,14,22,23,24,25,0,
#predictedHeads=2,0,2,3,6,2,11,7,10,8,6,11,14,11,16,14,16,17,18,21,19,19,22,23,24,25,0,
(8,6),-0.586083 # DEPENDENCYPART_ARC
(8,7),0.280303 # DEPENDENCYPART_ARC
(8,9),0.535148 # DEPENDENCYPART_ARC
(8,10),3.5721 # DEPENDENCYPART_ARC
(8,11),-0.571069 # DEPENDENCYPART_ARC
(8,12),-0.223148 # DEPENDENCYPART_ARC
(8,13),-0.242807 # DEPENDENCYPART_ARC
(8,14),-1.47818 # DEPENDENCYPART_ARC
(8,15),-0.0503503 # DEPENDENCYPART_ARC
(8,16),-0.216148 # DEPENDENCYPART_ARC
(8,17),-0.672799 # DEPENDENCYPART_ARC
(8,20),-1.99846 # DEPENDENCYPART_ARC
(8,21),-0.370438 # DEPENDENCYPART_ARC
(8,22),-0.000524313 # DEPENDENCYPART_ARC
(8,23),-1.78486 # DEPENDENCYPART_ARC
(9,2),-2.90348 # DEPENDENCYPART_ARC
(9,5),-0.829204 # DEPENDENCYPART_ARC
(9,7),0.596249 # DEPENDENCYPART_ARC
(9,8),0.422043 # DEPENDENCYPART_ARC
(9,10),0.813668 # DEPENDENCYPART_ARC
(9,12),-0.821145 # DEPENDENCYPART_ARC
(9,14),-0.703534 # DEPENDENCYPART_ARC
(10,8),-0.695903 # DEPENDENCYPART_ARC
(10,9),4.86279 # DEPENDENCYPART_ARC
(10,11),-1.46902 # DEPENDENCYPART_ARC
(10,13),-2.57393 # DEPENDENCYPART_ARC
(10,14),-3.65553 # DEPENDENCYPART_ARC
(10,16),-2.75254 # DEPENDENCYPART_ARC
(11,1),0.404557 # DEPENDENCYPART_ARC
(11,2),-2.27826 # DEPENDENCYPART_ARC
(11,3),0.148752 # DEPENDENCYPART_ARC
(11,4),-1.75678 # DEPENDENCYPART_ARC
(11,5),-0.0700837 # DEPENDENCYPART_ARC
(11,6),-1.04279 # DEPENDENCYPART_ARC
(11,7),1.79787 # DEPENDENCYPART_ARC
(11,8),1.24115 # DEPENDENCYPART_ARC
(11,9),-3.50199 # DEPENDENCYPART_ARC
(11,10),-0.811822 # DEPENDENCYPART_ARC
(11,12),2.20017 # DEPENDENCYPART_ARC
(11,13),-1.23463 # DEPENDENCYPART_ARC
(11,14),2.45695 # DEPENDENCYPART_ARC
(11,15),0.628408 # DEPENDENCYPART_ARC
(11,16),-2.36241 # DEPENDENCYPART_ARC
(11,17),0.727208 # DEPENDENCYPART_ARC
(11,18),-1.14434 # DEPENDENCYPART_ARC
(11,19),-1.00375 # DEPENDENCYPART_ARC
(11,20),-5.03639 # DEPENDENCYPART_ARC
(11,21),-1.71696 # DEPENDENCYPART_ARC
(11,22),0.406226 # DEPENDENCYPART_ARC
(11,23),-3.23792 # DEPENDENCYPART_ARC
(11,24),-0.154673 # DEPENDENCYPART_ARC
(11,25),-1.99464 # DEPENDENCYPART_ARC
(11,26),-1.84461 # DEPENDENCYPART_ARC
(11,27),-0.258657 # DEPENDENCYPART_ARC
(12,1),-1.2521 # DEPENDENCYPART_ARC
(12,2),-2.1125 # DEPENDENCYPART_ARC
(12,10),-1.15574 # DEPENDENCYPART_ARC
(12,13),-0.413673 # DEPENDENCYPART_ARC
(12,14),-0.254087 # DEPENDENCYPART_ARC
(12,15),-0.593588 # DEPENDENCYPART_ARC
(12,16),-1.34598 # DEPENDENCYPART_ARC
(13,7),-0.537974 # DEPENDENCYPART_ARC
(13,11),-2.11983 # DEPENDENCYPART_ARC
(13,12),1.44287 # DEPENDENCYPART_ARC
(13,14),0.197748 # DEPENDENCYPART_ARC
(13,17),-0.756527 # DEPENDENCYPART_ARC
(14,9),-2.72487 # DEPENDENCYPART_ARC
(14,10),-4.1209 # DEPENDENCYPART_ARC
(14,12),0.540174 # DEPENDENCYPART_ARC
(14,13),3.77587 # DEPENDENCYPART_ARC
(14,15),-0.359107 # DEPENDENCYPART_ARC
(14,16),2.59311 # DEPENDENCYPART_ARC
(14,17),0.135059 # DEPENDENCYPART_ARC
(14,18),-0.929495 # DEPENDENCYPART_ARC
(14,19),0.320377 # DEPENDENCYPART_ARC
(14,20),-1.38728 # DEPENDENCYPART_ARC
(14,22),0.0222725 # DEPENDENCYPART_ARC
(14,23),0.054331 # DEPENDENCYPART_ARC
(14,24),-0.752475 # DEPENDENCYPART_ARC
(15,2),-1.38094 # DEPENDENCYPART_ARC
(15,3),-1.36715 # DEPENDENCYPART_ARC
(15,4),-0.105306 # DEPENDENCYPART_ARC
(15,5),-0.751621 # DEPENDENCYPART_ARC
(15,6),-1.0418 # DEPENDENCYPART_ARC
(15,7),-1.12376 # DEPENDENCYPART_ARC
(15,8),0.00124799 # DEPENDENCYPART_ARC
(15,9),-0.488973 # DEPENDENCYPART_ARC
(15,10),-0.71368 # DEPENDENCYPART_ARC
(15,11),0.375532 # DEPENDENCYPART_ARC
(15,12),0.109598 # DEPENDENCYPART_ARC
(15,13),0.0462098 # DEPENDENCYPART_ARC
(15,14),1.02041 # DEPENDENCYPART_ARC
(15,16),-0.258877 # DEPENDENCYPART_ARC
(15,17),0.221856 # DEPENDENCYPART_ARC
(15,18),0.24996 # DEPENDENCYPART_ARC
(15,19),0.223686 # DEPENDENCYPART_ARC
(15,20),-0.525619 # DEPENDENCYPART_ARC
(15,21),0.0131072 # DEPENDENCYPART_ARC
(15,25),-1.2133 # DEPENDENCYPART_ARC
(15,26),-0.0409165 # DEPENDENCYPART_ARC
(16,7),-1.43493 # DEPENDENCYPART_ARC
(16,12),-0.516134 # DEPENDENCYPART_ARC
(16,13),-1.48356 # DEPENDENCYPART_ARC
(16,14),-0.59774 # DEPENDENCYPART_ARC
(16,15),2.01171 # DEPENDENCYPART_ARC
(16,17),2.10414 # DEPENDENCYPART_ARC
(16,18),-0.901146 # DEPENDENCYPART_ARC
(16,19),-1.32478 # DEPENDENCYPART_ARC
(16,21),-2.46316 # DEPENDENCYPART_ARC
(16,22),0.614463 # DEPENDENCYPART_ARC
(16,24),0.430906 # DEPENDENCYPART_ARC
(16,25),-4.0459 # DEPENDENCYPART_ARC
(16,27),-0.895614 # DEPENDENCYPART_ARC
(17,15),-0.30776 # DEPENDENCYPART_ARC
(17,18),3.84346 # DEPENDENCYPART_ARC
(17,19),-1.75641 # DEPENDENCYPART_ARC
(17,20),-3.33149 # DEPENDENCYPART_ARC
(17,21),-3.80254 # DEPENDENCYPART_ARC
(17,22),-0.357696 # DEPENDENCYPART_ARC
(18,13),-0.577136 # DEPENDENCYPART_ARC
(18,16),0.123457 # DEPENDENCYPART_ARC
(18,17),1.1544 # DEPENDENCYPART_ARC
(18,19),3.2224 # DEPENDENCYPART_ARC
(18,20),-0.401813 # DEPENDENCYPART_ARC
(18,21),0.694676 # DEPENDENCYPART_ARC
(18,22),0.576514 # DEPENDENCYPART_ARC
(18,23),-0.943599 # DEPENDENCYPART_ARC
(18,24),0.513544 # DEPENDENCYPART_ARC
(18,25),-2.26587 # DEPENDENCYPART_ARC
(18,26),-0.369292 # DEPENDENCYPART_ARC
(19,16),-2.53577 # DEPENDENCYPART_ARC
(19,17),-0.287927 # DEPENDENCYPART_ARC
(19,18),-1.81146 # DEPENDENCYPART_ARC
(19,20),-0.903445 # DEPENDENCYPART_ARC
(19,21),3.33153 # DEPENDENCYPART_ARC
(19,22),0.78218 # DEPENDENCYPART_ARC
(19,23),-2.81275 # DEPENDENCYPART_ARC
(19,24),0.075557 # DEPENDENCYPART_ARC
(19,25),-2.17949 # DEPENDENCYPART_ARC
(19,26),0.142556 # DEPENDENCYPART_ARC
(20,17),-0.553685 # DEPENDENCYPART_ARC
(20,18),-2.25192 # DEPENDENCYPART_ARC
(20,19),-0.656953 # DEPENDENCYPART_ARC
(20,21),0.145989 # DEPENDENCYPART_ARC
(20,24),-0.452962 # DEPENDENCYPART_ARC
(20,25),-2.54739 # DEPENDENCYPART_ARC
(21,18),-2.48057 # DEPENDENCYPART_ARC
(21,19),-0.748825 # DEPENDENCYPART_ARC
(21,20),4.0093 # DEPENDENCYPART_ARC
(21,23),-2.66114 # DEPENDENCYPART_ARC
(21,26),-0.855571 # DEPENDENCYPART_ARC
(22,1),-2.40666 # DEPENDENCYPART_ARC
(22,2),-1.14234 # DEPENDENCYPART_ARC
(22,3),-0.947171 # DEPENDENCYPART_ARC
(22,4),0.969394 # DEPENDENCYPART_ARC
(22,5),-0.312569 # DEPENDENCYPART_ARC
(22,6),0.118815 # DEPENDENCYPART_ARC
(22,7),-0.47858 # DEPENDENCYPART_ARC
(22,8),0.717295 # DEPENDENCYPART_ARC
(22,9),-0.629567 # DEPENDENCYPART_ARC
(22,10),-0.265237 # DEPENDENCYPART_ARC
(22,11),0.0421522 # DEPENDENCYPART_ARC
(22,12),0.130603 # DEPENDENCYPART_ARC
(22,13),-0.0888015 # DEPENDENCYPART_ARC
(22,14),1.51878 # DEPENDENCYPART_ARC
(22,15),1.43545 # DEPENDENCYPART_ARC
(22,16),0.539 # DEPENDENCYPART_ARC
(22,17),0.302197 # DEPENDENCYPART_ARC
(22,18),2.43365 # DEPENDENCYPART_ARC
(22,19),1.63432 # DEPENDENCYPART_ARC
(22,20),1.76497 # DEPENDENCYPART_ARC
(22,21),3.22201 # DEPENDENCYPART_ARC
(22,23),1.247 # DEPENDENCYPART_ARC
(22,24),1.08633 # DEPENDENCYPART_ARC
(22,25),0.789767 # DEPENDENCYPART_ARC
(22,26),0.978582 # DEPENDENCYPART_ARC
(22,27),-0.309222 # DEPENDENCYPART_ARC
(23,24),1.30105 # DEPENDENCYPART_ARC
(23,25),-1.87491 # DEPENDENCYPART_ARC
(23,26),-2.73242 # DEPENDENCYPART_ARC
(23,27),-0.107489 # DEPENDENCYPART_ARC
(24,23),-0.485467 # DEPENDENCYPART_ARC
(24,25),4.23048 # DEPENDENCYPART_ARC
(24,26),-1.44921 # DEPENDENCYPART_ARC
(24,27),-0.571126 # DEPENDENCYPART_ARC
(25,20),-3.57322 # DEPENDENCYPART_ARC
(25,23),-0.409206 # DEPENDENCYPART_ARC
(25,24),1.02935 # DEPENDENCYPART_ARC
(25,26),3.12571 # DEPENDENCYPART_ARC
(25,27),-0.0270826 # DEPENDENCYPART_ARC
(26,18),-3.92046 # DEPENDENCYPART_ARC
(26,19),-2.67481 # DEPENDENCYPART_ARC
(26,21),-4.34669 # DEPENDENCYPART_ARC
(26,23),-1.45926 # DEPENDENCYPART_ARC
(26,24),-0.619659 # DEPENDENCYPART_ARC
(26,25),-0.585521 # DEPENDENCYPART_ARC
(26,27),-0.276767 # DEPENDENCYPART_ARC
