# _root_ Program třítýdenní přehlídky , jejíž hlavní část začne v úterý vypuštěním balónu České spořitelny , je zaměřen především na hudbu a výtvarné umění .
#goldHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,21,19,23,21,0,
#predictedHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,19,19,23,21,0,
(16,11),0.538332 # DEPENDENCYPART_ARC
(16,12),-1.79355 # DEPENDENCYPART_ARC
(16,13),-3.02996 # DEPENDENCYPART_ARC
(16,14),-1.97257 # DEPENDENCYPART_ARC
(16,15),-0.124005 # DEPENDENCYPART_ARC
(16,17),3.62542 # DEPENDENCYPART_ARC
(16,18),0.403472 # DEPENDENCYPART_ARC
(16,19),0.782013 # DEPENDENCYPART_ARC
(16,20),-0.00477857 # DEPENDENCYPART_ARC
(16,21),-0.00729944 # DEPENDENCYPART_ARC
(16,22),-2.46917 # DEPENDENCYPART_ARC
(16,23),-0.198781 # DEPENDENCYPART_ARC
(16,24),-0.253095 # DEPENDENCYPART_ARC
(17,1),0.0744356 # DEPENDENCYPART_ARC
(17,3),-4.17885 # DEPENDENCYPART_ARC
(17,4),-0.934293 # DEPENDENCYPART_ARC
(17,7),-0.408712 # DEPENDENCYPART_ARC
(17,8),-2.60882 # DEPENDENCYPART_ARC
(17,9),-1.01438 # DEPENDENCYPART_ARC
(17,10),-2.91046 # DEPENDENCYPART_ARC
(17,11),-1.18394 # DEPENDENCYPART_ARC
(17,12),-2.33214 # DEPENDENCYPART_ARC
(17,13),-5.88383 # DEPENDENCYPART_ARC
(17,14),-3.24112 # DEPENDENCYPART_ARC
(17,15),-1.20201 # DEPENDENCYPART_ARC
(17,16),1.57923 # DEPENDENCYPART_ARC
(17,18),0.267425 # DEPENDENCYPART_ARC
(17,19),1.48051 # DEPENDENCYPART_ARC
(17,20),-0.801991 # DEPENDENCYPART_ARC
(17,21),0.206908 # DEPENDENCYPART_ARC
(17,23),-0.712453 # DEPENDENCYPART_ARC
(17,24),-0.396819 # DEPENDENCYPART_ARC
(18,14),-1.99517 # DEPENDENCYPART_ARC
(18,19),-0.407688 # DEPENDENCYPART_ARC
(18,20),-0.770597 # DEPENDENCYPART_ARC
(18,22),-1.51989 # DEPENDENCYPART_ARC
(18,23),-1.89215 # DEPENDENCYPART_ARC
(18,24),-1.05275 # DEPENDENCYPART_ARC
(19,15),-0.780068 # DEPENDENCYPART_ARC
(19,18),0.187889 # DEPENDENCYPART_ARC
(19,20),4.09015 # DEPENDENCYPART_ARC
(19,21),1.54049 # DEPENDENCYPART_ARC
(19,22),0.17734 # DEPENDENCYPART_ARC
(19,23),0.495787 # DEPENDENCYPART_ARC
(19,24),-0.0968443 # DEPENDENCYPART_ARC
(20,18),1.3441 # DEPENDENCYPART_ARC
(20,19),0.028839 # DEPENDENCYPART_ARC
(20,22),-1.28701 # DEPENDENCYPART_ARC
(20,23),-1.5466 # DEPENDENCYPART_ARC
(21,1),-0.098788 # DEPENDENCYPART_ARC
(21,2),-2.07176 # DEPENDENCYPART_ARC
(21,3),0.236117 # DEPENDENCYPART_ARC
(21,4),-0.202266 # DEPENDENCYPART_ARC
(21,7),-0.410541 # DEPENDENCYPART_ARC
(21,8),-0.856061 # DEPENDENCYPART_ARC
(21,9),-0.533304 # DEPENDENCYPART_ARC
(21,10),1.02435 # DEPENDENCYPART_ARC
(21,11),0.539813 # DEPENDENCYPART_ARC
(21,12),0.119856 # DEPENDENCYPART_ARC
(21,13),-0.648185 # DEPENDENCYPART_ARC
(21,14),1.09409 # DEPENDENCYPART_ARC
(21,15),0.24688 # DEPENDENCYPART_ARC
(21,16),0.833077 # DEPENDENCYPART_ARC
(21,17),0.993617 # DEPENDENCYPART_ARC
(21,18),1.52339 # DEPENDENCYPART_ARC
(21,19),0.695902 # DEPENDENCYPART_ARC
(21,20),3.96045 # DEPENDENCYPART_ARC
(21,22),0.772104 # DEPENDENCYPART_ARC
(21,23),3.07551 # DEPENDENCYPART_ARC
(21,24),-0.0111849 # DEPENDENCYPART_ARC
(22,23),-1.08559 # DEPENDENCYPART_ARC
(23,18),1.35545 # DEPENDENCYPART_ARC
(23,19),-0.522079 # DEPENDENCYPART_ARC
(23,20),-2.41472 # DEPENDENCYPART_ARC
(23,22),3.87361 # DEPENDENCYPART_ARC
(23,24),0.0959316 # DEPENDENCYPART_ARC
