# _root_ Regulované a centrálně stanovené ceny se zjišťují na příslušných orgánech ( tisk , energie , pojištění aj . ) .
#goldHeads=2,5,4,2,7,7,0,7,10,8,17,17,17,17,17,17,10,17,17,0,
#predictedHeads=2,5,4,2,7,7,0,7,10,8,17,15,17,15,7,15,16,17,17,0,
(5,3),0.607856 # DEPENDENCYPART_ARC
(5,4),3.97309 # DEPENDENCYPART_ARC
(5,6),-0.182303 # DEPENDENCYPART_ARC
(5,7),-0.723552 # DEPENDENCYPART_ARC
(5,8),-0.486551 # DEPENDENCYPART_ARC
(5,9),-1.84141 # DEPENDENCYPART_ARC
(5,10),-0.337198 # DEPENDENCYPART_ARC
(5,11),-0.173699 # DEPENDENCYPART_ARC
(5,12),-2.38473 # DEPENDENCYPART_ARC
(7,1),-0.212626 # DEPENDENCYPART_ARC
(7,2),-0.0906564 # DEPENDENCYPART_ARC
(7,3),0.998071 # DEPENDENCYPART_ARC
(7,4),-0.184503 # DEPENDENCYPART_ARC
(7,5),2.46145 # DEPENDENCYPART_ARC
(7,6),3.41603 # DEPENDENCYPART_ARC
(7,8),2.43834 # DEPENDENCYPART_ARC
(7,9),-3.47084 # DEPENDENCYPART_ARC
(7,10),1.01099 # DEPENDENCYPART_ARC
(7,11),0.314533 # DEPENDENCYPART_ARC
(7,12),0.337966 # DEPENDENCYPART_ARC
(7,13),0.310768 # DEPENDENCYPART_ARC
(7,14),-0.647456 # DEPENDENCYPART_ARC
(7,15),0.122751 # DEPENDENCYPART_ARC
(7,16),-1.48761 # DEPENDENCYPART_ARC
(7,17),-3.6128 # DEPENDENCYPART_ARC
(7,18),-1.11977 # DEPENDENCYPART_ARC
(7,19),-0.657128 # DEPENDENCYPART_ARC
(7,20),-1.43126 # DEPENDENCYPART_ARC
(8,5),-3.46455 # DEPENDENCYPART_ARC
(8,9),0.318146 # DEPENDENCYPART_ARC
(8,10),4.12068 # DEPENDENCYPART_ARC
(8,11),0.374898 # DEPENDENCYPART_ARC
(8,12),-2.37648 # DEPENDENCYPART_ARC
(8,13),0.150008 # DEPENDENCYPART_ARC
(8,14),-4.07166 # DEPENDENCYPART_ARC
(8,15),0.0810179 # DEPENDENCYPART_ARC
(9,3),-0.946351 # DEPENDENCYPART_ARC
(9,6),-2.06959 # DEPENDENCYPART_ARC
(10,1),-6.06484 # DEPENDENCYPART_ARC
(10,2),-0.832237 # DEPENDENCYPART_ARC
(10,3),-1.70018 # DEPENDENCYPART_ARC
(10,4),-3.9535 # DEPENDENCYPART_ARC
(10,6),-3.0865 # DEPENDENCYPART_ARC
(10,7),-1.64948 # DEPENDENCYPART_ARC
(10,8),-0.275975 # DEPENDENCYPART_ARC
(10,9),3.8409 # DEPENDENCYPART_ARC
(10,11),0.325613 # DEPENDENCYPART_ARC
(10,12),-1.34805 # DEPENDENCYPART_ARC
(10,13),-0.350089 # DEPENDENCYPART_ARC
(10,14),-2.87494 # DEPENDENCYPART_ARC
(10,15),-0.499097 # DEPENDENCYPART_ARC
(10,16),-3.38205 # DEPENDENCYPART_ARC
(10,17),-1.68068 # DEPENDENCYPART_ARC
(10,19),-0.270799 # DEPENDENCYPART_ARC
(11,1),-0.921314 # DEPENDENCYPART_ARC
(11,2),-0.912472 # DEPENDENCYPART_ARC
(11,3),-1.02694 # DEPENDENCYPART_ARC
(11,4),-0.63359 # DEPENDENCYPART_ARC
(11,5),-0.38813 # DEPENDENCYPART_ARC
(11,7),-0.90348 # DEPENDENCYPART_ARC
(11,8),-0.447044 # DEPENDENCYPART_ARC
(11,9),0.59317 # DEPENDENCYPART_ARC
(11,10),1.4651 # DEPENDENCYPART_ARC
(11,12),1.4326 # DEPENDENCYPART_ARC
(11,13),0.0428409 # DEPENDENCYPART_ARC
(11,14),0.251493 # DEPENDENCYPART_ARC
(11,15),-0.0202599 # DEPENDENCYPART_ARC
(11,16),-0.567047 # DEPENDENCYPART_ARC
(11,18),-0.615067 # DEPENDENCYPART_ARC
(11,19),0.606406 # DEPENDENCYPART_ARC
(12,2),-1.85661 # DEPENDENCYPART_ARC
(12,7),-2.57108 # DEPENDENCYPART_ARC
(12,8),-0.521999 # DEPENDENCYPART_ARC
(12,9),-2.26987 # DEPENDENCYPART_ARC
(12,10),-4.79589 # DEPENDENCYPART_ARC
(12,11),-0.30501 # DEPENDENCYPART_ARC
(12,13),0.274745 # DEPENDENCYPART_ARC
(12,14),0.528567 # DEPENDENCYPART_ARC
(12,16),-0.747281 # DEPENDENCYPART_ARC
(12,17),-0.131542 # DEPENDENCYPART_ARC
(12,18),-1.56399 # DEPENDENCYPART_ARC
(12,19),-0.360546 # DEPENDENCYPART_ARC
(13,1),-0.881501 # DEPENDENCYPART_ARC
(13,2),-0.36139 # DEPENDENCYPART_ARC
(13,3),-0.628063 # DEPENDENCYPART_ARC
(13,4),-0.735336 # DEPENDENCYPART_ARC
(13,5),-0.217713 # DEPENDENCYPART_ARC
(13,7),0.0139871 # DEPENDENCYPART_ARC
(13,8),-0.0524866 # DEPENDENCYPART_ARC
(13,9),0.432241 # DEPENDENCYPART_ARC
(13,10),1.65487 # DEPENDENCYPART_ARC
(13,11),0.996594 # DEPENDENCYPART_ARC
(13,12),1.91158 # DEPENDENCYPART_ARC
(13,14),1.82427 # DEPENDENCYPART_ARC
(13,15),0.319219 # DEPENDENCYPART_ARC
(13,16),0.115715 # DEPENDENCYPART_ARC
(13,17),-0.163498 # DEPENDENCYPART_ARC
(13,18),-0.66054 # DEPENDENCYPART_ARC
(13,19),0.180332 # DEPENDENCYPART_ARC
(13,20),-0.787732 # DEPENDENCYPART_ARC
(14,9),-4.68401 # DEPENDENCYPART_ARC
(14,10),-6.33601 # DEPENDENCYPART_ARC
(14,12),-2.08108 # DEPENDENCYPART_ARC
(14,13),-0.0112292 # DEPENDENCYPART_ARC
(14,15),-0.20486 # DEPENDENCYPART_ARC
(14,16),0.0911683 # DEPENDENCYPART_ARC
(14,17),-0.898585 # DEPENDENCYPART_ARC
(14,18),-0.85913 # DEPENDENCYPART_ARC
(14,19),-0.741711 # DEPENDENCYPART_ARC
(15,1),-0.770018 # DEPENDENCYPART_ARC
(15,2),-0.418741 # DEPENDENCYPART_ARC
(15,4),-0.692834 # DEPENDENCYPART_ARC
(15,5),-0.115189 # DEPENDENCYPART_ARC
(15,7),-0.10591 # DEPENDENCYPART_ARC
(15,8),0.0689519 # DEPENDENCYPART_ARC
(15,9),0.315157 # DEPENDENCYPART_ARC
(15,10),1.6029 # DEPENDENCYPART_ARC
(15,11),0.741954 # DEPENDENCYPART_ARC
(15,12),1.94818 # DEPENDENCYPART_ARC
(15,13),1.19119 # DEPENDENCYPART_ARC
(15,14),2.02561 # DEPENDENCYPART_ARC
(15,16),1.45017 # DEPENDENCYPART_ARC
(15,17),0.224877 # DEPENDENCYPART_ARC
(15,18),-0.208555 # DEPENDENCYPART_ARC
(15,19),0.503133 # DEPENDENCYPART_ARC
(15,20),-0.58625 # DEPENDENCYPART_ARC
(16,12),-2.79575 # DEPENDENCYPART_ARC
(16,14),-2.30842 # DEPENDENCYPART_ARC
(16,15),0.478501 # DEPENDENCYPART_ARC
(16,17),1.62535 # DEPENDENCYPART_ARC
(16,18),0.985665 # DEPENDENCYPART_ARC
(16,19),0.412871 # DEPENDENCYPART_ARC
(16,20),-0.478553 # DEPENDENCYPART_ARC
(17,5),-0.376269 # DEPENDENCYPART_ARC
(17,8),-0.450112 # DEPENDENCYPART_ARC
(17,10),-0.696164 # DEPENDENCYPART_ARC
(17,11),1.08487 # DEPENDENCYPART_ARC
(17,12),1.10508 # DEPENDENCYPART_ARC
(17,13),1.2949 # DEPENDENCYPART_ARC
(17,14),0.78083 # DEPENDENCYPART_ARC
(17,15),1.72358 # DEPENDENCYPART_ARC
(17,16),1.73188 # DEPENDENCYPART_ARC
(17,18),2.39217 # DEPENDENCYPART_ARC
(17,19),1.00313 # DEPENDENCYPART_ARC
(17,20),0.698266 # DEPENDENCYPART_ARC
(18,16),-1.9125 # DEPENDENCYPART_ARC
(18,17),-1.2676 # DEPENDENCYPART_ARC
(19,14),-2.32785 # DEPENDENCYPART_ARC
(19,16),-2.12562 # DEPENDENCYPART_ARC
(19,17),-1.84845 # DEPENDENCYPART_ARC
(19,18),-1.34906 # DEPENDENCYPART_ARC
(19,20),-1.57146 # DEPENDENCYPART_ARC
