# _root_ Pro investora se připravují informace o podnicích v odvětví , o situaci na trhu , představuje se lokalita a infrastruktura a poskytují se i další nezbytná data .
#goldHeads=4,1,4,21,4,10,6,7,8,5,10,11,12,13,21,21,16,19,16,19,0,21,22,27,27,27,22,0,
#predictedHeads=4,1,4,0,4,5,6,7,8,21,10,11,12,13,21,21,16,19,16,19,9,21,22,27,27,27,22,0,
(10,4),0.683249 # DEPENDENCYPART_ARC
(10,5),0.661983 # DEPENDENCYPART_ARC
(10,6),1.06881 # DEPENDENCYPART_ARC
(10,7),0.938352 # DEPENDENCYPART_ARC
(10,8),0.727469 # DEPENDENCYPART_ARC
(10,9),0.584473 # DEPENDENCYPART_ARC
(10,11),0.847597 # DEPENDENCYPART_ARC
(10,12),0.36365 # DEPENDENCYPART_ARC
(10,13),0.296079 # DEPENDENCYPART_ARC
(10,14),-0.0109534 # DEPENDENCYPART_ARC
(10,15),0.12613 # DEPENDENCYPART_ARC
(10,16),0.0300293 # DEPENDENCYPART_ARC
(10,21),-0.476726 # DEPENDENCYPART_ARC
(10,22),-1.23955 # DEPENDENCYPART_ARC
(11,10),-0.0255775 # DEPENDENCYPART_ARC
(11,12),3.51142 # DEPENDENCYPART_ARC
(11,14),0.421748 # DEPENDENCYPART_ARC
(11,15),0.664445 # DEPENDENCYPART_ARC
(11,19),0.566335 # DEPENDENCYPART_ARC
(11,21),-1.39458 # DEPENDENCYPART_ARC
(12,13),2.71211 # DEPENDENCYPART_ARC
(12,14),0.0939256 # DEPENDENCYPART_ARC
(12,15),-0.0272877 # DEPENDENCYPART_ARC
(12,16),-0.789819 # DEPENDENCYPART_ARC
(12,18),-2.59603 # DEPENDENCYPART_ARC
(12,19),0.188905 # DEPENDENCYPART_ARC
(12,21),-0.136241 # DEPENDENCYPART_ARC
(12,22),-2.83381 # DEPENDENCYPART_ARC
(12,24),-1.31902 # DEPENDENCYPART_ARC
(12,25),-5.39919 # DEPENDENCYPART_ARC
(13,9),0.0651887 # DEPENDENCYPART_ARC
(13,10),-0.00401402 # DEPENDENCYPART_ARC
(13,11),0.0212083 # DEPENDENCYPART_ARC
(13,12),2.20362 # DEPENDENCYPART_ARC
(13,14),4.07042 # DEPENDENCYPART_ARC
(13,15),-0.482525 # DEPENDENCYPART_ARC
(13,18),-3.70806 # DEPENDENCYPART_ARC
(13,19),-0.159853 # DEPENDENCYPART_ARC
(14,13),0.445877 # DEPENDENCYPART_ARC
(14,16),-1.80458 # DEPENDENCYPART_ARC
(14,18),-2.8408 # DEPENDENCYPART_ARC
(14,19),-0.697633 # DEPENDENCYPART_ARC
(14,21),-0.760947 # DEPENDENCYPART_ARC
(14,24),-2.41824 # DEPENDENCYPART_ARC
(15,1),-0.199154 # DEPENDENCYPART_ARC
(15,2),0.0374946 # DEPENDENCYPART_ARC
(15,4),0.682478 # DEPENDENCYPART_ARC
(15,5),1.00384 # DEPENDENCYPART_ARC
(15,6),0.524551 # DEPENDENCYPART_ARC
(15,7),0.774808 # DEPENDENCYPART_ARC
(15,8),0.0433988 # DEPENDENCYPART_ARC
(15,9),0.622801 # DEPENDENCYPART_ARC
(15,10),0.351075 # DEPENDENCYPART_ARC
(15,11),0.590937 # DEPENDENCYPART_ARC
(15,12),1.23234 # DEPENDENCYPART_ARC
(15,13),-0.0326224 # DEPENDENCYPART_ARC
(15,14),0.878383 # DEPENDENCYPART_ARC
(15,16),0.386725 # DEPENDENCYPART_ARC
(15,18),-0.778046 # DEPENDENCYPART_ARC
(15,20),-1.3578 # DEPENDENCYPART_ARC
(15,22),-1.76287 # DEPENDENCYPART_ARC
(16,1),0.697259 # DEPENDENCYPART_ARC
(16,2),-1.59427 # DEPENDENCYPART_ARC
(16,3),0.385586 # DEPENDENCYPART_ARC
(16,4),-1.36604 # DEPENDENCYPART_ARC
(16,5),-0.681336 # DEPENDENCYPART_ARC
(16,6),-1.32722 # DEPENDENCYPART_ARC
(16,7),-2.22801 # DEPENDENCYPART_ARC
(16,8),-0.382422 # DEPENDENCYPART_ARC
(16,9),-2.42009 # DEPENDENCYPART_ARC
(16,10),0.0815651 # DEPENDENCYPART_ARC
(16,11),0.228471 # DEPENDENCYPART_ARC
(16,12),-0.944325 # DEPENDENCYPART_ARC
(16,13),-0.0735126 # DEPENDENCYPART_ARC
(16,14),-1.04505 # DEPENDENCYPART_ARC
(16,15),0.294261 # DEPENDENCYPART_ARC
(16,17),3.07587 # DEPENDENCYPART_ARC
(16,18),3.25831 # DEPENDENCYPART_ARC
(16,19),0.883832 # DEPENDENCYPART_ARC
(16,20),1.32632 # DEPENDENCYPART_ARC
(16,21),0.131169 # DEPENDENCYPART_ARC
(16,22),-2.12368 # DEPENDENCYPART_ARC
(16,24),-0.843463 # DEPENDENCYPART_ARC
(16,25),-2.69882 # DEPENDENCYPART_ARC
(16,27),0.326762 # DEPENDENCYPART_ARC
(18,17),-2.36509 # DEPENDENCYPART_ARC
(18,20),-0.22129 # DEPENDENCYPART_ARC
(19,1),-0.96906 # DEPENDENCYPART_ARC
(19,2),0.147185 # DEPENDENCYPART_ARC
(19,4),-1.25964 # DEPENDENCYPART_ARC
(19,5),0.295445 # DEPENDENCYPART_ARC
(19,7),1.02971 # DEPENDENCYPART_ARC
(19,8),-0.844256 # DEPENDENCYPART_ARC
(19,9),1.88928 # DEPENDENCYPART_ARC
(19,10),0.338835 # DEPENDENCYPART_ARC
(19,11),-0.505523 # DEPENDENCYPART_ARC
(19,12),1.54317 # DEPENDENCYPART_ARC
(19,14),2.36553 # DEPENDENCYPART_ARC
(19,15),0.632677 # DEPENDENCYPART_ARC
(19,16),1.40812 # DEPENDENCYPART_ARC
(19,17),1.758 # DEPENDENCYPART_ARC
(19,18),4.15808 # DEPENDENCYPART_ARC
(19,20),4.15427 # DEPENDENCYPART_ARC
(19,21),0.219196 # DEPENDENCYPART_ARC
(19,22),0.731602 # DEPENDENCYPART_ARC
(19,24),-1.04099 # DEPENDENCYPART_ARC
(19,25),-1.9199 # DEPENDENCYPART_ARC
(19,26),-2.29892 # DEPENDENCYPART_ARC
(19,27),-0.562592 # DEPENDENCYPART_ARC
(20,17),-4.74852 # DEPENDENCYPART_ARC
(20,18),-1.71898 # DEPENDENCYPART_ARC
(20,27),-3.41886 # DEPENDENCYPART_ARC
(21,1),-0.175008 # DEPENDENCYPART_ARC
(21,2),-0.0207241 # DEPENDENCYPART_ARC
(21,4),0.429955 # DEPENDENCYPART_ARC
(21,5),-0.287498 # DEPENDENCYPART_ARC
(21,6),-0.815147 # DEPENDENCYPART_ARC
(21,7),0.470921 # DEPENDENCYPART_ARC
(21,8),-0.917005 # DEPENDENCYPART_ARC
(21,9),0.00628992 # DEPENDENCYPART_ARC
(21,10),0.777634 # DEPENDENCYPART_ARC
(21,11),-0.258692 # DEPENDENCYPART_ARC
(21,12),0.916374 # DEPENDENCYPART_ARC
(21,13),-0.612571 # DEPENDENCYPART_ARC
(21,14),0.30494 # DEPENDENCYPART_ARC
(21,15),1.33327 # DEPENDENCYPART_ARC
(21,16),2.55055 # DEPENDENCYPART_ARC
(21,17),0.481601 # DEPENDENCYPART_ARC
(21,18),0.912162 # DEPENDENCYPART_ARC
(21,19),0.274719 # DEPENDENCYPART_ARC
(21,20),0.915666 # DEPENDENCYPART_ARC
(21,22),2.54682 # DEPENDENCYPART_ARC
(21,23),-0.597435 # DEPENDENCYPART_ARC
(21,24),-1.09622 # DEPENDENCYPART_ARC
(21,25),-1.19859 # DEPENDENCYPART_ARC
(21,26),-1.63637 # DEPENDENCYPART_ARC
(21,27),-0.156575 # DEPENDENCYPART_ARC
(21,28),-0.166498 # DEPENDENCYPART_ARC
(22,3),-1.81176 # DEPENDENCYPART_ARC
(22,4),-4.70148 # DEPENDENCYPART_ARC
(22,17),-0.364211 # DEPENDENCYPART_ARC
(22,18),-1.02206 # DEPENDENCYPART_ARC
(22,20),-0.230826 # DEPENDENCYPART_ARC
(22,23),3.74817 # DEPENDENCYPART_ARC
(22,24),0.896628 # DEPENDENCYPART_ARC
(22,25),0.233184 # DEPENDENCYPART_ARC
(22,26),0.11025 # DEPENDENCYPART_ARC
(22,27),2.2964 # DEPENDENCYPART_ARC
(24,14),-1.35341 # DEPENDENCYPART_ARC
(24,15),-1.48174 # DEPENDENCYPART_ARC
(24,17),-1.21864 # DEPENDENCYPART_ARC
(24,18),-0.514914 # DEPENDENCYPART_ARC
(24,20),-0.199085 # DEPENDENCYPART_ARC
(24,22),-1.04436 # DEPENDENCYPART_ARC
(24,23),0.684965 # DEPENDENCYPART_ARC
(24,25),1.48611 # DEPENDENCYPART_ARC
(24,26),0.369502 # DEPENDENCYPART_ARC
(24,27),0.197378 # DEPENDENCYPART_ARC
(25,20),-2.66236 # DEPENDENCYPART_ARC
(25,23),-1.96057 # DEPENDENCYPART_ARC
(25,24),0.0649419 # DEPENDENCYPART_ARC
(25,26),-0.611139 # DEPENDENCYPART_ARC
(25,27),-1.46968 # DEPENDENCYPART_ARC
(26,23),-1.6136 # DEPENDENCYPART_ARC
(26,24),0.0887988 # DEPENDENCYPART_ARC
(26,25),-0.521008 # DEPENDENCYPART_ARC
(26,27),-1.2283 # DEPENDENCYPART_ARC
(27,17),-4.47374 # DEPENDENCYPART_ARC
(27,23),-2.57559 # DEPENDENCYPART_ARC
(27,24),1.82122 # DEPENDENCYPART_ARC
(27,25),4.78324 # DEPENDENCYPART_ARC
(27,26),5.17268 # DEPENDENCYPART_ARC
(27,28),0.0404869 # DEPENDENCYPART_ARC
(28,27),-3.62201 # DEPENDENCYPART_ARC
