# _root_ Cigarety Camel , které se v pátek pokusila z Turecka do ČSFR propašovat skupina patnácti osob , byly podle našich informací určeny k prodeji v Praze .
#goldHeads=18,1,8,13,8,8,6,1,13,9,13,11,8,8,16,14,8,0,18,21,19,18,22,23,24,25,0,
#predictedHeads=8,1,8,8,8,8,6,0,8,9,8,11,8,13,16,14,8,22,18,21,19,16,22,23,24,25,0,
(4,7),-0.177437 # DEPENDENCYPART_ARC
(4,8),-0.502603 # DEPENDENCYPART_ARC
(4,10),-1.12427 # DEPENDENCYPART_ARC
(6,1),-4.65109 # DEPENDENCYPART_ARC
(6,2),-2.68151 # DEPENDENCYPART_ARC
(6,3),-0.341882 # DEPENDENCYPART_ARC
(6,7),5.30738 # DEPENDENCYPART_ARC
(6,10),-3.7543 # DEPENDENCYPART_ARC
(7,1),-5.92716 # DEPENDENCYPART_ARC
(7,2),-1.12963 # DEPENDENCYPART_ARC
(7,4),-2.00359 # DEPENDENCYPART_ARC
(7,5),-2.39578 # DEPENDENCYPART_ARC
(7,6),1.209 # DEPENDENCYPART_ARC
(7,8),-1.72922 # DEPENDENCYPART_ARC
(8,1),2.36969 # DEPENDENCYPART_ARC
(8,2),-1.4087 # DEPENDENCYPART_ARC
(8,3),2.68098 # DEPENDENCYPART_ARC
(8,4),3.02855 # DEPENDENCYPART_ARC
(8,5),4.08953 # DEPENDENCYPART_ARC
(8,6),3.11366 # DEPENDENCYPART_ARC
(8,7),1.99704 # DEPENDENCYPART_ARC
(8,9),2.80969 # DEPENDENCYPART_ARC
(8,10),-1.05125 # DEPENDENCYPART_ARC
(8,11),2.39734 # DEPENDENCYPART_ARC
(8,12),-1.62897 # DEPENDENCYPART_ARC
(8,13),2.23306 # DEPENDENCYPART_ARC
(8,14),1.62949 # DEPENDENCYPART_ARC
(8,15),-1.54857 # DEPENDENCYPART_ARC
(8,16),-1.19076 # DEPENDENCYPART_ARC
(8,17),1.0944 # DEPENDENCYPART_ARC
(8,18),-3.25662 # DEPENDENCYPART_ARC
(8,19),1.07062 # DEPENDENCYPART_ARC
(8,21),-3.06876 # DEPENDENCYPART_ARC
(8,22),-1.26721 # DEPENDENCYPART_ARC
(8,23),-0.396486 # DEPENDENCYPART_ARC
(8,25),-0.0663476 # DEPENDENCYPART_ARC
(9,10),4.19995 # DEPENDENCYPART_ARC
(9,12),1.28254 # DEPENDENCYPART_ARC
(10,6),-2.01712 # DEPENDENCYPART_ARC
(10,9),-0.359988 # DEPENDENCYPART_ARC
(10,11),0.338459 # DEPENDENCYPART_ARC
(10,12),-0.775484 # DEPENDENCYPART_ARC
(10,13),-0.888001 # DEPENDENCYPART_ARC
(10,14),-3.55323 # DEPENDENCYPART_ARC
(10,22),-4.32193 # DEPENDENCYPART_ARC
(10,25),-3.47832 # DEPENDENCYPART_ARC
(11,7),-0.274438 # DEPENDENCYPART_ARC
(11,9),-0.604693 # DEPENDENCYPART_ARC
(11,10),0.646683 # DEPENDENCYPART_ARC
(11,12),5.46279 # DEPENDENCYPART_ARC
(11,14),-3.59934 # DEPENDENCYPART_ARC
(11,16),-1.91035 # DEPENDENCYPART_ARC
(12,9),-0.668407 # DEPENDENCYPART_ARC
(12,10),-2.52222 # DEPENDENCYPART_ARC
(12,13),-0.78845 # DEPENDENCYPART_ARC
(12,14),-3.26175 # DEPENDENCYPART_ARC
(12,15),-2.30569 # DEPENDENCYPART_ARC
(12,16),-3.71984 # DEPENDENCYPART_ARC
(12,22),-5.19168 # DEPENDENCYPART_ARC
(13,1),-0.0813986 # DEPENDENCYPART_ARC
(13,2),-2.28052 # DEPENDENCYPART_ARC
(13,3),0.79415 # DEPENDENCYPART_ARC
(13,4),2.50565 # DEPENDENCYPART_ARC
(13,5),2.37651 # DEPENDENCYPART_ARC
(13,6),1.46292 # DEPENDENCYPART_ARC
(13,7),1.33865 # DEPENDENCYPART_ARC
(13,8),-1.31909 # DEPENDENCYPART_ARC
(13,9),1.30309 # DEPENDENCYPART_ARC
(13,10),-0.267749 # DEPENDENCYPART_ARC
(13,11),1.16556 # DEPENDENCYPART_ARC
(13,12),0.315397 # DEPENDENCYPART_ARC
(13,14),2.06337 # DEPENDENCYPART_ARC
(13,15),0.610364 # DEPENDENCYPART_ARC
(13,16),0.593301 # DEPENDENCYPART_ARC
(13,17),0.815571 # DEPENDENCYPART_ARC
(13,18),-0.936531 # DEPENDENCYPART_ARC
(13,19),0.899703 # DEPENDENCYPART_ARC
(13,21),-2.3488 # DEPENDENCYPART_ARC
(13,23),-0.602852 # DEPENDENCYPART_ARC
(13,25),-0.214006 # DEPENDENCYPART_ARC
(14,9),-0.0575425 # DEPENDENCYPART_ARC
(14,11),-0.169594 # DEPENDENCYPART_ARC
(14,15),0.349374 # DEPENDENCYPART_ARC
(14,16),2.06705 # DEPENDENCYPART_ARC
(14,17),-0.237726 # DEPENDENCYPART_ARC
(14,18),-1.69731 # DEPENDENCYPART_ARC
(14,19),-0.931755 # DEPENDENCYPART_ARC
(14,21),-0.292722 # DEPENDENCYPART_ARC
(14,22),-0.987981 # DEPENDENCYPART_ARC
(14,23),-1.48958 # DEPENDENCYPART_ARC
(14,25),-0.773064 # DEPENDENCYPART_ARC
(15,14),-1.22837 # DEPENDENCYPART_ARC
(15,16),1.11277 # DEPENDENCYPART_ARC
(15,17),-1.17785 # DEPENDENCYPART_ARC
(15,18),-2.14778 # DEPENDENCYPART_ARC
(16,11),-0.912841 # DEPENDENCYPART_ARC
(16,12),-0.696823 # DEPENDENCYPART_ARC
(16,14),-1.75935 # DEPENDENCYPART_ARC
(16,15),2.17254 # DEPENDENCYPART_ARC
(16,17),-0.688779 # DEPENDENCYPART_ARC
(16,18),-1.01272 # DEPENDENCYPART_ARC
(16,19),-2.68727 # DEPENDENCYPART_ARC
(16,21),-1.33822 # DEPENDENCYPART_ARC
(16,22),0.295253 # DEPENDENCYPART_ARC
(17,1),-1.07379 # DEPENDENCYPART_ARC
(17,2),-1.70971 # DEPENDENCYPART_ARC
(17,3),-0.755193 # DEPENDENCYPART_ARC
(17,8),0.432167 # DEPENDENCYPART_ARC
(17,9),-0.734895 # DEPENDENCYPART_ARC
(17,10),0.200459 # DEPENDENCYPART_ARC
(17,11),-0.990247 # DEPENDENCYPART_ARC
(17,13),0.718861 # DEPENDENCYPART_ARC
(17,14),0.786347 # DEPENDENCYPART_ARC
(17,15),-0.32722 # DEPENDENCYPART_ARC
(17,16),0.0305516 # DEPENDENCYPART_ARC
(17,18),-0.127225 # DEPENDENCYPART_ARC
(17,19),-0.634789 # DEPENDENCYPART_ARC
(17,21),-1.36487 # DEPENDENCYPART_ARC
(17,22),-0.616428 # DEPENDENCYPART_ARC
(17,23),-1.29811 # DEPENDENCYPART_ARC
(17,25),-1.40768 # DEPENDENCYPART_ARC
(18,1),1.03395 # DEPENDENCYPART_ARC
(18,2),-3.17473 # DEPENDENCYPART_ARC
(18,3),-0.204513 # DEPENDENCYPART_ARC
(18,4),-0.607325 # DEPENDENCYPART_ARC
(18,5),0.243646 # DEPENDENCYPART_ARC
(18,6),-0.830888 # DEPENDENCYPART_ARC
(18,7),-1.27988 # DEPENDENCYPART_ARC
(18,8),-3.95162 # DEPENDENCYPART_ARC
(18,9),-1.61072 # DEPENDENCYPART_ARC
(18,10),-4.56116 # DEPENDENCYPART_ARC
(18,11),-1.65565 # DEPENDENCYPART_ARC
(18,12),-2.71625 # DEPENDENCYPART_ARC
(18,13),-0.494638 # DEPENDENCYPART_ARC
(18,14),-0.470947 # DEPENDENCYPART_ARC
(18,15),-1.79509 # DEPENDENCYPART_ARC
(18,16),-2.02667 # DEPENDENCYPART_ARC
(18,17),-0.826583 # DEPENDENCYPART_ARC
(18,19),2.99527 # DEPENDENCYPART_ARC
(18,20),-3.40546 # DEPENDENCYPART_ARC
(18,21),-0.547784 # DEPENDENCYPART_ARC
(18,22),0.883932 # DEPENDENCYPART_ARC
(18,23),0.178102 # DEPENDENCYPART_ARC
(18,24),-1.57539 # DEPENDENCYPART_ARC
(18,25),0.397873 # DEPENDENCYPART_ARC
(18,26),-4.36377 # DEPENDENCYPART_ARC
(19,17),-0.0507766 # DEPENDENCYPART_ARC
(19,20),0.83776 # DEPENDENCYPART_ARC
(19,21),4.62548 # DEPENDENCYPART_ARC
(19,24),-0.874782 # DEPENDENCYPART_ARC
(19,26),-1.05592 # DEPENDENCYPART_ARC
(21,16),-2.34507 # DEPENDENCYPART_ARC
(21,19),-0.204012 # DEPENDENCYPART_ARC
(21,20),4.25407 # DEPENDENCYPART_ARC
(21,23),-1.18099 # DEPENDENCYPART_ARC
(21,25),-1.00445 # DEPENDENCYPART_ARC
(22,1),0.449064 # DEPENDENCYPART_ARC
(22,2),-4.48706 # DEPENDENCYPART_ARC
(22,3),0.176583 # DEPENDENCYPART_ARC
(22,6),-0.389642 # DEPENDENCYPART_ARC
(22,7),-2.37557 # DEPENDENCYPART_ARC
(22,8),-0.608248 # DEPENDENCYPART_ARC
(22,9),-0.588439 # DEPENDENCYPART_ARC
(22,10),-4.14044 # DEPENDENCYPART_ARC
(22,11),-1.14225 # DEPENDENCYPART_ARC
(22,12),-2.83631 # DEPENDENCYPART_ARC
(22,13),0.85621 # DEPENDENCYPART_ARC
(22,14),0.0295688 # DEPENDENCYPART_ARC
(22,16),-2.61978 # DEPENDENCYPART_ARC
(22,17),-0.51113 # DEPENDENCYPART_ARC
(22,18),3.81846 # DEPENDENCYPART_ARC
(22,19),2.66996 # DEPENDENCYPART_ARC
(22,21),0.828463 # DEPENDENCYPART_ARC
(22,23),2.23663 # DEPENDENCYPART_ARC
(22,24),1.0499 # DEPENDENCYPART_ARC
(22,25),1.13387 # DEPENDENCYPART_ARC
(22,26),-2.6777 # DEPENDENCYPART_ARC
(23,21),-2.4029 # DEPENDENCYPART_ARC
(23,24),4.37271 # DEPENDENCYPART_ARC
(23,26),0.0808922 # DEPENDENCYPART_ARC
(24,19),-1.38715 # DEPENDENCYPART_ARC
(24,20),-1.393 # DEPENDENCYPART_ARC
(24,21),-4.75139 # DEPENDENCYPART_ARC
(24,23),-0.670872 # DEPENDENCYPART_ARC
(24,25),1.77745 # DEPENDENCYPART_ARC
(24,26),0.143517 # DEPENDENCYPART_ARC
(24,27),-0.22449 # DEPENDENCYPART_ARC
(25,23),-0.134242 # DEPENDENCYPART_ARC
(25,24),1.24568 # DEPENDENCYPART_ARC
(25,26),3.96276 # DEPENDENCYPART_ARC
(26,19),-1.53246 # DEPENDENCYPART_ARC
(26,23),-0.674574 # DEPENDENCYPART_ARC
(26,24),-1.90754 # DEPENDENCYPART_ARC
(26,25),-0.163561 # DEPENDENCYPART_ARC
(26,27),0.0439398 # DEPENDENCYPART_ARC
