# _root_ Návrh si klade za cíl vytvoření " demokratického , laického a decentralizovaného státu " , který by zaručil všem národům stejná práva .
#goldHeads=3,3,0,3,4,3,13,11,11,11,13,11,6,13,18,18,18,13,20,18,22,18,0,
#predictedHeads=3,3,0,3,4,3,5,11,11,11,13,11,6,18,18,18,18,11,20,18,22,18,0,
(15,9),-0.751767 # DEPENDENCYPART_ARC
(15,14),-1.13796 # DEPENDENCYPART_ARC
(15,18),-0.830588 # DEPENDENCYPART_ARC
(15,19),-1.95739 # DEPENDENCYPART_ARC
(15,20),-2.79912 # DEPENDENCYPART_ARC
(15,21),-1.8769 # DEPENDENCYPART_ARC
(15,22),-3.16512 # DEPENDENCYPART_ARC
(15,23),-1.35067 # DEPENDENCYPART_ARC
(16,15),-0.609136 # DEPENDENCYPART_ARC
(16,19),0.846234 # DEPENDENCYPART_ARC
(16,20),-1.23075 # DEPENDENCYPART_ARC
(16,22),-1.57538 # DEPENDENCYPART_ARC
(16,23),-0.385753 # DEPENDENCYPART_ARC
(18,1),0.393306 # DEPENDENCYPART_ARC
(18,2),-1.51877 # DEPENDENCYPART_ARC
(18,3),-2.87361 # DEPENDENCYPART_ARC
(18,4),-1.66117 # DEPENDENCYPART_ARC
(18,5),-1.41996 # DEPENDENCYPART_ARC
(18,6),-3.08923 # DEPENDENCYPART_ARC
(18,7),-0.584807 # DEPENDENCYPART_ARC
(18,10),-4.08923 # DEPENDENCYPART_ARC
(18,11),-0.643874 # DEPENDENCYPART_ARC
(18,12),-4.12077 # DEPENDENCYPART_ARC
(18,13),-2.98648 # DEPENDENCYPART_ARC
(18,14),0.344817 # DEPENDENCYPART_ARC
(18,15),1.31909 # DEPENDENCYPART_ARC
(18,16),2.44322 # DEPENDENCYPART_ARC
(18,17),3.6309 # DEPENDENCYPART_ARC
(18,19),0.769246 # DEPENDENCYPART_ARC
(18,20),3.24724 # DEPENDENCYPART_ARC
(18,21),-2.24608 # DEPENDENCYPART_ARC
(18,22),2.10343 # DEPENDENCYPART_ARC
(18,23),-0.147793 # DEPENDENCYPART_ARC
(19,20),-1.02814 # DEPENDENCYPART_ARC
(20,16),-2.854 # DEPENDENCYPART_ARC
(20,19),4.34376 # DEPENDENCYPART_ARC
(20,21),-0.353968 # DEPENDENCYPART_ARC
(20,22),-0.861729 # DEPENDENCYPART_ARC
(20,23),-0.0815342 # DEPENDENCYPART_ARC
(21,19),-0.224857 # DEPENDENCYPART_ARC
(21,20),-0.263966 # DEPENDENCYPART_ARC
(21,22),1.03403 # DEPENDENCYPART_ARC
(21,23),0.331792 # DEPENDENCYPART_ARC
(22,16),-4.27972 # DEPENDENCYPART_ARC
(22,19),0.118576 # DEPENDENCYPART_ARC
(22,20),-1.11219 # DEPENDENCYPART_ARC
(22,21),5.09317 # DEPENDENCYPART_ARC
(22,23),0.236942 # DEPENDENCYPART_ARC
