# _root_ Pro tento školní rok není změněno nic , uvažuje se však o systému školného a půjček u vysokoškoláků , zazněly úvahy o podílu na placení středního odborného školství .
#goldHeads=5,4,4,1,11,5,5,11,19,9,0,9,12,15,13,15,15,17,11,19,20,21,22,23,24,28,28,25,0,
#predictedHeads=6,4,4,1,11,5,5,11,11,9,0,9,12,15,13,15,16,17,9,11,20,21,22,23,24,28,28,25,0,
(15,18),0.619018 # DEPENDENCYPART_ARC
(15,19),0.0352842 # DEPENDENCYPART_ARC
(15,20),0.271185 # DEPENDENCYPART_ARC
(15,21),-1.16638 # DEPENDENCYPART_ARC
(15,22),-0.890652 # DEPENDENCYPART_ARC
(15,23),-1.761 # DEPENDENCYPART_ARC
(15,24),-0.711165 # DEPENDENCYPART_ARC
(15,25),-2.32541 # DEPENDENCYPART_ARC
(15,28),-2.31318 # DEPENDENCYPART_ARC
(16,17),1.20587 # DEPENDENCYPART_ARC
(16,18),0.0829064 # DEPENDENCYPART_ARC
(16,20),-0.853948 # DEPENDENCYPART_ARC
(16,22),-0.361945 # DEPENDENCYPART_ARC
(16,24),-0.926329 # DEPENDENCYPART_ARC
(16,26),-2.87771 # DEPENDENCYPART_ARC
(17,13),-0.397482 # DEPENDENCYPART_ARC
(17,16),-1.87925 # DEPENDENCYPART_ARC
(17,18),3.31875 # DEPENDENCYPART_ARC
(17,19),-0.0796252 # DEPENDENCYPART_ARC
(17,20),-1.8208 # DEPENDENCYPART_ARC
(17,21),-3.61553 # DEPENDENCYPART_ARC
(18,13),-5.12777 # DEPENDENCYPART_ARC
(18,14),-3.96904 # DEPENDENCYPART_ARC
(18,16),-3.93873 # DEPENDENCYPART_ARC
(18,17),-0.289525 # DEPENDENCYPART_ARC
(18,20),-1.01759 # DEPENDENCYPART_ARC
(18,21),-3.71294 # DEPENDENCYPART_ARC
(19,5),0.0485084 # DEPENDENCYPART_ARC
(19,6),0.0832803 # DEPENDENCYPART_ARC
(19,8),-0.240434 # DEPENDENCYPART_ARC
(19,9),0.658471 # DEPENDENCYPART_ARC
(19,11),-0.188653 # DEPENDENCYPART_ARC
(19,12),-0.483452 # DEPENDENCYPART_ARC
(19,13),0.996354 # DEPENDENCYPART_ARC
(19,14),-0.0158327 # DEPENDENCYPART_ARC
(19,15),-0.513617 # DEPENDENCYPART_ARC
(19,16),0.165776 # DEPENDENCYPART_ARC
(19,17),-0.308094 # DEPENDENCYPART_ARC
(19,18),0.351037 # DEPENDENCYPART_ARC
(19,20),-0.112573 # DEPENDENCYPART_ARC
(19,21),-1.14423 # DEPENDENCYPART_ARC
(19,23),-1.89857 # DEPENDENCYPART_ARC
(20,1),-0.182225 # DEPENDENCYPART_ARC
(20,4),-2.09338 # DEPENDENCYPART_ARC
(20,5),-2.54402 # DEPENDENCYPART_ARC
(20,6),-1.12484 # DEPENDENCYPART_ARC
(20,9),-0.499431 # DEPENDENCYPART_ARC
(20,10),0.682558 # DEPENDENCYPART_ARC
(20,11),0.881602 # DEPENDENCYPART_ARC
(20,12),0.323966 # DEPENDENCYPART_ARC
(20,13),-1.43719 # DEPENDENCYPART_ARC
(20,14),-3.45725 # DEPENDENCYPART_ARC
(20,15),-0.10295 # DEPENDENCYPART_ARC
(20,16),-0.372693 # DEPENDENCYPART_ARC
(20,17),0.686652 # DEPENDENCYPART_ARC
(20,18),-2.03551 # DEPENDENCYPART_ARC
(20,19),0.190178 # DEPENDENCYPART_ARC
(20,21),3.80786 # DEPENDENCYPART_ARC
(20,22),1.19316 # DEPENDENCYPART_ARC
(20,23),-0.284437 # DEPENDENCYPART_ARC
(20,24),0.949582 # DEPENDENCYPART_ARC
(20,25),-1.62897 # DEPENDENCYPART_ARC
(20,26),-2.96872 # DEPENDENCYPART_ARC
(20,27),-4.03948 # DEPENDENCYPART_ARC
(20,28),-2.10745 # DEPENDENCYPART_ARC
(21,18),-4.04801 # DEPENDENCYPART_ARC
(21,22),2.07544 # DEPENDENCYPART_ARC
(21,23),-0.285385 # DEPENDENCYPART_ARC
(21,24),0.491454 # DEPENDENCYPART_ARC
(21,25),-1.77097 # DEPENDENCYPART_ARC
(21,26),-3.21226 # DEPENDENCYPART_ARC
(21,27),-3.95534 # DEPENDENCYPART_ARC
(21,28),-1.22347 # DEPENDENCYPART_ARC
(22,18),-2.8234 # DEPENDENCYPART_ARC
(22,21),-2.66431 # DEPENDENCYPART_ARC
(22,23),3.97961 # DEPENDENCYPART_ARC
(22,25),0.956199 # DEPENDENCYPART_ARC
(22,28),-4.19844 # DEPENDENCYPART_ARC
(23,21),-3.21762 # DEPENDENCYPART_ARC
(23,22),-0.060554 # DEPENDENCYPART_ARC
(23,24),2.59911 # DEPENDENCYPART_ARC
(23,25),0.469954 # DEPENDENCYPART_ARC
(23,26),-0.528991 # DEPENDENCYPART_ARC
(23,27),-1.10535 # DEPENDENCYPART_ARC
(23,28),0.474574 # DEPENDENCYPART_ARC
(24,18),-2.3494 # DEPENDENCYPART_ARC
(24,21),-2.71997 # DEPENDENCYPART_ARC
(24,22),-0.149135 # DEPENDENCYPART_ARC
(24,23),2.0744 # DEPENDENCYPART_ARC
(24,25),3.86983 # DEPENDENCYPART_ARC
(24,26),-1.72859 # DEPENDENCYPART_ARC
(24,28),-2.49166 # DEPENDENCYPART_ARC
(25,22),-0.485901 # DEPENDENCYPART_ARC
(25,23),-1.37679 # DEPENDENCYPART_ARC
(25,24),1.10208 # DEPENDENCYPART_ARC
(25,26),1.68492 # DEPENDENCYPART_ARC
(25,27),0.933602 # DEPENDENCYPART_ARC
(25,28),2.68748 # DEPENDENCYPART_ARC
(25,29),-0.325184 # DEPENDENCYPART_ARC
(26,22),-0.744405 # DEPENDENCYPART_ARC
(26,23),-3.16117 # DEPENDENCYPART_ARC
(26,24),-0.183015 # DEPENDENCYPART_ARC
(26,25),-1.93556 # DEPENDENCYPART_ARC
(26,27),-1.81253 # DEPENDENCYPART_ARC
(26,28),0.083926 # DEPENDENCYPART_ARC
(27,25),-2.79904 # DEPENDENCYPART_ARC
(27,26),-0.604465 # DEPENDENCYPART_ARC
(27,28),-0.71546 # DEPENDENCYPART_ARC
(28,21),-5.909 # DEPENDENCYPART_ARC
(28,23),-3.89437 # DEPENDENCYPART_ARC
(28,24),-0.746571 # DEPENDENCYPART_ARC
(28,25),-1.79464 # DEPENDENCYPART_ARC
(28,26),4.36482 # DEPENDENCYPART_ARC
(28,27),4.81505 # DEPENDENCYPART_ARC
(28,29),-0.0766755 # DEPENDENCYPART_ARC
