# _root_ Situaci ztěžuje skutečnost , že výrobní družstva invalidů musejí být zisková , aby se udržela .
#goldHeads=2,0,2,5,3,7,9,7,5,9,10,13,9,15,13,0,
#predictedHeads=2,0,2,5,3,7,9,7,5,9,10,13,9,15,13,0,
(9,8),-0.188879 # DEPENDENCYPART_ARC
(9,10),2.84969 # DEPENDENCYPART_ARC
(9,11),0.158415 # DEPENDENCYPART_ARC
(9,12),0.333937 # DEPENDENCYPART_ARC
(9,13),1.35178 # DEPENDENCYPART_ARC
(9,15),-3.27818 # DEPENDENCYPART_ARC
(9,16),-0.105709 # DEPENDENCYPART_ARC
(10,1),1.46233 # DEPENDENCYPART_ARC
(10,2),-4.77872 # DEPENDENCYPART_ARC
(10,3),-2.18391 # DEPENDENCYPART_ARC
(10,4),-1.06417 # DEPENDENCYPART_ARC
(10,6),-1.08372 # DEPENDENCYPART_ARC
(10,7),0.288045 # DEPENDENCYPART_ARC
(10,8),-0.595454 # DEPENDENCYPART_ARC
(10,9),-0.25058 # DEPENDENCYPART_ARC
(10,11),2.84255 # DEPENDENCYPART_ARC
(10,12),0.295081 # DEPENDENCYPART_ARC
(10,13),0.603956 # DEPENDENCYPART_ARC
(10,15),-1.66231 # DEPENDENCYPART_ARC
(10,16),-0.63007 # DEPENDENCYPART_ARC
(11,1),-3.60011 # DEPENDENCYPART_ARC
(11,6),-2.03802 # DEPENDENCYPART_ARC
(11,8),-3.58858 # DEPENDENCYPART_ARC
(11,10),0.178997 # DEPENDENCYPART_ARC
(11,12),-0.655174 # DEPENDENCYPART_ARC
(11,13),-0.143753 # DEPENDENCYPART_ARC
(11,15),-2.53145 # DEPENDENCYPART_ARC
(12,2),-1.11254 # DEPENDENCYPART_ARC
(12,4),-0.132899 # DEPENDENCYPART_ARC
(12,5),-0.0407575 # DEPENDENCYPART_ARC
(12,9),-0.111739 # DEPENDENCYPART_ARC
(12,10),-0.183913 # DEPENDENCYPART_ARC
(12,11),0.0147856 # DEPENDENCYPART_ARC
(12,13),0.329076 # DEPENDENCYPART_ARC
(12,15),0.139082 # DEPENDENCYPART_ARC
(12,16),0.145998 # DEPENDENCYPART_ARC
(13,2),-2.45205 # DEPENDENCYPART_ARC
(13,7),-1.57223 # DEPENDENCYPART_ARC
(13,8),-1.19505 # DEPENDENCYPART_ARC
(13,9),-0.71733 # DEPENDENCYPART_ARC
(13,11),-0.144473 # DEPENDENCYPART_ARC
(13,12),2.847 # DEPENDENCYPART_ARC
(13,15),2.53525 # DEPENDENCYPART_ARC
(13,16),0.580481 # DEPENDENCYPART_ARC
(15,1),-0.620498 # DEPENDENCYPART_ARC
(15,2),-3.41424 # DEPENDENCYPART_ARC
(15,3),-1.23917 # DEPENDENCYPART_ARC
(15,4),-1.38134 # DEPENDENCYPART_ARC
(15,6),-2.08985 # DEPENDENCYPART_ARC
(15,7),-1.11397 # DEPENDENCYPART_ARC
(15,8),-4.3468 # DEPENDENCYPART_ARC
(15,10),-1.28012 # DEPENDENCYPART_ARC
(15,11),-1.40937 # DEPENDENCYPART_ARC
(15,12),0.00270235 # DEPENDENCYPART_ARC
(15,13),-0.187259 # DEPENDENCYPART_ARC
(15,14),4.1904 # DEPENDENCYPART_ARC
(15,16),-0.274527 # DEPENDENCYPART_ARC
