# _root_ Za karty bude chybět Novotný a o tom , zda nastoupí Chovanec , rozhodne lékař až po dnešním tréninku .
#goldHeads=4,1,4,6,4,0,14,7,10,8,10,11,10,6,14,19,14,19,17,0,
#predictedHeads=4,1,4,6,4,0,6,7,10,8,10,11,10,10,14,19,14,19,17,0,
(13,6),-0.227767 # DEPENDENCYPART_ARC
(13,8),-0.383333 # DEPENDENCYPART_ARC
(13,9),0.0869368 # DEPENDENCYPART_ARC
(13,10),0.671687 # DEPENDENCYPART_ARC
(13,11),0.490236 # DEPENDENCYPART_ARC
(13,12),0.0305424 # DEPENDENCYPART_ARC
(13,14),0.065406 # DEPENDENCYPART_ARC
(13,15),-0.789356 # DEPENDENCYPART_ARC
(13,16),-0.750076 # DEPENDENCYPART_ARC
(13,17),-0.636325 # DEPENDENCYPART_ARC
(13,19),-1.43728 # DEPENDENCYPART_ARC
(14,1),1.02191 # DEPENDENCYPART_ARC
(14,3),-2.03521 # DEPENDENCYPART_ARC
(14,4),-1.37423 # DEPENDENCYPART_ARC
(14,5),-1.91423 # DEPENDENCYPART_ARC
(14,6),-0.851421 # DEPENDENCYPART_ARC
(14,7),0.454328 # DEPENDENCYPART_ARC
(14,8),-3.02523 # DEPENDENCYPART_ARC
(14,9),-0.529457 # DEPENDENCYPART_ARC
(14,10),0.562847 # DEPENDENCYPART_ARC
(14,11),0.233921 # DEPENDENCYPART_ARC
(14,12),0.0730171 # DEPENDENCYPART_ARC
(14,13),-0.264799 # DEPENDENCYPART_ARC
(14,15),3.33582 # DEPENDENCYPART_ARC
(14,16),0.00939323 # DEPENDENCYPART_ARC
(14,17),1.69425 # DEPENDENCYPART_ARC
(14,18),-3.39611 # DEPENDENCYPART_ARC
(14,19),0.793409 # DEPENDENCYPART_ARC
(14,20),0.0859862 # DEPENDENCYPART_ARC
(15,12),0.0960723 # DEPENDENCYPART_ARC
(15,14),-1.87103 # DEPENDENCYPART_ARC
(15,16),0.184063 # DEPENDENCYPART_ARC
(15,17),-0.36144 # DEPENDENCYPART_ARC
(15,18),-1.61182 # DEPENDENCYPART_ARC
(15,19),-0.503364 # DEPENDENCYPART_ARC
(15,20),-1.04421 # DEPENDENCYPART_ARC
(16,11),-1.12962 # DEPENDENCYPART_ARC
(16,12),-0.480214 # DEPENDENCYPART_ARC
(16,13),-0.249747 # DEPENDENCYPART_ARC
(16,14),0.116266 # DEPENDENCYPART_ARC
(16,15),0.524226 # DEPENDENCYPART_ARC
(16,17),0.25139 # DEPENDENCYPART_ARC
(16,18),0.0175968 # DEPENDENCYPART_ARC
(16,19),-0.451769 # DEPENDENCYPART_ARC
(16,20),-0.459213 # DEPENDENCYPART_ARC
(17,15),-2.22995 # DEPENDENCYPART_ARC
(17,16),-0.0334234 # DEPENDENCYPART_ARC
(17,18),0.944628 # DEPENDENCYPART_ARC
(17,19),3.80223 # DEPENDENCYPART_ARC
(17,20),-0.203601 # DEPENDENCYPART_ARC
(18,15),-2.90955 # DEPENDENCYPART_ARC
(18,16),0.212425 # DEPENDENCYPART_ARC
(19,15),-0.873141 # DEPENDENCYPART_ARC
(19,16),1.69994 # DEPENDENCYPART_ARC
(19,17),-0.256584 # DEPENDENCYPART_ARC
(19,18),4.89512 # DEPENDENCYPART_ARC
(19,20),0.0560994 # DEPENDENCYPART_ARC
