# _root_ Předseda Halík považuje Wintrovo jednání za jistou odplatu Spartě z doby , kdy byl požádán , aby projednal odstupné za sparťanského hráče Františka Kučeru v Chicagu .
#goldHeads=2,3,0,5,3,3,8,6,8,8,10,15,15,15,11,17,15,17,18,19,22,24,24,20,24,25,0,
#predictedHeads=2,3,0,5,3,3,8,6,8,5,10,15,15,15,11,17,15,17,18,19,22,24,24,18,19,25,0,
(6,11),-3.94838 # DEPENDENCYPART_ARC
(6,12),-0.663412 # DEPENDENCYPART_ARC
(7,6),-0.696716 # DEPENDENCYPART_ARC
(7,9),-0.514474 # DEPENDENCYPART_ARC
(8,4),1.30792 # DEPENDENCYPART_ARC
(8,6),-0.713754 # DEPENDENCYPART_ARC
(8,7),5.246 # DEPENDENCYPART_ARC
(8,9),2.75248 # DEPENDENCYPART_ARC
(8,10),1.34995 # DEPENDENCYPART_ARC
(8,11),0.382992 # DEPENDENCYPART_ARC
(8,13),-0.23988 # DEPENDENCYPART_ARC
(8,14),-0.94633 # DEPENDENCYPART_ARC
(8,15),-0.909591 # DEPENDENCYPART_ARC
(8,17),-1.26044 # DEPENDENCYPART_ARC
(9,1),-1.9412 # DEPENDENCYPART_ARC
(9,2),-3.26443 # DEPENDENCYPART_ARC
(9,4),-2.35212 # DEPENDENCYPART_ARC
(9,5),-3.90817 # DEPENDENCYPART_ARC
(9,7),0.110705 # DEPENDENCYPART_ARC
(9,8),-0.524932 # DEPENDENCYPART_ARC
(9,10),1.27085 # DEPENDENCYPART_ARC
(9,11),0.183965 # DEPENDENCYPART_ARC
(9,12),-0.52406 # DEPENDENCYPART_ARC
(9,13),-0.478281 # DEPENDENCYPART_ARC
(9,14),-2.20656 # DEPENDENCYPART_ARC
(9,15),-2.11855 # DEPENDENCYPART_ARC
(9,17),-1.6372 # DEPENDENCYPART_ARC
(9,18),-5.44748 # DEPENDENCYPART_ARC
(10,9),-1.52858 # DEPENDENCYPART_ARC
(10,11),3.65271 # DEPENDENCYPART_ARC
(10,12),-0.0990219 # DEPENDENCYPART_ARC
(10,13),-0.0175636 # DEPENDENCYPART_ARC
(11,7),-0.988564 # DEPENDENCYPART_ARC
(11,8),-2.65178 # DEPENDENCYPART_ARC
(11,9),-2.06225 # DEPENDENCYPART_ARC
(11,10),0.32099 # DEPENDENCYPART_ARC
(11,12),-0.372126 # DEPENDENCYPART_ARC
(11,13),0.0509461 # DEPENDENCYPART_ARC
(11,14),0.530475 # DEPENDENCYPART_ARC
(11,15),0.240326 # DEPENDENCYPART_ARC
(11,16),-0.107744 # DEPENDENCYPART_ARC
(11,17),0.0160167 # DEPENDENCYPART_ARC
(11,18),-3.59853 # DEPENDENCYPART_ARC
(12,1),-1.92619 # DEPENDENCYPART_ARC
(12,2),-1.43568 # DEPENDENCYPART_ARC
(12,3),-1.04398 # DEPENDENCYPART_ARC
(12,4),-0.852421 # DEPENDENCYPART_ARC
(12,5),-1.3002 # DEPENDENCYPART_ARC
(12,6),-1.00537 # DEPENDENCYPART_ARC
(12,7),-0.630897 # DEPENDENCYPART_ARC
(12,8),-0.64912 # DEPENDENCYPART_ARC
(12,9),-0.230431 # DEPENDENCYPART_ARC
(12,10),-1.21731 # DEPENDENCYPART_ARC
(12,11),0.331424 # DEPENDENCYPART_ARC
(12,13),-0.861388 # DEPENDENCYPART_ARC
(12,14),-0.4433 # DEPENDENCYPART_ARC
(12,15),-0.67865 # DEPENDENCYPART_ARC
(12,16),-0.611965 # DEPENDENCYPART_ARC
(12,17),-0.904022 # DEPENDENCYPART_ARC
(12,18),-2.31913 # DEPENDENCYPART_ARC
(13,3),-1.89354 # DEPENDENCYPART_ARC
(13,8),-1.62408 # DEPENDENCYPART_ARC
(13,10),-0.499299 # DEPENDENCYPART_ARC
(13,11),-0.36902 # DEPENDENCYPART_ARC
(13,12),-0.754869 # DEPENDENCYPART_ARC
(13,16),-0.88384 # DEPENDENCYPART_ARC
(13,17),-1.42077 # DEPENDENCYPART_ARC
(13,18),-2.0563 # DEPENDENCYPART_ARC
(14,1),0.242537 # DEPENDENCYPART_ARC
(14,2),0.00247748 # DEPENDENCYPART_ARC
(14,3),-2.49221 # DEPENDENCYPART_ARC
(14,5),-0.993526 # DEPENDENCYPART_ARC
(14,6),-1.29422 # DEPENDENCYPART_ARC
(14,8),-0.956805 # DEPENDENCYPART_ARC
(14,9),-1.65423 # DEPENDENCYPART_ARC
(14,10),-1.52561 # DEPENDENCYPART_ARC
(14,11),-3.51181 # DEPENDENCYPART_ARC
(14,12),0.539895 # DEPENDENCYPART_ARC
(14,13),1.60996 # DEPENDENCYPART_ARC
(14,15),1.48163 # DEPENDENCYPART_ARC
(14,16),-0.00386994 # DEPENDENCYPART_ARC
(14,17),0.937102 # DEPENDENCYPART_ARC
(14,18),-3.96388 # DEPENDENCYPART_ARC
(14,19),-2.1177 # DEPENDENCYPART_ARC
(14,20),-1.59076 # DEPENDENCYPART_ARC
(15,1),0.266632 # DEPENDENCYPART_ARC
(15,2),0.88644 # DEPENDENCYPART_ARC
(15,3),-1.44817 # DEPENDENCYPART_ARC
(15,5),-0.848013 # DEPENDENCYPART_ARC
(15,6),0.498241 # DEPENDENCYPART_ARC
(15,7),-4.16506 # DEPENDENCYPART_ARC
(15,8),-1.18741 # DEPENDENCYPART_ARC
(15,9),-0.0127867 # DEPENDENCYPART_ARC
(15,10),0.132103 # DEPENDENCYPART_ARC
(15,11),-2.33109 # DEPENDENCYPART_ARC
(15,12),1.20551 # DEPENDENCYPART_ARC
(15,13),2.49076 # DEPENDENCYPART_ARC
(15,14),4.42072 # DEPENDENCYPART_ARC
(15,16),0.474835 # DEPENDENCYPART_ARC
(15,17),1.952 # DEPENDENCYPART_ARC
(15,18),-2.11494 # DEPENDENCYPART_ARC
(15,19),-2.47542 # DEPENDENCYPART_ARC
(15,20),-0.624639 # DEPENDENCYPART_ARC
(15,22),-4.13097 # DEPENDENCYPART_ARC
(15,23),-4.51818 # DEPENDENCYPART_ARC
(15,24),-3.09802 # DEPENDENCYPART_ARC
(15,25),-1.6479 # DEPENDENCYPART_ARC
(16,3),-1.2932 # DEPENDENCYPART_ARC
(16,15),-0.696607 # DEPENDENCYPART_ARC
(16,18),-0.526172 # DEPENDENCYPART_ARC
(16,19),-1.83497 # DEPENDENCYPART_ARC
(16,20),-1.40411 # DEPENDENCYPART_ARC
(17,11),-1.82699 # DEPENDENCYPART_ARC
(17,12),-0.320363 # DEPENDENCYPART_ARC
(17,13),0.427524 # DEPENDENCYPART_ARC
(17,14),-0.137264 # DEPENDENCYPART_ARC
(17,16),2.72924 # DEPENDENCYPART_ARC
(17,18),2.31874 # DEPENDENCYPART_ARC
(17,19),-0.625224 # DEPENDENCYPART_ARC
(17,20),-0.527224 # DEPENDENCYPART_ARC
(17,21),-0.857853 # DEPENDENCYPART_ARC
(17,22),-1.56937 # DEPENDENCYPART_ARC
(17,23),-2.06541 # DEPENDENCYPART_ARC
(17,24),-2.52308 # DEPENDENCYPART_ARC
(17,25),-1.73847 # DEPENDENCYPART_ARC
(18,1),-1.1599 # DEPENDENCYPART_ARC
(18,2),-0.97678 # DEPENDENCYPART_ARC
(18,3),-3.835 # DEPENDENCYPART_ARC
(18,5),-1.55511 # DEPENDENCYPART_ARC
(18,13),-0.0999953 # DEPENDENCYPART_ARC
(18,14),-1.70494 # DEPENDENCYPART_ARC
(18,15),-2.70841 # DEPENDENCYPART_ARC
(18,16),-0.0204166 # DEPENDENCYPART_ARC
(18,17),0.141742 # DEPENDENCYPART_ARC
(18,19),3.42449 # DEPENDENCYPART_ARC
(18,20),1.87099 # DEPENDENCYPART_ARC
(18,21),-1.67 # DEPENDENCYPART_ARC
(18,22),1.15618 # DEPENDENCYPART_ARC
(18,23),0.79616 # DEPENDENCYPART_ARC
(18,24),1.58515 # DEPENDENCYPART_ARC
(18,25),0.45517 # DEPENDENCYPART_ARC
(18,26),-2.3328 # DEPENDENCYPART_ARC
(19,20),2.08654 # DEPENDENCYPART_ARC
(19,21),1.27073 # DEPENDENCYPART_ARC
(19,22),-1.13797 # DEPENDENCYPART_ARC
(19,23),-1.6623 # DEPENDENCYPART_ARC
(19,24),-0.939705 # DEPENDENCYPART_ARC
(19,25),0.723385 # DEPENDENCYPART_ARC
(20,16),-0.859021 # DEPENDENCYPART_ARC
(20,19),-1.27131 # DEPENDENCYPART_ARC
(20,21),2.28056 # DEPENDENCYPART_ARC
(20,22),3.19973 # DEPENDENCYPART_ARC
(20,23),0.625181 # DEPENDENCYPART_ARC
(20,24),0.734405 # DEPENDENCYPART_ARC
(21,20),-0.496917 # DEPENDENCYPART_ARC
(21,22),-0.933066 # DEPENDENCYPART_ARC
(21,23),-2.65041 # DEPENDENCYPART_ARC
(21,24),-2.75051 # DEPENDENCYPART_ARC
(21,25),-1.05897 # DEPENDENCYPART_ARC
(22,19),-1.59479 # DEPENDENCYPART_ARC
(22,20),-0.894406 # DEPENDENCYPART_ARC
(22,21),5.83803 # DEPENDENCYPART_ARC
(22,23),0.259074 # DEPENDENCYPART_ARC
(22,24),-0.321476 # DEPENDENCYPART_ARC
(22,25),0.135218 # DEPENDENCYPART_ARC
(22,26),-0.840454 # DEPENDENCYPART_ARC
(23,19),-1.14497 # DEPENDENCYPART_ARC
(23,21),1.68266 # DEPENDENCYPART_ARC
(23,22),2.58539 # DEPENDENCYPART_ARC
(23,24),0.462281 # DEPENDENCYPART_ARC
(23,25),-0.199786 # DEPENDENCYPART_ARC
(23,26),-1.253 # DEPENDENCYPART_ARC
(23,27),-1.61572 # DEPENDENCYPART_ARC
(24,19),0.502169 # DEPENDENCYPART_ARC
(24,20),-0.901291 # DEPENDENCYPART_ARC
(24,21),3.29892 # DEPENDENCYPART_ARC
(24,22),5.4613 # DEPENDENCYPART_ARC
(24,23),6.94886 # DEPENDENCYPART_ARC
(24,25),0.545072 # DEPENDENCYPART_ARC
(24,26),0.0961443 # DEPENDENCYPART_ARC
(24,27),0.196805 # DEPENDENCYPART_ARC
(25,23),-2.5023 # DEPENDENCYPART_ARC
(25,24),-1.89316 # DEPENDENCYPART_ARC
(25,26),4.23167 # DEPENDENCYPART_ARC
(25,27),-0.257542 # DEPENDENCYPART_ARC
(26,19),-2.91785 # DEPENDENCYPART_ARC
(26,22),-1.8629 # DEPENDENCYPART_ARC
(26,23),-0.363222 # DEPENDENCYPART_ARC
(26,24),-1.26551 # DEPENDENCYPART_ARC
(26,25),-0.310385 # DEPENDENCYPART_ARC
(26,27),-0.13879 # DEPENDENCYPART_ARC
