# _root_ Havlova tvrdá a otevřená slova o Mnichově , okupaci , odsunu Němců a zločinech komunismu jsou jednoznačná .
#goldHeads=5,3,5,3,16,5,13,13,13,13,13,11,6,13,14,0,16,0,
#predictedHeads=5,3,5,3,16,5,6,13,13,13,13,13,6,13,14,0,16,0,
(5,13),-0.491177 # DEPENDENCYPART_ARC
(6,7),3.73006 # DEPENDENCYPART_ARC
(6,8),0.0355706 # DEPENDENCYPART_ARC
(6,9),0.648699 # DEPENDENCYPART_ARC
(6,10),0.0820093 # DEPENDENCYPART_ARC
(6,13),1.30339 # DEPENDENCYPART_ARC
(7,1),-5.16446 # DEPENDENCYPART_ARC
(7,2),-6.54237 # DEPENDENCYPART_ARC
(7,3),-0.863726 # DEPENDENCYPART_ARC
(7,5),-3.44176 # DEPENDENCYPART_ARC
(7,6),-0.707587 # DEPENDENCYPART_ARC
(7,8),-0.615923 # DEPENDENCYPART_ARC
(7,9),-0.160917 # DEPENDENCYPART_ARC
(7,10),-0.868186 # DEPENDENCYPART_ARC
(7,11),-1.33764 # DEPENDENCYPART_ARC
(7,12),-2.92806 # DEPENDENCYPART_ARC
(7,13),-0.726658 # DEPENDENCYPART_ARC
(7,15),-2.28943 # DEPENDENCYPART_ARC
(7,16),-2.25269 # DEPENDENCYPART_ARC
(7,17),-5.97892 # DEPENDENCYPART_ARC
(8,1),-0.128049 # DEPENDENCYPART_ARC
(8,2),-0.162013 # DEPENDENCYPART_ARC
(8,3),-0.20397 # DEPENDENCYPART_ARC
(8,4),0.115484 # DEPENDENCYPART_ARC
(8,5),0.987123 # DEPENDENCYPART_ARC
(8,6),-0.220094 # DEPENDENCYPART_ARC
(8,7),2.14041 # DEPENDENCYPART_ARC
(8,9),1.54396 # DEPENDENCYPART_ARC
(8,10),0.121739 # DEPENDENCYPART_ARC
(8,11),-0.151722 # DEPENDENCYPART_ARC
(8,12),-0.0870392 # DEPENDENCYPART_ARC
(8,13),-0.0349236 # DEPENDENCYPART_ARC
(8,14),-1.3442 # DEPENDENCYPART_ARC
(8,15),-1.52037 # DEPENDENCYPART_ARC
(8,16),-1.0606 # DEPENDENCYPART_ARC
(8,17),-1.83292 # DEPENDENCYPART_ARC
(8,18),-1.05642 # DEPENDENCYPART_ARC
(9,2),-6.81257 # DEPENDENCYPART_ARC
(9,3),-0.157623 # DEPENDENCYPART_ARC
(9,5),-4.2944 # DEPENDENCYPART_ARC
(9,6),-0.916874 # DEPENDENCYPART_ARC
(9,7),-0.255445 # DEPENDENCYPART_ARC
(9,8),0.254978 # DEPENDENCYPART_ARC
(9,10),-0.0788305 # DEPENDENCYPART_ARC
(9,11),0.0426201 # DEPENDENCYPART_ARC
(9,12),-0.223972 # DEPENDENCYPART_ARC
(9,14),-2.46893 # DEPENDENCYPART_ARC
(9,15),-0.776647 # DEPENDENCYPART_ARC
(9,16),-1.50236 # DEPENDENCYPART_ARC
(9,17),-4.43169 # DEPENDENCYPART_ARC
(10,1),-0.0931046 # DEPENDENCYPART_ARC
(10,2),-0.159379 # DEPENDENCYPART_ARC
(10,3),-0.157143 # DEPENDENCYPART_ARC
(10,5),0.844624 # DEPENDENCYPART_ARC
(10,6),-0.185522 # DEPENDENCYPART_ARC
(10,7),2.33059 # DEPENDENCYPART_ARC
(10,8),1.22166 # DEPENDENCYPART_ARC
(10,9),2.06236 # DEPENDENCYPART_ARC
(10,11),1.43788 # DEPENDENCYPART_ARC
(10,12),0.882003 # DEPENDENCYPART_ARC
(10,13),0.549826 # DEPENDENCYPART_ARC
(10,14),-0.411086 # DEPENDENCYPART_ARC
(10,15),-0.619528 # DEPENDENCYPART_ARC
(10,16),-0.29693 # DEPENDENCYPART_ARC
(10,17),-1.4151 # DEPENDENCYPART_ARC
(10,18),-0.4457 # DEPENDENCYPART_ARC
(11,3),-0.243426 # DEPENDENCYPART_ARC
(11,7),-0.887362 # DEPENDENCYPART_ARC
(11,8),-0.487761 # DEPENDENCYPART_ARC
(11,9),-1.74514 # DEPENDENCYPART_ARC
(11,10),0.29904 # DEPENDENCYPART_ARC
(11,12),3.02436 # DEPENDENCYPART_ARC
(11,13),1.50523 # DEPENDENCYPART_ARC
(11,14),-0.836637 # DEPENDENCYPART_ARC
(11,15),1.36769 # DEPENDENCYPART_ARC
(11,16),-1.88512 # DEPENDENCYPART_ARC
(11,17),-4.65145 # DEPENDENCYPART_ARC
(11,18),-2.39901 # DEPENDENCYPART_ARC
(12,3),-0.489235 # DEPENDENCYPART_ARC
(12,7),-6.24545 # DEPENDENCYPART_ARC
(12,9),-7.73909 # DEPENDENCYPART_ARC
(12,11),-3.39298 # DEPENDENCYPART_ARC
(12,14),-2.62931 # DEPENDENCYPART_ARC
(12,15),-0.638034 # DEPENDENCYPART_ARC
(13,2),-0.54011 # DEPENDENCYPART_ARC
(13,3),-0.196365 # DEPENDENCYPART_ARC
(13,4),0.232776 # DEPENDENCYPART_ARC
(13,5),0.508327 # DEPENDENCYPART_ARC
(13,6),-0.57632 # DEPENDENCYPART_ARC
(13,7),2.86065 # DEPENDENCYPART_ARC
(13,8),1.40209 # DEPENDENCYPART_ARC
(13,9),2.19295 # DEPENDENCYPART_ARC
(13,10),1.77552 # DEPENDENCYPART_ARC
(13,11),1.58134 # DEPENDENCYPART_ARC
(13,12),4.02229 # DEPENDENCYPART_ARC
(13,14),3.2381 # DEPENDENCYPART_ARC
(13,15),2.28636 # DEPENDENCYPART_ARC
(13,16),0.670121 # DEPENDENCYPART_ARC
(13,17),-0.629825 # DEPENDENCYPART_ARC
(13,18),-0.524154 # DEPENDENCYPART_ARC
(14,15),3.42048 # DEPENDENCYPART_ARC
(14,16),-1.34819 # DEPENDENCYPART_ARC
(14,17),-4.15367 # DEPENDENCYPART_ARC
(14,18),-1.34408 # DEPENDENCYPART_ARC
(15,5),-7.05046 # DEPENDENCYPART_ARC
(15,7),-4.74702 # DEPENDENCYPART_ARC
(15,9),-5.98704 # DEPENDENCYPART_ARC
(15,11),-3.71123 # DEPENDENCYPART_ARC
(15,12),-1.87409 # DEPENDENCYPART_ARC
(15,13),0.272121 # DEPENDENCYPART_ARC
(15,14),-1.87625 # DEPENDENCYPART_ARC
(15,16),-1.60977 # DEPENDENCYPART_ARC
(15,17),-4.59652 # DEPENDENCYPART_ARC
(15,18),-0.948996 # DEPENDENCYPART_ARC
(16,2),-3.64838 # DEPENDENCYPART_ARC
(16,3),0.185064 # DEPENDENCYPART_ARC
(16,5),1.042 # DEPENDENCYPART_ARC
(16,6),-2.23605 # DEPENDENCYPART_ARC
(16,8),-0.824769 # DEPENDENCYPART_ARC
(16,9),-2.56744 # DEPENDENCYPART_ARC
(16,10),-0.298139 # DEPENDENCYPART_ARC
(16,11),-0.441717 # DEPENDENCYPART_ARC
(16,12),-1.94904 # DEPENDENCYPART_ARC
(16,13),1.07079 # DEPENDENCYPART_ARC
(16,14),1.93256 # DEPENDENCYPART_ARC
(16,15),-0.821422 # DEPENDENCYPART_ARC
(16,17),3.19264 # DEPENDENCYPART_ARC
(16,18),-0.0964522 # DEPENDENCYPART_ARC
(17,12),-3.36132 # DEPENDENCYPART_ARC
(17,13),-0.701555 # DEPENDENCYPART_ARC
(17,14),-2.71724 # DEPENDENCYPART_ARC
(17,15),-2.18605 # DEPENDENCYPART_ARC
(17,18),0.0607937 # DEPENDENCYPART_ARC
