# _root_ Úřad slovenského prezidenta nejdříve vyvrátil slova Hornovy mluvčí , za několik dní však vydal prohlášení , v němž svoji původní verzi odvolal .
#goldHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
#predictedHeads=5,3,1,5,13,5,8,6,13,14,10,11,0,13,14,22,22,17,21,21,22,15,0,
(5,11),-0.729281 # DEPENDENCYPART_ARC
(5,12),-2.30841 # DEPENDENCYPART_ARC
(5,13),0.132622 # DEPENDENCYPART_ARC
(5,14),-3.6922 # DEPENDENCYPART_ARC
(5,15),-0.482767 # DEPENDENCYPART_ARC
(5,16),-0.644066 # DEPENDENCYPART_ARC
(5,17),-1.42051 # DEPENDENCYPART_ARC
(5,21),-2.75084 # DEPENDENCYPART_ARC
(5,22),-4.04854 # DEPENDENCYPART_ARC
(6,2),-3.75398 # DEPENDENCYPART_ARC
(6,4),-0.321163 # DEPENDENCYPART_ARC
(6,5),-3.6174 # DEPENDENCYPART_ARC
(6,7),-1.07609 # DEPENDENCYPART_ARC
(6,8),3.04244 # DEPENDENCYPART_ARC
(6,9),-0.187409 # DEPENDENCYPART_ARC
(6,10),0.43876 # DEPENDENCYPART_ARC
(6,12),0.215701 # DEPENDENCYPART_ARC
(6,13),-0.219712 # DEPENDENCYPART_ARC
(6,14),-1.48147 # DEPENDENCYPART_ARC
(6,15),-3.17608 # DEPENDENCYPART_ARC
(6,16),-0.510125 # DEPENDENCYPART_ARC
(6,17),-1.24795 # DEPENDENCYPART_ARC
(6,21),-2.359 # DEPENDENCYPART_ARC
(6,22),-2.34712 # DEPENDENCYPART_ARC
(7,3),-2.02356 # DEPENDENCYPART_ARC
(7,6),-0.761083 # DEPENDENCYPART_ARC
(8,2),-0.443242 # DEPENDENCYPART_ARC
(8,4),-1.49317 # DEPENDENCYPART_ARC
(8,6),-3.03282 # DEPENDENCYPART_ARC
(8,7),5.71625 # DEPENDENCYPART_ARC
(8,9),-0.476157 # DEPENDENCYPART_ARC
(8,10),-0.383455 # DEPENDENCYPART_ARC
(8,12),0.859112 # DEPENDENCYPART_ARC
(8,13),0.283408 # DEPENDENCYPART_ARC
(8,14),-0.790216 # DEPENDENCYPART_ARC
(8,22),-0.73828 # DEPENDENCYPART_ARC
(9,1),-0.313073 # DEPENDENCYPART_ARC
(9,2),-0.679886 # DEPENDENCYPART_ARC
(9,3),-0.621321 # DEPENDENCYPART_ARC
(9,4),0.00569866 # DEPENDENCYPART_ARC
(9,5),0.530723 # DEPENDENCYPART_ARC
(9,6),0.338787 # DEPENDENCYPART_ARC
(9,7),0.195145 # DEPENDENCYPART_ARC
(9,8),-0.13705 # DEPENDENCYPART_ARC
(9,10),0.612444 # DEPENDENCYPART_ARC
(9,12),0.892679 # DEPENDENCYPART_ARC
(9,13),0.476931 # DEPENDENCYPART_ARC
(9,14),0.404336 # DEPENDENCYPART_ARC
(9,15),-0.673321 # DEPENDENCYPART_ARC
(9,16),-0.0078801 # DEPENDENCYPART_ARC
(9,17),-0.794793 # DEPENDENCYPART_ARC
(9,22),-0.705468 # DEPENDENCYPART_ARC
(10,9),0.227788 # DEPENDENCYPART_ARC
(10,11),2.5332 # DEPENDENCYPART_ARC
(10,12),0.305232 # DEPENDENCYPART_ARC
(10,13),-0.322575 # DEPENDENCYPART_ARC
(10,14),-0.914617 # DEPENDENCYPART_ARC
(10,15),-0.176153 # DEPENDENCYPART_ARC
(10,16),-0.407554 # DEPENDENCYPART_ARC
(11,8),-0.602205 # DEPENDENCYPART_ARC
(11,9),0.2201 # DEPENDENCYPART_ARC
(11,12),4.7768 # DEPENDENCYPART_ARC
(11,13),-0.0692761 # DEPENDENCYPART_ARC
(11,14),-1.20982 # DEPENDENCYPART_ARC
(11,15),1.19584 # DEPENDENCYPART_ARC
(12,7),-1.14742 # DEPENDENCYPART_ARC
(12,8),-2.85219 # DEPENDENCYPART_ARC
(12,10),-0.827986 # DEPENDENCYPART_ARC
(12,11),0.229892 # DEPENDENCYPART_ARC
(12,15),-5.3414 # DEPENDENCYPART_ARC
(12,21),-5.85602 # DEPENDENCYPART_ARC
(12,22),-3.13268 # DEPENDENCYPART_ARC
(13,1),0.302121 # DEPENDENCYPART_ARC
(13,2),-3.0577 # DEPENDENCYPART_ARC
(13,3),-0.263037 # DEPENDENCYPART_ARC
(13,4),-0.379084 # DEPENDENCYPART_ARC
(13,5),1.69901 # DEPENDENCYPART_ARC
(13,6),-0.568558 # DEPENDENCYPART_ARC
(13,8),-0.596271 # DEPENDENCYPART_ARC
(13,9),1.91233 # DEPENDENCYPART_ARC
(13,10),-0.179518 # DEPENDENCYPART_ARC
(13,11),-0.414487 # DEPENDENCYPART_ARC
(13,12),-1.75195 # DEPENDENCYPART_ARC
(13,14),1.62902 # DEPENDENCYPART_ARC
(13,15),-0.737835 # DEPENDENCYPART_ARC
(13,16),0.142822 # DEPENDENCYPART_ARC
(13,17),-1.58555 # DEPENDENCYPART_ARC
(13,21),-2.17301 # DEPENDENCYPART_ARC
(13,22),-0.639352 # DEPENDENCYPART_ARC
(13,23),-0.529703 # DEPENDENCYPART_ARC
(14,1),1.62712 # DEPENDENCYPART_ARC
(14,2),-4.4773 # DEPENDENCYPART_ARC
(14,3),-2.22235 # DEPENDENCYPART_ARC
(14,4),0.159191 # DEPENDENCYPART_ARC
(14,5),-1.73897 # DEPENDENCYPART_ARC
(14,6),-0.605616 # DEPENDENCYPART_ARC
(14,8),-3.05504 # DEPENDENCYPART_ARC
(14,9),0.908513 # DEPENDENCYPART_ARC
(14,10),2.25907 # DEPENDENCYPART_ARC
(14,11),0.221337 # DEPENDENCYPART_ARC
(14,12),-1.03297 # DEPENDENCYPART_ARC
(14,13),1.53949 # DEPENDENCYPART_ARC
(14,15),3.58726 # DEPENDENCYPART_ARC
(14,16),0.509703 # DEPENDENCYPART_ARC
(14,17),0.594355 # DEPENDENCYPART_ARC
(14,20),-3.70158 # DEPENDENCYPART_ARC
(14,21),-0.545059 # DEPENDENCYPART_ARC
(14,22),-2.15089 # DEPENDENCYPART_ARC
(15,11),-2.4598 # DEPENDENCYPART_ARC
(15,16),-0.20365 # DEPENDENCYPART_ARC
(15,17),0.266643 # DEPENDENCYPART_ARC
(15,20),-0.161873 # DEPENDENCYPART_ARC
(15,21),-1.03581 # DEPENDENCYPART_ARC
(15,22),1.95961 # DEPENDENCYPART_ARC
(16,1),-1.55761 # DEPENDENCYPART_ARC
(16,5),-0.31582 # DEPENDENCYPART_ARC
(16,7),-1.31506 # DEPENDENCYPART_ARC
(16,9),0.320675 # DEPENDENCYPART_ARC
(16,10),-0.371143 # DEPENDENCYPART_ARC
(16,12),-0.463739 # DEPENDENCYPART_ARC
(16,13),-0.0443291 # DEPENDENCYPART_ARC
(16,14),-0.205058 # DEPENDENCYPART_ARC
(16,15),-0.419703 # DEPENDENCYPART_ARC
(16,17),0.231129 # DEPENDENCYPART_ARC
(16,20),-0.499947 # DEPENDENCYPART_ARC
(16,21),-0.65818 # DEPENDENCYPART_ARC
(16,22),-0.116881 # DEPENDENCYPART_ARC
(16,23),-0.247638 # DEPENDENCYPART_ARC
(17,16),-0.815249 # DEPENDENCYPART_ARC
(17,18),2.75165 # DEPENDENCYPART_ARC
(17,20),-2.56319 # DEPENDENCYPART_ARC
(17,21),-0.196786 # DEPENDENCYPART_ARC
(20,17),-0.293459 # DEPENDENCYPART_ARC
(20,19),-0.364909 # DEPENDENCYPART_ARC
(20,21),-1.38114 # DEPENDENCYPART_ARC
(21,17),-0.572076 # DEPENDENCYPART_ARC
(21,19),3.81501 # DEPENDENCYPART_ARC
(21,20),5.01111 # DEPENDENCYPART_ARC
(22,1),1.30082 # DEPENDENCYPART_ARC
(22,3),-2.12151 # DEPENDENCYPART_ARC
(22,4),-0.751463 # DEPENDENCYPART_ARC
(22,5),-1.99877 # DEPENDENCYPART_ARC
(22,6),0.337908 # DEPENDENCYPART_ARC
(22,8),-3.82999 # DEPENDENCYPART_ARC
(22,9),0.846961 # DEPENDENCYPART_ARC
(22,10),1.61688 # DEPENDENCYPART_ARC
(22,11),-0.554795 # DEPENDENCYPART_ARC
(22,12),-2.07198 # DEPENDENCYPART_ARC
(22,13),1.0018 # DEPENDENCYPART_ARC
(22,14),-0.388559 # DEPENDENCYPART_ARC
(22,15),-0.30859 # DEPENDENCYPART_ARC
(22,16),1.74761 # DEPENDENCYPART_ARC
(22,17),2.67585 # DEPENDENCYPART_ARC
(22,20),-1.24107 # DEPENDENCYPART_ARC
(22,21),2.50678 # DEPENDENCYPART_ARC
(22,23),-0.272676 # DEPENDENCYPART_ARC
