# _root_ zeptali jsme se JÁNA LANGOŠE , bývalého ministra vnitra ČSFR : Jaký je váš názor na policejní zákrok , k němuž došlo minulou středu na fotbalovém stadiónu Slovanu v Bratislavě ?
#goldHeads=0,1,1,5,6,1,8,6,8,8,13,13,1,15,13,15,18,16,22,22,20,18,24,22,22,27,25,27,27,29,0,
#predictedHeads=0,1,1,5,6,1,8,6,8,8,13,13,6,15,13,15,18,16,22,22,20,18,24,22,24,27,25,27,28,29,0,
(5,4),7.55493 # DEPENDENCYPART_ARC
(5,6),-0.554649 # DEPENDENCYPART_ARC
(5,7),0.829026 # DEPENDENCYPART_ARC
(5,8),-0.576946 # DEPENDENCYPART_ARC
(5,9),-0.533117 # DEPENDENCYPART_ARC
(5,10),0.691584 # DEPENDENCYPART_ARC
(5,13),-0.728201 # DEPENDENCYPART_ARC
(5,22),-0.505921 # DEPENDENCYPART_ARC
(6,1),-0.0681624 # DEPENDENCYPART_ARC
(6,2),0.618922 # DEPENDENCYPART_ARC
(6,3),0.27077 # DEPENDENCYPART_ARC
(6,4),0.868575 # DEPENDENCYPART_ARC
(6,5),1.65861 # DEPENDENCYPART_ARC
(6,7),0.226403 # DEPENDENCYPART_ARC
(6,8),1.11966 # DEPENDENCYPART_ARC
(6,9),0.557163 # DEPENDENCYPART_ARC
(6,10),0.659817 # DEPENDENCYPART_ARC
(6,11),-0.073112 # DEPENDENCYPART_ARC
(6,13),0.23671 # DEPENDENCYPART_ARC
(6,18),-1.18466 # DEPENDENCYPART_ARC
(6,19),0.00498532 # DEPENDENCYPART_ARC
(7,3),-1.96304 # DEPENDENCYPART_ARC
(7,5),-2.85927 # DEPENDENCYPART_ARC
(7,6),-0.103917 # DEPENDENCYPART_ARC
(7,8),-0.384866 # DEPENDENCYPART_ARC
(7,9),-0.925727 # DEPENDENCYPART_ARC
(7,11),-0.279401 # DEPENDENCYPART_ARC
(7,16),-1.25542 # DEPENDENCYPART_ARC
(8,3),-3.19289 # DEPENDENCYPART_ARC
(8,4),2.59004 # DEPENDENCYPART_ARC
(8,5),-0.320925 # DEPENDENCYPART_ARC
(8,6),0.134319 # DEPENDENCYPART_ARC
(8,7),4.35429 # DEPENDENCYPART_ARC
(8,9),4.3441 # DEPENDENCYPART_ARC
(8,10),3.30348 # DEPENDENCYPART_ARC
(8,11),0.224187 # DEPENDENCYPART_ARC
(8,13),0.0445626 # DEPENDENCYPART_ARC
(8,15),-2.7918 # DEPENDENCYPART_ARC
(8,16),-0.93658 # DEPENDENCYPART_ARC
(8,22),-0.23062 # DEPENDENCYPART_ARC
(9,4),0.628425 # DEPENDENCYPART_ARC
(9,5),-1.72193 # DEPENDENCYPART_ARC
(9,7),1.00303 # DEPENDENCYPART_ARC
(9,10),2.95477 # DEPENDENCYPART_ARC
(9,11),-1.10056 # DEPENDENCYPART_ARC
(9,12),-3.00636 # DEPENDENCYPART_ARC
(9,13),-0.799443 # DEPENDENCYPART_ARC
(9,16),-1.49075 # DEPENDENCYPART_ARC
(9,22),-0.586101 # DEPENDENCYPART_ARC
(10,1),-5.85912 # DEPENDENCYPART_ARC
(10,3),-4.45876 # DEPENDENCYPART_ARC
(10,4),-1.35498 # DEPENDENCYPART_ARC
(10,5),-3.6527 # DEPENDENCYPART_ARC
(10,7),-0.844247 # DEPENDENCYPART_ARC
(10,8),-1.45792 # DEPENDENCYPART_ARC
(10,9),-0.735726 # DEPENDENCYPART_ARC
(10,11),-0.392355 # DEPENDENCYPART_ARC
(10,12),-2.71902 # DEPENDENCYPART_ARC
(10,13),-1.1905 # DEPENDENCYPART_ARC
(10,15),-4.42076 # DEPENDENCYPART_ARC
(10,22),-0.930742 # DEPENDENCYPART_ARC
(11,1),0.023214 # DEPENDENCYPART_ARC
(11,2),0.338567 # DEPENDENCYPART_ARC
(11,4),-0.0686299 # DEPENDENCYPART_ARC
(11,5),-0.277966 # DEPENDENCYPART_ARC
(11,7),-0.551537 # DEPENDENCYPART_ARC
(11,8),0.268808 # DEPENDENCYPART_ARC
(11,9),-0.174001 # DEPENDENCYPART_ARC
(11,10),-0.00137673 # DEPENDENCYPART_ARC
(11,13),0.741615 # DEPENDENCYPART_ARC
(11,15),-1.23421 # DEPENDENCYPART_ARC
(11,18),-1.32141 # DEPENDENCYPART_ARC
(11,19),-0.403221 # DEPENDENCYPART_ARC
(11,22),-0.0120004 # DEPENDENCYPART_ARC
(12,15),-0.885964 # DEPENDENCYPART_ARC
(13,1),-2.14647 # DEPENDENCYPART_ARC
(13,2),-1.11504 # DEPENDENCYPART_ARC
(13,3),-2.02505 # DEPENDENCYPART_ARC
(13,4),-2.67672 # DEPENDENCYPART_ARC
(13,5),-4.07107 # DEPENDENCYPART_ARC
(13,6),0.1254 # DEPENDENCYPART_ARC
(13,7),-3.59277 # DEPENDENCYPART_ARC
(13,8),-2.55081 # DEPENDENCYPART_ARC
(13,9),-2.41886 # DEPENDENCYPART_ARC
(13,10),-1.75433 # DEPENDENCYPART_ARC
(13,11),2.43838 # DEPENDENCYPART_ARC
(13,12),2.61008 # DEPENDENCYPART_ARC
(13,14),0.0818093 # DEPENDENCYPART_ARC
(13,15),3.70588 # DEPENDENCYPART_ARC
(13,16),1.34613 # DEPENDENCYPART_ARC
(13,17),-0.955893 # DEPENDENCYPART_ARC
(13,18),1.93262 # DEPENDENCYPART_ARC
(13,19),0.705135 # DEPENDENCYPART_ARC
(13,20),-0.554293 # DEPENDENCYPART_ARC
(13,22),-0.979824 # DEPENDENCYPART_ARC
(13,23),-2.95396 # DEPENDENCYPART_ARC
(13,24),0.229499 # DEPENDENCYPART_ARC
(13,25),-0.393033 # DEPENDENCYPART_ARC
(13,26),-4.31562 # DEPENDENCYPART_ARC
(13,27),-1.31296 # DEPENDENCYPART_ARC
(13,28),-3.00415 # DEPENDENCYPART_ARC
(13,29),-1.17148 # DEPENDENCYPART_ARC
(13,30),-3.43425 # DEPENDENCYPART_ARC
(13,31),0.606219 # DEPENDENCYPART_ARC
(15,12),0.419863 # DEPENDENCYPART_ARC
(15,14),3.85528 # DEPENDENCYPART_ARC
(15,16),1.67512 # DEPENDENCYPART_ARC
(15,17),-0.795038 # DEPENDENCYPART_ARC
(15,18),-3.04104 # DEPENDENCYPART_ARC
(15,19),0.100979 # DEPENDENCYPART_ARC
(15,20),-0.183588 # DEPENDENCYPART_ARC
(15,22),0.229115 # DEPENDENCYPART_ARC
(15,23),-4.07813 # DEPENDENCYPART_ARC
(15,25),-0.928046 # DEPENDENCYPART_ARC
(15,29),-1.1852 # DEPENDENCYPART_ARC
(16,15),-0.738981 # DEPENDENCYPART_ARC
(16,17),0.931275 # DEPENDENCYPART_ARC
(16,18),3.72235 # DEPENDENCYPART_ARC
(16,19),-0.0712317 # DEPENDENCYPART_ARC
(16,24),-0.307197 # DEPENDENCYPART_ARC
(17,14),-2.84519 # DEPENDENCYPART_ARC
(17,20),-0.991033 # DEPENDENCYPART_ARC
(18,12),-2.38061 # DEPENDENCYPART_ARC
(18,14),-0.942774 # DEPENDENCYPART_ARC
(18,15),-3.24097 # DEPENDENCYPART_ARC
(18,16),-0.020511 # DEPENDENCYPART_ARC
(18,17),5.53 # DEPENDENCYPART_ARC
(18,19),-0.441435 # DEPENDENCYPART_ARC
(18,20),-0.0285409 # DEPENDENCYPART_ARC
(18,22),1.28843 # DEPENDENCYPART_ARC
(18,23),-1.42004 # DEPENDENCYPART_ARC
(18,24),-2.15932 # DEPENDENCYPART_ARC
(18,25),-0.88616 # DEPENDENCYPART_ARC
(19,1),-1.7342 # DEPENDENCYPART_ARC
(19,2),-0.706157 # DEPENDENCYPART_ARC
(19,6),-0.276011 # DEPENDENCYPART_ARC
(19,11),-0.0160431 # DEPENDENCYPART_ARC
(19,12),-1.13161 # DEPENDENCYPART_ARC
(19,13),-0.221157 # DEPENDENCYPART_ARC
(19,15),-0.676682 # DEPENDENCYPART_ARC
(19,16),0.378577 # DEPENDENCYPART_ARC
(19,17),-0.112588 # DEPENDENCYPART_ARC
(19,18),-0.735403 # DEPENDENCYPART_ARC
(19,20),0.216075 # DEPENDENCYPART_ARC
(19,22),0.299085 # DEPENDENCYPART_ARC
(19,23),-1.01348 # DEPENDENCYPART_ARC
(19,24),-1.05247 # DEPENDENCYPART_ARC
(19,25),-1.14144 # DEPENDENCYPART_ARC
(19,27),-1.67302 # DEPENDENCYPART_ARC
(19,28),-1.6545 # DEPENDENCYPART_ARC
(19,29),-1.17981 # DEPENDENCYPART_ARC
(19,31),-0.681298 # DEPENDENCYPART_ARC
(20,18),-1.22157 # DEPENDENCYPART_ARC
(20,19),-0.578047 # DEPENDENCYPART_ARC
(20,21),4.50587 # DEPENDENCYPART_ARC
(20,23),-1.51986 # DEPENDENCYPART_ARC
(20,24),-1.30785 # DEPENDENCYPART_ARC
(20,27),-1.63003 # DEPENDENCYPART_ARC
(20,31),-1.49327 # DEPENDENCYPART_ARC
(22,1),-4.17209 # DEPENDENCYPART_ARC
(22,2),-2.37404 # DEPENDENCYPART_ARC
(22,3),-2.2132 # DEPENDENCYPART_ARC
(22,4),-4.97629 # DEPENDENCYPART_ARC
(22,6),0.78496 # DEPENDENCYPART_ARC
(22,8),-4.62899 # DEPENDENCYPART_ARC
(22,9),-3.47241 # DEPENDENCYPART_ARC
(22,10),-4.26112 # DEPENDENCYPART_ARC
(22,11),1.41157 # DEPENDENCYPART_ARC
(22,12),-0.403622 # DEPENDENCYPART_ARC
(22,13),-1.7472 # DEPENDENCYPART_ARC
(22,15),0.282334 # DEPENDENCYPART_ARC
(22,16),-0.323029 # DEPENDENCYPART_ARC
(22,17),-3.25121 # DEPENDENCYPART_ARC
(22,18),-1.74217 # DEPENDENCYPART_ARC
(22,19),2.18053 # DEPENDENCYPART_ARC
(22,20),2.35674 # DEPENDENCYPART_ARC
(22,23),-1.82325 # DEPENDENCYPART_ARC
(22,24),2.18384 # DEPENDENCYPART_ARC
(22,25),0.956293 # DEPENDENCYPART_ARC
(22,26),-3.36442 # DEPENDENCYPART_ARC
(22,27),-0.127271 # DEPENDENCYPART_ARC
(22,28),-2.70885 # DEPENDENCYPART_ARC
(22,29),0.499731 # DEPENDENCYPART_ARC
(22,30),-3.2048 # DEPENDENCYPART_ARC
(22,31),0.405119 # DEPENDENCYPART_ARC
(23,20),-0.269827 # DEPENDENCYPART_ARC
(23,24),-0.759467 # DEPENDENCYPART_ARC
(23,25),-0.400145 # DEPENDENCYPART_ARC
(23,27),-0.63797 # DEPENDENCYPART_ARC
(23,28),-2.56403 # DEPENDENCYPART_ARC
(24,14),-3.32586 # DEPENDENCYPART_ARC
(24,17),-0.0382158 # DEPENDENCYPART_ARC
(24,20),0.279246 # DEPENDENCYPART_ARC
(24,23),4.80403 # DEPENDENCYPART_ARC
(24,25),1.02706 # DEPENDENCYPART_ARC
(24,26),-1.89417 # DEPENDENCYPART_ARC
(24,27),-0.596427 # DEPENDENCYPART_ARC
(24,28),0.967132 # DEPENDENCYPART_ARC
(24,29),-0.495916 # DEPENDENCYPART_ARC
(24,30),-2.32772 # DEPENDENCYPART_ARC
(25,24),-1.45112 # DEPENDENCYPART_ARC
(25,26),0.475349 # DEPENDENCYPART_ARC
(25,27),4.00651 # DEPENDENCYPART_ARC
(25,28),-1.35351 # DEPENDENCYPART_ARC
(25,30),0.0241035 # DEPENDENCYPART_ARC
(26,28),-1.73374 # DEPENDENCYPART_ARC
(26,29),-0.59596 # DEPENDENCYPART_ARC
(27,20),-0.678261 # DEPENDENCYPART_ARC
(27,23),-1.13445 # DEPENDENCYPART_ARC
(27,25),-0.291411 # DEPENDENCYPART_ARC
(27,26),4.62621 # DEPENDENCYPART_ARC
(27,28),3.62139 # DEPENDENCYPART_ARC
(27,29),0.39127 # DEPENDENCYPART_ARC
(27,30),0.0314915 # DEPENDENCYPART_ARC
(27,31),-0.586522 # DEPENDENCYPART_ARC
(28,23),-3.16929 # DEPENDENCYPART_ARC
(28,24),-4.5074 # DEPENDENCYPART_ARC
(28,26),0.591047 # DEPENDENCYPART_ARC
(28,27),-1.56816 # DEPENDENCYPART_ARC
(28,29),0.711932 # DEPENDENCYPART_ARC
(28,30),0.0379605 # DEPENDENCYPART_ARC
(28,31),-0.522469 # DEPENDENCYPART_ARC
(29,28),-1.84193 # DEPENDENCYPART_ARC
(29,30),4.19359 # DEPENDENCYPART_ARC
(29,31),-0.285106 # DEPENDENCYPART_ARC
(30,25),-1.42573 # DEPENDENCYPART_ARC
(30,26),-1.72096 # DEPENDENCYPART_ARC
(30,27),-1.99897 # DEPENDENCYPART_ARC
(30,28),-1.98974 # DEPENDENCYPART_ARC
(30,29),-0.153261 # DEPENDENCYPART_ARC
(30,31),-1.20189 # DEPENDENCYPART_ARC
