# _root_ Ne tak kvůli ní samé , jako kvůli ekonomické i politické transformaci , jíž je garantem a která tou dobou ještě nebude zcela u konce .
#goldHeads=2,0,0,3,4,7,0,7,10,12,10,8,17,16,17,15,12,22,20,22,22,17,22,22,24,0,
#predictedHeads=2,4,5,3,12,7,0,7,10,12,10,8,15,17,12,15,15,20,20,22,22,17,25,22,24,0,
(12,22),-0.758219 # DEPENDENCYPART_ARC
(13,1),-1.20226 # DEPENDENCYPART_ARC
(13,3),-2.1566 # DEPENDENCYPART_ARC
(13,6),-0.687496 # DEPENDENCYPART_ARC
(13,7),-0.883913 # DEPENDENCYPART_ARC
(13,8),-1.5998 # DEPENDENCYPART_ARC
(13,9),-0.727891 # DEPENDENCYPART_ARC
(13,10),-0.840146 # DEPENDENCYPART_ARC
(13,11),-1.04147 # DEPENDENCYPART_ARC
(13,12),-0.791523 # DEPENDENCYPART_ARC
(13,15),0.221034 # DEPENDENCYPART_ARC
(13,16),-1.28838 # DEPENDENCYPART_ARC
(13,17),-0.97821 # DEPENDENCYPART_ARC
(13,21),-1.94302 # DEPENDENCYPART_ARC
(13,22),-1.3858 # DEPENDENCYPART_ARC
(13,23),-2.24192 # DEPENDENCYPART_ARC
(13,24),-2.81551 # DEPENDENCYPART_ARC
(14,16),-2.05377 # DEPENDENCYPART_ARC
(14,20),-2.74009 # DEPENDENCYPART_ARC
(15,1),-2.09331 # DEPENDENCYPART_ARC
(15,2),-0.596983 # DEPENDENCYPART_ARC
(15,3),-2.0665 # DEPENDENCYPART_ARC
(15,5),-2.6709 # DEPENDENCYPART_ARC
(15,6),-0.6448 # DEPENDENCYPART_ARC
(15,7),-1.09472 # DEPENDENCYPART_ARC
(15,8),-0.344752 # DEPENDENCYPART_ARC
(15,9),-1.25831 # DEPENDENCYPART_ARC
(15,10),-1.00345 # DEPENDENCYPART_ARC
(15,11),-0.876248 # DEPENDENCYPART_ARC
(15,12),-1.006 # DEPENDENCYPART_ARC
(15,13),1.76702 # DEPENDENCYPART_ARC
(15,14),-0.567593 # DEPENDENCYPART_ARC
(15,16),3.12144 # DEPENDENCYPART_ARC
(15,17),0.831278 # DEPENDENCYPART_ARC
(15,19),-1.48862 # DEPENDENCYPART_ARC
(15,20),0.502791 # DEPENDENCYPART_ARC
(15,21),0.384016 # DEPENDENCYPART_ARC
(15,22),-1.8271 # DEPENDENCYPART_ARC
(15,23),-0.997211 # DEPENDENCYPART_ARC
(15,24),0.03285 # DEPENDENCYPART_ARC
(15,25),-3.29128 # DEPENDENCYPART_ARC
(16,14),-1.19724 # DEPENDENCYPART_ARC
(16,17),-0.52432 # DEPENDENCYPART_ARC
(16,18),-1.91222 # DEPENDENCYPART_ARC
(16,19),-1.68212 # DEPENDENCYPART_ARC
(16,20),-2.4379 # DEPENDENCYPART_ARC
(16,22),-2.28856 # DEPENDENCYPART_ARC
(17,1),-1.44861 # DEPENDENCYPART_ARC
(17,6),-0.707139 # DEPENDENCYPART_ARC
(17,7),-1.67346 # DEPENDENCYPART_ARC
(17,8),-1.58231 # DEPENDENCYPART_ARC
(17,9),-1.86351 # DEPENDENCYPART_ARC
(17,10),-1.01467 # DEPENDENCYPART_ARC
(17,11),-1.69943 # DEPENDENCYPART_ARC
(17,12),-0.269352 # DEPENDENCYPART_ARC
(17,13),0.782373 # DEPENDENCYPART_ARC
(17,14),-0.208594 # DEPENDENCYPART_ARC
(17,15),1.17431 # DEPENDENCYPART_ARC
(17,16),1.62264 # DEPENDENCYPART_ARC
(17,18),-0.433371 # DEPENDENCYPART_ARC
(17,19),-0.608778 # DEPENDENCYPART_ARC
(17,20),0.335122 # DEPENDENCYPART_ARC
(17,21),-1.31945 # DEPENDENCYPART_ARC
(17,22),0.689886 # DEPENDENCYPART_ARC
(17,23),-1.39825 # DEPENDENCYPART_ARC
(17,24),-1.38492 # DEPENDENCYPART_ARC
(17,25),-1.98126 # DEPENDENCYPART_ARC
(18,20),-1.51905 # DEPENDENCYPART_ARC
(18,25),-1.54242 # DEPENDENCYPART_ARC
(19,15),-1.21486 # DEPENDENCYPART_ARC
(19,16),-0.71429 # DEPENDENCYPART_ARC
(19,17),-0.599298 # DEPENDENCYPART_ARC
(19,20),-0.503905 # DEPENDENCYPART_ARC
(19,21),0.101028 # DEPENDENCYPART_ARC
(19,22),-1.89977 # DEPENDENCYPART_ARC
(19,23),-0.2842 # DEPENDENCYPART_ARC
(19,24),-0.0400632 # DEPENDENCYPART_ARC
(20,10),-1.04892 # DEPENDENCYPART_ARC
(20,14),-0.578351 # DEPENDENCYPART_ARC
(20,16),-0.874681 # DEPENDENCYPART_ARC
(20,18),1.19887 # DEPENDENCYPART_ARC
(20,19),4.32454 # DEPENDENCYPART_ARC
(20,21),0.383011 # DEPENDENCYPART_ARC
(20,22),-1.3019 # DEPENDENCYPART_ARC
(20,23),-0.475136 # DEPENDENCYPART_ARC
(20,24),-0.629894 # DEPENDENCYPART_ARC
(20,25),-1.14207 # DEPENDENCYPART_ARC
(21,18),-1.24416 # DEPENDENCYPART_ARC
(21,19),-1.02592 # DEPENDENCYPART_ARC
(21,20),-1.53992 # DEPENDENCYPART_ARC
(21,23),-1.40984 # DEPENDENCYPART_ARC
(21,24),-1.69799 # DEPENDENCYPART_ARC
(21,25),-2.17795 # DEPENDENCYPART_ARC
(22,1),-2.76825 # DEPENDENCYPART_ARC
(22,2),-1.98526 # DEPENDENCYPART_ARC
(22,3),-1.66079 # DEPENDENCYPART_ARC
(22,5),-3.27627 # DEPENDENCYPART_ARC
(22,7),-1.11978 # DEPENDENCYPART_ARC
(22,8),0.345953 # DEPENDENCYPART_ARC
(22,9),-0.837345 # DEPENDENCYPART_ARC
(22,10),-1.32128 # DEPENDENCYPART_ARC
(22,11),-0.745698 # DEPENDENCYPART_ARC
(22,12),-1.38585 # DEPENDENCYPART_ARC
(22,13),0.290233 # DEPENDENCYPART_ARC
(22,14),-3.50043 # DEPENDENCYPART_ARC
(22,15),-2.14605 # DEPENDENCYPART_ARC
(22,16),-0.778418 # DEPENDENCYPART_ARC
(22,17),-0.217873 # DEPENDENCYPART_ARC
(22,18),0.13461 # DEPENDENCYPART_ARC
(22,19),-0.403065 # DEPENDENCYPART_ARC
(22,20),1.98415 # DEPENDENCYPART_ARC
(22,21),1.55541 # DEPENDENCYPART_ARC
(22,23),0.552769 # DEPENDENCYPART_ARC
(22,24),0.629072 # DEPENDENCYPART_ARC
(22,25),-1.10221 # DEPENDENCYPART_ARC
(22,26),-0.606221 # DEPENDENCYPART_ARC
(23,18),-0.217735 # DEPENDENCYPART_ARC
(23,19),-0.181529 # DEPENDENCYPART_ARC
(23,20),-0.972709 # DEPENDENCYPART_ARC
(23,21),0.676564 # DEPENDENCYPART_ARC
(23,22),0.290973 # DEPENDENCYPART_ARC
(23,24),0.0770948 # DEPENDENCYPART_ARC
(23,25),-0.343759 # DEPENDENCYPART_ARC
(24,20),-1.47424 # DEPENDENCYPART_ARC
(24,23),0.346371 # DEPENDENCYPART_ARC
(24,25),3.24575 # DEPENDENCYPART_ARC
(24,26),-0.247072 # DEPENDENCYPART_ARC
(25,18),-2.36217 # DEPENDENCYPART_ARC
(25,19),-2.69166 # DEPENDENCYPART_ARC
(25,21),0.665603 # DEPENDENCYPART_ARC
(25,23),1.11425 # DEPENDENCYPART_ARC
(25,24),0.120936 # DEPENDENCYPART_ARC
(25,26),0.535989 # DEPENDENCYPART_ARC
