# _root_ " Turnaj je zařazen do nejnižší kategorie , a proto jsme museli sehnat bydlení do 80 dolarů za noc , což znamenalo v Praze velký problém .
#goldHeads=9,4,4,9,4,7,5,9,0,9,12,20,12,13,14,17,15,17,18,9,22,20,22,23,26,22,0,
#predictedHeads=20,4,4,9,4,7,5,9,0,9,12,9,12,13,14,17,15,17,18,10,22,20,22,23,26,22,0,
(10,4),0.280379 # DEPENDENCYPART_ARC
(10,5),-1.91111 # DEPENDENCYPART_ARC
(10,6),-1.67316 # DEPENDENCYPART_ARC
(10,7),-1.56237 # DEPENDENCYPART_ARC
(10,8),0.904975 # DEPENDENCYPART_ARC
(10,9),0.303031 # DEPENDENCYPART_ARC
(10,11),1.3731 # DEPENDENCYPART_ARC
(10,12),1.45327 # DEPENDENCYPART_ARC
(10,13),0.491817 # DEPENDENCYPART_ARC
(10,14),-1.69302 # DEPENDENCYPART_ARC
(10,15),-1.1122 # DEPENDENCYPART_ARC
(10,16),-1.33563 # DEPENDENCYPART_ARC
(10,20),1.18526 # DEPENDENCYPART_ARC
(10,22),-0.371909 # DEPENDENCYPART_ARC
(11,2),-3.6127 # DEPENDENCYPART_ARC
(11,4),-4.02736 # DEPENDENCYPART_ARC
(11,7),-5.40208 # DEPENDENCYPART_ARC
(11,8),-1.0143 # DEPENDENCYPART_ARC
(11,10),-0.645974 # DEPENDENCYPART_ARC
(11,12),-0.966979 # DEPENDENCYPART_ARC
(11,13),0.7111 # DEPENDENCYPART_ARC
(11,14),-1.27426 # DEPENDENCYPART_ARC
(11,15),-0.78709 # DEPENDENCYPART_ARC
(11,17),-3.90941 # DEPENDENCYPART_ARC
(11,18),-2.07473 # DEPENDENCYPART_ARC
(11,19),-2.99465 # DEPENDENCYPART_ARC
(11,26),-3.67727 # DEPENDENCYPART_ARC
(12,1),0.685324 # DEPENDENCYPART_ARC
(12,2),-0.586185 # DEPENDENCYPART_ARC
(12,3),-2.9337 # DEPENDENCYPART_ARC
(12,4),-3.63958 # DEPENDENCYPART_ARC
(12,5),-0.478063 # DEPENDENCYPART_ARC
(12,6),-4.194 # DEPENDENCYPART_ARC
(12,7),-4.01248 # DEPENDENCYPART_ARC
(12,8),0.109599 # DEPENDENCYPART_ARC
(12,9),0.31514 # DEPENDENCYPART_ARC
(12,10),0.986048 # DEPENDENCYPART_ARC
(12,11),4.7055 # DEPENDENCYPART_ARC
(12,13),3.36197 # DEPENDENCYPART_ARC
(12,14),1.89731 # DEPENDENCYPART_ARC
(12,15),1.16905 # DEPENDENCYPART_ARC
(12,16),-0.394725 # DEPENDENCYPART_ARC
(12,17),-1.03707 # DEPENDENCYPART_ARC
(12,18),0.596569 # DEPENDENCYPART_ARC
(12,19),-1.07698 # DEPENDENCYPART_ARC
(12,20),-0.670647 # DEPENDENCYPART_ARC
(12,22),-2.72119 # DEPENDENCYPART_ARC
(12,23),-0.39161 # DEPENDENCYPART_ARC
(12,24),-4.65178 # DEPENDENCYPART_ARC
(12,26),-1.40519 # DEPENDENCYPART_ARC
(13,2),-0.825166 # DEPENDENCYPART_ARC
(13,3),-3.18337 # DEPENDENCYPART_ARC
(13,4),-3.04564 # DEPENDENCYPART_ARC
(13,5),-1.06438 # DEPENDENCYPART_ARC
(13,7),-2.89403 # DEPENDENCYPART_ARC
(13,9),-0.545285 # DEPENDENCYPART_ARC
(13,10),0.256949 # DEPENDENCYPART_ARC
(13,11),0.464902 # DEPENDENCYPART_ARC
(13,12),-0.35796 # DEPENDENCYPART_ARC
(13,14),3.54964 # DEPENDENCYPART_ARC
(13,15),1.33636 # DEPENDENCYPART_ARC
(13,16),-0.400976 # DEPENDENCYPART_ARC
(13,17),-0.489751 # DEPENDENCYPART_ARC
(13,18),0.629049 # DEPENDENCYPART_ARC
(13,19),-0.00954624 # DEPENDENCYPART_ARC
(13,20),-0.212021 # DEPENDENCYPART_ARC
(13,22),-1.30955 # DEPENDENCYPART_ARC
(13,23),-0.898539 # DEPENDENCYPART_ARC
(13,24),-2.56489 # DEPENDENCYPART_ARC
(13,26),-1.14443 # DEPENDENCYPART_ARC
(14,15),1.56214 # DEPENDENCYPART_ARC
(14,16),-0.105455 # DEPENDENCYPART_ARC
(14,17),0.218961 # DEPENDENCYPART_ARC
(14,18),0.399068 # DEPENDENCYPART_ARC
(14,19),-2.49041 # DEPENDENCYPART_ARC
(14,22),-0.184684 # DEPENDENCYPART_ARC
(14,23),-1.5269 # DEPENDENCYPART_ARC
(14,25),-1.01167 # DEPENDENCYPART_ARC
(15,14),-0.491728 # DEPENDENCYPART_ARC
(15,16),0.899122 # DEPENDENCYPART_ARC
(15,17),4.53205 # DEPENDENCYPART_ARC
(15,19),-1.42497 # DEPENDENCYPART_ARC
(15,20),-0.552303 # DEPENDENCYPART_ARC
(16,14),-0.730195 # DEPENDENCYPART_ARC
(16,15),-0.399425 # DEPENDENCYPART_ARC
(16,17),3.85229 # DEPENDENCYPART_ARC
(16,18),0.504395 # DEPENDENCYPART_ARC
(16,19),0.660053 # DEPENDENCYPART_ARC
(16,22),-0.839403 # DEPENDENCYPART_ARC
(16,23),-0.683342 # DEPENDENCYPART_ARC
(17,14),-3.99675 # DEPENDENCYPART_ARC
(17,16),1.61392 # DEPENDENCYPART_ARC
(17,18),0.69055 # DEPENDENCYPART_ARC
(17,19),-4.37127 # DEPENDENCYPART_ARC
(17,22),-1.96927 # DEPENDENCYPART_ARC
(17,25),-4.28108 # DEPENDENCYPART_ARC
(17,26),-6.78013 # DEPENDENCYPART_ARC
(18,17),-1.57755 # DEPENDENCYPART_ARC
(18,19),3.86781 # DEPENDENCYPART_ARC
(18,20),-0.056663 # DEPENDENCYPART_ARC
(18,24),-3.0953 # DEPENDENCYPART_ARC
(19,15),0.0572376 # DEPENDENCYPART_ARC
(19,16),-0.498269 # DEPENDENCYPART_ARC
(19,17),-3.77394 # DEPENDENCYPART_ARC
(19,18),0.317615 # DEPENDENCYPART_ARC
(19,20),-0.371519 # DEPENDENCYPART_ARC
(19,22),1.17162 # DEPENDENCYPART_ARC
(19,23),-1.19182 # DEPENDENCYPART_ARC
(19,24),-0.84742 # DEPENDENCYPART_ARC
(19,25),-1.0978 # DEPENDENCYPART_ARC
(19,26),-2.19732 # DEPENDENCYPART_ARC
(20,1),2.03963 # DEPENDENCYPART_ARC
(20,3),0.0174616 # DEPENDENCYPART_ARC
(20,4),0.660183 # DEPENDENCYPART_ARC
(20,5),-0.675164 # DEPENDENCYPART_ARC
(20,8),0.340877 # DEPENDENCYPART_ARC
(20,9),0.243446 # DEPENDENCYPART_ARC
(20,10),0.282847 # DEPENDENCYPART_ARC
(20,11),1.45451 # DEPENDENCYPART_ARC
(20,12),0.872956 # DEPENDENCYPART_ARC
(20,13),1.15761 # DEPENDENCYPART_ARC
(20,14),0.960434 # DEPENDENCYPART_ARC
(20,15),0.198005 # DEPENDENCYPART_ARC
(20,16),0.286114 # DEPENDENCYPART_ARC
(20,17),1.24281 # DEPENDENCYPART_ARC
(20,18),0.348849 # DEPENDENCYPART_ARC
(20,19),1.62035 # DEPENDENCYPART_ARC
(20,22),2.01928 # DEPENDENCYPART_ARC
(20,23),0.253382 # DEPENDENCYPART_ARC
(20,24),0.0382059 # DEPENDENCYPART_ARC
(20,25),0.164476 # DEPENDENCYPART_ARC
(20,26),-0.0858022 # DEPENDENCYPART_ARC
(20,27),0.796599 # DEPENDENCYPART_ARC
(22,1),0.163653 # DEPENDENCYPART_ARC
(22,2),-1.6661 # DEPENDENCYPART_ARC
(22,9),-2.14398 # DEPENDENCYPART_ARC
(22,10),-0.594045 # DEPENDENCYPART_ARC
(22,11),-2.30659 # DEPENDENCYPART_ARC
(22,12),-5.20505 # DEPENDENCYPART_ARC
(22,13),-1.50565 # DEPENDENCYPART_ARC
(22,14),-0.75282 # DEPENDENCYPART_ARC
(22,15),-1.60159 # DEPENDENCYPART_ARC
(22,16),-1.63949 # DEPENDENCYPART_ARC
(22,17),-2.88847 # DEPENDENCYPART_ARC
(22,18),-1.02377 # DEPENDENCYPART_ARC
(22,19),-2.60191 # DEPENDENCYPART_ARC
(22,20),0.992735 # DEPENDENCYPART_ARC
(22,21),1.9526 # DEPENDENCYPART_ARC
(22,23),2.45035 # DEPENDENCYPART_ARC
(22,24),-0.465389 # DEPENDENCYPART_ARC
(22,25),-1.30542 # DEPENDENCYPART_ARC
(22,26),1.5943 # DEPENDENCYPART_ARC
(22,27),-0.108056 # DEPENDENCYPART_ARC
(23,24),3.91426 # DEPENDENCYPART_ARC
(23,25),-1.90094 # DEPENDENCYPART_ARC
(23,26),-2.62133 # DEPENDENCYPART_ARC
(24,23),0.843652 # DEPENDENCYPART_ARC
(24,25),-2.01166 # DEPENDENCYPART_ARC
(24,26),-1.97496 # DEPENDENCYPART_ARC
(24,27),-0.725985 # DEPENDENCYPART_ARC
(25,23),0.0806642 # DEPENDENCYPART_ARC
(25,24),-1.53909 # DEPENDENCYPART_ARC
(25,26),0.801167 # DEPENDENCYPART_ARC
(26,23),0.37245 # DEPENDENCYPART_ARC
(26,24),-1.25755 # DEPENDENCYPART_ARC
(26,25),5.86064 # DEPENDENCYPART_ARC
(26,27),-0.0315767 # DEPENDENCYPART_ARC
