# _root_ Jakmile bude toto perspektivně levné vozidlo předvedeno potencionálním zájemcům in natura , bude jim jasné , že na něco podobného vlastně čekali .
#goldHeads=13,7,6,5,6,7,1,9,7,11,7,1,0,13,13,17,13,22,18,19,22,17,0,
#predictedHeads=13,7,6,7,6,7,1,9,7,9,10,1,0,13,13,17,13,22,18,19,22,17,0,
(4,1),-0.367886 # DEPENDENCYPART_ARC
(4,2),-0.215561 # DEPENDENCYPART_ARC
(4,3),-0.0580949 # DEPENDENCYPART_ARC
(4,5),-1.92572 # DEPENDENCYPART_ARC
(4,6),-1.60341 # DEPENDENCYPART_ARC
(4,9),-2.91602 # DEPENDENCYPART_ARC
(4,17),-2.4726 # DEPENDENCYPART_ARC
(5,2),-1.32471 # DEPENDENCYPART_ARC
(5,3),-1.02701 # DEPENDENCYPART_ARC
(5,4),1.85928 # DEPENDENCYPART_ARC
(5,6),-0.738288 # DEPENDENCYPART_ARC
(5,9),-0.532762 # DEPENDENCYPART_ARC
(6,1),-0.786032 # DEPENDENCYPART_ARC
(6,3),2.95667 # DEPENDENCYPART_ARC
(6,4),0.109777 # DEPENDENCYPART_ARC
(6,5),4.3881 # DEPENDENCYPART_ARC
(6,7),0.00930298 # DEPENDENCYPART_ARC
(6,8),-1.58043 # DEPENDENCYPART_ARC
(6,9),-1.18094 # DEPENDENCYPART_ARC
(6,10),0.650524 # DEPENDENCYPART_ARC
(7,1),1.5245 # DEPENDENCYPART_ARC
(7,2),4.04816 # DEPENDENCYPART_ARC
(7,3),1.12155 # DEPENDENCYPART_ARC
(7,4),1.89536 # DEPENDENCYPART_ARC
(7,5),-0.975507 # DEPENDENCYPART_ARC
(7,6),2.44335 # DEPENDENCYPART_ARC
(7,8),-0.286188 # DEPENDENCYPART_ARC
(7,9),1.12778 # DEPENDENCYPART_ARC
(7,10),0.981565 # DEPENDENCYPART_ARC
(7,11),-0.667599 # DEPENDENCYPART_ARC
(7,12),0.586272 # DEPENDENCYPART_ARC
(7,13),-2.25474 # DEPENDENCYPART_ARC
(7,16),-0.422147 # DEPENDENCYPART_ARC
(7,17),-0.495623 # DEPENDENCYPART_ARC
(7,18),-1.78522 # DEPENDENCYPART_ARC
(8,4),-0.66204 # DEPENDENCYPART_ARC
(8,5),-3.3668 # DEPENDENCYPART_ARC
(8,10),-0.787793 # DEPENDENCYPART_ARC
(8,17),-1.12011 # DEPENDENCYPART_ARC
(9,3),-1.9298 # DEPENDENCYPART_ARC
(9,4),-1.08244 # DEPENDENCYPART_ARC
(9,5),-3.672 # DEPENDENCYPART_ARC
(9,6),-4.7277 # DEPENDENCYPART_ARC
(9,7),-2.01454 # DEPENDENCYPART_ARC
(9,8),4.48792 # DEPENDENCYPART_ARC
(9,10),2.27158 # DEPENDENCYPART_ARC
(9,11),-0.202535 # DEPENDENCYPART_ARC
(9,13),-1.93577 # DEPENDENCYPART_ARC
(9,15),-4.16006 # DEPENDENCYPART_ARC
(9,17),0.111718 # DEPENDENCYPART_ARC
(9,18),-2.38399 # DEPENDENCYPART_ARC
(9,20),-3.28489 # DEPENDENCYPART_ARC
(9,22),-1.15728 # DEPENDENCYPART_ARC
(10,9),-2.50895 # DEPENDENCYPART_ARC
(10,11),1.29984 # DEPENDENCYPART_ARC
(10,12),-0.276766 # DEPENDENCYPART_ARC
(10,15),-2.5502 # DEPENDENCYPART_ARC
(11,8),-1.39755 # DEPENDENCYPART_ARC
(11,9),-2.16004 # DEPENDENCYPART_ARC
(11,10),2.69643 # DEPENDENCYPART_ARC
(11,13),-1.89841 # DEPENDENCYPART_ARC
(11,14),-1.80514 # DEPENDENCYPART_ARC
(11,15),-2.46579 # DEPENDENCYPART_ARC
(11,17),-0.136225 # DEPENDENCYPART_ARC
(11,20),-3.54684 # DEPENDENCYPART_ARC
(11,22),-2.10533 # DEPENDENCYPART_ARC
(12,1),0.0240464 # DEPENDENCYPART_ARC
(12,2),0.905924 # DEPENDENCYPART_ARC
(12,3),-0.202572 # DEPENDENCYPART_ARC
(12,4),-0.0849052 # DEPENDENCYPART_ARC
(12,5),-1.12712 # DEPENDENCYPART_ARC
(12,6),-0.0441754 # DEPENDENCYPART_ARC
(12,7),0.443294 # DEPENDENCYPART_ARC
(12,8),-0.119376 # DEPENDENCYPART_ARC
(12,9),0.500133 # DEPENDENCYPART_ARC
(12,10),-0.334543 # DEPENDENCYPART_ARC
(12,11),0.640163 # DEPENDENCYPART_ARC
(12,13),0.286771 # DEPENDENCYPART_ARC
(12,14),-0.579809 # DEPENDENCYPART_ARC
(12,15),-0.716926 # DEPENDENCYPART_ARC
(12,16),0.2288 # DEPENDENCYPART_ARC
(12,17),-0.347411 # DEPENDENCYPART_ARC
(12,22),-1.65558 # DEPENDENCYPART_ARC
(13,1),2.72619 # DEPENDENCYPART_ARC
(13,2),-1.84786 # DEPENDENCYPART_ARC
(13,3),-2.78511 # DEPENDENCYPART_ARC
(13,4),-0.6182 # DEPENDENCYPART_ARC
(13,6),-1.75123 # DEPENDENCYPART_ARC
(13,7),-2.25929 # DEPENDENCYPART_ARC
(13,8),-1.61575 # DEPENDENCYPART_ARC
(13,9),-1.92672 # DEPENDENCYPART_ARC
(13,10),-1.38684 # DEPENDENCYPART_ARC
(13,11),-2.17985 # DEPENDENCYPART_ARC
(13,12),-0.453339 # DEPENDENCYPART_ARC
(13,14),1.92975 # DEPENDENCYPART_ARC
(13,15),2.48614 # DEPENDENCYPART_ARC
(13,16),0.045598 # DEPENDENCYPART_ARC
(13,17),0.840655 # DEPENDENCYPART_ARC
(13,18),-0.887794 # DEPENDENCYPART_ARC
(13,19),-1.87808 # DEPENDENCYPART_ARC
(13,20),-3.43321 # DEPENDENCYPART_ARC
(13,21),-0.807725 # DEPENDENCYPART_ARC
(13,22),-2.90301 # DEPENDENCYPART_ARC
(14,11),-0.908103 # DEPENDENCYPART_ARC
(14,12),0.0700424 # DEPENDENCYPART_ARC
(14,13),-1.00957 # DEPENDENCYPART_ARC
(14,15),-0.448515 # DEPENDENCYPART_ARC
(14,16),-0.681603 # DEPENDENCYPART_ARC
(14,22),-2.39396 # DEPENDENCYPART_ARC
(15,8),-2.07467 # DEPENDENCYPART_ARC
(15,10),0.859626 # DEPENDENCYPART_ARC
(15,11),-0.642075 # DEPENDENCYPART_ARC
(15,12),-0.512343 # DEPENDENCYPART_ARC
(15,14),1.46595 # DEPENDENCYPART_ARC
(15,16),-0.44569 # DEPENDENCYPART_ARC
(15,17),0.0730817 # DEPENDENCYPART_ARC
(15,18),-1.14706 # DEPENDENCYPART_ARC
(16,1),-0.875793 # DEPENDENCYPART_ARC
(16,2),-0.658664 # DEPENDENCYPART_ARC
(16,7),-0.994297 # DEPENDENCYPART_ARC
(16,13),0.0807828 # DEPENDENCYPART_ARC
(16,14),-0.523895 # DEPENDENCYPART_ARC
(16,15),-0.875238 # DEPENDENCYPART_ARC
(16,18),-0.934703 # DEPENDENCYPART_ARC
(16,19),-0.92831 # DEPENDENCYPART_ARC
(16,20),-0.393543 # DEPENDENCYPART_ARC
(16,21),-0.921838 # DEPENDENCYPART_ARC
(16,22),-0.712174 # DEPENDENCYPART_ARC
(17,11),-1.9914 # DEPENDENCYPART_ARC
(17,12),-0.72831 # DEPENDENCYPART_ARC
(17,13),-0.856568 # DEPENDENCYPART_ARC
(17,15),-0.411156 # DEPENDENCYPART_ARC
(17,16),2.82109 # DEPENDENCYPART_ARC
(17,18),-0.57695 # DEPENDENCYPART_ARC
(17,19),-0.476733 # DEPENDENCYPART_ARC
(17,20),-0.965317 # DEPENDENCYPART_ARC
(17,21),-0.532664 # DEPENDENCYPART_ARC
(17,22),1.97655 # DEPENDENCYPART_ARC
(17,23),0.10962 # DEPENDENCYPART_ARC
(18,16),-0.526575 # DEPENDENCYPART_ARC
(18,19),2.61431 # DEPENDENCYPART_ARC
(18,20),-0.280846 # DEPENDENCYPART_ARC
(18,21),-0.179638 # DEPENDENCYPART_ARC
(19,18),0.318013 # DEPENDENCYPART_ARC
(19,20),2.2826 # DEPENDENCYPART_ARC
(19,21),0.0744373 # DEPENDENCYPART_ARC
(19,22),-0.321367 # DEPENDENCYPART_ARC
(20,14),-0.974948 # DEPENDENCYPART_ARC
(20,18),0.503723 # DEPENDENCYPART_ARC
(20,19),-0.368016 # DEPENDENCYPART_ARC
(20,21),0.248295 # DEPENDENCYPART_ARC
(20,22),-1.36155 # DEPENDENCYPART_ARC
(20,23),0.25156 # DEPENDENCYPART_ARC
(21,14),-1.48909 # DEPENDENCYPART_ARC
(21,18),-0.563868 # DEPENDENCYPART_ARC
(21,19),-0.591045 # DEPENDENCYPART_ARC
(21,20),-0.235969 # DEPENDENCYPART_ARC
(22,1),0.586881 # DEPENDENCYPART_ARC
(22,2),-3.98029 # DEPENDENCYPART_ARC
(22,3),-2.88775 # DEPENDENCYPART_ARC
(22,4),-0.964939 # DEPENDENCYPART_ARC
(22,5),-2.59765 # DEPENDENCYPART_ARC
(22,6),-1.54433 # DEPENDENCYPART_ARC
(22,7),-3.40606 # DEPENDENCYPART_ARC
(22,8),-0.723794 # DEPENDENCYPART_ARC
(22,9),-0.33842 # DEPENDENCYPART_ARC
(22,10),-2.13665 # DEPENDENCYPART_ARC
(22,11),-3.13211 # DEPENDENCYPART_ARC
(22,12),-1.0004 # DEPENDENCYPART_ARC
(22,13),-3.07105 # DEPENDENCYPART_ARC
(22,14),0.0285932 # DEPENDENCYPART_ARC
(22,15),-1.81213 # DEPENDENCYPART_ARC
(22,16),-0.108567 # DEPENDENCYPART_ARC
(22,17),-0.784427 # DEPENDENCYPART_ARC
(22,18),1.91861 # DEPENDENCYPART_ARC
(22,19),0.0253254 # DEPENDENCYPART_ARC
(22,20),-2.33432 # DEPENDENCYPART_ARC
(22,21),2.65675 # DEPENDENCYPART_ARC
(22,23),0.11076 # DEPENDENCYPART_ARC
(23,19),-3.02943 # DEPENDENCYPART_ARC
