# _root_ Obecně ve světě platí , že takovéto osoby požívají zvláštní důstojnosti a nedotknutelnosti , uvedl Dobal .
#goldHeads=4,4,2,15,6,4,8,9,6,12,12,9,12,4,0,15,0,
#predictedHeads=4,4,2,0,6,4,8,9,6,11,12,9,12,6,0,15,0,
(9,5),0.219178 # DEPENDENCYPART_ARC
(9,6),-0.300206 # DEPENDENCYPART_ARC
(9,7),2.10213 # DEPENDENCYPART_ARC
(9,8),3.58533 # DEPENDENCYPART_ARC
(9,10),-3.1073 # DEPENDENCYPART_ARC
(9,11),0.524936 # DEPENDENCYPART_ARC
(9,12),0.752633 # DEPENDENCYPART_ARC
(9,13),-2.1068 # DEPENDENCYPART_ARC
(9,14),0.314369 # DEPENDENCYPART_ARC
(9,15),-3.54703 # DEPENDENCYPART_ARC
(9,16),-1.63878 # DEPENDENCYPART_ARC
(9,17),-1.15032 # DEPENDENCYPART_ARC
(10,7),-3.34416 # DEPENDENCYPART_ARC
(10,8),-3.92119 # DEPENDENCYPART_ARC
(10,9),-4.75376 # DEPENDENCYPART_ARC
(10,11),-0.735861 # DEPENDENCYPART_ARC
(10,12),0.0321353 # DEPENDENCYPART_ARC
(10,13),-2.38449 # DEPENDENCYPART_ARC
(10,14),-0.992625 # DEPENDENCYPART_ARC
(10,15),-3.77537 # DEPENDENCYPART_ARC
(10,16),-3.3385 # DEPENDENCYPART_ARC
(11,7),-3.65168 # DEPENDENCYPART_ARC
(11,8),-4.80284 # DEPENDENCYPART_ARC
(11,10),3.68919 # DEPENDENCYPART_ARC
(11,13),-0.560133 # DEPENDENCYPART_ARC
(11,15),-3.3209 # DEPENDENCYPART_ARC
(11,16),-4.5187 # DEPENDENCYPART_ARC
(12,1),-0.936196 # DEPENDENCYPART_ARC
(12,2),-1.05381 # DEPENDENCYPART_ARC
(12,3),-0.0499232 # DEPENDENCYPART_ARC
(12,4),-0.408439 # DEPENDENCYPART_ARC
(12,5),0.760206 # DEPENDENCYPART_ARC
(12,6),0.422157 # DEPENDENCYPART_ARC
(12,7),1.07576 # DEPENDENCYPART_ARC
(12,8),0.676175 # DEPENDENCYPART_ARC
(12,9),0.984424 # DEPENDENCYPART_ARC
(12,10),2.2328 # DEPENDENCYPART_ARC
(12,11),3.60429 # DEPENDENCYPART_ARC
(12,13),3.42494 # DEPENDENCYPART_ARC
(12,14),0.0953853 # DEPENDENCYPART_ARC
(12,15),0.141081 # DEPENDENCYPART_ARC
(12,16),-0.252659 # DEPENDENCYPART_ARC
(12,17),-0.815008 # DEPENDENCYPART_ARC
(13,10),0.464641 # DEPENDENCYPART_ARC
(13,11),-2.85061 # DEPENDENCYPART_ARC
(13,14),-1.21445 # DEPENDENCYPART_ARC
(13,15),-2.27919 # DEPENDENCYPART_ARC
(13,16),-3.28589 # DEPENDENCYPART_ARC
(14,4),-0.714647 # DEPENDENCYPART_ARC
(14,5),-0.346599 # DEPENDENCYPART_ARC
(14,6),-0.414603 # DEPENDENCYPART_ARC
(14,7),-0.850119 # DEPENDENCYPART_ARC
(14,8),-0.443742 # DEPENDENCYPART_ARC
(14,9),0.0504991 # DEPENDENCYPART_ARC
(14,10),-0.531541 # DEPENDENCYPART_ARC
(14,11),0.285319 # DEPENDENCYPART_ARC
(14,12),-0.575377 # DEPENDENCYPART_ARC
(14,13),-0.398345 # DEPENDENCYPART_ARC
(14,15),-0.0205809 # DEPENDENCYPART_ARC
(14,16),-0.565236 # DEPENDENCYPART_ARC
(14,17),-0.270697 # DEPENDENCYPART_ARC
(15,1),-0.525818 # DEPENDENCYPART_ARC
(15,2),-1.84865 # DEPENDENCYPART_ARC
(15,4),-1.50896 # DEPENDENCYPART_ARC
(15,5),-0.57951 # DEPENDENCYPART_ARC
(15,6),-0.899752 # DEPENDENCYPART_ARC
(15,7),-1.3713 # DEPENDENCYPART_ARC
(15,8),-1.09783 # DEPENDENCYPART_ARC
(15,9),-0.700553 # DEPENDENCYPART_ARC
(15,10),-4.46993 # DEPENDENCYPART_ARC
(15,11),-2.95555 # DEPENDENCYPART_ARC
(15,12),0.00169076 # DEPENDENCYPART_ARC
(15,13),-2.09675 # DEPENDENCYPART_ARC
(15,14),-0.383516 # DEPENDENCYPART_ARC
(15,16),3.65266 # DEPENDENCYPART_ARC
(15,17),-0.0183425 # DEPENDENCYPART_ARC
(16,12),-1.39983 # DEPENDENCYPART_ARC
(16,13),-3.94511 # DEPENDENCYPART_ARC
(16,14),-1.21271 # DEPENDENCYPART_ARC
(16,15),-3.44319 # DEPENDENCYPART_ARC
(16,17),0.566983 # DEPENDENCYPART_ARC
(17,16),-3.08221 # DEPENDENCYPART_ARC
