# _root_ ( Herečky navíc údajně strávily tři týdny speciálním výcvikem na ranči , kde se učily jezdit na koních , zacházet se zbraněmi a dokonce i žvýkat tabák . )
#goldHeads=5,5,5,5,0,7,5,9,5,5,10,15,15,15,11,23,16,17,23,23,20,21,15,26,26,23,26,0,5,
#predictedHeads=5,5,5,5,0,7,5,9,5,9,10,15,15,15,11,15,16,17,15,23,20,21,15,26,26,23,26,0,23,
(15,8),-4.39731 # DEPENDENCYPART_ARC
(15,9),-0.117819 # DEPENDENCYPART_ARC
(15,10),-0.305075 # DEPENDENCYPART_ARC
(15,11),-2.15205 # DEPENDENCYPART_ARC
(15,12),1.76785 # DEPENDENCYPART_ARC
(15,13),2.7689 # DEPENDENCYPART_ARC
(15,14),3.01942 # DEPENDENCYPART_ARC
(15,16),3.38538 # DEPENDENCYPART_ARC
(15,17),1.02072 # DEPENDENCYPART_ARC
(15,18),-1.29397 # DEPENDENCYPART_ARC
(15,19),1.3297 # DEPENDENCYPART_ARC
(15,20),0.428741 # DEPENDENCYPART_ARC
(15,21),0.0303654 # DEPENDENCYPART_ARC
(15,22),-1.98612 # DEPENDENCYPART_ARC
(15,23),0.0945039 # DEPENDENCYPART_ARC
(15,24),-1.34664 # DEPENDENCYPART_ARC
(15,25),-0.862067 # DEPENDENCYPART_ARC
(15,26),-1.43238 # DEPENDENCYPART_ARC
(15,27),-2.06399 # DEPENDENCYPART_ARC
(15,28),-0.23696 # DEPENDENCYPART_ARC
(15,29),0.00512109 # DEPENDENCYPART_ARC
(16,1),-0.766552 # DEPENDENCYPART_ARC
(16,2),-1.03633 # DEPENDENCYPART_ARC
(16,4),-0.367409 # DEPENDENCYPART_ARC
(16,5),-3.73518 # DEPENDENCYPART_ARC
(16,7),0.822483 # DEPENDENCYPART_ARC
(16,9),-0.0223838 # DEPENDENCYPART_ARC
(16,11),-1.80258 # DEPENDENCYPART_ARC
(16,12),0.00064144 # DEPENDENCYPART_ARC
(16,13),1.02117 # DEPENDENCYPART_ARC
(16,14),2.38527 # DEPENDENCYPART_ARC
(16,15),-0.686721 # DEPENDENCYPART_ARC
(16,17),2.29023 # DEPENDENCYPART_ARC
(16,18),0.430644 # DEPENDENCYPART_ARC
(16,19),0.839933 # DEPENDENCYPART_ARC
(16,20),0.314192 # DEPENDENCYPART_ARC
(16,21),1.035 # DEPENDENCYPART_ARC
(16,22),-1.03161 # DEPENDENCYPART_ARC
(16,23),-0.0282452 # DEPENDENCYPART_ARC
(16,24),-1.47365 # DEPENDENCYPART_ARC
(16,25),-0.937279 # DEPENDENCYPART_ARC
(16,26),-1.48865 # DEPENDENCYPART_ARC
(16,27),-0.891486 # DEPENDENCYPART_ARC
(16,28),-0.603215 # DEPENDENCYPART_ARC
(16,29),-0.110529 # DEPENDENCYPART_ARC
(17,18),3.68622 # DEPENDENCYPART_ARC
(17,19),-0.230424 # DEPENDENCYPART_ARC
(17,22),-2.33941 # DEPENDENCYPART_ARC
(18,13),-1.34168 # DEPENDENCYPART_ARC
(18,14),-4.05404 # DEPENDENCYPART_ARC
(18,17),0.164868 # DEPENDENCYPART_ARC
(18,20),-1.30588 # DEPENDENCYPART_ARC
(18,21),-1.98992 # DEPENDENCYPART_ARC
(18,22),-4.76802 # DEPENDENCYPART_ARC
(18,23),-0.575449 # DEPENDENCYPART_ARC
(18,25),-1.60185 # DEPENDENCYPART_ARC
(18,26),-3.18206 # DEPENDENCYPART_ARC
(19,1),0.370416 # DEPENDENCYPART_ARC
(19,5),-0.24666 # DEPENDENCYPART_ARC
(19,12),-0.580816 # DEPENDENCYPART_ARC
(19,15),0.128539 # DEPENDENCYPART_ARC
(19,16),0.441465 # DEPENDENCYPART_ARC
(19,17),-0.330945 # DEPENDENCYPART_ARC
(19,18),0.272515 # DEPENDENCYPART_ARC
(19,20),-0.0113068 # DEPENDENCYPART_ARC
(19,21),-0.368407 # DEPENDENCYPART_ARC
(19,22),-0.706702 # DEPENDENCYPART_ARC
(19,23),-0.118807 # DEPENDENCYPART_ARC
(19,24),-0.606884 # DEPENDENCYPART_ARC
(19,25),-0.537789 # DEPENDENCYPART_ARC
(19,26),-1.67366 # DEPENDENCYPART_ARC
(19,28),0.0919778 # DEPENDENCYPART_ARC
(19,29),-0.0401554 # DEPENDENCYPART_ARC
(20,2),-1.61709 # DEPENDENCYPART_ARC
(20,5),-3.0546 # DEPENDENCYPART_ARC
(20,7),0.824213 # DEPENDENCYPART_ARC
(20,9),-0.0616657 # DEPENDENCYPART_ARC
(20,12),-1.04011 # DEPENDENCYPART_ARC
(20,13),0.551311 # DEPENDENCYPART_ARC
(20,14),1.14526 # DEPENDENCYPART_ARC
(20,15),-1.56068 # DEPENDENCYPART_ARC
(20,16),-0.00707646 # DEPENDENCYPART_ARC
(20,17),0.33903 # DEPENDENCYPART_ARC
(20,18),-0.674057 # DEPENDENCYPART_ARC
(20,19),-0.345613 # DEPENDENCYPART_ARC
(20,21),2.39115 # DEPENDENCYPART_ARC
(20,22),1.4525 # DEPENDENCYPART_ARC
(20,23),0.649911 # DEPENDENCYPART_ARC
(20,24),-0.0142521 # DEPENDENCYPART_ARC
(20,25),-0.366206 # DEPENDENCYPART_ARC
(20,26),-0.42434 # DEPENDENCYPART_ARC
(20,27),0.75762 # DEPENDENCYPART_ARC
(20,28),0.138295 # DEPENDENCYPART_ARC
(20,29),0.549015 # DEPENDENCYPART_ARC
(21,19),-0.530865 # DEPENDENCYPART_ARC
(21,22),4.11095 # DEPENDENCYPART_ARC
(21,23),0.795717 # DEPENDENCYPART_ARC
(21,24),-0.503461 # DEPENDENCYPART_ARC
(21,25),-1.46994 # DEPENDENCYPART_ARC
(21,27),-3.3968 # DEPENDENCYPART_ARC
(22,17),-1.19777 # DEPENDENCYPART_ARC
(22,18),-4.189 # DEPENDENCYPART_ARC
(22,21),0.486555 # DEPENDENCYPART_ARC
(22,27),-5.83295 # DEPENDENCYPART_ARC
(23,1),-0.19635 # DEPENDENCYPART_ARC
(23,3),-1.28313 # DEPENDENCYPART_ARC
(23,4),-1.32445 # DEPENDENCYPART_ARC
(23,5),-0.663141 # DEPENDENCYPART_ARC
(23,7),-1.29499 # DEPENDENCYPART_ARC
(23,9),-0.783045 # DEPENDENCYPART_ARC
(23,10),-1.2701 # DEPENDENCYPART_ARC
(23,11),0.127117 # DEPENDENCYPART_ARC
(23,12),0.233743 # DEPENDENCYPART_ARC
(23,13),0.856566 # DEPENDENCYPART_ARC
(23,14),0.0106517 # DEPENDENCYPART_ARC
(23,15),0.504313 # DEPENDENCYPART_ARC
(23,16),1.05838 # DEPENDENCYPART_ARC
(23,17),0.0562704 # DEPENDENCYPART_ARC
(23,18),1.41819 # DEPENDENCYPART_ARC
(23,19),0.790514 # DEPENDENCYPART_ARC
(23,20),2.39859 # DEPENDENCYPART_ARC
(23,21),0.838457 # DEPENDENCYPART_ARC
(23,22),1.85421 # DEPENDENCYPART_ARC
(23,24),0.958772 # DEPENDENCYPART_ARC
(23,25),0.0410253 # DEPENDENCYPART_ARC
(23,26),1.044 # DEPENDENCYPART_ARC
(23,27),0.642807 # DEPENDENCYPART_ARC
(23,28),0.240001 # DEPENDENCYPART_ARC
(23,29),1.36956 # DEPENDENCYPART_ARC
(24,25),-0.616982 # DEPENDENCYPART_ARC
(24,26),-0.849998 # DEPENDENCYPART_ARC
(24,27),-1.20902 # DEPENDENCYPART_ARC
(24,28),-0.491883 # DEPENDENCYPART_ARC
(25,13),-0.881271 # DEPENDENCYPART_ARC
(25,14),-0.742522 # DEPENDENCYPART_ARC
(25,17),-1.72615 # DEPENDENCYPART_ARC
(25,18),-1.42439 # DEPENDENCYPART_ARC
(25,19),-0.447221 # DEPENDENCYPART_ARC
(25,20),-0.157418 # DEPENDENCYPART_ARC
(25,21),-0.86279 # DEPENDENCYPART_ARC
(25,22),-0.235452 # DEPENDENCYPART_ARC
(25,24),-0.0319033 # DEPENDENCYPART_ARC
(25,26),0.668848 # DEPENDENCYPART_ARC
(25,27),0.342942 # DEPENDENCYPART_ARC
(25,28),-0.296782 # DEPENDENCYPART_ARC
(25,29),0.712818 # DEPENDENCYPART_ARC
(26,2),-1.64043 # DEPENDENCYPART_ARC
(26,14),0.491137 # DEPENDENCYPART_ARC
(26,16),-1.7236 # DEPENDENCYPART_ARC
(26,17),-0.988328 # DEPENDENCYPART_ARC
(26,18),-1.88882 # DEPENDENCYPART_ARC
(26,20),-0.303412 # DEPENDENCYPART_ARC
(26,21),1.16883 # DEPENDENCYPART_ARC
(26,22),0.424899 # DEPENDENCYPART_ARC
(26,24),1.50667 # DEPENDENCYPART_ARC
(26,25),1.33657 # DEPENDENCYPART_ARC
(26,27),3.46494 # DEPENDENCYPART_ARC
(26,28),-0.554309 # DEPENDENCYPART_ARC
(26,29),0.316564 # DEPENDENCYPART_ARC
(27,24),0.660395 # DEPENDENCYPART_ARC
(27,25),0.893317 # DEPENDENCYPART_ARC
(27,28),0.473648 # DEPENDENCYPART_ARC
(27,29),-0.472745 # DEPENDENCYPART_ARC
(28,26),-2.46521 # DEPENDENCYPART_ARC
(28,27),-1.73418 # DEPENDENCYPART_ARC
