# _root_ Jedná se o projekty snižující zamoření ovzduší , zlepšující kvalitu vod , hospodaření s odpady .
#goldHeads=0,1,1,3,8,5,6,4,8,12,10,9,12,13,14,0,
#predictedHeads=0,1,1,3,4,5,6,9,4,9,10,9,12,13,14,0,
(12,3),-0.235537 # DEPENDENCYPART_ARC
(12,4),1.5132 # DEPENDENCYPART_ARC
(12,6),0.890346 # DEPENDENCYPART_ARC
(12,7),1.28558 # DEPENDENCYPART_ARC
(12,8),0.821699 # DEPENDENCYPART_ARC
(12,9),0.516015 # DEPENDENCYPART_ARC
(12,10),0.905795 # DEPENDENCYPART_ARC
(12,11),1.78363 # DEPENDENCYPART_ARC
(12,13),1.38675 # DEPENDENCYPART_ARC
(12,14),0.139838 # DEPENDENCYPART_ARC
(12,15),0.375767 # DEPENDENCYPART_ARC
(12,16),0.21938 # DEPENDENCYPART_ARC
(13,1),-2.35202 # DEPENDENCYPART_ARC
(13,4),-2.59647 # DEPENDENCYPART_ARC
(13,5),-4.11967 # DEPENDENCYPART_ARC
(13,6),-1.10368 # DEPENDENCYPART_ARC
(13,7),-2.90545 # DEPENDENCYPART_ARC
(13,9),-3.12917 # DEPENDENCYPART_ARC
(13,10),-1.53314 # DEPENDENCYPART_ARC
(13,11),-3.75741 # DEPENDENCYPART_ARC
(13,12),0.171218 # DEPENDENCYPART_ARC
(13,14),2.4926 # DEPENDENCYPART_ARC
(13,15),0.207286 # DEPENDENCYPART_ARC
(13,16),0.283999 # DEPENDENCYPART_ARC
(14,12),-0.462694 # DEPENDENCYPART_ARC
(14,13),-0.549924 # DEPENDENCYPART_ARC
(14,15),3.9098 # DEPENDENCYPART_ARC
(14,16),0.0813425 # DEPENDENCYPART_ARC
(15,9),-3.71375 # DEPENDENCYPART_ARC
(15,11),-4.58814 # DEPENDENCYPART_ARC
(15,13),-3.4575 # DEPENDENCYPART_ARC
(15,16),0.488842 # DEPENDENCYPART_ARC
