# _root_ Jasně , přeháněli , ale vás to potěší a motivuje pokračovat . "
#goldHeads=3,3,5,5,0,9,9,9,5,9,10,0,5,
#predictedHeads=3,5,5,5,0,8,8,9,5,9,10,0,5,
(5,6),0.259591 # DEPENDENCYPART_ARC
(5,7),-0.491812 # DEPENDENCYPART_ARC
(5,8),1.42548 # DEPENDENCYPART_ARC
(5,9),1.69341 # DEPENDENCYPART_ARC
(5,10),0.0367072 # DEPENDENCYPART_ARC
(5,11),0.347853 # DEPENDENCYPART_ARC
(5,12),0.282073 # DEPENDENCYPART_ARC
(5,13),2.20575 # DEPENDENCYPART_ARC
(6,3),-0.0451441 # DEPENDENCYPART_ARC
(6,4),0.13046 # DEPENDENCYPART_ARC
(6,5),0.253647 # DEPENDENCYPART_ARC
(6,8),-1.89583 # DEPENDENCYPART_ARC
(6,9),-0.392037 # DEPENDENCYPART_ARC
(7,1),-0.76388 # DEPENDENCYPART_ARC
(7,2),-0.51114 # DEPENDENCYPART_ARC
(7,4),-0.140224 # DEPENDENCYPART_ARC
(7,5),-0.813985 # DEPENDENCYPART_ARC
(7,8),-0.0308926 # DEPENDENCYPART_ARC
(7,9),-0.309152 # DEPENDENCYPART_ARC
(7,10),-1.56488 # DEPENDENCYPART_ARC
(7,11),-2.24931 # DEPENDENCYPART_ARC
(7,13),-0.793659 # DEPENDENCYPART_ARC
(8,1),-1.26509 # DEPENDENCYPART_ARC
(8,2),-1.5553 # DEPENDENCYPART_ARC
(8,3),-2.26839 # DEPENDENCYPART_ARC
(8,4),-0.681488 # DEPENDENCYPART_ARC
(8,5),-0.635006 # DEPENDENCYPART_ARC
(8,6),2.05269 # DEPENDENCYPART_ARC
(8,7),2.43708 # DEPENDENCYPART_ARC
(8,9),-0.483077 # DEPENDENCYPART_ARC
(8,10),-1.55828 # DEPENDENCYPART_ARC
(8,11),-0.201702 # DEPENDENCYPART_ARC
(8,12),-1.39551 # DEPENDENCYPART_ARC
(8,13),-0.998176 # DEPENDENCYPART_ARC
(9,1),0.138929 # DEPENDENCYPART_ARC
(9,2),0.854345 # DEPENDENCYPART_ARC
(9,3),1.42091 # DEPENDENCYPART_ARC
(9,4),1.09398 # DEPENDENCYPART_ARC
(9,5),0.00704446 # DEPENDENCYPART_ARC
(9,6),0.953585 # DEPENDENCYPART_ARC
(9,7),1.52729 # DEPENDENCYPART_ARC
(9,8),3.38629 # DEPENDENCYPART_ARC
(9,10),2.41318 # DEPENDENCYPART_ARC
(9,11),1.96167 # DEPENDENCYPART_ARC
(9,12),0.461264 # DEPENDENCYPART_ARC
(9,13),1.19128 # DEPENDENCYPART_ARC
(10,1),-1.63764 # DEPENDENCYPART_ARC
(10,2),-1.92412 # DEPENDENCYPART_ARC
(10,3),-3.28828 # DEPENDENCYPART_ARC
(10,6),0.568484 # DEPENDENCYPART_ARC
(10,7),0.943842 # DEPENDENCYPART_ARC
(10,8),-0.451691 # DEPENDENCYPART_ARC
(10,9),-0.00232747 # DEPENDENCYPART_ARC
(10,11),3.27794 # DEPENDENCYPART_ARC
(10,12),-0.908588 # DEPENDENCYPART_ARC
(10,13),-0.176834 # DEPENDENCYPART_ARC
(11,1),-1.6373 # DEPENDENCYPART_ARC
(11,2),-2.14797 # DEPENDENCYPART_ARC
(11,3),-4.02826 # DEPENDENCYPART_ARC
(11,4),-1.00295 # DEPENDENCYPART_ARC
(11,5),-0.343638 # DEPENDENCYPART_ARC
(11,6),1.84705 # DEPENDENCYPART_ARC
(11,7),0.592979 # DEPENDENCYPART_ARC
(11,8),-1.96184 # DEPENDENCYPART_ARC
(11,9),-0.266127 # DEPENDENCYPART_ARC
(11,10),0.722134 # DEPENDENCYPART_ARC
(11,12),-0.0229485 # DEPENDENCYPART_ARC
(11,13),0.265692 # DEPENDENCYPART_ARC
(12,5),-1.45205 # DEPENDENCYPART_ARC
(12,6),-1.99774 # DEPENDENCYPART_ARC
(12,7),-1.70386 # DEPENDENCYPART_ARC
(12,9),-2.05218 # DEPENDENCYPART_ARC
(12,10),-2.34443 # DEPENDENCYPART_ARC
(12,11),-2.66012 # DEPENDENCYPART_ARC
(13,7),-2.89806 # DEPENDENCYPART_ARC
(13,11),-3.57292 # DEPENDENCYPART_ARC
(13,12),-2.04485 # DEPENDENCYPART_ARC
