# _root_ avšak hlavním důvodem , proč se nekonají oba špičkové jazzové festivaly , je nedostatek peněz .
#goldHeads=0,3,13,7,7,7,3,11,11,11,7,7,1,13,14,0,
#predictedHeads=13,3,4,7,7,7,1,11,11,11,7,7,0,13,14,0,
(10,7),-2.94756 # DEPENDENCYPART_ARC
(10,9),-1.68681 # DEPENDENCYPART_ARC
(10,13),-2.92563 # DEPENDENCYPART_ARC
(10,14),-3.27769 # DEPENDENCYPART_ARC
(11,1),-1.3199 # DEPENDENCYPART_ARC
(11,2),-1.55421 # DEPENDENCYPART_ARC
(11,3),-4.60035 # DEPENDENCYPART_ARC
(11,4),-0.260523 # DEPENDENCYPART_ARC
(11,5),-0.549745 # DEPENDENCYPART_ARC
(11,6),-2.38864 # DEPENDENCYPART_ARC
(11,7),-1.90688 # DEPENDENCYPART_ARC
(11,8),4.42564 # DEPENDENCYPART_ARC
(11,9),4.20229 # DEPENDENCYPART_ARC
(11,10),4.78679 # DEPENDENCYPART_ARC
(11,12),-0.345045 # DEPENDENCYPART_ARC
(11,13),-1.59523 # DEPENDENCYPART_ARC
(11,14),-2.39584 # DEPENDENCYPART_ARC
(11,15),-0.265065 # DEPENDENCYPART_ARC
(12,1),-0.55341 # DEPENDENCYPART_ARC
(12,2),-1.07995 # DEPENDENCYPART_ARC
(12,3),-1.13069 # DEPENDENCYPART_ARC
(12,4),-0.544341 # DEPENDENCYPART_ARC
(12,7),0.139966 # DEPENDENCYPART_ARC
(12,8),-0.684296 # DEPENDENCYPART_ARC
(12,9),-0.264318 # DEPENDENCYPART_ARC
(12,10),-0.417112 # DEPENDENCYPART_ARC
(12,11),-0.445921 # DEPENDENCYPART_ARC
(12,13),-0.128086 # DEPENDENCYPART_ARC
(12,14),-1.09152 # DEPENDENCYPART_ARC
(12,15),-0.856552 # DEPENDENCYPART_ARC
(12,16),-0.642621 # DEPENDENCYPART_ARC
(13,1),0.735683 # DEPENDENCYPART_ARC
(13,2),-2.25984 # DEPENDENCYPART_ARC
(13,3),-0.662653 # DEPENDENCYPART_ARC
(13,4),0.21095 # DEPENDENCYPART_ARC
(13,5),1.10751 # DEPENDENCYPART_ARC
(13,6),0.254355 # DEPENDENCYPART_ARC
(13,7),-1.54858 # DEPENDENCYPART_ARC
(13,8),0.00379688 # DEPENDENCYPART_ARC
(13,9),-0.763441 # DEPENDENCYPART_ARC
(13,10),-0.689553 # DEPENDENCYPART_ARC
(13,11),0.838014 # DEPENDENCYPART_ARC
(13,12),-0.107798 # DEPENDENCYPART_ARC
(13,14),3.12939 # DEPENDENCYPART_ARC
(13,15),0.29767 # DEPENDENCYPART_ARC
(13,16),-0.16998 # DEPENDENCYPART_ARC
(14,1),-2.98318 # DEPENDENCYPART_ARC
(14,15),3.73295 # DEPENDENCYPART_ARC
(14,16),0.3973 # DEPENDENCYPART_ARC
(15,8),-0.552424 # DEPENDENCYPART_ARC
(15,10),-2.38174 # DEPENDENCYPART_ARC
(15,11),-4.05797 # DEPENDENCYPART_ARC
(15,14),-0.367411 # DEPENDENCYPART_ARC
(15,16),-0.329633 # DEPENDENCYPART_ARC
