# _root_ Ale také na úseku průmyslové a stavební výroby , kde dosud dominovalo Polsko , dochází i v České republice k významnému pokroku .
#goldHeads=0,4,15,3,6,8,6,4,12,12,12,8,12,12,1,19,15,19,17,15,22,20,0,
#predictedHeads=0,4,12,3,6,8,6,4,12,12,12,15,12,12,0,19,15,19,17,15,22,20,0,
(10,8),-0.41441 # DEPENDENCYPART_ARC
(10,9),-0.691194 # DEPENDENCYPART_ARC
(10,11),0.439026 # DEPENDENCYPART_ARC
(10,12),-0.0415762 # DEPENDENCYPART_ARC
(10,13),-0.417895 # DEPENDENCYPART_ARC
(10,14),0.0892695 # DEPENDENCYPART_ARC
(10,15),-0.689485 # DEPENDENCYPART_ARC
(10,16),-1.01772 # DEPENDENCYPART_ARC
(10,19),-1.48767 # DEPENDENCYPART_ARC
(10,22),-1.58752 # DEPENDENCYPART_ARC
(10,23),-1.588 # DEPENDENCYPART_ARC
(11,10),0.975219 # DEPENDENCYPART_ARC
(11,13),-1.33314 # DEPENDENCYPART_ARC
(12,1),0.79827 # DEPENDENCYPART_ARC
(12,2),0.6249 # DEPENDENCYPART_ARC
(12,3),0.420229 # DEPENDENCYPART_ARC
(12,4),-0.952502 # DEPENDENCYPART_ARC
(12,5),-3.85866 # DEPENDENCYPART_ARC
(12,6),0.204652 # DEPENDENCYPART_ARC
(12,7),-3.29465 # DEPENDENCYPART_ARC
(12,8),-2.21681 # DEPENDENCYPART_ARC
(12,9),1.87626 # DEPENDENCYPART_ARC
(12,10),2.81383 # DEPENDENCYPART_ARC
(12,11),3.16425 # DEPENDENCYPART_ARC
(12,13),3.02079 # DEPENDENCYPART_ARC
(12,14),1.33069 # DEPENDENCYPART_ARC
(12,15),-1.3026 # DEPENDENCYPART_ARC
(12,16),-0.484553 # DEPENDENCYPART_ARC
(12,17),0.148087 # DEPENDENCYPART_ARC
(12,19),-1.99796 # DEPENDENCYPART_ARC
(12,20),0.0760171 # DEPENDENCYPART_ARC
(12,22),-1.139 # DEPENDENCYPART_ARC
(12,23),-0.508764 # DEPENDENCYPART_ARC
(13,10),-1.14623 # DEPENDENCYPART_ARC
(13,11),-0.889811 # DEPENDENCYPART_ARC
(13,14),-1.16587 # DEPENDENCYPART_ARC
(13,15),-1.78828 # DEPENDENCYPART_ARC
(13,16),-0.747879 # DEPENDENCYPART_ARC
(13,17),-2.19219 # DEPENDENCYPART_ARC
(13,18),-3.49521 # DEPENDENCYPART_ARC
(13,20),-2.3335 # DEPENDENCYPART_ARC
(14,9),-0.0342712 # DEPENDENCYPART_ARC
(14,10),0.120085 # DEPENDENCYPART_ARC
(14,11),0.239877 # DEPENDENCYPART_ARC
(14,12),0.656715 # DEPENDENCYPART_ARC
(14,13),0.123375 # DEPENDENCYPART_ARC
(14,15),0.135258 # DEPENDENCYPART_ARC
(14,16),-0.707627 # DEPENDENCYPART_ARC
(14,17),-0.829245 # DEPENDENCYPART_ARC
(14,19),-1.21228 # DEPENDENCYPART_ARC
(14,20),-0.891685 # DEPENDENCYPART_ARC
(14,22),-1.52998 # DEPENDENCYPART_ARC
(15,1),1.3261 # DEPENDENCYPART_ARC
(15,2),-0.327414 # DEPENDENCYPART_ARC
(15,3),-0.539388 # DEPENDENCYPART_ARC
(15,4),-1.66017 # DEPENDENCYPART_ARC
(15,5),-3.82247 # DEPENDENCYPART_ARC
(15,6),-0.488106 # DEPENDENCYPART_ARC
(15,8),-2.54995 # DEPENDENCYPART_ARC
(15,9),-0.280361 # DEPENDENCYPART_ARC
(15,10),1.12947 # DEPENDENCYPART_ARC
(15,11),0.796105 # DEPENDENCYPART_ARC
(15,12),0.480582 # DEPENDENCYPART_ARC
(15,13),0.675069 # DEPENDENCYPART_ARC
(15,14),0.241852 # DEPENDENCYPART_ARC
(15,16),0.322716 # DEPENDENCYPART_ARC
(15,17),2.11125 # DEPENDENCYPART_ARC
(15,18),-3.26691 # DEPENDENCYPART_ARC
(15,19),0.983103 # DEPENDENCYPART_ARC
(15,20),1.39227 # DEPENDENCYPART_ARC
(15,21),-2.21261 # DEPENDENCYPART_ARC
(15,22),0.753188 # DEPENDENCYPART_ARC
(15,23),-0.0228773 # DEPENDENCYPART_ARC
(16,1),-1.54051 # DEPENDENCYPART_ARC
(16,3),-0.503437 # DEPENDENCYPART_ARC
(16,5),-2.2222 # DEPENDENCYPART_ARC
(16,8),-1.82992 # DEPENDENCYPART_ARC
(16,9),-1.19272 # DEPENDENCYPART_ARC
(16,10),-0.0596842 # DEPENDENCYPART_ARC
(16,11),-0.726017 # DEPENDENCYPART_ARC
(16,12),-1.36183 # DEPENDENCYPART_ARC
(16,13),0.0527816 # DEPENDENCYPART_ARC
(16,14),-0.290112 # DEPENDENCYPART_ARC
(16,15),-0.473342 # DEPENDENCYPART_ARC
(16,17),0.299954 # DEPENDENCYPART_ARC
(16,18),0.0774096 # DEPENDENCYPART_ARC
(16,19),0.484905 # DEPENDENCYPART_ARC
(16,20),-0.21829 # DEPENDENCYPART_ARC
(16,21),-1.15032 # DEPENDENCYPART_ARC
(16,22),-0.433262 # DEPENDENCYPART_ARC
(16,23),-0.381029 # DEPENDENCYPART_ARC
(17,14),-0.527841 # DEPENDENCYPART_ARC
(17,16),-0.088712 # DEPENDENCYPART_ARC
(17,18),0.907985 # DEPENDENCYPART_ARC
(17,19),4.21473 # DEPENDENCYPART_ARC
(17,21),-1.07674 # DEPENDENCYPART_ARC
(17,22),-0.363813 # DEPENDENCYPART_ARC
(17,23),-0.641471 # DEPENDENCYPART_ARC
(18,20),-0.50458 # DEPENDENCYPART_ARC
(18,22),-0.82052 # DEPENDENCYPART_ARC
(19,6),-0.6301 # DEPENDENCYPART_ARC
(19,16),1.98154 # DEPENDENCYPART_ARC
(19,17),-0.292793 # DEPENDENCYPART_ARC
(19,18),4.66959 # DEPENDENCYPART_ARC
(19,20),0.627642 # DEPENDENCYPART_ARC
(19,21),-2.89788 # DEPENDENCYPART_ARC
(19,22),-2.4481 # DEPENDENCYPART_ARC
(19,23),-1.65873 # DEPENDENCYPART_ARC
(20,19),-0.824503 # DEPENDENCYPART_ARC
(20,21),1.00209 # DEPENDENCYPART_ARC
(20,22),3.91895 # DEPENDENCYPART_ARC
(20,23),-0.51612 # DEPENDENCYPART_ARC
(22,16),0.726273 # DEPENDENCYPART_ARC
(22,17),-1.56576 # DEPENDENCYPART_ARC
(22,18),-1.23787 # DEPENDENCYPART_ARC
(22,19),-3.48018 # DEPENDENCYPART_ARC
(22,20),-1.20229 # DEPENDENCYPART_ARC
(22,21),5.22199 # DEPENDENCYPART_ARC
(22,23),0.107654 # DEPENDENCYPART_ARC
