# _root_ Podle Janouška již skončilo období kontroly formálních náležitostí přiznání a druhá fáze , tedy podrobná kontrola věcné správnosti , se právě rozbíhá .
#goldHeads=4,1,4,10,4,5,8,6,8,0,12,14,14,22,16,14,18,16,14,22,22,10,0,
#predictedHeads=4,1,4,0,4,5,8,6,10,8,12,10,14,22,16,22,18,16,22,22,22,12,0,
(10,14),0.621455 # DEPENDENCYPART_ARC
(10,15),-0.105006 # DEPENDENCYPART_ARC
(10,16),0.786051 # DEPENDENCYPART_ARC
(10,17),-1.25528 # DEPENDENCYPART_ARC
(10,18),0.779775 # DEPENDENCYPART_ARC
(10,19),-0.634786 # DEPENDENCYPART_ARC
(10,21),-1.02135 # DEPENDENCYPART_ARC
(10,22),-0.534844 # DEPENDENCYPART_ARC
(10,23),-1.54665 # DEPENDENCYPART_ARC
(12,7),-1.49721 # DEPENDENCYPART_ARC
(12,8),-4.00205 # DEPENDENCYPART_ARC
(12,9),-5.56027 # DEPENDENCYPART_ARC
(12,10),0.3039 # DEPENDENCYPART_ARC
(12,11),4.07206 # DEPENDENCYPART_ARC
(12,13),-0.339201 # DEPENDENCYPART_ARC
(12,14),0.420402 # DEPENDENCYPART_ARC
(12,15),1.22219 # DEPENDENCYPART_ARC
(12,16),0.0714754 # DEPENDENCYPART_ARC
(12,17),-0.119993 # DEPENDENCYPART_ARC
(12,18),0.503184 # DEPENDENCYPART_ARC
(12,19),-0.165818 # DEPENDENCYPART_ARC
(12,21),-0.482959 # DEPENDENCYPART_ARC
(12,22),0.913523 # DEPENDENCYPART_ARC
(13,2),-0.417786 # DEPENDENCYPART_ARC
(13,4),-0.0754779 # DEPENDENCYPART_ARC
(13,5),-0.179126 # DEPENDENCYPART_ARC
(13,6),-0.0960293 # DEPENDENCYPART_ARC
(13,7),-0.285068 # DEPENDENCYPART_ARC
(13,8),-0.0514657 # DEPENDENCYPART_ARC
(13,9),0.265807 # DEPENDENCYPART_ARC
(13,10),-0.0389686 # DEPENDENCYPART_ARC
(13,11),0.202238 # DEPENDENCYPART_ARC
(13,12),0.0686615 # DEPENDENCYPART_ARC
(13,14),0.0431122 # DEPENDENCYPART_ARC
(13,15),0.459335 # DEPENDENCYPART_ARC
(13,16),0.466384 # DEPENDENCYPART_ARC
(13,17),0.102745 # DEPENDENCYPART_ARC
(13,18),0.20815 # DEPENDENCYPART_ARC
(13,19),-0.0392528 # DEPENDENCYPART_ARC
(13,21),-1.05999 # DEPENDENCYPART_ARC
(13,22),-0.694053 # DEPENDENCYPART_ARC
(13,23),-0.37012 # DEPENDENCYPART_ARC
(14,1),-0.988276 # DEPENDENCYPART_ARC
(14,2),-0.00773322 # DEPENDENCYPART_ARC
(14,3),-0.00309463 # DEPENDENCYPART_ARC
(14,5),0.61915 # DEPENDENCYPART_ARC
(14,6),0.912185 # DEPENDENCYPART_ARC
(14,8),0.592209 # DEPENDENCYPART_ARC
(14,9),1.06773 # DEPENDENCYPART_ARC
(14,10),0.0610059 # DEPENDENCYPART_ARC
(14,11),1.16842 # DEPENDENCYPART_ARC
(14,12),1.94499 # DEPENDENCYPART_ARC
(14,13),2.08893 # DEPENDENCYPART_ARC
(14,15),1.53613 # DEPENDENCYPART_ARC
(14,16),1.51547 # DEPENDENCYPART_ARC
(14,17),0.676908 # DEPENDENCYPART_ARC
(14,18),1.06614 # DEPENDENCYPART_ARC
(14,19),0.596136 # DEPENDENCYPART_ARC
(14,21),0.20325 # DEPENDENCYPART_ARC
(14,22),0.576872 # DEPENDENCYPART_ARC
(14,23),-0.462629 # DEPENDENCYPART_ARC
(15,13),-0.289424 # DEPENDENCYPART_ARC
(15,14),-0.0534379 # DEPENDENCYPART_ARC
(15,16),-0.117816 # DEPENDENCYPART_ARC
(16,7),-2.41041 # DEPENDENCYPART_ARC
(16,11),2.53173 # DEPENDENCYPART_ARC
(16,13),0.645286 # DEPENDENCYPART_ARC
(16,14),0.655139 # DEPENDENCYPART_ARC
(16,15),4.31722 # DEPENDENCYPART_ARC
(16,17),1.31312 # DEPENDENCYPART_ARC
(16,18),3.2141 # DEPENDENCYPART_ARC
(16,19),-0.100667 # DEPENDENCYPART_ARC
(16,21),-0.147414 # DEPENDENCYPART_ARC
(16,22),0.0943589 # DEPENDENCYPART_ARC
(16,23),-1.41093 # DEPENDENCYPART_ARC
(17,14),-0.549239 # DEPENDENCYPART_ARC
(17,15),-2.33703 # DEPENDENCYPART_ARC
(17,18),0.842318 # DEPENDENCYPART_ARC
(17,21),-0.601598 # DEPENDENCYPART_ARC
(18,11),-1.25918 # DEPENDENCYPART_ARC
(18,13),0.021442 # DEPENDENCYPART_ARC
(18,14),-0.588335 # DEPENDENCYPART_ARC
(18,15),-0.0582819 # DEPENDENCYPART_ARC
(18,16),-1.59419 # DEPENDENCYPART_ARC
(18,17),5.44276 # DEPENDENCYPART_ARC
(18,19),-0.273008 # DEPENDENCYPART_ARC
(18,21),-0.042954 # DEPENDENCYPART_ARC
(18,22),1.02825 # DEPENDENCYPART_ARC
(18,23),-0.309511 # DEPENDENCYPART_ARC
(19,4),-0.323529 # DEPENDENCYPART_ARC
(19,13),0.057273 # DEPENDENCYPART_ARC
(19,16),-0.0764634 # DEPENDENCYPART_ARC
(19,17),-0.542798 # DEPENDENCYPART_ARC
(19,18),-0.288216 # DEPENDENCYPART_ARC
(19,21),-0.420978 # DEPENDENCYPART_ARC
(19,22),0.493812 # DEPENDENCYPART_ARC
(19,23),-0.164867 # DEPENDENCYPART_ARC
(21,19),-0.771165 # DEPENDENCYPART_ARC
(21,23),-0.508914 # DEPENDENCYPART_ARC
(22,1),1.43178 # DEPENDENCYPART_ARC
(22,2),-2.19713 # DEPENDENCYPART_ARC
(22,3),-1.19767 # DEPENDENCYPART_ARC
(22,4),-1.39447 # DEPENDENCYPART_ARC
(22,5),1.76848 # DEPENDENCYPART_ARC
(22,6),-1.90257 # DEPENDENCYPART_ARC
(22,8),-2.43817 # DEPENDENCYPART_ARC
(22,9),-2.44686 # DEPENDENCYPART_ARC
(22,10),0.0417083 # DEPENDENCYPART_ARC
(22,11),-0.946839 # DEPENDENCYPART_ARC
(22,12),0.440538 # DEPENDENCYPART_ARC
(22,13),0.969589 # DEPENDENCYPART_ARC
(22,14),0.890406 # DEPENDENCYPART_ARC
(22,16),1.61285 # DEPENDENCYPART_ARC
(22,17),-2.55655 # DEPENDENCYPART_ARC
(22,18),-1.54732 # DEPENDENCYPART_ARC
(22,19),2.13697 # DEPENDENCYPART_ARC
(22,20),4.47237 # DEPENDENCYPART_ARC
(22,21),2.56989 # DEPENDENCYPART_ARC
(22,23),-0.191841 # DEPENDENCYPART_ARC
